Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,19968.500000,19968.500000,19968.500000,19968.500000,19968.500000,0
2017-03-21,19918.800781,19918.800781,19918.800781,19918.800781,19918.800781,0
2017-03-22,19953.400391,19953.400391,19953.400391,19953.400391,19953.400391,0
2017-03-23,20167.500000,20167.500000,20167.500000,20167.500000,20167.500000,0
2017-03-24,20188.000000,20188.000000,20188.000000,20188.000000,20188.000000,0
2017-03-27,20124.199219,20124.199219,20124.199219,20124.199219,20124.199219,0
2017-03-28,20330.400391,20330.400391,20330.400391,20330.400391,20330.400391,0
2017-03-29,20276.800781,20276.800781,20276.800781,20276.800781,20276.800781,0
2017-03-30,20367.699219,20367.699219,20367.699219,20367.699219,20367.699219,0
2017-03-31,20492.900391,20492.900391,20492.900391,20492.900391,20492.900391,0
2017-04-03,20242.900391,20242.900391,20242.900391,20242.900391,20242.900391,0
2017-04-04,20257.099609,20257.099609,20257.099609,20257.099609,20257.099609,0
2017-04-05,20253.400391,20253.400391,20253.400391,20253.400391,20253.400391,0
2017-04-06,20297.000000,20297.000000,20297.000000,20297.000000,20297.000000,0
2017-04-07,20300.099609,20300.099609,20300.099609,20300.099609,20300.099609,0
2017-04-10,20202.000000,20202.000000,20202.000000,20202.000000,20202.000000,0
2017-04-11,20109.099609,20109.099609,20109.099609,20109.099609,20109.099609,0
2017-04-12,20004.900391,20004.900391,20004.900391,20004.900391,20004.900391,0
2017-04-13,19773.699219,19773.699219,19773.699219,19773.699219,19773.699219,0
2017-04-18,19442.699219,19442.699219,19442.699219,19442.699219,19442.699219,0
2017-04-19,19824.599609,19824.599609,19824.599609,19824.599609,19824.599609,0
2017-04-20,19849.400391,19849.400391,19849.400391,19849.400391,19849.400391,0
2017-04-21,19741.699219,19741.699219,19741.699219,19741.699219,19741.699219,0
2017-04-24,20684.400391,20684.400391,20684.400391,20684.400391,20684.400391,0
2017-04-25,20805.500000,20805.500000,20805.500000,20805.500000,20805.500000,0
2017-04-26,20836.500000,20836.500000,20836.500000,20836.500000,20836.500000,0
2017-04-27,20597.300781,20597.300781,20597.300781,20597.300781,20597.300781,0
2017-04-28,20609.199219,20609.199219,20609.199219,20609.199219,20609.199219,0
2017-05-02,20733.199219,20733.199219,20733.199219,20733.199219,20733.199219,0
2017-05-03,20759.300781,20759.300781,20759.300781,20759.300781,20759.300781,0
2017-05-04,21169.900391,21169.900391,21169.900391,21169.900391,21169.900391,0
2017-05-05,21483.900391,21483.900391,21483.900391,21483.900391,21483.900391,0
2017-05-08,21428.099609,21428.099609,21428.099609,21428.099609,21428.099609,0
2017-05-09,21487.000000,21487.000000,21487.000000,21487.000000,21487.000000,0
2017-05-10,21552.800781,21552.800781,21552.800781,21552.800781,21552.800781,0
2017-05-11,21482.500000,21482.500000,21482.500000,21482.500000,21482.500000,0
2017-05-12,21575.400391,21575.400391,21575.400391,21575.400391,21575.400391,0
2017-05-15,21704.500000,21704.500000,21704.500000,21704.500000,21704.500000,0
2017-05-16,21787.900391,21787.900391,21787.900391,21787.900391,21787.900391,0
