<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
ALL.AX,20180518,28.58,28.620001000000002,28.379998999999998,28.389999,798911
ALL.AX,20180517,28.35,28.59,28.280001000000002,28.530001000000002,1129801
ALL.AX,20180516,28.57,28.690001000000002,28.200001,28.27,1744309
ALL.AX,20180515,28.620001000000002,28.92,28.41,28.67,1970170
ALL.AX,20180514,28.58,28.92,28.299999,28.68,1787262
ALL.AX,20180511,28.09,28.549999,27.889999,28.26,1125676
ALL.AX,20180510,27.42,28.16,27.23,28.059998999999998,1509835
ALL.AX,20180509,27.02,27.34,27.02,27.290001,1474597
ALL.AX,20180508,27.67,27.690001000000002,26.98,27.129998999999998,2307208
ALL.AX,20180507,27.469998999999998,27.99,27.450001,27.68,1861880
ALL.AX,20180504,27.5,27.690001000000002,27.0,27.389999,3408850
ALL.AX,20180503,28.110001,28.51,27.629998999999998,27.65,1817858
ALL.AX,20180502,27.120001000000002,28.17,27.105,27.790001,2628538
ALL.AX,20180501,26.969998999999998,27.33,26.84,26.889999,4959594
ALL.AX,20180430,26.959999,27.200001,26.790001,26.82,2638394
ALL.AX,20180427,26.860001,27.059998999999998,26.67,26.9,2558533
ALL.AX,20180426,26.280001000000002,27.059998999999998,25.93,26.66,3236945
ALL.AX,20180424,25.809998999999998,26.57,25.65,26.469998999999998,2606079
ALL.AX,20180423,25.459999,25.73,25.275,25.629998999999998,1530086
ALL.AX,20180420,25.16,25.67,25.059998999999998,25.530001000000002,993127
ALL.AX,20180419,25.309998999999998,25.42,24.99,25.17,1346036
ALL.AX,20180418,24.52,25.17,24.52,25.110001,1782819
ALL.AX,20180417,24.33,24.530001000000002,24.26,24.51,1119935
ALL.AX,20180416,24.299999,24.5,24.07,24.32,1121686
ALL.AX,20180413,23.66,24.32,23.66,24.15,1676535
ALL.AX,20180412,23.219998999999998,23.754998999999998,23.195,23.5,2330449
ALL.AX,20180411,23.450001,23.790001,22.99,23.15,1780251
ALL.AX,20180410,23.58,23.65,23.23,23.5,1581169
ALL.AX,20180409,23.549999,23.66,23.309998999999998,23.559998999999998,1267729
ALL.AX,20180406,23.379998999999998,23.66,23.15,23.559998999999998,913635
ALL.AX,20180405,23.389999,23.655001000000002,23.25,23.540001,1174325
ALL.AX,20180404,23.5,23.68,23.129998999999998,23.280001000000002,1972443
ALL.AX,20180403,23.0,23.719998999999998,22.719998999999998,23.41,3098705
ALL.AX,20180328,24.709999,24.83,24.02,24.059998999999998,1685867
ALL.AX,20180327,24.68,24.795,24.309998999999998,24.530001000000002,1458546
ALL.AX,20180326,24.91,24.98,24.610001,24.940001000000002,1327690
ALL.AX,20180325,24.25,24.545,24.16,24.459999,6924701
ALL.AX,20180322,25.0,25.0,24.35,24.57,6551342
ALL.AX,20180321,25.43,25.66,25.200001,25.389999,2211997
ALL.AX,20180320,25.4,25.709999,25.280001000000002,25.549999,1065422
ALL.AX,20180319,25.030001000000002,25.43,25.0,25.379998999999998,2998585
