<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TCL.AX,20180504,12.12,12.14,11.82,11.84,4668158.0
TCL.AX,20180503,11.91,12.1,11.9,12.06,8014593.0
TCL.AX,20180502,11.78,11.895,11.77,11.85,5311888.0
TCL.AX,20180501,11.66,11.86,11.62,11.78,6319149.0
TCL.AX,20180430,11.82,11.85,11.59,11.6,5305720.0
TCL.AX,20180427,11.6,11.7,11.57,11.69,5477484.0
TCL.AX,20180426,11.6,11.6,11.46,11.54,11071667.0
TCL.AX,20180424,11.31,11.47,11.25,11.42,4075894.0
TCL.AX,20180423,11.25,11.26,11.15,11.2,3872576.0
TCL.AX,20180420,11.25,11.3,11.19,11.24,2448716.0
TCL.AX,20180419,11.38,11.38,11.225,11.23,4252931.0
TCL.AX,20180418,11.36,11.38,11.27,11.31,3014584.0
TCL.AX,20180417,11.36,11.37,11.26,11.32,4084660.0
TCL.AX,20180416,11.21,11.28,11.16,11.25,2430675.0
TCL.AX,20180413,11.21,11.235,11.155,11.18,2436434.0
TCL.AX,20180412,11.26,11.3,11.16,11.2,4553490.0
TCL.AX,20180411,11.3,11.39,11.25,11.37,2960720.0
TCL.AX,20180410,11.23,11.405,11.22,11.39,2732369.0
TCL.AX,20180409,11.19,11.275,11.145,11.24,3220607.0
TCL.AX,20180406,11.14,11.22,11.105,11.17,3728810.0
TCL.AX,20180405,11.07,11.19,11.07,11.15,3738904.0
TCL.AX,20180404,11.19,11.2,11.06,11.15,4189040.0
TCL.AX,20180403,11.33,11.35,11.155,11.23,4446469.0
TCL.AX,20180328,11.45,11.52,11.36,11.42,6809974.0
TCL.AX,20180327,11.31,11.46,11.3,11.43,9519207.0
TCL.AX,20180326,11.05,11.29,11.03,11.27,5255243.0
TCL.AX,20180325,11.0,11.11,10.97,11.05,6364854.0
TCL.AX,20180322,11.11,11.17,11.0,11.05,6116333.0
TCL.AX,20180321,11.41,11.42,11.17,11.17,6705342.0
TCL.AX,20180320,11.53,11.54,11.38,11.45,5693368.0
TCL.AX,20180319,11.7,11.7,11.455,11.51,6224777.0
TCL.AX,20180318,11.85,11.865,11.63,11.68,2965603.0
TCL.AX,20180315,11.75,11.79,11.675,11.69,5426107.0
TCL.AX,20180314,11.75,11.84,11.66,11.7,5616928.0
TCL.AX,20180313,11.77,11.85,11.75,11.81,2217387.0
TCL.AX,20180312,11.87,11.88,11.74,11.83,3190872.0
TCL.AX,20180311,11.93,11.94,11.87,11.88,2175566.0
TCL.AX,20180308,11.69,11.86,11.66,11.84,3426549.0
TCL.AX,20180307,11.67,11.71,11.6,11.65,4645575.0
TCL.AX,20180306,11.55,11.7,11.55,11.63,3646549.0
TCL.AX,20180305,11.65,11.69,11.58,11.59,3290147.0
TCL.AX,20180304,11.6,11.62,11.51,11.54,2495929.0
TCL.AX,20180301,11.64,11.67,11.6,11.64,7920994.0
TCL.AX,20180228,11.52,11.64,11.52,11.63,4346853.0
TCL.AX,20180227,11.44,11.625,11.43,11.58,9192345.0
TCL.AX,20180226,11.58,11.59,11.33,11.41,10368380.0
TCL.AX,20180225,11.51,11.565,11.46,11.48,6137569.0
TCL.AX,20180222,11.49,11.54,11.35,11.42,16173640.0
TCL.AX,20180221,11.55,11.6,11.39,11.47,7506049.0
TCL.AX,20180220,11.85,11.86,11.61,11.69,3588019.0
TCL.AX,20180219,11.79,11.91,11.7,11.88,2332014.0
TCL.AX,20180218,11.65,11.82,11.62,11.79,2963748.0
TCL.AX,20180215,11.47,11.685,11.44,11.63,5226518.0
TCL.AX,20180214,11.61,11.65,11.365,11.4,4897000.0
TCL.AX,20180213,11.5,11.65,11.47,11.58,5477134.0
TCL.AX,20180212,11.5,11.54,11.305,11.33,4850381.0
TCL.AX,20180211,11.43,11.44,11.29,11.35,4306006.0
TCL.AX,20180208,11.5,11.54,11.42,11.47,4628593.0
TCL.AX,20180207,11.48,11.675,11.45,11.66,5376728.0
TCL.AX,20180206,11.5,11.65,11.44,11.59,7296147.0
TCL.AX,20180205,11.35,11.58,11.32,11.37,8502195.0
TCL.AX,20180204,11.78,11.82,11.61,11.65,7147292.0
TCL.AX,20180201,11.86,11.95,11.82,11.93,5171211.0
TCL.AX,20180131,12.03,12.105,12.01,12.07,6980425.0
TCL.AX,20180130,11.84,12.05,11.83,12.02,6856408.0
TCL.AX,20180129,11.89,11.99,11.85,11.88,5506892.0
TCL.AX,20180128,12.1,12.15,11.99,12.02,3176028.0
TCL.AX,20180124,12.08,12.08,11.965,12.06,4528315.0
TCL.AX,20180123,12.2,12.27,12.12,12.19,5296007.0
TCL.AX,20180122,12.11,12.175,12.06,12.14,2463988.0
TCL.AX,20180121,12.0,12.09,11.92,12.04,3040168.0
TCL.AX,20180118,11.89,12.0,11.85,11.99,4431131.0
TCL.AX,20180117,11.83,11.98,11.79,11.96,6059100.0
TCL.AX,20180116,11.68,11.78,11.67,11.78,5577924.0
TCL.AX,20180115,11.67,11.72,11.65,11.7,4166792.0
TCL.AX,20180114,11.84,11.85,11.67,11.7,4570832.0
TCL.AX,20180111,11.9,11.925,11.815,11.82,12184988.0
TCL.AX,20180110,11.88,11.91,11.83,11.9,4638494.0
TCL.AX,20180109,12.21,12.21,11.94,11.97,5616890.0
TCL.AX,20180108,12.3,12.38,12.275,12.3,3037793.0
TCL.AX,20180107,12.41,12.41,12.25,12.3,2568997.0
TCL.AX,20180104,12.25,12.36,12.2,12.36,4210623.0
TCL.AX,20180103,12.51,12.51,12.21,12.23,3623171.0
TCL.AX,20180102,12.5,12.5,12.34,12.46,4361318.0
TCL.AX,20180101,12.41,12.46,12.35,12.42,2839427.0
TCL.AX,20171228,12.56,12.57,12.36,12.43,2896149.0
TCL.AX,20171227,12.46,12.58,12.35,12.52,4576197.0
TCL.AX,20171226,12.54,12.73,12.47,12.67,3364898.0
TCL.AX,20171221,12.6,12.6,12.43,12.57,7130488.0
TCL.AX,20171220,12.76,12.8,12.47,12.55,13258800.0
TCL.AX,20171219,12.87,12.9,12.79,12.86,4170187.0
TCL.AX,20171218,12.98,13.11,12.915,12.98,6252633.0
TCL.AX,20171217,12.88,12.99,12.78,12.99,6227494.0
TCL.AX,20171214,12.74,12.87,12.53,12.8,14086928.0
TCL.AX,20171213,12.214,12.214,12.214,12.214,0.0
TCL.AX,20171212,12.214,12.214,12.214,12.214,0.0
TCL.AX,20171211,12.3135,12.3334,12.1842,12.214,3391225.0
TCL.AX,20171210,12.3135,12.3334,12.1842,12.214,3391225.0
TCL.AX,20171207,12.392999999999999,12.402999999999999,12.2438,12.2836,4473333.0
TCL.AX,20171206,12.3632,12.4179,12.3234,12.3731,4294695.0
TCL.AX,20171205,12.3831,12.4278,12.3035,12.3632,4347751.0
TCL.AX,20171204,12.3831,12.4627,12.3532,12.4229,6725624.0
TCL.AX,20171203,12.5422,12.5621,12.402999999999999,12.4627,3653640.0
TCL.AX,20171130,12.5323,12.5721,12.4627,12.4925,2580608.0
TCL.AX,20171129,12.5323,12.5621,12.4726,12.4825,6833079.0
TCL.AX,20171128,12.6218,12.6317,12.4627,12.5124,3940728.0
TCL.AX,20171127,12.6616,12.6616,12.5621,12.6019,5027222.0
TCL.AX,20171126,12.6317,12.765999999999998,12.592,12.6616,2875740.0
TCL.AX,20171123,12.6118,12.6417,12.4527,12.6417,3313197.0
TCL.AX,20171122,12.6516,12.7113,12.5721,12.6715,3350230.0
TCL.AX,20171121,12.6218,12.6715,12.5323,12.582,3745377.0
TCL.AX,20171120,12.5323,12.5969,12.4527,12.5323,3348802.0
TCL.AX,20171119,12.3831,12.5024,12.3035,12.4825,3410465.0
TCL.AX,20171116,12.4726,12.5074,12.4428,12.4627,2225473.0
TCL.AX,20171115,12.4129,12.4825,12.3334,12.4527,3586001.0
TCL.AX,20171114,12.4627,12.4726,12.3433,12.4129,4462714.0
TCL.AX,20171113,12.4627,12.4925,12.3831,12.4627,2652857.0
TCL.AX,20171112,12.7909,12.7909,12.5024,12.5621,4780543.0
TCL.AX,20171109,12.7909,12.8406,12.7312,12.770999999999999,3542093.0
TCL.AX,20171108,12.7212,12.7511,12.6715,12.7312,3634105.0
TCL.AX,20171107,12.5522,12.6914,12.5323,12.6417,4219231.0
TCL.AX,20171106,12.4825,12.5721,12.4328,12.5522,3545695.0
TCL.AX,20171105,12.392999999999999,12.4726,12.3532,12.4627,2221887.0
TCL.AX,20171102,12.3035,12.4229,12.2737,12.3532,2617748.0
TCL.AX,20171101,12.1643,12.2836,12.1543,12.2737,4000416.0
TCL.AX,20171031,12.0847,12.214,12.035,12.0847,3720787.0
TCL.AX,20171030,12.1245,12.1742,12.025,12.0648,5755451.0
TCL.AX,20171029,12.025,12.1742,11.9554,12.0648,3559239.0
TCL.AX,20171026,11.9852,11.9952,11.8062,11.9355,3801690.0
TCL.AX,20171025,12.035,12.0449,11.8957,11.9355,3701331.0
TCL.AX,20171024,12.214,12.2339,11.9803,12.0051,4481767.0
TCL.AX,20171023,12.2339,12.3085,12.2041,12.2041,4962880.0
TCL.AX,20171022,12.3334,12.3433,12.1742,12.2041,2723296.0
TCL.AX,20171019,12.2041,12.3532,12.1344,12.3135,2922136.0
TCL.AX,20171018,12.2936,12.3881,12.2041,12.2339,5799372.0
TCL.AX,20171017,12.2538,12.3831,12.2538,12.2637,2915481.0
