<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VALE3.SA,20180504,48.919998,49.900002,48.919998,49.700001,14861100.0
VALE3.SA,20180503,48.810001,49.330002,48.580002,49.09,14025900.0
VALE3.SA,20180502,48.5,49.32,48.419998,48.709999,16526500.0
VALE3.SA,20180430,48.259998,48.830002,48.150002,48.669998,8464400.0
VALE3.SA,20180427,48.900002,49.150002,47.860001,48.349998,14624200.0
VALE3.SA,20180426,47.700001,49.0,47.619999,48.700001,13273500.0
VALE3.SA,20180425,47.75,48.490002,47.439999,47.950001,15525500.0
VALE3.SA,20180424,47.700001,48.59,47.700001,48.310001,15113400.0
VALE3.SA,20180423,47.220001,47.98,47.060001,47.5,11785300.0
VALE3.SA,20180420,47.759998,47.900002,47.330002,47.630001,10188600.0
VALE3.SA,20180419,47.779999,48.169998,47.400002,47.830002,16092700.0
VALE3.SA,20180418,47.0,48.080002,46.849998,47.48,27655600.0
VALE3.SA,20180417,44.599998,46.0,44.560001,45.93,13348000.0
VALE3.SA,20180416,44.610001,44.849998,44.310001,44.540001,11434200.0
VALE3.SA,20180413,44.849998,45.169998,44.599998,44.98,15483300.0
VALE3.SA,20180412,44.419998,44.860001,44.32,44.810001,9812400.0
VALE3.SA,20180411,44.560001,45.060001,44.220001,44.639999,17709600.0
VALE3.SA,20180410,43.799999,44.84,43.669998,44.84,22479700.0
VALE3.SA,20180409,43.07,43.23,42.209999,42.950001,11918100.0
VALE3.SA,20180406,42.91,43.099998,42.25,42.740002,11282700.0
VALE3.SA,20180405,43.310001,43.689999,43.029999,43.25,14686600.0
VALE3.SA,20180404,41.799999,42.599998,41.59,42.549999,12440000.0
VALE3.SA,20180403,43.400002,43.549999,42.439999,42.869999,13693900.0
VALE3.SA,20180402,42.32,43.470001,42.32,43.0,18944000.0
VALE3.SA,20180329,41.869999,42.75,41.740002,42.209999,20347700.0
VALE3.SA,20180328,40.610001,41.700001,40.060001,41.540001,19038400.0
VALE3.SA,20180327,42.389999,42.389999,40.720001,40.860001,11659800.0
VALE3.SA,20180326,42.0,42.380001,41.610001,42.0,9850900.0
VALE3.SA,20180323,41.240002,42.200001,41.009998,41.599998,14983200.0
VALE3.SA,20180322,41.939999,42.25,41.619999,41.93,15229500.0
VALE3.SA,20180321,41.75,42.689999,41.43,42.5,19798000.0
VALE3.SA,20180320,41.099998,41.919998,40.93,41.599998,9322500.0
VALE3.SA,20180319,41.52,41.52,40.669998,41.099998,21861500.0
VALE3.SA,20180316,42.400002,42.599998,42.049999,42.299999,26802000.0
VALE3.SA,20180315,42.700001,42.82,42.130001,42.400002,16039100.0
VALE3.SA,20180314,42.849998,43.34,42.57,42.599998,17936000.0
VALE3.SA,20180313,42.740002,42.799999,42.049999,42.130001,13838900.0
VALE3.SA,20180312,42.290001,42.630001,41.939999,42.459999,11838200.0
VALE3.SA,20180309,40.970001,42.27,40.509998,42.099998,21077800.0
VALE3.SA,20180308,42.68,42.790001,41.25,41.459999,19983100.0
VALE3.SA,20180307,42.509998,43.02,42.200001,42.849998,19334700.0
VALE3.SA,20180306,44.5,44.919998,43.419998,43.490002,22342000.0
VALE3.SA,20180305,43.48,43.939999,42.880001,43.700001,16100600.0
VALE3.SA,20180302,43.799999,43.880001,42.740002,43.75,25236200.0
VALE3.SA,20180301,45.209999,45.630001,43.970001,44.450001,25776000.0
VALE3.SA,20180228,46.990002,47.09,44.650002,45.049999,39459100.0
VALE3.SA,20180227,47.470001,47.599998,46.709999,47.330002,15063400.0
VALE3.SA,20180226,46.740002,47.400002,46.689999,47.400002,20374600.0
VALE3.SA,20180223,46.0,46.41,45.650002,46.080002,17489800.0
VALE3.SA,20180222,45.23,45.68,45.119999,45.669998,14081800.0
VALE3.SA,20180221,45.509998,45.959999,44.709999,44.799999,24312600.0
VALE3.SA,20180220,46.049999,46.450001,45.240002,45.509998,18417600.0
VALE3.SA,20180219,46.099998,46.799999,45.959999,46.450001,12756100.0
VALE3.SA,20180216,45.82,46.189999,45.470001,46.029999,21107300.0
VALE3.SA,20180215,45.009998,45.959999,44.950001,45.950001,31043100.0
VALE3.SA,20180214,43.400002,44.549999,43.259998,44.509998,25905800.0
VALE3.SA,20180209,41.400002,42.400002,41.029999,42.0,22760500.0
VALE3.SA,20180208,41.689999,42.130001,41.07,41.59,18928800.0
VALE3.SA,20180207,42.43,42.720001,41.700001,41.709999,20560700.0
VALE3.SA,20180206,40.009998,42.470001,39.93,42.470001,26037000.0
VALE3.SA,20180205,40.599998,42.040001,40.330002,40.349998,22452800.0
VALE3.SA,20180202,41.650002,41.650002,40.75,40.799999,17892300.0
VALE3.SA,20180201,41.599998,42.470001,41.57,41.790001,21949700.0
VALE3.SA,20180131,41.75,42.68,41.450001,41.450001,22859700.0
VALE3.SA,20180130,41.700001,41.959999,41.23,41.470001,13180300.0
VALE3.SA,20180129,41.099998,42.240002,41.040001,41.889999,16752900.0
VALE3.SA,20180126,41.849998,41.880001,40.709999,41.43,19259500.0
VALE3.SA,20180125,41.779999,41.779999,41.779999,41.779999,0.0
VALE3.SA,20180124,41.209999,42.130001,41.139999,41.779999,22096600.0
VALE3.SA,20180123,41.990002,42.110001,40.810001,40.93,22075600.0
VALE3.SA,20180122,43.099998,43.16,42.220001,42.650002,11580900.0
VALE3.SA,20180119,43.200001,43.400002,42.599998,42.880001,11173100.0
VALE3.SA,20180118,43.5,43.610001,42.68,42.860001,10772100.0
VALE3.SA,20180117,42.400002,43.220001,42.360001,43.150002,16490700.0
VALE3.SA,20180116,42.98,43.139999,42.299999,42.299999,20121900.0
VALE3.SA,20180115,43.5,43.720001,43.27,43.470001,7253400.0
VALE3.SA,20180112,42.950001,43.66,42.75,43.549999,15014300.0
VALE3.SA,20180111,42.599998,43.299999,42.599998,43.299999,10236300.0
VALE3.SA,20180110,42.740002,42.950001,42.419998,42.470001,12149500.0
VALE3.SA,20180109,43.580002,43.75,42.93,43.07,15986200.0
VALE3.SA,20180108,42.400002,43.23,42.400002,43.23,14542800.0
VALE3.SA,20180105,41.57,42.290001,41.310001,42.290001,15251300.0
VALE3.SA,20180104,41.810001,42.369999,41.52,41.639999,18433000.0
VALE3.SA,20180103,41.830002,41.880001,41.299999,41.470001,12744200.0
VALE3.SA,20180102,40.439999,41.740002,40.439999,41.720001,14156500.0
VALE3.SA,20171229,40.259998,40.259998,40.259998,40.259998,0.0
VALE3.SA,20171228,40.009998,40.259998,39.93,40.259998,9963300.0
VALE3.SA,20171227,39.799999,40.209999,39.630001,39.860001,9943000.0
VALE3.SA,20171226,39.610001,40.0,39.02,39.849998,9986600.0
VALE3.SA,20171225,39.790001,39.790001,39.790001,39.790001,0.0
VALE3.SA,20171222,39.34,39.830002,39.220001,39.790001,10140000.0
VALE3.SA,20171221,39.099998,39.73,39.080002,39.73,11772500.0
VALE3.SA,20171220,37.970001,39.209999,37.970001,39.150002,19218100.0
VALE3.SA,20171219,37.709999,38.099998,37.639999,37.849998,14041000.0
VALE3.SA,20171218,37.490002,38.02,37.34,37.84,24339300.0
VALE3.SA,20171215,36.509998,37.279999,36.360001,36.889999,32954100.0
VALE3.SA,20171214,35.91,36.580002,35.79000100000001,36.240002,17718000.0
VALE3.SA,20171213,36.43,36.48,36.049999,36.110001,21135300.0
VALE3.SA,20171212,35.630001,36.18,35.220001,36.18,17624400.0
VALE3.SA,20171211,35.830002,36.0,35.48,35.759998,14785300.0
VALE3.SA,20171208,35.810001,35.950001,35.459999,35.48,21502200.0
VALE3.SA,20171207,35.049999,35.5,34.900002,35.34,19876200.0
VALE3.SA,20171206,35.580002,35.99000200000001,35.36000100000001,35.759998,20400800.0
VALE3.SA,20171205,36.810001,37.400002,36.02,36.02,25898800.0
VALE3.SA,20171204,35.959999,36.98,35.849998,36.830002,22600100.0
VALE3.SA,20171201,35.200001,35.970001,34.889999,35.48,17204100.0
VALE3.SA,20171130,35.700001,36.080002,34.93,35.139999,25417200.0
VALE3.SA,20171129,36.279999,36.580002,35.630001,35.700001,18176000.0
VALE3.SA,20171128,35.450001,36.650002,35.25,36.25,28591400.0
VALE3.SA,20171127,35.459999,35.779999,35.080002,35.41,15112700.0
VALE3.SA,20171124,35.18,35.849998,35.110001000000004,35.79000100000001,30784900.0
VALE3.SA,20171123,34.830002,35.349998,34.57,35.200001,11962000.0
VALE3.SA,20171122,34.400002,34.970001,34.279999,34.740002000000004,22150200.0
VALE3.SA,20171121,33.290001000000004,34.049999,33.150002,34.049999,23741300.0
VALE3.SA,20171120,32.919998,32.919998,32.919998,32.919998,0.0
VALE3.SA,20171117,32.59,33.169998,32.32,32.919998,13771300.0
VALE3.SA,20171116,32.459999,32.790001000000004,32.029999,32.599998,16280300.0
VALE3.SA,20171115,32.16,32.16,32.16,32.16,0.0
VALE3.SA,20171114,33.02,33.099998,31.940001,32.16,23389800.0
VALE3.SA,20171113,32.84,33.439999,32.59,33.139999,12424700.0
VALE3.SA,20171110,32.779999,33.029999,32.5,32.77,12199100.0
VALE3.SA,20171109,33.700001,33.709999,32.799999,32.799999,19246700.0
VALE3.SA,20171108,33.810001,33.950001,33.450001,33.939999,11580800.0
VALE3.SA,20171107,34.240002000000004,34.240002000000004,33.52,33.52,20239700.0
VALE3.SA,20171106,33.889999,34.34,33.830002,34.34,26333200.0
VALE3.SA,20171103,33.200001,33.540001000000004,33.0,33.540001000000004,29217800.0
VALE3.SA,20171102,32.82,32.82,32.82,32.82,0.0
VALE3.SA,20171101,32.799999,33.279999,32.689999,32.82,29709500.0
VALE3.SA,20171031,32.419998,32.689999,32.009998,32.099998,14629600.0
VALE3.SA,20171030,32.189999,32.93,31.84,32.349998,19401600.0
VALE3.SA,20171027,32.290001000000004,32.869999,32.029999,32.549999,17377200.0
VALE3.SA,20171026,33.869999,33.900002,32.669998,32.669998,25302400.0
VALE3.SA,20171025,33.630001,33.860001000000004,33.07,33.549999,16724100.0
VALE3.SA,20171024,32.880001,33.830002,32.549999,33.830002,19996200.0
VALE3.SA,20171023,33.0,33.200001,32.639999,32.709999,11948700.0
VALE3.SA,20171020,33.75,33.779999,32.950001,32.950001,24301000.0
VALE3.SA,20171019,31.75,33.07,31.709999,33.0,18549800.0
VALE3.SA,20171018,32.759998,32.950001,31.790001,32.27,21210600.0
VALE3.SA,20171017,33.110001000000004,33.32,32.580002,32.580002,19842700.0
VALE3.SA,20171016,33.380001,33.639999,32.830002,33.349998,35861900.0
VALE3.SA,20171013,32.099998,33.099998,32.0,32.91,31395900.0
VALE3.SA,20171012,31.1,31.1,31.1,31.1,0.0
VALE3.SA,20171011,30.940001,31.49,30.73,31.1,23041300.0
VALE3.SA,20171010,31.65,31.700001,30.940001,31.32,20181500.0
VALE3.SA,20171009,32.049999,32.099998,31.26,31.5,13520900.0
VALE3.SA,20171006,32.07,32.150002,31.83,32.139999,12450500.0
VALE3.SA,20171005,33.0,33.189999,32.240002000000004,32.27,17253100.0
VALE3.SA,20171004,32.880001,33.07,32.610001000000004,32.610001000000004,17562500.0
VALE3.SA,20171003,32.09,32.68,31.76,32.68,23474600.0
VALE3.SA,20171002,32.25,32.43,31.870001,31.9,13596900.0
VALE3.SA,20170929,32.139999,32.400002,31.610001,31.870001,16047100.0
VALE3.SA,20170928,31.51,31.85,31.280001,31.75,17561400.0
VALE3.SA,20170927,31.98,32.25,31.030001,31.93,26241300.0
VALE3.SA,20170926,31.469999,31.93,31.41,31.5,17114500.0
VALE3.SA,20170925,31.799999,32.290001000000004,31.0,31.09,21014300.0
VALE3.SA,20170922,32.150002,32.380001,31.85,31.91,16957700.0
VALE3.SA,20170921,32.650002,32.77,32.16,32.509998,26157600.0
VALE3.SA,20170920,33.880001,34.150002,32.77,33.169998,24175400.0
VALE3.SA,20170919,33.799999,33.990002000000004,33.330002,33.919998,17106900.0
VALE3.SA,20170918,33.810001,34.310001,33.779999,34.25,18617700.0
VALE3.SA,20170915,33.360001000000004,34.139999,33.299999,33.799999,34216900.0
VALE3.SA,20170914,34.0,34.099998,33.349998,33.619999,24324600.0
VALE3.SA,20170913,35.049999,35.130001,34.389999,34.77,21951600.0
VALE3.SA,20170912,35.369999,35.73,35.23,35.259998,16114100.0
VALE3.SA,20170911,34.799999,35.209999,34.73,35.09,19131800.0
VALE3.SA,20170908,35.689999,36.110001,34.470001,34.48,23042000.0
VALE3.SA,20170907,35.799999,35.799999,35.799999,35.799999,0.0
VALE3.SA,20170906,35.82,36.09,35.470001,35.799999,18117700.0
VALE3.SA,20170905,36.5,36.689999,35.18,35.599998,24227100.0
VALE3.SA,20170904,35.380001,36.189999,35.310001,36.099998,15002800.0
VALE3.SA,20170901,35.5,35.98,35.259998,35.669998,22554600.0
VALE3.SA,20170831,34.919998,35.18,34.450001,35.080002,56429700.0
VALE3.SA,20170830,34.5,34.709999,34.240002000000004,34.34,14021600.0
VALE3.SA,20170829,34.0,34.66,33.91,34.439999,15689600.0
VALE3.SA,20170828,33.700001,34.490002000000004,33.650002,34.360001000000004,15021800.0
VALE3.SA,20170825,34.119999,34.330002,33.419998,33.830002,16366000.0
VALE3.SA,20170824,32.560001,34.0,32.330002,33.880001,20534600.0
VALE3.SA,20170823,31.74,32.549999,31.6,32.540001000000004,15451900.0
VALE3.SA,20170822,32.349998,32.389999,31.709999,31.860001,19230300.0
VALE3.SA,20170821,31.99,32.240002000000004,31.709999,31.75,19990400.0
VALE3.SA,20170818,31.799999,32.049999,31.41,31.549999,24390300.0
VALE3.SA,20170817,31.889999,32.040001000000004,31.110001,31.200001,14095900.0
VALE3.SA,20170816,31.4,32.07,31.32,31.73,26011500.0
VALE3.SA,20170815,31.299999,31.450001,30.690001,31.120001,17847800.0
VALE3.SA,20170814,30.780001,31.469999,30.540001,31.299999,16902200.0
VALE3.SA,20170811,31.27,31.27,30.559999,30.799999,13613400.0
VALE3.SA,20170810,31.790001,32.029999,31.389999,31.5,7393600.0
VALE3.SA,20170809,32.0,32.25,31.700001,31.92,7870700.0
VALE3.SA,20170808,32.09,32.619999,31.559999,32.049999,9706400.0
VALE3.SA,20170807,31.6,32.43,31.59,32.419998,7800300.0
VALE3.SA,20170804,30.959999,31.49,30.74,31.23,4577600.0
VALE3.SA,20170803,31.139999,31.23,30.639999,30.68,5056500.0
VALE3.SA,20170802,30.700001,31.27,30.540001,31.110001,6171300.0
VALE3.SA,20170801,31.25,31.25,30.700001,31.059999,4329100.0
VALE3.SA,20170731,31.5,31.52,31.040001,31.299999,6300800.0
VALE3.SA,20170728,29.530001,30.35,29.33,30.34,5155700.0
VALE3.SA,20170727,29.66,30.209999,29.27,29.700001,5584000.0
VALE3.SA,20170726,30.9,30.9,29.65,29.66,10680100.0
VALE3.SA,20170725,29.559999,30.65,29.559999,30.610001,11658200.0
VALE3.SA,20170724,28.620001,29.16,28.5,29.129999,4207500.0
VALE3.SA,20170721,28.700001,29.040001,28.32,28.5,5482100.0
VALE3.SA,20170720,29.83,29.83,28.65,28.719999,5930800.0
VALE3.SA,20170719,30.01,30.17,29.73,29.9,4403100.0
VALE3.SA,20170718,29.9,30.040001,29.52,29.9,4000600.0
VALE3.SA,20170717,29.85,30.27,29.639999,29.719999,4661400.0
VALE3.SA,20170714,29.450001,29.709999,29.299999,29.52,3751600.0
VALE3.SA,20170713,30.110001,30.24,29.02,29.18,7776800.0
VALE3.SA,20170712,30.200001,30.290001,29.469999,29.9,8527700.0
VALE3.SA,20170711,29.83,30.09,29.639999,30.040001,4949900.0
VALE3.SA,20170710,28.9,29.75,28.620001,29.709999,5053400.0
VALE3.SA,20170707,29.120001,29.379999,28.43,28.889999,4652000.0
VALE3.SA,20170706,28.84,28.98,28.440001,28.92,4847500.0
VALE3.SA,20170705,29.629999,29.85,28.719999,28.93,6447900.0
VALE3.SA,20170704,29.459999,29.620001,29.360001,29.620001,1058400.0
VALE3.SA,20170703,29.26,29.709999,29.1,29.65,2172000.0
VALE3.SA,20170630,28.950001,29.190001,28.66,29.0,4749000.0
VALE3.SA,20170629,29.120001,29.370001,28.51,28.9,4333400.0
VALE3.SA,20170628,28.51,28.879999,28.34,28.790001,8527200.0
VALE3.SA,20170627,28.35,28.950001,27.889999,27.92,7473000.0
VALE3.SA,20170626,27.34,27.67,27.299999,27.469999,4047300.0
VALE3.SA,20170623,27.02,27.49,26.77,27.24,4854600.0
VALE3.SA,20170622,26.450001,27.51,26.32,27.02,4726200.0
VALE3.SA,20170621,25.9,26.780001,25.799999,26.469999,2751800.0
VALE3.SA,20170620,26.120001,26.139999,25.52,25.709999,4380800.0
VALE3.SA,20170619,25.99,26.889999,25.9,26.389999,5766200.0
VALE3.SA,20170616,25.809999,26.01,25.4,25.559999,13039700.0
VALE3.SA,20170615,26.1,26.1,26.1,26.1,0.0
