<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
VIVT4.SA,20180518,46.5,46.959998999999996,45.459998999999996,45.599998,3266200.0
VIVT4.SA,20180517,47.900002,48.32,46.43,46.66,1874400.0
VIVT4.SA,20180516,46.799999,47.950001,46.799999,47.939999,1995100.0
VIVT4.SA,20180515,46.139998999999996,47.290001000000004,45.630001,46.970001,4887600.0
VIVT4.SA,20180514,47.290001000000004,47.48,46.25,46.299999,2102600.0
VIVT4.SA,20180511,46.880001,47.41,46.880001,47.009997999999996,2330400.0
VIVT4.SA,20180510,47.200001,47.759997999999996,46.849998,47.119999,2642700.0
VIVT4.SA,20180509,47.41,47.529999,46.66,46.900002,4237900.0
VIVT4.SA,20180508,47.349998,48.060001,47.16,47.259997999999996,5998500.0
VIVT4.SA,20180507,47.709998999999996,47.970001,47.400002,47.400002,2763000.0
VIVT4.SA,20180504,48.0,48.220001,47.610001000000004,47.610001000000004,2024900.0
VIVT4.SA,20180503,49.029999,49.330002,48.119999,48.150002,1761200.0
VIVT4.SA,20180502,49.130001,49.66,48.759997999999996,49.18,3254800.0
VIVT4.SA,20180430,49.5,49.790001000000004,49.139998999999996,49.139998999999996,1108400.0
VIVT4.SA,20180427,49.82,50.080002,49.470001,49.700001,1504600.0
VIVT4.SA,20180426,49.200001,49.849998,48.950001,49.43,1928600.0
VIVT4.SA,20180425,49.0,50.189999,48.669998,48.990002000000004,2849300.0
VIVT4.SA,20180424,49.23,49.759997999999996,48.93,49.25,1375300.0
VIVT4.SA,20180423,49.080002,49.75,48.889998999999996,48.939999,1814600.0
VIVT4.SA,20180420,49.060001,49.119999,48.599998,48.900002,1505900.0
VIVT4.SA,20180419,49.259997999999996,49.84,48.860001000000004,49.310001,1643800.0
VIVT4.SA,20180418,49.349998,49.900002,49.099998,49.380001,2120700.0
VIVT4.SA,20180417,48.099998,49.34,47.669998,49.34,1526900.0
VIVT4.SA,20180416,48.27,48.529999,47.919998,48.0,1829600.0
VIVT4.SA,20180413,48.099998,48.299999,47.799999,48.099998,1778900.0
VIVT4.SA,20180412,50.860001000000004,50.860001000000004,48.880001,49.349998,2479300.0
VIVT4.SA,20180411,51.119999,51.639998999999996,50.860001000000004,50.880001,1432500.0
VIVT4.SA,20180410,50.529999,51.299999,50.220001,51.07,1401400.0
VIVT4.SA,20180409,50.959998999999996,51.099998,50.009997999999996,50.34,1765800.0
