<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BN.PA,20180405,65.309998,66.220001,65.18,65.980003,1910761
BN.PA,20180305,63.889999,64.889999,63.740002,64.860001,1670043
BN.PA,20180205,68.129997,68.400002,67.07,67.239998,2074609
BN.PA,20180430,66.800003,67.220001,66.610001,67.089996,1698039
BN.PA,20180427,67.129997,67.519997,66.699997,67.0,1375313
BN.PA,20180426,66.0,67.199997,65.959999,66.870003,1582061
BN.PA,20180425,65.300003,66.25,65.08000200000001,66.209999,1431241
BN.PA,20180424,65.91999799999999,66.400002,65.559998,65.91999799999999,1365792
BN.PA,20180423,65.959999,66.050003,65.099998,65.91999799999999,1771481
BN.PA,20180420,66.129997,66.529999,65.889999,66.379997,2286718
BN.PA,20180419,67.5,67.739998,66.010002,66.459999,1987712
BN.PA,20180418,67.5,68.589996,67.08000200000001,67.08000200000001,3701190
BN.PA,20180417,65.209999,66.269997,65.209999,66.059998,2065930
BN.PA,20180416,65.260002,65.449997,65.019997,65.290001,1071421
BN.PA,20180413,64.839996,65.41999799999999,64.629997,65.260002,1373751
BN.PA,20181204,65.07,65.33000200000001,64.849998,65.08000200000001,1934105
BN.PA,20181104,65.07,65.33000200000001,64.849998,65.08000200000001,1934105
BN.PA,20181004,65.07,65.33000200000001,64.849998,65.08000200000001,1934105
BN.PA,20180904,65.07,65.33000200000001,64.849998,65.08000200000001,1934105
BN.PA,20180604,65.07,65.33000200000001,64.849998,65.08000200000001,1934105
BN.PA,20180504,65.07,65.33000200000001,64.849998,65.08000200000001,1934105
BN.PA,20180404,64.709999,64.75,64.029999,64.610001,1692845
BN.PA,20180304,65.459999,66.32,65.190002,65.730003,2114781
BN.PA,20180329,65.459999,66.32,65.190002,65.730003,2114781
BN.PA,20180328,63.509998,65.360001,63.439999,65.360001,2051386
BN.PA,20180327,64.940002,64.949997,63.66,64.050003,1484740
BN.PA,20180326,64.309998,64.550003,63.599998,63.959999,1575804
BN.PA,20180323,64.139999,64.980003,63.650002,64.160004,2174609
BN.PA,20180322,65.25,65.57,64.360001,65.050003,1792647
BN.PA,20180321,66.800003,66.940002,65.290001,65.739998,1338675
BN.PA,20180320,66.43,66.790001,66.110001,66.68,1006755
BN.PA,20180319,66.800003,66.989998,66.129997,66.239998,1301316
BN.PA,20180316,67.129997,67.610001,67.050003,67.279999,3180625
BN.PA,20180315,67.059998,67.370003,66.519997,67.360001,1422054
BN.PA,20180314,67.050003,67.5,66.5,66.800003,1179928
BN.PA,20180313,67.58000200000001,67.870003,66.839996,67.139999,1555285
BN.PA,20181203,66.699997,67.059998,66.32,66.779999,1396169
BN.PA,20180903,66.699997,67.059998,66.32,66.779999,1396169
BN.PA,20180803,66.699997,67.059998,66.32,66.779999,1396169
BN.PA,20180703,66.699997,67.059998,66.32,66.779999,1396169
BN.PA,20180603,66.699997,67.059998,66.32,66.779999,1396169
BN.PA,20180503,66.699997,67.059998,66.32,66.779999,1396169
BN.PA,20180203,68.970001,69.440002,68.269997,69.43,1423283
BN.PA,20180103,68.970001,69.440002,68.269997,69.43,1423283
BN.PA,20180228,66.339996,66.739998,65.75,65.75,1883471
BN.PA,20180227,67.309998,67.57,66.589996,66.599998,1479525
BN.PA,20180226,66.43,67.730003,66.209999,67.309998,2243395
BN.PA,20180223,65.379997,65.839996,64.860001,65.82,1483490
BN.PA,20180222,64.199997,65.610001,63.810001,65.290001,1863160
BN.PA,20180221,64.220001,64.790001,64.010002,64.709999,1268195
BN.PA,20180220,64.209999,64.769997,64.209999,64.510002,1958983
BN.PA,20180219,65.360001,65.489998,64.400002,64.470001,1426815
BN.PA,20180216,65.0,65.949997,64.349998,65.489998,2924587
BN.PA,20180215,64.0,64.339996,63.23,64.120003,2458798
BN.PA,20180214,64.349998,65.160004,63.43,64.260002,2229770
BN.PA,20180213,64.43,64.989998,63.75,63.880001,1591607
BN.PA,20181202,66.910004,67.059998,66.470001,66.639999,1843280
BN.PA,20180902,66.910004,67.059998,66.470001,66.639999,1843280
BN.PA,20180802,66.910004,67.059998,66.470001,66.639999,1843280
BN.PA,20180702,66.910004,67.059998,66.470001,66.639999,1843280
BN.PA,20180602,66.910004,67.059998,66.470001,66.639999,1843280
