<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GET.PA,20180405,11.455,11.59,11.445,11.47,756959.0
GET.PA,20180305,11.46,11.69,11.04,11.615,3274621.0
GET.PA,20180205,11.12,11.12,10.93,10.965,1233355.0
GET.PA,20180430,11.67,11.735,11.645,11.69,984365.0
GET.PA,20180427,11.625,11.685,11.595,11.675,564202.0
GET.PA,20180426,11.595,11.675,11.54,11.63,702496.0
GET.PA,20180425,11.71,11.725,11.56,11.6,606076.0
GET.PA,20180424,11.75,11.78,11.685,11.72,932059.0
GET.PA,20180423,11.615,11.755,11.595,11.755,890479.0
GET.PA,20180420,11.6,11.66,11.56,11.62,583730.0
GET.PA,20180419,11.575,11.625,11.53,11.56,864250.0
GET.PA,20180418,11.65,11.69,11.47,11.55,1506602.0
GET.PA,20180417,11.615,11.64,11.565,11.565,823330.0
GET.PA,20180416,11.595,11.65,11.59,11.62,505428.0
GET.PA,20180413,11.585,11.635,11.58,11.6,707215.0
GET.PA,20181204,11.75,11.825,11.725,11.725,480102.0
GET.PA,20181104,11.75,11.825,11.725,11.725,480102.0
GET.PA,20181004,11.75,11.825,11.725,11.725,480102.0
GET.PA,20180904,11.75,11.825,11.725,11.725,480102.0
GET.PA,20180604,11.75,11.825,11.725,11.725,480102.0
GET.PA,20180504,11.75,11.825,11.725,11.725,480102.0
GET.PA,20180404,11.545,11.545,11.29,11.32,931979.0
GET.PA,20180304,11.63,11.695,11.595,11.6,1146559.0
GET.PA,20180329,11.63,11.695,11.595,11.6,1146559.0
GET.PA,20180328,11.56,11.575,11.42,11.56,1081904.0
GET.PA,20180327,11.59,11.65,11.55,11.565,1085469.0
GET.PA,20180326,11.485,11.605,11.465,11.555,990012.0
GET.PA,20180323,11.58,11.59,11.45,11.49,1008021.0
GET.PA,20180322,11.6,11.655,11.55,11.59,1131686.0
GET.PA,20180321,11.64,11.685,11.605,11.605,933641.0
GET.PA,20180320,11.595,11.67,11.575,11.645,817472.0
GET.PA,20180319,11.66,11.69,11.46,11.6,863579.0
GET.PA,20180316,11.88,11.89,11.775,11.785,1879803.0
GET.PA,20180315,11.92,11.965,11.865,11.865,1005072.0
GET.PA,20180314,11.94,11.97,11.895,11.925,964771.0
GET.PA,20180313,12.025,12.045,11.86,11.945,899775.0
GET.PA,20181203,11.765,11.84,11.69,11.75,595654.0
GET.PA,20180903,11.765,11.84,11.69,11.75,595654.0
GET.PA,20180803,11.765,11.84,11.69,11.75,595654.0
GET.PA,20180703,11.765,11.84,11.69,11.75,595654.0
GET.PA,20180603,11.765,11.84,11.69,11.75,595654.0
GET.PA,20180503,11.765,11.84,11.69,11.75,595654.0
GET.PA,20180203,10.715,10.865,10.715,10.84,774701.0
GET.PA,20180103,10.715,10.865,10.715,10.84,774701.0
GET.PA,20180228,10.635,10.645,10.53,10.565,1286998.0
GET.PA,20180227,10.68,10.68,10.555,10.66,719181.0
GET.PA,20180226,10.535,10.67,10.535,10.65,892522.0
GET.PA,20180223,10.56,10.57,10.4,10.54,994127.0
GET.PA,20180222,10.54,10.675,10.505,10.57,2237292.0
GET.PA,20180221,10.63,10.755,10.11,10.55,2152101.0
GET.PA,20180220,10.58,10.69,10.55,10.635,1800925.0
GET.PA,20180219,10.8,10.845,10.705,10.75,680940.0
GET.PA,20180216,10.77,10.91,10.77,10.8,1081851.0
GET.PA,20180215,10.69,10.77,10.625,10.745,772639.0
GET.PA,20180214,10.525,10.715,10.335,10.625,1804086.0
GET.PA,20180213,10.565,10.6,10.48,10.51,1097483.0
GET.PA,20181202,11.745,11.875,11.48,11.77,1206121.0
GET.PA,20180902,11.745,11.875,11.48,11.77,1206121.0
GET.PA,20180802,11.745,11.875,11.48,11.77,1206121.0
GET.PA,20180702,11.745,11.875,11.48,11.77,1206121.0
GET.PA,20180602,11.745,11.875,11.48,11.77,1206121.0
GET.PA,20180502,11.745,11.875,11.48,11.77,1206121.0
