<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
BBVA.MC,20180518,6.7,6.706,6.546,6.58,32373083
BBVA.MC,20180517,6.64,6.708,6.61,6.707,21490061
BBVA.MC,20180516,6.708,6.743,6.558,6.62,26357238
BBVA.MC,20180515,6.828,6.855,6.669,6.729,23286596
BBVA.MC,20180514,6.845,6.886,6.796,6.833,11957980
BBVA.MC,20180511,6.852,6.885,6.838,6.854,10440243
BBVA.MC,20180510,6.82,6.852,6.789,6.852,11695143
BBVA.MC,20180509,6.768,6.81,6.735,6.806,13014601
BBVA.MC,20180508,6.791,6.817,6.73,6.756,14733147
BBVA.MC,20180507,6.77,6.812,6.753,6.788,13997103
BBVA.MC,20180504,6.68,6.752,6.63,6.742,15853284
BBVA.MC,20180503,6.76,6.76,6.638,6.666,21502091
BBVA.MC,20180502,6.718,6.782,6.718,6.765,13089722
BBVA.MC,20180430,6.684,6.745,6.682,6.73,23872692
BBVA.MC,20180427,6.595,6.74,6.58,6.687,34508389
BBVA.MC,20180426,6.544,6.59,6.5,6.542,12579185
BBVA.MC,20180425,6.538,6.553,6.473,6.553,17551473
BBVA.MC,20180424,6.593,6.593,6.514,6.582,24691187
BBVA.MC,20180423,6.592,6.593,6.541,6.582,21414269
BBVA.MC,20180420,6.521,6.585,6.501,6.578,31900287
BBVA.MC,20180419,6.476,6.538,6.476,6.518,22079534
BBVA.MC,20180418,6.411,6.513,6.383,6.492,106455603
BBVA.MC,20180417,6.432,6.485,6.402,6.402,138465664
BBVA.MC,20180416,6.408,6.452,6.395,6.415,46442816
BBVA.MC,20180413,6.353,6.498,6.338,6.41,46476461
BBVA.MC,20180412,6.347,6.372,6.315,6.329,101189760
BBVA.MC,20180411,6.405,6.431,6.34,6.348,151503776
BBVA.MC,20180410,6.48,6.495,6.408,6.421,127212639
BBVA.MC,20180409,6.4,6.467,6.381,6.431,100418612
BBVA.MC,20180406,6.35,6.408,6.324,6.346,67026659
BBVA.MC,20180405,6.427,6.549,6.42,6.51,51760732
BBVA.MC,20180404,6.364,6.373,6.245,6.35,188042877
BBVA.MC,20180403,6.38,6.419,6.322,6.366,278552550
BBVA.MC,20180329,6.36,6.485,6.354,6.429,152512915
BBVA.MC,20180328,6.222,6.342,6.209,6.342,27257271
BBVA.MC,20180327,6.368,6.37,6.257,6.289,55327520
BBVA.MC,20180326,6.3,6.319,6.225,6.261,57934122
BBVA.MC,20180323,6.333,6.382,6.254,6.274,33873856
BBVA.MC,20180322,6.501,6.595,6.375,6.445,40077092
BBVA.MC,20180321,6.635,6.661,6.5,6.531,26439075
BBVA.MC,20180320,6.573,6.617,6.549,6.597,27168959
BBVA.MC,20180319,6.629,6.652,6.527,6.553,16233600
BBVA.MC,20180316,6.557,6.678,6.524,6.651,49663059
BBVA.MC,20180315,6.585,6.604,6.505,6.528,20815734
BBVA.MC,20180314,6.67,6.697,6.552,6.57,19585295
BBVA.MC,20180313,6.674,6.764,6.647,6.67,20014352
BBVA.MC,20180312,6.691,6.7,6.643,6.674,23696540
BBVA.MC,20180309,6.668,6.702,6.637,6.646,15448901
BBVA.MC,20180308,6.657,6.717,6.618,6.652,18402445
BBVA.MC,20180307,6.632,6.649,6.6,6.63,15837388
BBVA.MC,20180306,6.668,6.764,6.647,6.65,19602466
BBVA.MC,20180305,6.607,6.673,6.571,6.61,20467163
BBVA.MC,20180302,6.75,6.75,6.64,6.642,28250550
BBVA.MC,20180301,6.851,6.88,6.78,6.79,30156640
BBVA.MC,20180228,6.91,6.94,6.871,6.89,21102558
BBVA.MC,20180227,6.981,6.998,6.922,6.95,14425654
BBVA.MC,20180226,6.945,6.96,6.9,6.959,15224216
BBVA.MC,20180223,6.967,6.968,6.89,6.91,21212909
BBVA.MC,20180222,6.93,6.978,6.852,6.97,26565691
BBVA.MC,20180221,7.012,7.03,6.936,6.97,14858037
BBVA.MC,20180220,7.011,7.071,6.975,7.026,16981677
BBVA.MC,20180219,7.085,7.117,7.022,7.022,10915409
BBVA.MC,20180216,7.057,7.077,6.974,7.059,24017531
BBVA.MC,20180215,7.06,7.14,6.968,6.993,18462918
BBVA.MC,20180214,7.061,7.077,6.915,6.968,33737532
BBVA.MC,20180213,7.102,7.124,6.984,6.998,25459770
