<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
ELE.MC,20180518,19.950001,20.0,19.76,19.969998999999998,1561202
ELE.MC,20180517,19.674999,19.92,19.65,19.92,1385098
ELE.MC,20180516,19.950001,19.98,19.525,19.65,2178663
ELE.MC,20180515,19.605,19.754998999999998,19.565001000000002,19.73,1115313
ELE.MC,20180514,19.549999,19.674999,19.525,19.610001,1597355
ELE.MC,20180511,19.48,19.549999,19.385,19.459999,1448721
ELE.MC,20180510,19.559998999999998,19.58,19.355,19.459999,2036822
ELE.MC,20180509,19.700001,19.76,19.450001,19.469998999999998,2217327
ELE.MC,20180508,19.77,19.950001,19.23,19.65,3524714
ELE.MC,20180507,19.68,19.74,19.584999,19.67,696697
ELE.MC,20180504,19.6,19.68,19.445,19.68,1225176
ELE.MC,20180503,19.6,19.745001000000002,19.504998999999998,19.540001,1179260
ELE.MC,20180502,19.299999,19.625,19.290001,19.625,1879866
ELE.MC,20180430,19.375,19.469998999999998,19.25,19.370001000000002,1295929
ELE.MC,20180427,19.299999,19.385,19.184998999999998,19.309998999999998,792539
ELE.MC,20180426,19.07,19.285,19.049999,19.275,1342888
ELE.MC,20180425,18.855,19.08,18.855,19.030001000000002,1301657
ELE.MC,20180424,18.91,19.110001,18.77,18.91,1415799
ELE.MC,20180423,18.834999,18.9,18.665001,18.879998999999998,1277583
ELE.MC,20180420,18.9,18.924999,18.68,18.809998999999998,1374356
ELE.MC,20180419,18.695,18.715,18.540001,18.605,1555229
ELE.MC,20180418,18.59,18.75,18.51,18.68,1437038
ELE.MC,20180417,18.415001,18.584999,18.299999,18.565001000000002,2992264
ELE.MC,20180416,18.5,18.535,18.23,18.325001,2338347
ELE.MC,20180413,18.014999,18.540001,17.945,18.49,3336969
ELE.MC,20180412,17.825001,18.035,17.620001000000002,18.035,2048648
ELE.MC,20180411,18.040001,18.040001,17.879998999999998,17.9,991827
ELE.MC,20180410,18.105,18.174999,17.855,18.030001000000002,1557463
ELE.MC,20180409,18.1,18.15,17.975,18.0,993963
ELE.MC,20180406,18.040001,18.094998999999998,17.885,17.99,1138440
ELE.MC,20180405,18.1,18.1,17.92,18.025,1304839
ELE.MC,20180404,17.9,17.985001,17.74,17.924999,1467451
