<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
ASURB.MX,20180518,331.690002,335.230011,325.25,329.179993,288205.0
ASURB.MX,20180517,336.299988,337.769989,331.910004,332.519989,327062.0
ASURB.MX,20180516,337.869995,339.0,333.01001,337.52999900000003,269774.0
ASURB.MX,20180515,329.589996,338.859985,328.0,337.290009,344862.0
ASURB.MX,20180514,329.27999900000003,333.709991,329.27999900000003,332.230011,996226.0
ASURB.MX,20180511,333.0,335.380005,325.940002,330.799988,197161.0
ASURB.MX,20180510,327.630005,333.0,325.98999,332.290009,223630.0
ASURB.MX,20180509,335.329987,336.0,325.519989,327.75,181897.0
ASURB.MX,20180508,322.589996,334.649994,322.549988,333.839996,337279.0
ASURB.MX,20180507,323.23999,327.47000099999997,321.0,322.23999,217244.0
ASURB.MX,20180504,326.399994,328.0,319.290009,324.049988,779092.0
ASURB.MX,20180503,332.980011,334.619995,326.410004,327.47000099999997,316734.0
ASURB.MX,20180502,336.190002,338.649994,332.649994,333.399994,321315.0
ASURB.MX,20180430,334.0,337.160004,332.619995,336.329987,547138.0
ASURB.MX,20180427,330.769989,335.649994,328.0,333.52999900000003,449598.0
ASURB.MX,20180426,330.299988,333.02999900000003,329.630005,331.350006,569588.0
ASURB.MX,20180425,329.929993,334.0,329.910004,332.140015,186503.0
ASURB.MX,20180424,334.0,336.869995,328.230011,329.929993,318537.0
ASURB.MX,20180423,325.570007,337.649994,323.0,333.47000099999997,323828.0
ASURB.MX,20180420,331.049988,331.049988,319.390015,326.450012,286569.0
ASURB.MX,20180419,326.640015,328.0,324.100006,327.119995,578702.0
ASURB.MX,20180418,326.700012,331.170013,325.119995,326.630005,614723.0
ASURB.MX,20180417,322.02999900000003,328.420013,321.5,327.47000099999997,580704.0
ASURB.MX,20180416,320.76001,323.670013,319.859985,322.019989,170491.0
ASURB.MX,20180413,315.799988,321.209991,313.790009,320.76001,260620.0
ASURB.MX,20180412,309.119995,315.97000099999997,307.0,315.320007,531705.0
ASURB.MX,20180411,311.070007,312.769989,308.600006,312.399994,337521.0
ASURB.MX,20180410,313.25,313.25,310.0,311.070007,327507.0
ASURB.MX,20180409,313.0,313.48999,308.959991,310.869995,269790.0
ASURB.MX,20180406,314.98999,314.98999,309.179993,310.190002,218648.0
ASURB.MX,20180405,312.0,313.619995,309.5,311.690002,868687.0
ASURB.MX,20180404,307.01001,311.679993,303.459991,309.359985,1006050.0
ASURB.MX,20180403,307.170013,309.5,305.670013,306.839996,560343.0
ASURB.MX,20180402,307.179993,310.160004,306.0,306.410004,308587.0
ASURB.MX,20180328,310.820007,310.820007,301.579987,306.420013,649718.0
ASURB.MX,20180327,311.559998,314.869995,309.540009,310.049988,382574.0
ASURB.MX,20180326,313.02999900000003,315.0,306.019989,313.910004,393200.0
ASURB.MX,20180323,326.98999,327.869995,311.0,311.959991,266652.0
ASURB.MX,20180322,320.380005,327.880005,319.850006,326.559998,322424.0
ASURB.MX,20180321,319.97000099999997,326.450012,318.179993,322.790009,569605.0
ASURB.MX,20180320,331.850006,332.170013,318.200012,319.97000099999997,579247.0
ASURB.MX,20180316,332.769989,336.890015,328.630005,330.200012,2115711.0
