<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
006060.KS (1),20180518,9100.0,9770.0,9100.0,9730.0,1172634.0
006060.KS (1),20180517,8810.0,9250.0,8810.0,9150.0,709213.0
006060.KS (1),20180516,8640.0,8920.0,8290.0,8780.0,485405.0
006060.KS (1),20180515,8880.0,8930.0,8710.0,8830.0,122713.0
006060.KS (1),20180514,8830.0,9050.0,8760.0,8800.0,395662.0
006060.KS (1),20180511,8520.0,8810.0,8450.0,8790.0,158053.0
006060.KS (1),20180510,8550.0,8670.0,8450.0,8520.0,228089.0
006060.KS (1),20180509,8100.0,8670.0,7950.0,8620.0,378503.0
006060.KS (1),20180508,8210.0,8380.0,8120.0,8140.0,215395.0
006060.KS (1),20180504,8490.0,8570.0,8150.0,8200.0,290032.0
006060.KS (1),20180503,8330.0,8570.0,8330.0,8550.0,213019.0
006060.KS (1),20180502,8560.0,8580.0,8380.0,8440.0,337325.0
006060.KS (1),20180430,8710.0,8760.0,8500.0,8550.0,212174.0
006060.KS (1),20180427,8530.0,8910.0,8530.0,8760.0,328363.0
006060.KS (1),20180426,8590.0,8650.0,8480.0,8530.0,120640.0
006060.KS (1),20180425,8510.0,8810.0,8510.0,8600.0,230418.0
006060.KS (1),20180424,8880.0,8880.0,8290.0,8680.0,379416.0
006060.KS (1),20180423,8920.0,8920.0,8720.0,8800.0,180400.0
006060.KS (1),20180420,8700.0,8930.0,8700.0,8820.0,270707.0
006060.KS (1),20180419,8650.0,8840.0,8410.0,8760.0,377487.0
006060.KS (1),20180418,8430.0,8900.0,8430.0,8700.0,788829.0
006060.KS (1),20180417,8150.0,8400.0,8000.0,8340.0,362716.0
006060.KS (1),20180416,7930.0,8150.0,7910.0,8110.0,236447.0
006060.KS (1),20180413,8040.0,8090.0,7940.0,7950.0,205207.0
006060.KS (1),20180412,8050.0,8090.0,7960.0,8050.0,156144.0
006060.KS (1),20180411,7960.0,8140.0,7950.0,8050.0,196645.0
006060.KS (1),20180410,8100.0,8100.0,7880.0,7970.0,277304.0
006060.KS (1),20180409,8100.0,8220.0,8050.0,8080.0,166034.0
006060.KS (1),20180406,8080.0,8330.0,8070.0,8130.0,205200.0
006060.KS (1),20180405,8130.0,8250.0,8090.0,8120.0,131425.0
006060.KS (1),20180404,8360.0,8370.0,8050.0,8090.0,236357.0
006060.KS (1),20180403,8280.0,8380.0,8170.0,8380.0,265288.0
006060.KS (1),20180402,8490.0,8520.0,8260.0,8300.0,141822.0
006060.KS (1),20180330,8400.0,8530.0,8380.0,8490.0,103067.0
006060.KS (1),20180329,8400.0,8550.0,8260.0,8400.0,211223.0
006060.KS (1),20180328,8340.0,8390.0,8240.0,8260.0,213370.0
006060.KS (1),20180327,8360.0,8450.0,8280.0,8390.0,227730.0
006060.KS (1),20180326,8290.0,8390.0,8040.0,8350.0,290521.0
006060.KS (1),20180323,8680.0,8690.0,8270.0,8360.0,571506.0
006060.KS (1),20180322,8990.0,8990.0,8680.0,8740.0,260102.0
006060.KS (1),20180321,9120.0,9300.0,8830.0,8910.0,496711.0
006060.KS (1),20180320,9090.0,9290.0,8970.0,9070.0,498371.0
006060.KS (1),20180319,9160.0,9170.0,8890.0,9090.0,306404.0
006060.KS (1),20180316,9240.0,9280.0,9010.0,9160.0,1331875.0
006060.KS (1),20180315,8700.0,9250.0,8700.0,9220.0,1129897.0
006060.KS (1),20180314,8870.0,8930.0,8660.0,8660.0,655435.0
006060.KS (1),20180313,8980.0,9180.0,8880.0,9000.0,596143.0
006060.KS (1),20180312,9020.0,9060.0,8850.0,9000.0,473148.0
006060.KS (1),20180309,9110.0,9160.0,8830.0,9000.0,547099.0
006060.KS (1),20180308,9130.0,9140.0,8990.0,9110.0,192068.0
006060.KS (1),20180307,9060.0,9140.0,8900.0,9010.0,196054.0
006060.KS (1),20180306,9190.0,9200.0,8990.0,9060.0,239397.0
006060.KS (1),20180305,9240.0,9250.0,9030.0,9160.0,243016.0
006060.KS (1),20180302,8840.0,9240.0,8750.0,9200.0,551150.0
006060.KS (1),20180228,8820.0,8950.0,8720.0,8900.0,335230.0
006060.KS (1),20180227,8870.0,8920.0,8740.0,8880.0,224757.0
006060.KS (1),20180226,9020.0,9060.0,8790.0,8850.0,227331.0
006060.KS (1),20180223,8870.0,8990.0,8840.0,8980.0,115861.0
006060.KS (1),20180222,8850.0,8970.0,8830.0,8870.0,104580.0
006060.KS (1),20180221,8870.0,9020.0,8850.0,8930.0,136234.0
006060.KS (1),20180220,9000.0,9080.0,8820.0,8930.0,188389.0
006060.KS (1),20180219,8700.0,9100.0,8640.0,9050.0,431743.0
006060.KS (1),20180214,8860.0,8860.0,8560.0,8570.0,421965.0
006060.KS (1),20180213,8810.0,8920.0,8700.0,8840.0,225090.0
006060.KS (1),20180212,8770.0,8910.0,8670.0,8780.0,165326.0
006060.KS (1),20180209,8670.0,8830.0,8500.0,8730.0,371538.0
006060.KS (1),20180208,8750.0,9000.0,8710.0,8890.0,311230.0
006060.KS (1),20180207,9200.0,9210.0,8670.0,8670.0,474602.0
006060.KS (1),20180206,8550.0,9150.0,8450.0,9080.0,630624.0
006060.KS (1),20180205,9350.0,9500.0,9130.0,9130.0,534034.0
006060.KS (1),20180202,9910.0,9980.0,9480.0,9540.0,673299.0
006060.KS (1),20180201,9790.0,10000.0,9670.0,9900.0,460176.0
006060.KS (1),20180131,10000.0,10150.0,9650.0,9700.0,638192.0
006060.KS (1),20180130,10500.0,10650.0,10000.0,10200.0,655712.0
006060.KS (1),20180129,10650.0,10700.0,10350.0,10500.0,488296.0
006060.KS (1),20180126,10550.0,10750.0,10450.0,10600.0,451228.0
006060.KS (1),20180125,10450.0,10650.0,10300.0,10450.0,643763.0
006060.KS (1),20180124,10550.0,10600.0,10150.0,10500.0,624756.0
006060.KS (1),20180123,10150.0,10750.0,10050.0,10450.0,1965449.0
006060.KS (1),20180122,9530.0,10150.0,9520.0,10100.0,736758.0
006060.KS (1),20180119,9650.0,9700.0,9500.0,9500.0,341491.0
006060.KS (1),20180118,9620.0,9700.0,9500.0,9670.0,203320.0
006060.KS (1),20180117,9540.0,9620.0,9340.0,9620.0,301882.0
006060.KS (1),20180116,9490.0,9540.0,9290.0,9470.0,280382.0
006060.KS (1),20180115,9310.0,9570.0,9310.0,9490.0,213071.0
006060.KS (1),20180112,9470.0,9470.0,9310.0,9450.0,170505.0
006060.KS (1),20180111,9380.0,9470.0,9310.0,9430.0,266509.0
006060.KS (1),20180110,9770.0,9770.0,9180.0,9400.0,547993.0
006060.KS (1),20180109,9620.0,9800.0,9540.0,9630.0,236906.0
006060.KS (1),20180108,9860.0,9870.0,9590.0,9620.0,405484.0
006060.KS (1),20180105,9750.0,9880.0,9740.0,9860.0,199140.0
006060.KS (1),20180104,9800.0,10000.0,9710.0,9760.0,825192.0
006060.KS (1),20180103,10300.0,10400.0,9810.0,9900.0,761955.0
006060.KS (1),20180102,10300.0,10550.0,10100.0,10300.0,330654.0
006060.KS (1),20171228,10300.0,10350.0,10100.0,10250.0,182669.0
006060.KS (1),20171227,9920.0,10300.0,9920.0,10300.0,732436.0
006060.KS (1),20171226,10300.0,10300.0,9730.0,9810.0,894092.0
006060.KS (1),20171222,9820.0,10350.0,9780.0,10200.0,1159865.0
006060.KS (1),20171221,10000.0,10050.0,9790.0,9870.0,164422.0
006060.KS (1),20171219,10300.0,10300.0,9730.0,9910.0,476956.0
006060.KS (1),20171218,10500.0,10550.0,10150.0,10300.0,238984.0
006060.KS (1),20171215,10150.0,10650.0,9930.0,10500.0,1072562.0
006060.KS (1),20171214,10300.0,10500.0,10050.0,10100.0,340808.0
006060.KS (1),20171213,10400.0,10450.0,10200.0,10400.0,231888.0
006060.KS (1),20171212,10650.0,10650.0,10050.0,10350.0,484014.0
006060.KS (1),20171211,10400.0,10650.0,10100.0,10650.0,279113.0
006060.KS (1),20171208,10450.0,10550.0,10000.0,10350.0,432284.0
006060.KS (1),20171207,10450.0,10500.0,10200.0,10450.0,277033.0
006060.KS (1),20171206,11000.0,11050.0,10350.0,10350.0,456071.0
006060.KS (1),20171205,10700.0,10950.0,10450.0,10950.0,398710.0
006060.KS (1),20171204,10950.0,11050.0,10450.0,10750.0,319807.0
006060.KS (1),20171201,10650.0,11050.0,10650.0,10950.0,404210.0
006060.KS (1),20171130,11000.0,11150.0,10550.0,10550.0,378604.0
006060.KS (1),20171129,11350.0,11450.0,10700.0,11000.0,575423.0
006060.KS (1),20171128,11300.0,11450.0,11000.0,11350.0,370303.0
006060.KS (1),20171127,11300.0,11400.0,11000.0,11250.0,457126.0
006060.KS (1),20171124,11550.0,11550.0,11000.0,11500.0,484733.0
006060.KS (1),20171123,11350.0,11700.0,11200.0,11500.0,642322.0
