<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
073240.KS,20180518,6110.0,6110.0,5970.0,6060.0,780536.0
073240.KS,20180517,5890.0,6170.0,5870.0,6060.0,1715380.0
073240.KS,20180516,5920.0,5970.0,5850.0,5890.0,1143987.0
073240.KS,20180515,5940.0,6020.0,5900.0,5980.0,876616.0
073240.KS,20180514,6110.0,6120.0,5930.0,5960.0,1181781.0
073240.KS,20180511,6040.0,6170.0,6040.0,6110.0,924857.0
073240.KS,20180510,5940.0,6080.0,5880.0,6080.0,1130590.0
073240.KS,20180509,5810.0,5960.0,5740.0,5940.0,1143103.0
073240.KS,20180508,6000.0,6030.0,5780.0,5820.0,1952883.0
073240.KS,20180504,6080.0,6210.0,5990.0,6020.0,2130748.0
073240.KS,20180503,6290.0,6290.0,6130.0,6170.0,1478192.0
073240.KS,20180502,6220.0,6310.0,6140.0,6260.0,2737110.0
073240.KS,20180430,6220.0,6240.0,6020.0,6220.0,2505140.0
073240.KS,20180427,6110.0,6320.0,6110.0,6180.0,2477964.0
073240.KS,20180426,6100.0,6270.0,6050.0,6150.0,1957334.0
073240.KS,20180425,6170.0,6260.0,6070.0,6100.0,1891469.0
073240.KS,20180424,6050.0,6300.0,6050.0,6180.0,3223187.0
073240.KS,20180423,6030.0,6100.0,5860.0,6040.0,2578627.0
073240.KS,20180420,6060.0,6200.0,6030.0,6090.0,1886506.0
073240.KS,20180419,6270.0,6270.0,6060.0,6090.0,2480754.0
073240.KS,20180418,6220.0,6330.0,6160.0,6290.0,2497164.0
073240.KS,20180417,6470.0,6470.0,6250.0,6270.0,2134731.0
073240.KS,20180416,6340.0,6510.0,6300.0,6420.0,2658281.0
073240.KS,20180413,6150.0,6690.0,6030.0,6370.0,9344590.0
073240.KS,20180412,6250.0,6300.0,6040.0,6120.0,4679173.0
073240.KS,20180411,6530.0,6540.0,6290.0,6340.0,4068346.0
073240.KS,20180410,6480.0,6560.0,6170.0,6470.0,7358931.0
073240.KS,20180409,6790.0,7050.0,6500.0,6630.0,7209039.0
073240.KS,20180406,7040.0,7100.0,6530.0,6590.0,9204715.0
073240.KS,20180405,7680.0,7760.0,6930.0,7140.0,14899172.0
073240.KS,20180404,7790.0,8250.0,7420.0,7780.0,28597490.0
073240.KS,20180403,7240.0,7780.0,6700.0,7780.0,45131601.0
073240.KS,20180402,5990.0,5990.0,5990.0,5990.0,1116449.0
073240.KS,20180330,3460.0,4615.0,3345.0,4615.0,41733612.0
073240.KS,20180329,3950.0,4005.0,3460.0,3550.0,11391282.0
073240.KS,20180328,4610.0,4775.0,3760.0,4050.0,12376729.0
073240.KS,20180327,5000.0,5070.0,4800.0,4820.0,5761705.0
073240.KS,20180326,4525.0,5120.0,4525.0,4930.0,6324473.0
073240.KS,20180323,5010.0,5210.0,4615.0,4810.0,5791797.0
