<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
192530.KS,20180504,11150.0,11300.0,11100.0,11200.0,88192
192530.KS,20180503,11200.0,11350.0,11150.0,11150.0,59184
192530.KS,20180502,11200.0,11250.0,11100.0,11200.0,48035
192530.KS,20180430,11200.0,11250.0,11150.0,11200.0,43835
192530.KS,20180427,11300.0,11350.0,11100.0,11150.0,50776
192530.KS,20180426,11300.0,11300.0,11150.0,11200.0,26892
192530.KS,20180425,11450.0,11450.0,11150.0,11200.0,44482
192530.KS,20180424,11350.0,11450.0,11250.0,11450.0,42164
192530.KS,20180423,11250.0,11350.0,11100.0,11350.0,67089
192530.KS,20180420,11150.0,11150.0,11000.0,11100.0,39559
192530.KS,20180419,11050.0,11150.0,10950.0,11150.0,57109
192530.KS,20180418,11100.0,11100.0,10950.0,11000.0,42070
192530.KS,20180417,11000.0,11100.0,10950.0,11000.0,55709
192530.KS,20180416,11100.0,11100.0,10850.0,11000.0,34905
192530.KS,20180413,10900.0,11150.0,10850.0,11050.0,58132
192530.KS,20180412,10900.0,10950.0,10750.0,10950.0,73689
192530.KS,20180411,10900.0,10950.0,10650.0,10900.0,68595
192530.KS,20180410,10700.0,10900.0,10650.0,10900.0,19248
192530.KS,20180409,10900.0,10900.0,10650.0,10800.0,84286
192530.KS,20180406,10850.0,11000.0,10650.0,10950.0,57597
192530.KS,20180405,10900.0,10900.0,10650.0,10800.0,58924
192530.KS,20180404,11050.0,11050.0,10800.0,10800.0,57390
192530.KS,20180403,11050.0,11100.0,10950.0,11050.0,50191
192530.KS,20180402,11400.0,11400.0,11050.0,11150.0,27322
192530.KS,20180330,10950.0,11450.0,10900.0,11400.0,60397
192530.KS,20180329,11050.0,11050.0,10750.0,10900.0,46460
192530.KS,20180328,11300.0,11300.0,10950.0,11000.0,201187
192530.KS,20180327,11350.0,11350.0,11200.0,11350.0,34054
192530.KS,20180326,11300.0,11450.0,11100.0,11250.0,92287
192530.KS,20180323,11500.0,11500.0,11200.0,11350.0,115463
192530.KS,20180322,11550.0,11700.0,11500.0,11550.0,35047
192530.KS,20180321,11650.0,11650.0,11450.0,11500.0,30787
192530.KS,20180320,11600.0,11650.0,11400.0,11650.0,33867
192530.KS,20180319,11700.0,11700.0,11500.0,11550.0,27695
192530.KS,20180316,11550.0,11700.0,11550.0,11700.0,42337
192530.KS,20180315,11500.0,11650.0,11400.0,11650.0,38960
192530.KS,20180314,11650.0,11650.0,11450.0,11500.0,78186
192530.KS,20180313,11950.0,12000.0,11700.0,11750.0,58519
192530.KS,20180312,11700.0,12050.0,11550.0,12050.0,113018
192530.KS,20180309,11450.0,11700.0,11350.0,11700.0,97743
192530.KS,20180308,11550.0,11600.0,11400.0,11450.0,52749
192530.KS,20180307,11600.0,11650.0,11450.0,11500.0,84157
192530.KS,20180306,11800.0,11900.0,11500.0,11550.0,125666
192530.KS,20180305,12100.0,12100.0,11700.0,11700.0,130560
192530.KS,20180302,12300.0,12350.0,12050.0,12100.0,98544
192530.KS,20180228,12350.0,12400.0,12150.0,12400.0,78673
192530.KS,20180227,12600.0,12650.0,12300.0,12350.0,50440
192530.KS,20180226,12600.0,12750.0,12450.0,12600.0,31626
192530.KS,20180223,12350.0,12700.0,12350.0,12600.0,99519
192530.KS,20180222,12400.0,12550.0,12350.0,12350.0,60071
192530.KS,20180221,12500.0,12500.0,12350.0,12400.0,37326
192530.KS,20180220,12650.0,12700.0,12450.0,12550.0,21614
192530.KS,20180219,12550.0,12650.0,12350.0,12650.0,48932
192530.KS,20180214,12450.0,12550.0,12250.0,12350.0,62328
192530.KS,20180213,12550.0,12550.0,12400.0,12450.0,54655
192530.KS,20180212,12200.0,12400.0,12200.0,12400.0,67769
192530.KS,20180209,12450.0,12450.0,11950.0,12200.0,151508
192530.KS,20180208,12500.0,12700.0,12350.0,12550.0,90960
192530.KS,20180207,12850.0,12850.0,12400.0,12400.0,129340
192530.KS,20180206,12900.0,12900.0,12350.0,12700.0,154979
192530.KS,20180205,12850.0,13200.0,12750.0,13100.0,115344
192530.KS,20180202,13000.0,13050.0,12750.0,13000.0,122614
192530.KS,20180201,12750.0,13150.0,12750.0,13050.0,65093
192530.KS,20180131,12800.0,12950.0,12650.0,12750.0,140165
192530.KS,20180130,12650.0,12850.0,12600.0,12800.0,78074
192530.KS,20180129,12950.0,12950.0,12750.0,12750.0,71712
192530.KS,20180126,12600.0,12950.0,12550.0,12800.0,127742
192530.KS,20180125,12500.0,12600.0,12450.0,12600.0,61741
192530.KS,20180124,12400.0,12550.0,12400.0,12550.0,59310
192530.KS,20180123,12200.0,12500.0,12200.0,12500.0,57774
192530.KS,20180122,12250.0,12300.0,12150.0,12300.0,45716
192530.KS,20180119,12150.0,12300.0,12050.0,12250.0,76806
192530.KS,20180118,12150.0,12150.0,12050.0,12150.0,62507
192530.KS,20180117,12150.0,12200.0,12000.0,12150.0,46616
192530.KS,20180116,12300.0,12300.0,12050.0,12200.0,46957
192530.KS,20180115,11950.0,12300.0,11900.0,12200.0,127101
192530.KS,20180112,12000.0,12050.0,11900.0,12000.0,74102
192530.KS,20180111,12000.0,12000.0,11900.0,11950.0,48703
192530.KS,20180110,11950.0,12050.0,11850.0,11950.0,127746
192530.KS,20180109,12000.0,12050.0,11900.0,11950.0,49970
192530.KS,20180108,11950.0,12000.0,11800.0,11950.0,85496
192530.KS,20180105,12050.0,12050.0,11800.0,11950.0,76532
192530.KS,20180104,11850.0,12000.0,11750.0,11950.0,140247
192530.KS,20180103,11950.0,12000.0,11750.0,11800.0,112623
192530.KS,20180102,12000.0,12050.0,11750.0,12000.0,61549
192530.KS,20171228,12000.0,12100.0,11900.0,12000.0,54187
192530.KS,20171227,12100.0,12100.0,11950.0,12050.0,66876
192530.KS,20171226,12250.0,12300.0,12000.0,12150.0,57757
192530.KS,20171222,11900.0,12300.0,11750.0,12250.0,217410
192530.KS,20171221,11800.0,11950.0,11700.0,11800.0,83811
192530.KS,20171219,11900.0,11950.0,11750.0,11800.0,64727
192530.KS,20171218,11950.0,12100.0,11850.0,11850.0,61361
