<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KMD.NZ,20180503,2.67,2.69,2.65,2.69,1125989.0
KMD.NZ,20180502,2.65,2.68,2.63,2.66,85941.0
KMD.NZ,20180501,2.62,2.7,2.62,2.66,249750.0
KMD.NZ,20180430,2.63,2.63,2.6,2.61,110133.0
KMD.NZ,20180429,2.59,2.63,2.57,2.63,220036.0
KMD.NZ,20180426,2.55,2.6,2.55,2.6,178749.0
KMD.NZ,20180425,2.51,2.59,2.47,2.53,163048.0
KMD.NZ,20180423,2.52,2.55,2.51,2.51,198001.0
KMD.NZ,20180422,2.45,2.53,2.45,2.52,262138.0
KMD.NZ,20180419,2.52,2.52,2.5,2.51,71182.0
KMD.NZ,20180418,2.5,2.53,2.49,2.52,1509839.0
KMD.NZ,20180417,2.56,2.56,2.49,2.54,73628.0
KMD.NZ,20180416,2.59,2.61,2.55,2.56,221532.0
KMD.NZ,20180415,2.59,2.59,2.57,2.59,940318.0
KMD.NZ,20180412,2.58,2.6,2.55,2.6,165304.0
KMD.NZ,20180411,2.55,2.6,2.55,2.58,47449.0
KMD.NZ,20180410,2.55,2.6,2.55,2.6,82665.0
KMD.NZ,20180409,2.56,2.58,2.55,2.57,594223.0
KMD.NZ,20180408,2.53,2.57,2.53,2.57,75324.0
KMD.NZ,20180405,2.5,2.54,2.47,2.54,407867.0
KMD.NZ,20180404,2.44,2.5,2.44,2.5,60605.0
KMD.NZ,20180403,2.42,2.44,2.4,2.43,319372.0
KMD.NZ,20180402,2.39,2.44,2.39,2.43,155155.0
KMD.NZ,20180328,2.43,2.43,2.4,2.42,212991.0
KMD.NZ,20180327,2.42,2.44,2.39,2.42,624537.0
KMD.NZ,20180326,2.43,2.47,2.42,2.45,1151626.0
KMD.NZ,20180325,2.43,2.44,2.36,2.41,490915.0
KMD.NZ,20180322,2.46,2.46,2.42,2.44,68668.0
KMD.NZ,20180321,2.46,2.5,2.45,2.47,696154.0
KMD.NZ,20180320,2.35,2.47,2.3,2.47,2797583.0
KMD.NZ,20180319,2.36,2.36,2.36,2.36,0.0
KMD.NZ,20180318,2.36,2.36,2.36,2.36,0.0
KMD.NZ,20180315,2.3,2.36,2.3,2.36,807176.0
KMD.NZ,20180314,2.29,2.35,2.29,2.32,867396.0
KMD.NZ,20180313,2.35,2.35,2.29,2.29,253603.0
KMD.NZ,20180312,2.35,2.37,2.35,2.35,228632.0
KMD.NZ,20180311,2.35,2.35,2.3,2.33,39948.0
KMD.NZ,20180308,2.29,2.31,2.27,2.28,290840.0
KMD.NZ,20180307,2.27,2.29,2.26,2.26,22207.0
KMD.NZ,20180306,2.23,2.28,2.23,2.28,44582.0
KMD.NZ,20180305,2.2,2.23,2.2,2.22,118414.0
KMD.NZ,20180304,2.18,2.22,2.16,2.2,41648.0
KMD.NZ,20180301,2.17,2.2,2.06,2.2,142255.0
KMD.NZ,20180228,2.25,2.25,2.2,2.2,53618.0
KMD.NZ,20180227,2.24,2.25,2.24,2.25,86263.0
KMD.NZ,20180226,2.28,2.28,2.2,2.2,8561.0
KMD.NZ,20180225,2.25,2.28,2.25,2.25,45888.0
KMD.NZ,20180222,2.26,2.27,2.21,2.26,884700.0
KMD.NZ,20180221,2.34,2.34,2.27,2.27,359431.0
KMD.NZ,20180220,2.31,2.31,2.29,2.29,8533.0
KMD.NZ,20180219,2.33,2.33,2.28,2.28,14605.0
KMD.NZ,20180218,2.32,2.33,2.31,2.32,26108.0
KMD.NZ,20180215,2.34,2.36,2.33,2.33,30683.0
KMD.NZ,20180214,2.35,2.4,2.33,2.33,127463.0
KMD.NZ,20180213,2.28,2.35,2.28,2.34,69648.0
KMD.NZ,20180212,2.37,2.37,2.31,2.31,57381.0
KMD.NZ,20180211,2.35,2.35,2.27,2.3,154277.0
KMD.NZ,20180208,2.3,2.35,2.26,2.35,118028.0
KMD.NZ,20180207,2.35,2.35,2.31,2.32,79867.0
KMD.NZ,20180206,2.3,2.35,2.29,2.32,56447.0
KMD.NZ,20180204,2.38,2.38,2.31,2.31,14007.0
KMD.NZ,20180201,2.48,2.49,2.4,2.4,35325.0
KMD.NZ,20180131,2.44,2.44,2.42,2.44,284220.0
KMD.NZ,20180130,2.4,2.43,2.4,2.43,93486.0
KMD.NZ,20180129,2.44,2.47,2.44,2.46,93446.0
KMD.NZ,20180128,2.37,2.45,2.37,2.44,93316.0
KMD.NZ,20180125,2.4,2.4,2.38,2.38,10742.0
KMD.NZ,20180124,2.41,2.41,2.38,2.39,80789.0
KMD.NZ,20180123,2.39,2.45,2.39,2.41,139777.0
KMD.NZ,20180122,2.35,2.39,2.35,2.39,26743.0
KMD.NZ,20180121,2.37,2.39,2.35,2.35,27385.0
KMD.NZ,20180118,2.38,2.39,2.37,2.38,16213.0
KMD.NZ,20180117,2.37,2.38,2.36,2.38,66006.0
KMD.NZ,20180116,2.35,2.35,2.3,2.31,68121.0
KMD.NZ,20180115,2.4,2.41,2.35,2.38,138038.0
KMD.NZ,20180114,2.36,2.37,2.34,2.35,28038.0
KMD.NZ,20180111,2.4,2.41,2.37,2.37,14845.0
KMD.NZ,20180110,2.39,2.39,2.37,2.39,48152.0
KMD.NZ,20180109,2.4,2.41,2.38,2.39,42008.0
KMD.NZ,20180108,2.41,2.42,2.4,2.42,19933.0
KMD.NZ,20180107,2.44,2.45,2.42,2.42,123049.0
KMD.NZ,20180104,2.4,2.43,2.4,2.43,99727.0
KMD.NZ,20180103,2.4,2.4,2.37,2.4,22790.0
KMD.NZ,20180102,2.42,2.42,2.4,2.41,33922.0
KMD.NZ,20171228,2.42,2.43,2.42,2.43,6375.0
KMD.NZ,20171227,2.42,2.42,2.41,2.41,22653.0
KMD.NZ,20171226,2.36,2.43,2.36,2.4,35764.0
KMD.NZ,20171221,2.36,2.44,2.36,2.4,216034.0
KMD.NZ,20171220,2.39,2.39,2.37,2.37,17674.0
KMD.NZ,20171219,2.43,2.43,2.38,2.42,16398.0
KMD.NZ,20171218,2.38,2.43,2.37,2.42,322172.0
KMD.NZ,20171217,2.37,2.4,2.37,2.39,113908.0
KMD.NZ,20171214,2.36,2.39,2.3,2.39,238544.0
KMD.NZ,20171213,2.35,2.36,2.31,2.36,311109.0
KMD.NZ,20171212,2.31,2.35,2.31,2.35,14939.0
KMD.NZ,20171211,2.34,2.35,2.3,2.34,263278.0
KMD.NZ,20171210,2.3,2.34,2.3,2.34,138936.0
KMD.NZ,20171207,2.34,2.36,2.32,2.36,38571.0
KMD.NZ,20171206,2.38,2.38,2.29,2.34,45043.0
KMD.NZ,20171205,2.4,2.41,2.39,2.39,85914.0
KMD.NZ,20171204,2.45,2.45,2.4,2.4,124636.0
KMD.NZ,20171203,2.47,2.5,2.45,2.45,29986.0
KMD.NZ,20171130,2.45,2.46,2.44,2.45,157222.0
KMD.NZ,20171129,2.42,2.45,2.41,2.45,397654.0
KMD.NZ,20171128,2.42,2.45,2.42,2.42,71637.0
KMD.NZ,20171127,2.45,2.45,2.4,2.42,54625.0
KMD.NZ,20171126,2.47,2.48,2.46,2.47,148173.0
KMD.NZ,20171123,2.41,2.5,2.41,2.49,90365.0
KMD.NZ,20171122,2.48,2.48,2.42,2.42,276522.0
KMD.NZ,20171121,2.48,2.49,2.45,2.49,121289.0
KMD.NZ,20171120,2.59,2.59,2.48,2.48,382929.0
KMD.NZ,20171119,2.44,2.62,2.44,2.6,278289.0
KMD.NZ,20171116,2.44,2.47,2.38,2.47,103636.0
KMD.NZ,20171115,2.38,2.45,2.37,2.44,335916.0
KMD.NZ,20171114,2.34,2.39,2.33,2.38,91932.0
KMD.NZ,20171113,2.32,2.33,2.3,2.33,100974.0
KMD.NZ,20171112,2.35,2.35,2.29,2.32,101534.0
KMD.NZ,20171109,2.38,2.39,2.32,2.36,155343.0
KMD.NZ,20171108,2.38,2.39,2.38,2.39,28369.0
KMD.NZ,20171107,2.38,2.38,2.35,2.38,282609.0
KMD.NZ,20171106,2.37,2.39,2.37,2.38,44089.0
KMD.NZ,20171105,2.38,2.38,2.38,2.38,153946.0
KMD.NZ,20171102,2.39,2.39,2.36,2.38,46543.0
KMD.NZ,20171101,2.39,2.41,2.38,2.39,546773.0
KMD.NZ,20171031,2.4,2.4,2.39,2.39,179829.0
KMD.NZ,20171030,2.41,2.41,2.38,2.4,536365.0
KMD.NZ,20171029,2.39,2.41,2.39,2.4,979681.0
KMD.NZ,20171026,2.42,2.42,2.4,2.4,444448.0
KMD.NZ,20171025,2.42,2.42,2.41,2.42,229029.0
KMD.NZ,20171024,2.4,2.43,2.4,2.41,1005705.0
KMD.NZ,20171023,2.4,2.44,2.4,2.42,238336.0
KMD.NZ,20171019,2.38,2.4,2.38,2.4,102034.0
KMD.NZ,20171018,2.42,2.43,2.4,2.4,147750.0
KMD.NZ,20171017,2.42,2.43,2.42,2.42,307411.0
KMD.NZ,20171016,2.43,2.43,2.38,2.43,113026.0
KMD.NZ,20171015,2.39,2.43,2.39,2.43,684485.0
KMD.NZ,20171012,2.4,2.41,2.4,2.4,177643.0
KMD.NZ,20171011,2.4,2.41,2.39,2.39,6693.0
KMD.NZ,20171010,2.41,2.41,2.39,2.41,88168.0
KMD.NZ,20171009,2.38,2.41,2.38,2.41,439514.0
KMD.NZ,20171008,2.38,2.39,2.37,2.37,153623.0
KMD.NZ,20171005,2.36,2.39,2.36,2.38,224086.0
KMD.NZ,20171004,2.4,2.41,2.36,2.39,776463.0
KMD.NZ,20171003,2.36,2.41,2.36,2.383,155281.0
KMD.NZ,20171002,2.39,2.4,2.31,2.36,170343.0
KMD.NZ,20171001,2.37,2.38,2.34,2.37,200887.0
KMD.NZ,20170928,2.31,2.37,2.31,2.36,240045.0
KMD.NZ,20170927,2.33,2.33,2.31,2.33,387782.0
KMD.NZ,20170926,2.24,2.33,2.24,2.29,394465.0
KMD.NZ,20170925,2.17,2.3,2.17,2.24,81374.0
KMD.NZ,20170924,2.13,2.15,2.13,2.14,67422.0
KMD.NZ,20170921,2.14,2.14,2.11,2.13,147495.0
KMD.NZ,20170920,2.12,2.15,2.11,2.14,309664.0
KMD.NZ,20170919,2.15,2.17,2.14,2.15,535901.0
KMD.NZ,20170918,2.11,2.17,2.11,2.16,333574.0
KMD.NZ,20170917,2.16,2.16,2.11,2.11,62235.0
KMD.NZ,20170914,2.2,2.2,2.12,2.15,288929.0
KMD.NZ,20170913,2.1,2.2,2.1,2.2,96556.0
KMD.NZ,20170912,2.22,2.22,2.09,2.15,60351.0
KMD.NZ,20170911,2.24,2.24,2.2,2.207,15560.0
KMD.NZ,20170910,2.24,2.26,2.24,2.25,15551.0
KMD.NZ,20170907,2.23,2.27,2.23,2.27,33913.0
KMD.NZ,20170906,2.24,2.26,2.23,2.23,17327.0
KMD.NZ,20170905,2.24,2.26,2.24,2.26,204006.0
KMD.NZ,20170904,2.26,2.3,2.25,2.26,247634.0
KMD.NZ,20170903,2.32,2.35,2.3,2.3,23159.0
KMD.NZ,20170831,2.31,2.35,2.31,2.32,370771.0
KMD.NZ,20170830,2.28,2.32,2.27,2.32,258598.0
KMD.NZ,20170829,2.31,2.32,2.27,2.29,11690.0
KMD.NZ,20170828,2.32,2.32,2.31,2.32,291012.0
KMD.NZ,20170827,2.33,2.34,2.32,2.32,46824.0
KMD.NZ,20170824,2.35,2.35,2.34,2.34,351204.0
KMD.NZ,20170823,2.3,2.34,2.3,2.34,95847.0
KMD.NZ,20170822,2.37,2.38,2.31,2.31,147348.0
KMD.NZ,20170821,2.34,2.37,2.33,2.36,58801.0
KMD.NZ,20170820,2.34,2.36,2.32,2.34,116174.0
KMD.NZ,20170817,2.31,2.34,2.31,2.34,189928.0
KMD.NZ,20170816,2.3,2.33,2.3,2.33,536306.0
KMD.NZ,20170815,2.26,2.29,2.26,2.29,174936.0
KMD.NZ,20170814,2.24,2.25,2.23,2.25,792710.0
KMD.NZ,20170813,2.23,2.26,2.23,2.25,70960.0
KMD.NZ,20170810,2.23,2.23,2.23,2.23,1913.0
KMD.NZ,20170809,2.24,2.25,2.23,2.25,264328.0
KMD.NZ,20170808,2.25,2.26,2.24,2.25,480916.0
KMD.NZ,20170807,2.25,2.26,2.25,2.26,767739.0
KMD.NZ,20170806,2.24,2.26,2.23,2.25,410839.0
KMD.NZ,20170803,2.26,2.26,2.22,2.24,186070.0
