<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PFI.NZ,20180503,1.66,1.665,1.655,1.66,104079.0
PFI.NZ,20180502,1.65,1.66,1.645,1.66,828369.0
PFI.NZ,20180501,1.65,1.65,1.64,1.645,149872.0
PFI.NZ,20180430,1.645,1.65,1.64,1.65,297937.0
PFI.NZ,20180429,1.64,1.65,1.64,1.65,469092.0
PFI.NZ,20180426,1.64,1.645,1.63,1.645,130230.0
PFI.NZ,20180425,1.65,1.65,1.635,1.635,222331.0
PFI.NZ,20180423,1.645,1.65,1.64,1.65,361268.0
PFI.NZ,20180422,1.645,1.65,1.64,1.65,169557.0
PFI.NZ,20180419,1.65,1.655,1.645,1.645,477362.0
PFI.NZ,20180418,1.655,1.655,1.65,1.655,163592.0
PFI.NZ,20180417,1.66,1.66,1.64,1.655,160035.0
PFI.NZ,20180416,1.64,1.66,1.64,1.66,288661.0
PFI.NZ,20180415,1.65,1.65,1.64,1.64,192429.0
PFI.NZ,20180412,1.655,1.655,1.635,1.655,149436.0
PFI.NZ,20180411,1.66,1.66,1.65,1.655,277387.0
PFI.NZ,20180410,1.66,1.66,1.655,1.66,156255.0
PFI.NZ,20180409,1.655,1.66,1.65,1.66,195334.0
PFI.NZ,20180408,1.645,1.655,1.635,1.655,195206.0
PFI.NZ,20180405,1.645,1.645,1.64,1.64,154658.0
PFI.NZ,20180404,1.64,1.655,1.64,1.645,595968.0
PFI.NZ,20180403,1.655,1.66,1.64,1.66,461961.0
PFI.NZ,20180402,1.635,1.655,1.635,1.65,147328.0
PFI.NZ,20180328,1.65,1.66,1.64,1.64,273964.0
PFI.NZ,20180327,1.635,1.64,1.63,1.64,438982.0
PFI.NZ,20180326,1.65,1.65,1.64,1.64,449640.0
PFI.NZ,20180325,1.645,1.645,1.64,1.64,168294.0
PFI.NZ,20180322,1.65,1.65,1.645,1.65,168703.0
PFI.NZ,20180321,1.655,1.66,1.645,1.66,254135.0
PFI.NZ,20180320,1.655,1.655,1.645,1.645,403657.0
PFI.NZ,20180319,1.65,1.655,1.64,1.655,144573.0
PFI.NZ,20180318,1.65,1.655,1.65,1.655,201397.0
PFI.NZ,20180315,1.65,1.655,1.65,1.655,201397.0
PFI.NZ,20180314,1.645,1.655,1.645,1.645,583112.0
PFI.NZ,20180313,1.655,1.655,1.645,1.65,302878.0
PFI.NZ,20180312,1.655,1.655,1.65,1.65,153177.0
PFI.NZ,20180311,1.655,1.655,1.65,1.655,162409.0
PFI.NZ,20180308,1.65,1.655,1.64,1.655,207465.0
PFI.NZ,20180307,1.64,1.65,1.64,1.65,77121.0
PFI.NZ,20180306,1.64,1.655,1.635,1.635,128502.0
PFI.NZ,20180305,1.64,1.655,1.64,1.65,194711.0
PFI.NZ,20180304,1.635,1.64,1.635,1.64,349534.0
PFI.NZ,20180301,1.63,1.645,1.63,1.635,356559.0
PFI.NZ,20180228,1.63,1.635,1.625,1.635,811694.0
PFI.NZ,20180227,1.635,1.635,1.63,1.63,715165.0
PFI.NZ,20180226,1.64,1.65,1.635,1.635,368004.0
PFI.NZ,20180225,1.64,1.65,1.635,1.64,166064.0
PFI.NZ,20180222,1.63,1.64,1.625,1.635,59013.0
PFI.NZ,20180221,1.65,1.66,1.65,1.65,333961.0
PFI.NZ,20180220,1.65,1.66,1.64,1.64,170302.0
PFI.NZ,20180219,1.645,1.67,1.645,1.66,171268.0
PFI.NZ,20180218,1.655,1.655,1.64,1.65,114948.0
PFI.NZ,20180215,1.65,1.66,1.65,1.655,141406.0
PFI.NZ,20180214,1.66,1.66,1.65,1.655,1129953.0
PFI.NZ,20180213,1.66,1.66,1.655,1.655,310646.0
PFI.NZ,20180212,1.655,1.66,1.65,1.65,189662.0
PFI.NZ,20180211,1.64,1.65,1.64,1.65,250932.0
PFI.NZ,20180208,1.625,1.64,1.625,1.64,1058829.0
PFI.NZ,20180207,1.635,1.635,1.62,1.63,790001.0
PFI.NZ,20180206,1.64,1.645,1.64,1.64,501053.0
PFI.NZ,20180204,1.65,1.655,1.64,1.645,105388.0
PFI.NZ,20180201,1.655,1.66,1.65,1.655,120261.0
PFI.NZ,20180131,1.67,1.67,1.66,1.66,195099.0
PFI.NZ,20180130,1.665,1.67,1.66,1.67,431927.0
PFI.NZ,20180129,1.66,1.68,1.66,1.67,99247.0
PFI.NZ,20180128,1.66,1.66,1.66,1.66,16830.0
PFI.NZ,20180125,1.66,1.665,1.66,1.66,97587.0
PFI.NZ,20180124,1.67,1.67,1.655,1.655,52118.0
PFI.NZ,20180123,1.66,1.67,1.655,1.67,86182.0
PFI.NZ,20180122,1.66,1.665,1.66,1.665,650781.0
PFI.NZ,20180121,1.66,1.66,1.65,1.66,33362.0
PFI.NZ,20180118,1.66,1.66,1.65,1.65,101672.0
PFI.NZ,20180117,1.66,1.665,1.655,1.665,219964.0
PFI.NZ,20180116,1.665,1.665,1.655,1.655,56640.0
PFI.NZ,20180115,1.66,1.665,1.65,1.655,95695.0
PFI.NZ,20180114,1.66,1.675,1.66,1.66,31697.0
PFI.NZ,20180111,1.67,1.675,1.66,1.66,119188.0
PFI.NZ,20180110,1.675,1.675,1.66,1.67,181984.0
PFI.NZ,20180109,1.685,1.69,1.68,1.68,154393.0
PFI.NZ,20180108,1.68,1.69,1.68,1.68,265439.0
PFI.NZ,20180107,1.68,1.69,1.68,1.68,277768.0
PFI.NZ,20180104,1.69,1.69,1.68,1.68,539336.0
PFI.NZ,20180103,1.69,1.69,1.69,1.69,40327.0
PFI.NZ,20180102,1.69,1.7,1.69,1.7,29190.0
PFI.NZ,20171228,1.68,1.68,1.67,1.68,118287.0
PFI.NZ,20171227,1.68,1.68,1.665,1.68,90830.0
PFI.NZ,20171226,1.68,1.68,1.665,1.665,121556.0
PFI.NZ,20171221,1.675,1.68,1.675,1.68,177815.0
PFI.NZ,20171220,1.665,1.68,1.665,1.67,369720.0
PFI.NZ,20171219,1.67,1.675,1.665,1.665,307174.0
PFI.NZ,20171218,1.67,1.68,1.665,1.665,206028.0
PFI.NZ,20171217,1.665,1.67,1.65,1.67,654095.0
PFI.NZ,20171214,1.65,1.675,1.65,1.67,1031492.0
PFI.NZ,20171213,1.635,1.65,1.635,1.645,197661.0
PFI.NZ,20171212,1.62,1.64,1.62,1.635,308355.0
PFI.NZ,20171211,1.63,1.63,1.62,1.62,191521.0
PFI.NZ,20171210,1.62,1.63,1.615,1.63,368815.0
PFI.NZ,20171207,1.62,1.625,1.62,1.62,186074.0
PFI.NZ,20171206,1.615,1.62,1.615,1.615,224259.0
PFI.NZ,20171205,1.615,1.615,1.61,1.61,273712.0
PFI.NZ,20171204,1.615,1.62,1.61,1.615,376721.0
PFI.NZ,20171203,1.61,1.615,1.61,1.61,236822.0
PFI.NZ,20171130,1.615,1.615,1.605,1.605,424093.0
PFI.NZ,20171129,1.61,1.615,1.605,1.61,1114760.0
PFI.NZ,20171128,1.62,1.62,1.605,1.61,786941.0
PFI.NZ,20171127,1.615,1.62,1.615,1.615,87135.0
PFI.NZ,20171126,1.62,1.62,1.615,1.62,249718.0
PFI.NZ,20171123,1.615,1.615,1.61,1.61,186943.0
PFI.NZ,20171122,1.615,1.615,1.61,1.61,174754.0
PFI.NZ,20171121,1.61,1.615,1.61,1.61,57887.0
PFI.NZ,20171120,1.61,1.615,1.605,1.615,204603.0
PFI.NZ,20171119,1.61,1.615,1.605,1.615,82781.0
PFI.NZ,20171116,1.605,1.61,1.605,1.61,79730.0
PFI.NZ,20171115,1.61,1.61,1.605,1.61,671902.0
PFI.NZ,20171114,1.61,1.61,1.605,1.605,258068.0
PFI.NZ,20171113,1.605,1.61,1.605,1.61,493583.0
PFI.NZ,20171112,1.61,1.61,1.6,1.6,188724.0
PFI.NZ,20171109,1.61,1.61,1.605,1.61,221974.0
PFI.NZ,20171108,1.63,1.63,1.615,1.62,563114.0
PFI.NZ,20171107,1.63,1.63,1.62,1.62,776638.0
PFI.NZ,20171106,1.625,1.63,1.625,1.625,319511.0
PFI.NZ,20171105,1.625,1.63,1.625,1.63,137369.0
PFI.NZ,20171102,1.63,1.63,1.625,1.625,461560.0
PFI.NZ,20171101,1.63,1.63,1.625,1.63,642696.0
PFI.NZ,20171031,1.63,1.635,1.625,1.625,289751.0
PFI.NZ,20171030,1.62,1.63,1.62,1.63,511800.0
PFI.NZ,20171029,1.625,1.625,1.62,1.62,245514.0
PFI.NZ,20171026,1.625,1.625,1.62,1.625,276986.0
PFI.NZ,20171025,1.62,1.62,1.61,1.61,480325.0
PFI.NZ,20171024,1.63,1.63,1.61,1.62,191393.0
PFI.NZ,20171023,1.61,1.63,1.605,1.63,536347.0
PFI.NZ,20171019,1.62,1.625,1.6,1.6,105530.0
PFI.NZ,20171018,1.625,1.63,1.625,1.625,65606.0
PFI.NZ,20171017,1.62,1.63,1.62,1.625,571471.0
PFI.NZ,20171016,1.625,1.64,1.62,1.62,127181.0
PFI.NZ,20171015,1.635,1.635,1.62,1.625,325952.0
PFI.NZ,20171012,1.65,1.65,1.635,1.635,104677.0
PFI.NZ,20171011,1.645,1.67,1.645,1.65,220623.0
PFI.NZ,20171010,1.655,1.665,1.64,1.64,97903.0
PFI.NZ,20171009,1.65818,1.67308,1.65322,1.65818,186004.0
PFI.NZ,20171008,1.65818,1.65818,1.64825,1.65322,179324.0
PFI.NZ,20171005,1.64825,1.65818,1.64825,1.65818,127306.0
PFI.NZ,20171004,1.655,1.67,1.645,1.66,150501.0
PFI.NZ,20171003,1.65,1.66,1.635,1.645,958973.0
PFI.NZ,20171002,1.67,1.67,1.66,1.67,41485.0
PFI.NZ,20171001,1.685,1.69,1.67,1.6780000000000002,212748.0
PFI.NZ,20170928,1.655,1.69,1.655,1.69,138958.0
PFI.NZ,20170927,1.645,1.655,1.645,1.649,299951.0
PFI.NZ,20170926,1.635,1.65,1.635,1.645,176922.0
PFI.NZ,20170925,1.635,1.635,1.635,1.635,291460.0
PFI.NZ,20170924,1.63,1.64,1.63,1.635,47059.0
PFI.NZ,20170921,1.635,1.64,1.63,1.64,75565.0
