<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SKT.NZ,20180503,2.25,2.27,2.22,2.22,293569.0
SKT.NZ,20180502,2.26,2.28,2.25,2.25,235371.0
SKT.NZ,20180501,2.25,2.27,2.23,2.25,4302509.0
SKT.NZ,20180430,2.26,2.28,2.25,2.25,867261.0
SKT.NZ,20180429,2.24,2.29,2.22,2.28,2793661.0
SKT.NZ,20180426,2.21,2.24,2.2,2.24,275229.0
SKT.NZ,20180425,2.24,2.26,2.2,2.2,862560.0
SKT.NZ,20180423,2.26,2.28,2.21,2.26,959854.0
SKT.NZ,20180422,2.32,2.32,2.24,2.25,344200.0
SKT.NZ,20180419,2.32,2.33,2.27,2.27,180967.0
SKT.NZ,20180418,2.3,2.32,2.3,2.3,3654762.0
SKT.NZ,20180417,2.37,2.38,2.32,2.32,1580100.0
SKT.NZ,20180416,2.38,2.39,2.33,2.38,297625.0
SKT.NZ,20180415,2.3,2.39,2.27,2.38,731020.0
SKT.NZ,20180412,2.29,2.34,2.26,2.34,1780117.0
SKT.NZ,20180411,2.3,2.35,2.3,2.33,866573.0
SKT.NZ,20180410,2.43,2.43,2.37,2.37,314518.0
SKT.NZ,20180409,2.35,2.46,2.35,2.44,337800.0
SKT.NZ,20180408,2.3,2.45,2.28,2.45,470286.0
SKT.NZ,20180405,2.23,2.35,2.23,2.35,1076358.0
SKT.NZ,20180404,2.35,2.35,2.21,2.21,447325.0
SKT.NZ,20180403,2.3,2.35,2.29,2.35,460148.0
SKT.NZ,20180402,2.29,2.31,2.27,2.3,1001490.0
SKT.NZ,20180328,2.23,2.34,2.23,2.29,1964069.0
SKT.NZ,20180327,2.22,2.28,2.22,2.23,1538698.0
SKT.NZ,20180326,2.3,2.44,2.3,2.42,3636428.0
SKT.NZ,20180325,2.3,2.3,2.22,2.27,920089.0
SKT.NZ,20180322,2.35,2.35,2.29,2.32,374967.0
SKT.NZ,20180321,2.4,2.43,2.4,2.4,428873.0
SKT.NZ,20180320,2.37,2.43,2.37,2.42,1852073.0
SKT.NZ,20180319,2.3,2.4,2.27,2.37,517091.0
SKT.NZ,20180318,2.16,2.31,2.16,2.29,34852425.0
SKT.NZ,20180315,2.16,2.31,2.16,2.29,34852425.0
SKT.NZ,20180314,2.08,2.16,2.08,2.15,8470196.0
SKT.NZ,20180313,2.2,2.2,2.06,2.11,4968786.0
SKT.NZ,20180312,2.28,2.28,2.22,2.24,3120532.0
SKT.NZ,20180311,2.3,2.32,2.23,2.28,3931793.0
SKT.NZ,20180308,2.27,2.34,2.26,2.29,2082275.0
SKT.NZ,20180307,2.32,2.37,2.26,2.26,1473956.0
SKT.NZ,20180306,2.28,2.35,2.27,2.3,2546838.0
SKT.NZ,20180305,2.3,2.32,2.27,2.28,5842503.0
SKT.NZ,20180304,2.36,2.38,2.29,2.29,2720476.0
SKT.NZ,20180301,2.4,2.52,2.37,2.4,4257404.0
SKT.NZ,20180228,2.47,2.54,2.46,2.46,4235709.0
SKT.NZ,20180227,2.77,2.8,2.51,2.53,2741783.0
SKT.NZ,20180226,2.81,2.85,2.79,2.8,409421.0
SKT.NZ,20180225,2.82,2.82,2.77,2.8,3724647.0
SKT.NZ,20180222,2.77,2.81,2.77,2.8,249712.0
SKT.NZ,20180221,2.82,2.82,2.76,2.8,307507.0
SKT.NZ,20180220,2.8,2.83,2.79,2.83,846724.0
SKT.NZ,20180219,2.8,2.81,2.77,2.8,621297.0
SKT.NZ,20180218,2.79,2.8,2.73,2.73,179471.0
SKT.NZ,20180215,2.8,2.81,2.79,2.8,597708.0
SKT.NZ,20180214,2.81,2.81,2.75,2.8,548832.0
SKT.NZ,20180213,2.83,2.83,2.8,2.81,1313925.0
SKT.NZ,20180212,2.82,2.85,2.8,2.83,333977.0
SKT.NZ,20180211,2.83,2.84,2.8,2.81,403229.0
SKT.NZ,20180208,2.81,2.86,2.78,2.84,9066505.0
SKT.NZ,20180207,2.86,2.88,2.82,2.85,608604.0
SKT.NZ,20180206,2.8,2.86,2.78,2.86,349412.0
SKT.NZ,20180204,2.85,2.88,2.8,2.81,254165.0
SKT.NZ,20180201,2.88,2.88,2.85,2.88,2247223.0
SKT.NZ,20180131,2.88,2.88,2.85,2.88,708043.0
SKT.NZ,20180130,2.8,2.91,2.76,2.91,1149148.0
SKT.NZ,20180129,2.81,2.81,2.75,2.81,419754.0
SKT.NZ,20180128,2.8,2.84,2.79,2.81,95007.0
SKT.NZ,20180125,2.77,2.82,2.77,2.8,354651.0
SKT.NZ,20180124,2.79,2.82,2.78,2.8,422592.0
SKT.NZ,20180123,2.79,2.81,2.78,2.81,320879.0
SKT.NZ,20180122,2.79,2.81,2.73,2.8,428106.0
SKT.NZ,20180121,2.79,2.84,2.79,2.8,364345.0
SKT.NZ,20180118,2.82,2.83,2.8,2.81,430882.0
SKT.NZ,20180117,2.82,2.82,2.8,2.82,371179.0
SKT.NZ,20180116,2.83,2.84,2.81,2.83,1408567.0
SKT.NZ,20180115,2.81,2.84,2.81,2.83,99676.0
SKT.NZ,20180114,2.81,2.81,2.8,2.81,511301.0
SKT.NZ,20180111,2.85,2.85,2.79,2.81,379270.0
SKT.NZ,20180110,2.83,2.83,2.8,2.8,248165.0
SKT.NZ,20180109,2.81,2.83,2.8,2.83,215509.0
SKT.NZ,20180108,2.78,2.83,2.78,2.8,147637.0
SKT.NZ,20180107,2.86,2.89,2.78,2.78,251503.0
SKT.NZ,20180104,2.81,2.92,2.8,2.85,434704.0
SKT.NZ,20180103,2.85,2.86,2.8,2.8,286265.0
SKT.NZ,20180102,2.82,2.86,2.82,2.84,855060.0
SKT.NZ,20171228,2.86,2.86,2.8,2.81,212299.0
SKT.NZ,20171227,2.81,2.89,2.81,2.89,50603.0
SKT.NZ,20171226,2.7,2.88,2.7,2.78,302817.0
SKT.NZ,20171221,2.8,2.86,2.8,2.84,109540.0
SKT.NZ,20171220,2.75,2.82,2.75,2.8,142043.0
SKT.NZ,20171219,2.75,2.78,2.74,2.75,1656443.0
SKT.NZ,20171218,2.66,2.78,2.66,2.78,425400.0
SKT.NZ,20171217,2.66,2.71,2.66,2.7,6026297.0
SKT.NZ,20171214,2.65,2.67,2.6,2.66,1595859.0
SKT.NZ,20171213,2.64,2.66,2.57,2.57,411109.0
SKT.NZ,20171212,2.65,2.7,2.6,2.67,367243.0
SKT.NZ,20171211,2.55,2.66,2.55,2.66,139308.0
SKT.NZ,20171210,2.53,2.57,2.53,2.57,157635.0
SKT.NZ,20171207,2.46,2.54,2.46,2.5,293831.0
SKT.NZ,20171206,2.43,2.47,2.43,2.47,1119782.0
SKT.NZ,20171205,2.47,2.47,2.44,2.45,1187923.0
SKT.NZ,20171204,2.5,2.52,2.44,2.46,1263585.0
SKT.NZ,20171203,2.47,2.49,2.45,2.49,944346.0
SKT.NZ,20171130,2.49,2.49,2.45,2.47,1121416.0
SKT.NZ,20171129,2.45,2.49,2.45,2.49,2896920.0
SKT.NZ,20171128,2.48,2.48,2.46,2.47,1528846.0
SKT.NZ,20171127,2.48,2.49,2.45,2.48,1576718.0
SKT.NZ,20171126,2.48,2.48,2.46,2.48,341958.0
SKT.NZ,20171123,2.48,2.49,2.47,2.49,689215.0
SKT.NZ,20171122,2.49,2.5,2.47,2.5,570878.0
SKT.NZ,20171121,2.46,2.52,2.46,2.5,499513.0
SKT.NZ,20171120,2.49,2.49,2.47,2.48,1705612.0
SKT.NZ,20171119,2.48,2.5,2.47,2.49,804177.0
SKT.NZ,20171116,2.5,2.5,2.48,2.48,778267.0
SKT.NZ,20171115,2.52,2.55,2.48,2.5,1137579.0
SKT.NZ,20171114,2.57,2.57,2.51,2.52,1423226.0
SKT.NZ,20171113,2.57,2.57,2.55,2.55,1095940.0
SKT.NZ,20171112,2.57,2.6,2.57,2.58,873672.0
SKT.NZ,20171109,2.6,2.6,2.56,2.57,1034908.0
SKT.NZ,20171108,2.55,2.63,2.55,2.6,602195.0
SKT.NZ,20171107,2.5,2.55,2.49,2.54,449125.0
SKT.NZ,20171106,2.5,2.6,2.5,2.53,452829.0
SKT.NZ,20171105,2.53,2.53,2.5,2.52,482593.0
SKT.NZ,20171102,2.51,2.54,2.5,2.52,175455.0
SKT.NZ,20171101,2.46,2.54,2.46,2.5,1866151.0
SKT.NZ,20171031,2.5,2.51,2.46,2.46,1490763.0
SKT.NZ,20171030,2.58,2.58,2.5,2.5,1208008.0
SKT.NZ,20171029,2.6,2.6,2.57,2.58,131329.0
SKT.NZ,20171026,2.61,2.62,2.6,2.6,145249.0
SKT.NZ,20171025,2.61,2.65,2.6,2.62,334054.0
SKT.NZ,20171024,2.65,2.65,2.62,2.62,848232.0
SKT.NZ,20171023,2.68,2.68,2.61,2.65,1008839.0
SKT.NZ,20171019,2.71,2.74,2.67,2.67,1550817.0
SKT.NZ,20171018,2.79,2.82,2.77,2.79,656349.0
SKT.NZ,20171017,2.94,2.98,2.8,2.8,234821.0
SKT.NZ,20171016,2.88,2.99,2.88,2.94,338821.0
SKT.NZ,20171015,2.89,2.91,2.88,2.89,4109426.0
SKT.NZ,20171012,2.88,2.89,2.86,2.87,276660.0
SKT.NZ,20171011,2.86,2.89,2.86,2.88,672734.0
SKT.NZ,20171010,2.86,2.89,2.86,2.87,1765729.0
SKT.NZ,20171009,2.85,2.88,2.84,2.86,830148.0
SKT.NZ,20171008,2.85,2.85,2.82,2.84,884886.0
SKT.NZ,20171005,2.83,2.88,2.83,2.83,1447656.0
SKT.NZ,20171004,2.82,2.85,2.82,2.84,1461544.0
SKT.NZ,20171003,2.76,2.85,2.76,2.84,992161.0
SKT.NZ,20171002,2.78,2.82,2.76,2.78,966846.0
SKT.NZ,20171001,2.68,2.77,2.68,2.75,759641.0
SKT.NZ,20170928,2.69,2.72,2.68,2.7,1344156.0
SKT.NZ,20170927,2.68,2.7,2.67,2.682,673216.0
SKT.NZ,20170926,2.72,2.78,2.66,2.66,436415.0
SKT.NZ,20170925,2.65,2.77,2.65,2.77,653592.0
SKT.NZ,20170924,2.7,2.7,2.64,2.67,235070.0
SKT.NZ,20170921,2.68,2.7,2.66,2.7,337443.0
SKT.NZ,20170920,2.67,2.7,2.67,2.69,376808.0
SKT.NZ,20170919,2.68,2.7,2.65,2.67,867118.0
SKT.NZ,20170918,2.67,2.72,2.67,2.7,338003.0
SKT.NZ,20170917,2.65,2.72,2.65,2.66,465179.0
SKT.NZ,20170914,2.62,2.65,2.59,2.65,1186072.0
SKT.NZ,20170913,2.6,2.67,2.54,2.62,410291.0
SKT.NZ,20170912,2.67,2.68,2.61,2.61,215519.0
SKT.NZ,20170911,2.77,2.77,2.66,2.7,639492.0
SKT.NZ,20170910,2.77,2.77,2.73,2.75,825578.0
SKT.NZ,20170907,2.78,2.82,2.78,2.79,812893.0
SKT.NZ,20170906,2.7,2.82,2.66,2.78,1463670.0
SKT.NZ,20170905,2.55,2.71,2.55,2.71,1159587.0
SKT.NZ,20170904,2.6,2.6,2.55,2.59,885472.0
SKT.NZ,20170903,2.6,2.63,2.56,2.61,853427.0
SKT.NZ,20170831,2.83,2.84,2.74,2.782,1427530.0
SKT.NZ,20170830,2.75,2.84,2.75,2.818,734454.0
SKT.NZ,20170829,2.77,2.77,2.75,2.76,619235.0
SKT.NZ,20170828,2.75,2.78,2.74,2.77,879103.0
SKT.NZ,20170827,2.79,2.79,2.75,2.76,1554262.0
SKT.NZ,20170824,2.8,2.8,2.76,2.78,1958505.0
SKT.NZ,20170823,2.92,2.92,2.8,2.8,3326149.0
SKT.NZ,20170822,3.07,3.07,2.92,2.93,5930886.0
SKT.NZ,20170821,3.15,3.15,3.08,3.08,420927.0
SKT.NZ,20170820,3.18,3.25,3.16,3.202,370586.0
SKT.NZ,20170817,3.2,3.23,3.18,3.23,292971.0
SKT.NZ,20170816,3.19,3.24,3.18,3.23,501224.0
SKT.NZ,20170815,3.2,3.23,3.17,3.2,402845.0
SKT.NZ,20170814,3.2,3.2,3.17,3.19,229990.0
SKT.NZ,20170813,3.17,3.23,3.16,3.2,249389.0
SKT.NZ,20170810,3.24,3.24,3.16,3.16,824989.0
SKT.NZ,20170809,3.29,3.29,3.24,3.25,1264780.0
SKT.NZ,20170808,3.28,3.3,3.26,3.3,508514.0
SKT.NZ,20170807,3.34,3.34,3.28,3.3,522618.0
SKT.NZ,20170806,3.28,3.35,3.28,3.35,303180.0
SKT.NZ,20170803,3.3,3.33,3.29,3.33,190184.0
SKT.NZ,20170802,3.32,3.33,3.27,3.32,509818.0
SKT.NZ,20170801,3.37,3.37,3.33,3.35,432862.0
SKT.NZ,20170731,3.31,3.38,3.29,3.38,184238.0
SKT.NZ,20170730,3.31,3.34,3.27,3.31,484467.0
SKT.NZ,20170727,3.36,3.36,3.33,3.347,613684.0
SKT.NZ,20170726,3.34,3.38,3.33,3.36,523058.0
SKT.NZ,20170725,3.32,3.38,3.32,3.36,1067711.0
SKT.NZ,20170724,3.5,3.5,3.31,3.335,2097646.0
SKT.NZ,20170723,3.53,3.56,3.46,3.4989999999999997,581240.0
SKT.NZ,20170720,3.59,3.59,3.52,3.57,239727.0
SKT.NZ,20170719,3.51,3.59,3.51,3.59,143700.0
SKT.NZ,20170718,3.5,3.6,3.5,3.6,467739.0
SKT.NZ,20170717,3.6,3.6,3.53,3.56,166700.0
SKT.NZ,20170716,3.54,3.61,3.53,3.61,547002.0
SKT.NZ,20170713,3.51,3.58,3.51,3.54,1394541.0
SKT.NZ,20170712,3.47,3.55,3.47,3.505,813182.0
SKT.NZ,20170711,3.55,3.58,3.47,3.5,2901656.0
SKT.NZ,20170710,3.48,3.57,3.48,3.489,327872.0
SKT.NZ,20170709,3.46,3.5,3.4,3.483,491292.0
SKT.NZ,20170706,3.46,3.49,3.4,3.48,158967.0
SKT.NZ,20170705,3.48,3.5,3.45,3.5,2600048.0
SKT.NZ,20170704,3.5,3.5,3.47,3.49,2784847.0
SKT.NZ,20170703,3.48,3.57,3.45,3.5269999999999997,847725.0
SKT.NZ,20170702,3.45,3.48,3.44,3.48,1400435.0
SKT.NZ,20170629,3.5,3.54,3.43,3.45,1318328.0
SKT.NZ,20170628,3.43,3.53,3.43,3.53,752528.0
SKT.NZ,20170627,3.39,3.46,3.37,3.418,1510775.0
SKT.NZ,20170626,3.33,3.39,3.3,3.363,728325.0
SKT.NZ,20170625,3.29,3.32,3.22,3.32,1225761.0
SKT.NZ,20170622,3.33,3.39,3.33,3.39,818158.0
SKT.NZ,20170621,3.36,3.38,3.33,3.35,628862.0
SKT.NZ,20170620,3.4,3.42,3.37,3.37,497739.0
SKT.NZ,20170619,3.43,3.47,3.4,3.42,263158.0
SKT.NZ,20170618,3.44,3.44,3.41,3.43,1072586.0
SKT.NZ,20170615,3.43,3.46,3.35,3.44,2486058.0
SKT.NZ,20170614,3.46,3.5,3.37,3.43,354599.0
SKT.NZ,20170613,3.5,3.53,3.46,3.46,619104.0
SKT.NZ,20170612,3.48,3.5,3.43,3.48,771718.0
SKT.NZ,20170611,3.4,3.55,3.4,3.5,265015.0
SKT.NZ,20170608,3.47,3.47,3.36,3.4,696212.0
SKT.NZ,20170607,3.35,3.45,3.35,3.45,1531899.0
SKT.NZ,20170606,3.5,3.5,3.31,3.36,799193.0
SKT.NZ,20170605,3.62,3.65,3.49,3.5,1172869.0
SKT.NZ,20170601,3.69,3.72,3.61,3.63,1281552.0
SKT.NZ,20170531,3.6,3.68,3.6,3.68,991408.0
SKT.NZ,20170530,3.6,3.62,3.59,3.61,3506065.0
SKT.NZ,20170529,3.56,3.62,3.51,3.61,296028.0
SKT.NZ,20170528,3.55,3.59,3.54,3.58,180294.0
SKT.NZ,20170525,3.49,3.56,3.48,3.53,405833.0
SKT.NZ,20170524,3.52,3.52,3.48,3.49,294574.0
SKT.NZ,20170523,3.44,3.52,3.44,3.47,642673.0
SKT.NZ,20170522,3.5,3.5,3.44,3.44,561487.0
SKT.NZ,20170521,3.5,3.58,3.47,3.5,226880.0
SKT.NZ,20170518,3.58,3.58,3.5,3.51,183862.0
SKT.NZ,20170517,3.55,3.66,3.55,3.58,638251.0
SKT.NZ,20170516,3.62,3.62,3.52,3.55,437041.0
SKT.NZ,20170515,3.66,3.66,3.62,3.66,116115.0
SKT.NZ,20170514,3.67,3.7,3.64,3.66,129259.0
SKT.NZ,20170511,3.69,3.7,3.67,3.7,363526.0
SKT.NZ,20170510,3.74,3.74,3.65,3.66,814370.0
SKT.NZ,20170509,3.69,3.74,3.69,3.73,2476981.0
SKT.NZ,20170508,3.74,3.74,3.68,3.69,2601877.0
