<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
STU.NZ,20180503,2.02,2.05,2.02,2.02,36913.0
STU.NZ,20180502,1.99,2.02,1.99,2.02,39927.0
STU.NZ,20180501,2.01,2.01,1.99,1.99,27010.0
STU.NZ,20180430,2.0,2.01,1.99,2.01,57788.0
STU.NZ,20180429,1.99,2.0,1.98,2.0,93710.0
STU.NZ,20180426,2.02,2.02,1.99,1.99,73585.0
STU.NZ,20180425,2.08,2.08,2.04,2.04,33756.0
STU.NZ,20180423,2.05,2.1,2.05,2.06,117800.0
STU.NZ,20180422,2.08,2.08,2.05,2.05,53566.0
STU.NZ,20180419,2.02,2.08,2.02,2.08,161719.0
STU.NZ,20180418,1.99,2.02,1.98,2.02,75589.0
STU.NZ,20180417,2.0,2.0,1.99,1.99,29970.0
STU.NZ,20180416,1.99,2.0,1.99,2.0,58000.0
STU.NZ,20180415,1.98,2.0,1.98,1.99,52303.0
STU.NZ,20180412,1.99,2.0,1.98,1.99,57535.0
STU.NZ,20180411,2.0,2.0,1.98,2.0,33124.0
STU.NZ,20180410,2.01,2.01,2.0,2.0,16300.0
STU.NZ,20180409,2.02,2.02,2.01,2.02,24770.0
STU.NZ,20180408,2.0,2.01,2.0,2.01,80823.0
STU.NZ,20180405,2.01,2.01,2.0,2.01,50370.0
STU.NZ,20180404,2.0,2.01,2.0,2.01,38675.0
STU.NZ,20180403,2.0,2.0,2.0,2.0,54321.0
STU.NZ,20180402,2.02,2.02,1.99,2.0,54089.0
STU.NZ,20180328,2.02,2.02,2.01,2.02,11955.0
STU.NZ,20180327,2.01,2.01,2.01,2.01,61556.0
STU.NZ,20180326,2.0,2.03,2.0,2.03,144079.0
STU.NZ,20180325,2.0,2.0,1.99,1.99,47998.0
STU.NZ,20180322,1.99,2.01,1.99,2.0,45800.0
STU.NZ,20180321,2.0,2.01,1.99,1.99,57280.0
STU.NZ,20180320,2.01,2.02,2.0,2.0,48444.0
STU.NZ,20180319,2.03,2.03,2.01,2.02,72240.0
STU.NZ,20180318,2.04,2.05,2.04,2.04,60877.0
STU.NZ,20180315,2.04,2.05,2.04,2.04,60877.0
STU.NZ,20180314,2.06,2.08,2.06,2.06,256506.0
STU.NZ,20180313,2.01,2.06,2.01,2.06,47620.0
STU.NZ,20180312,2.12,2.13,2.11,2.12,166998.0
STU.NZ,20180311,2.13,2.13,2.11,2.11,68281.0
STU.NZ,20180308,2.08,2.11,2.08,2.11,55797.0
STU.NZ,20180307,2.08,2.09,2.07,2.08,145272.0
STU.NZ,20180306,2.07,2.08,2.07,2.08,60486.0
STU.NZ,20180305,2.09,2.09,2.07,2.09,67610.0
STU.NZ,20180304,2.06,2.09,2.06,2.07,34780.0
STU.NZ,20180301,2.06,2.08,2.06,2.06,167172.0
STU.NZ,20180228,2.08,2.09,2.06,2.09,68475.0
STU.NZ,20180227,2.09,2.1,2.08,2.09,173919.0
STU.NZ,20180226,2.07,2.1,2.07,2.09,94323.0
STU.NZ,20180225,2.08,2.09,2.07,2.09,27223.0
STU.NZ,20180222,2.07,2.09,2.06,2.07,69329.0
STU.NZ,20180221,2.09,2.09,2.06,2.06,38479.0
STU.NZ,20180220,2.08,2.09,2.05,2.09,54132.0
STU.NZ,20180219,2.08,2.09,2.08,2.08,10953.0
STU.NZ,20180218,2.06,2.07,2.06,2.06,44549.0
STU.NZ,20180215,2.06,2.06,2.05,2.05,63889.0
STU.NZ,20180214,2.06,2.06,2.06,2.06,16653.0
STU.NZ,20180213,2.08,2.08,2.05,2.06,34233.0
STU.NZ,20180212,2.07,2.08,2.06,2.08,51689.0
STU.NZ,20180211,2.05,2.07,2.05,2.07,102249.0
STU.NZ,20180208,2.07,2.07,2.05,2.05,99371.0
STU.NZ,20180207,2.06,2.08,2.06,2.07,35913.0
STU.NZ,20180206,2.05,2.06,2.03,2.06,91826.0
STU.NZ,20180204,2.14,2.14,2.08,2.08,91879.0
STU.NZ,20180201,2.16,2.16,2.16,2.16,12541.0
STU.NZ,20180131,2.17,2.17,2.15,2.15,24265.0
STU.NZ,20180130,2.18,2.18,2.17,2.17,33423.0
STU.NZ,20180129,2.22,2.23,2.19,2.19,78716.0
STU.NZ,20180128,2.19,2.21,2.19,2.19,24357.0
STU.NZ,20180125,2.22,2.22,2.2,2.22,57738.0
STU.NZ,20180124,2.2,2.22,2.2,2.22,81860.0
STU.NZ,20180123,2.2,2.21,2.19,2.19,140236.0
STU.NZ,20180122,2.22,2.22,2.2,2.21,33239.0
STU.NZ,20180121,2.21,2.22,2.21,2.22,37179.0
STU.NZ,20180118,2.21,2.22,2.21,2.22,20340.0
STU.NZ,20180117,2.21,2.22,2.2,2.21,51436.0
STU.NZ,20180116,2.21,2.24,2.2,2.2,75481.0
STU.NZ,20180115,2.23,2.23,2.21,2.21,45534.0
STU.NZ,20180114,2.23,2.23,2.21,2.23,26525.0
STU.NZ,20180111,2.23,2.23,2.21,2.23,18281.0
STU.NZ,20180110,2.21,2.23,2.21,2.23,64083.0
STU.NZ,20180109,2.23,2.24,2.21,2.21,51489.0
STU.NZ,20180108,2.2,2.23,2.2,2.23,54407.0
STU.NZ,20180107,2.2,2.22,2.2,2.2,65839.0
STU.NZ,20180104,2.18,2.2,2.17,2.2,25393.0
STU.NZ,20180103,2.17,2.18,2.17,2.18,29673.0
STU.NZ,20180102,2.14,2.17,2.12,2.17,40608.0
STU.NZ,20171228,2.12,2.14,2.1,2.1,16812.0
STU.NZ,20171227,2.09,2.13,2.09,2.12,19890.0
STU.NZ,20171226,2.1,2.11,2.09,2.09,45570.0
STU.NZ,20171221,2.1,2.1,2.09,2.1,20170.0
STU.NZ,20171220,2.09,2.12,2.09,2.1,52298.0
STU.NZ,20171219,2.06,2.09,2.06,2.09,79372.0
STU.NZ,20171218,2.05,2.06,2.05,2.05,83627.0
STU.NZ,20171217,2.06,2.06,2.04,2.04,66271.0
STU.NZ,20171214,2.05,2.06,2.04,2.04,63767.0
STU.NZ,20171213,2.04,2.05,2.04,2.05,213716.0
STU.NZ,20171212,2.05,2.05,2.02,2.02,69950.0
STU.NZ,20171211,2.05,2.05,2.04,2.04,48146.0
STU.NZ,20171210,2.02,2.05,2.02,2.04,86433.0
STU.NZ,20171207,2.03,2.04,2.01,2.02,69963.0
STU.NZ,20171206,2.02,2.03,2.02,2.03,15430.0
STU.NZ,20171205,2.03,2.06,2.02,2.02,56208.0
STU.NZ,20171204,2.02,2.03,2.01,2.01,94259.0
STU.NZ,20171203,2.02,2.03,2.02,2.02,42108.0
STU.NZ,20171130,2.05,2.05,2.01,2.01,41458.0
STU.NZ,20171129,2.03,2.06,2.03,2.06,107206.0
STU.NZ,20171128,2.0,2.03,1.99,1.99,99550.0
STU.NZ,20171127,2.0,2.03,1.99,1.99,74356.0
STU.NZ,20171126,2.0,2.04,1.99,2.0,213161.0
STU.NZ,20171123,2.02,2.03,2.0,2.0,81407.0
STU.NZ,20171122,2.02,2.03,2.01,2.03,42057.0
STU.NZ,20171121,2.04,2.05,2.01,2.01,137241.0
STU.NZ,20171120,2.05,2.05,2.04,2.05,54198.0
STU.NZ,20171119,2.05,2.07,2.04,2.04,42019.0
STU.NZ,20171116,2.05,2.06,2.04,2.05,75930.0
STU.NZ,20171115,2.05,2.06,2.03,2.04,151801.0
STU.NZ,20171114,2.08,2.08,2.05,2.06,68170.0
STU.NZ,20171113,2.06,2.08,2.06,2.06,32121.0
STU.NZ,20171112,2.07,2.07,2.05,2.06,90115.0
STU.NZ,20171109,2.06,2.06,2.05,2.06,153421.0
STU.NZ,20171108,2.06,2.07,2.05,2.06,111344.0
STU.NZ,20171107,2.05,2.07,2.04,2.07,52379.0
STU.NZ,20171106,2.04,2.06,2.03,2.03,176138.0
STU.NZ,20171105,2.05,2.06,2.04,2.06,59031.0
STU.NZ,20171102,2.03,2.05,2.03,2.04,21409.0
STU.NZ,20171101,2.02,2.03,2.02,2.02,23047.0
STU.NZ,20171031,2.03,2.03,2.0,2.0,93761.0
STU.NZ,20171030,2.01,2.03,2.0,2.0,104141.0
STU.NZ,20171029,2.0,2.03,2.0,2.01,70118.0
STU.NZ,20171026,2.01,2.01,2.0,2.0,20405.0
STU.NZ,20171025,2.0,2.02,2.0,2.0,147993.0
STU.NZ,20171024,2.01,2.02,2.01,2.01,64900.0
STU.NZ,20171023,2.01,2.01,2.0,2.01,62534.0
STU.NZ,20171019,2.01,2.02,2.01,2.01,35277.0
STU.NZ,20171018,2.03,2.03,2.0,2.0,62526.0
STU.NZ,20171017,2.02,2.02,2.0,2.02,110281.0
STU.NZ,20171016,2.0,2.03,2.0,2.03,70490.0
STU.NZ,20171015,2.03,2.03,1.99,2.0,233679.0
STU.NZ,20171012,2.04,2.06,2.03,2.03,99732.0
STU.NZ,20171011,2.05,2.05,2.04,2.05,60020.0
STU.NZ,20171010,2.07,2.07,2.05,2.06,193944.0
STU.NZ,20171009,2.07,2.08,2.06,2.08,103989.0
