<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
601333.SS,20180504,4.51,4.57,4.51,4.55,18591853
601333.SS,20180503,4.46,4.55,4.4,4.53,28334193
601333.SS,20180502,4.46,4.55,4.42,4.45,24465795
601333.SS,20180427,4.41,4.51,4.39,4.48,36798510
601333.SS,20180426,4.39,4.51,4.37,4.4,58136322
601333.SS,20180425,4.35,4.37,4.28,4.32,18780606
601333.SS,20180424,4.29,4.38,4.29,4.37,20533688
601333.SS,20180423,4.3,4.36,4.26,4.3,12876115
601333.SS,20180420,4.43,4.5,4.28,4.29,38461930
601333.SS,20180419,4.33,4.36,4.3,4.35,20810241
601333.SS,20180418,4.32,4.36,4.25,4.33,15097294
601333.SS,20180417,4.35,4.42,4.26,4.3,21917342
601333.SS,20180416,4.43,4.45,4.31,4.35,20276424
601333.SS,20180413,4.51,4.54,4.43,4.45,25169514
601333.SS,20180412,4.58,4.58,4.45,4.49,20439888
601333.SS,20180411,4.58,4.62,4.56,4.59,20532211
601333.SS,20180410,4.51,4.61,4.49,4.6,24512608
601333.SS,20180409,4.48,4.57,4.41,4.5,22158301
601333.SS,20180404,4.52,4.54,4.48,4.49,18522985
601333.SS,20180403,4.52,4.6,4.49,4.55,19958891
601333.SS,20180402,4.6,4.62,4.57,4.58,19027200
601333.SS,20180330,4.57,4.64,4.57,4.59,31942800
601333.SS,20180329,4.55,4.59,4.48,4.58,22439344
601333.SS,20180328,4.61,4.7,4.54,4.56,16193727
601333.SS,20180327,4.67,4.71,4.62,4.67,17570106
601333.SS,20180326,4.58,4.68,4.54,4.62,23784113
601333.SS,20180323,4.7,4.71,4.55,4.58,37961776
601333.SS,20180322,4.85,4.89,4.76,4.82,17640143
601333.SS,20180321,4.7,4.93,4.7,4.84,39371762
601333.SS,20180320,4.65,4.75,4.62,4.71,13036116
601333.SS,20180319,4.8,4.81,4.67,4.69,25833051
601333.SS,20180316,4.86,4.88,4.81,4.81,13881168
601333.SS,20180315,4.78,4.91,4.76,4.86,18900061
601333.SS,20180314,4.87,4.88,4.77,4.79,21343207
601333.SS,20180313,4.88,4.95,4.86,4.89,20247300
601333.SS,20180312,4.87,4.89,4.84,4.88,16548280
601333.SS,20180309,4.82,4.89,4.81,4.87,15943877
601333.SS,20180308,4.85,4.86,4.81,4.82,11183506
601333.SS,20180307,4.86,4.93,4.83,4.83,14274733
601333.SS,20180306,4.85,4.89,4.81,4.88,23587497
601333.SS,20180305,4.72,4.89,4.72,4.84,33897393
601333.SS,20180302,4.71,4.76,4.68,4.71,12852988
601333.SS,20180301,4.71,4.82,4.69,4.73,18809266
601333.SS,20180228,4.7,4.77,4.65,4.74,21963476
601333.SS,20180227,4.82,4.83,4.74,4.75,31143500
601333.SS,20180226,4.78,4.86,4.76,4.83,53902797
601333.SS,20180223,4.55,4.78,4.54,4.76,66563592
601333.SS,20180222,4.53,4.57,4.45,4.56,72099683
601333.SS,20180214,4.45,4.52,4.43,4.5,18304710
601333.SS,20180213,4.45,4.51,4.43,4.46,27665592
601333.SS,20180212,4.39,4.45,4.38,4.42,35468961
601333.SS,20180209,4.51,4.55,4.28,4.37,48880862
601333.SS,20180208,4.6,4.71,4.56,4.63,60265808
601333.SS,20180207,4.75,4.78,4.54,4.57,63518232
601333.SS,20180206,4.9,4.93,4.66,4.66,52363964
601333.SS,20180205,4.9,4.99,4.87,4.97,22005798
601333.SS,20180202,4.89,4.98,4.82,4.98,22176070
601333.SS,20180201,5.09,5.1,4.8,4.92,60125365
601333.SS,20180131,5.23,5.27,5.02,5.07,55639205
601333.SS,20180130,5.23,5.28,5.2,5.25,22994537
601333.SS,20180129,5.32,5.37,5.21,5.23,40967809
601333.SS,20180126,5.36,5.39,5.29,5.33,35097527
601333.SS,20180125,5.19,5.4,5.18,5.36,73968290
601333.SS,20180124,5.31,5.33,5.18,5.2,52444201
601333.SS,20180123,5.33,5.35,5.28,5.32,27085535
601333.SS,20180122,5.32,5.41,5.27,5.33,42681936
601333.SS,20180119,5.29,5.4,5.27,5.32,40263075
601333.SS,20180118,5.27,5.32,5.2,5.32,38257816
601333.SS,20180117,5.23,5.32,5.2,5.29,41013185
601333.SS,20180116,5.18,5.3,5.18,5.27,56918394
601333.SS,20180115,5.5,5.5,5.18,5.19,85070342
601333.SS,20180112,5.51,5.57,5.46,5.48,43573726
601333.SS,20180111,5.58,5.59,5.48,5.51,50319843
601333.SS,20180110,5.66,5.67,5.5,5.57,62335902
601333.SS,20180109,5.78,5.81,5.62,5.66,108271024
601333.SS,20180108,5.6,5.84,5.59,5.78,122591215
601333.SS,20180105,5.57,5.68,5.53,5.62,78345601
601333.SS,20180104,5.61,5.75,5.55,5.61,112609877
601333.SS,20180103,5.56,5.64,5.51,5.61,85962536
601333.SS,20180102,5.6,5.69,5.54,5.57,77656843
601333.SS,20171229,5.56,5.62,5.5,5.57,57678358
601333.SS,20171228,5.41,5.65,5.37,5.57,133701921
601333.SS,20171227,5.35,5.45,5.31,5.33,48615550
601333.SS,20171226,5.24,5.37,5.2,5.35,50969050
601333.SS,20171225,5.41,5.46,5.21,5.22,62360834
601333.SS,20171222,5.42,5.49,5.38,5.43,42926775
601333.SS,20171221,5.2,5.45,5.2,5.43,81998512
601333.SS,20171220,5.28,5.33,5.21,5.22,27915969
601333.SS,20171219,5.26,5.34,5.21,5.3,40039521
601333.SS,20171218,5.25,5.28,5.17,5.23,26209624
601333.SS,20171215,5.29,5.35,5.19,5.24,48880557
601333.SS,20171214,5.24,5.37,5.23,5.33,45531031
601333.SS,20171213,5.26,5.31,5.17,5.29,41099734
601333.SS,20171212,5.15,5.3,5.11,5.22,60290028
601333.SS,20171211,5.02,5.15,5.0,5.14,34000137
601333.SS,20171208,4.95,5.02,4.91,5.0,21115378
601333.SS,20171207,5.01,5.07,4.94,4.96,25498529
601333.SS,20171206,5.03,5.07,4.95,5.02,28272744
601333.SS,20171205,5.1,5.16,4.99,5.03,32033014
601333.SS,20171204,5.09,5.19,5.06,5.11,41242039
601333.SS,20171201,5.02,5.09,4.98,5.08,25885441
601333.SS,20171130,5.04,5.05,4.99,5.03,16328407
601333.SS,20171129,5.04,5.06,4.98,5.04,21939673
601333.SS,20171128,4.9,5.05,4.87,5.04,34559001
601333.SS,20171127,4.86,4.96,4.8,4.93,32539975
601333.SS,20171124,4.87,4.88,4.8,4.86,16539006
601333.SS,20171123,4.98,4.99,4.87,4.89,29249617
601333.SS,20171122,4.88,5.0,4.85,4.99,40570223
601333.SS,20171121,4.84,4.89,4.79,4.87,24304411
601333.SS,20171120,4.82,4.88,4.68,4.85,26650321
601333.SS,20171117,4.93,5.0,4.79,4.81,44001922
601333.SS,20171116,4.94,4.98,4.9,4.95,17152461
601333.SS,20171115,4.97,5.04,4.93,4.93,20748200
601333.SS,20171114,5.06,5.08,4.98,4.99,23452459
