<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
600600.SS,20180518,51.009997999999996,52.189999,50.369999,51.860001000000004,6555830.0
600600.SS,20180517,52.0,52.0,50.759997999999996,51.389998999999996,6519211.0
600600.SS,20180516,50.950001,53.580002,50.450001,52.130001,13835067.0
600600.SS,20180515,49.299999,51.880001,48.549999,51.509997999999996,9808144.0
600600.SS,20180514,48.939999,50.73,48.400002,49.5,8025044.0
600600.SS,20180511,48.939999,49.5,48.139998999999996,48.990002000000004,6325094.0
600600.SS,20180510,49.099998,50.799999,48.200001,49.130001,9485431.0
600600.SS,20180509,48.700001,49.27,48.18,49.009997999999996,8354584.0
600600.SS,20180508,47.98,49.02,47.509997999999996,48.740002000000004,12844845.0
600600.SS,20180507,42.900002,47.25,42.880001,47.25,15191093.0
600600.SS,20180504,41.400002,43.18,41.400002,42.950001,7161568.0
600600.SS,20180503,41.950001,42.330002,41.27,41.970001,4560889.0
600600.SS,20180502,40.990002000000004,42.09,40.619999,42.049999,6526435.0
600600.SS,20180427,40.919998,41.599998,39.459998999999996,40.689999,6487003.0
600600.SS,20180426,42.869999,43.169998,40.52,40.919998,8625025.0
600600.SS,20180425,43.990002000000004,43.990002000000004,42.66,43.189999,5308998.0
600600.SS,20180424,42.990002000000004,44.189999,42.700001,43.34,6721515.0
600600.SS,20180423,41.759997999999996,43.5,41.759997999999996,42.740002000000004,6193319.0
600600.SS,20180420,42.93,43.650002,41.709998999999996,41.759997999999996,4962446.0
600600.SS,20180419,41.880001,43.18,41.369999,42.93,6616466.0
600600.SS,20180418,42.82,43.240002000000004,41.0,41.900002,6657916.0
600600.SS,20180417,43.740002000000004,43.950001,42.290001000000004,42.73,5010235.0
600600.SS,20180416,42.799999,44.700001,42.59,43.709998999999996,8193151.0
600600.SS,20180413,43.610001000000004,44.25,42.279999,42.540001000000004,5205826.0
600600.SS,20180412,43.720001,44.650002,43.380001,43.610001000000004,4930294.0
600600.SS,20180411,43.040001000000004,44.450001,42.75,43.740002000000004,8591649.0
600600.SS,20180410,41.98,43.240002000000004,41.259997999999996,43.09,6696156.0
600600.SS,20180409,41.700001,43.0,41.080002,41.98,6182906.0
600600.SS,20180404,42.52,43.470001,41.689999,42.490002000000004,8214281.0
600600.SS,20180403,40.349998,42.220001,40.25,42.07,7831465.0
600600.SS,20180402,40.200001,41.990002000000004,40.200001,40.830002,5955601.0
600600.SS,20180330,40.0,40.849998,39.759997999999996,40.43,5469584.0
600600.SS,20180329,39.169998,40.09,38.029999,39.990002000000004,5758640.0
600600.SS,20180328,39.799999,39.880001,38.720001,39.16,6572036.0
600600.SS,20180327,40.349998,40.790001000000004,39.740002000000004,40.639998999999996,6288552.0
600600.SS,20180326,37.689999,40.34,37.5,40.209998999999996,5862439.0
600600.SS,20180323,37.669998,38.810001,37.049999,38.040001000000004,6938919.0
600600.SS,20180322,39.68,40.349998,39.040001000000004,39.43,4975029.0
600600.SS,20180321,40.349998,41.189999,39.459998999999996,39.68,5039598.0
600600.SS,20180320,40.0,40.490002000000004,39.73,40.259997999999996,3733838.0
600600.SS,20180319,40.25,40.860001000000004,39.59,40.490002000000004,4513009.0
600600.SS,20180316,41.23,41.709998999999996,40.02,40.259997999999996,6851504.0
600600.SS,20180315,40.68,42.209998999999996,40.5,41.220001,7975698.0
600600.SS,20180314,40.560001,41.07,40.310001,40.830002,4479442.0
600600.SS,20180313,40.799999,41.459998999999996,40.209998999999996,40.779999,7782228.0
600600.SS,20180312,39.700001,41.150002,39.700001,40.91,11200954.0
600600.SS,20180309,38.0,39.389998999999996,38.0,38.91,9522475.0
600600.SS,20180308,36.849998,37.490002000000004,36.59,37.389998999999996,3287529.0
600600.SS,20180307,37.5,38.080002,36.75,36.990002000000004,5142692.0
600600.SS,20180306,37.119999,37.639998999999996,36.799999,37.43,4122206.0
600600.SS,20180305,37.5,37.880001,36.779999,36.959998999999996,3580367.0
600600.SS,20180302,37.68,38.220001,37.389998999999996,37.5,3128880.0
600600.SS,20180301,37.759997999999996,38.470001,37.509997999999996,38.25,3386758.0
600600.SS,20180228,37.810001,38.16,36.700001,38.130001,4420148.0
600600.SS,20180227,38.939999,38.990002000000004,37.700001,38.130001,4103654.0
600600.SS,20180226,38.740002000000004,39.23,38.25,39.029999,3721965.0
600600.SS,20180223,38.450001,38.68,38.060001,38.630001,2664284.0
600600.SS,20180222,38.369999,38.77,38.040001000000004,38.43,4764176.0
600600.SS,20180214,37.34,37.950001,37.09,37.82,1732576.0
600600.SS,20180213,37.029999,38.099998,37.029999,37.32,3505706.0
600600.SS,20180212,35.990002000000004,36.970001,35.860001000000004,36.75,3295634.0
600600.SS,20180209,36.389998999999996,36.639998999999996,35.080002,35.740002000000004,6105094.0
600600.SS,20180208,37.0,37.799999,36.639998999999996,37.48,4438518.0
600600.SS,20180207,38.66,38.799999,37.330002,37.41,5781486.0
600600.SS,20180206,38.52,38.880001,37.0,38.02,7764072.0
600600.SS,20180205,39.150002,39.75,38.299999,39.630001,8759720.0
600600.SS,20180202,38.279999,40.470001,37.650002,40.16,6104380.0
600600.SS,20180201,39.549999,39.849998,37.5,38.299999,7053444.0
600600.SS,20180131,39.02,40.099998,38.939999,39.889998999999996,6446493.0
600600.SS,20180130,38.950001,39.369999,38.599998,38.939999,5073292.0
600600.SS,20180129,41.110001000000004,41.439999,38.830002,39.259997999999996,8992349.0
600600.SS,20180126,40.889998999999996,41.970001,40.66,41.080002,9653237.0
600600.SS,20180125,40.900002,41.27,40.299999,40.799999,6171401.0
600600.SS,20180124,40.889998999999996,41.599998,40.560001,41.07,8579907.0
600600.SS,20180123,41.529999,41.880001,40.5,41.0,10143433.0
600600.SS,20180122,41.25,41.639998999999996,40.869999,41.490002000000004,9848055.0
600600.SS,20180119,42.630001,42.970001,40.450001,41.650002,13077192.0
600600.SS,20180118,42.970001,43.650002,42.299999,43.080002,7122958.0
