<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
600900.SS,20170825,15.29,15.37,15.25,15.36,17854867.0
600900.SS,20170824,15.25,15.3,15.19,15.25,9534970.0
600900.SS,20170823,15.24,15.32,15.2,15.25,7253416.0
600900.SS,20170822,15.25,15.3,15.17,15.26,9815278.0
600900.SS,20170821,15.38,15.49,15.22,15.28,12950256.0
600900.SS,20170818,15.3,15.44,15.27,15.42,7628526.0
600900.SS,20170817,15.36,15.45,15.31,15.33,18153848.0
600900.SS,20170816,15.09,15.35,15.09,15.34,20800860.0
600900.SS,20170815,15.04,15.23,15.02,15.09,20728006.0
600900.SS,20170814,15.2,15.23,14.94,15.02,24262039.0
600900.SS,20170811,14.96,15.25,14.96,15.12,33293352.0
600900.SS,20170810,14.95,15.08,14.78,15.05,25739692.0
600900.SS,20170809,14.93,14.96,14.84,14.92,14146923.0
600900.SS,20170808,15.03,15.05,14.82,14.91,20957647.0
600900.SS,20170807,14.95,15.06,14.77,15.02,32384385.0
600900.SS,20170804,15.45,15.5,14.94,14.98,45504713.0
600900.SS,20170803,15.47,15.62,15.45,15.49,17115133.0
600900.SS,20170802,15.3,15.5,15.3,15.48,14388309.0
600900.SS,20170801,15.24,15.35,15.2,15.29,11296913.0
600900.SS,20170731,15.3,15.35,15.12,15.21,11857578.0
600900.SS,20170728,14.99,15.33,14.99,15.32,18382830.0
600900.SS,20170727,14.95,15.07,14.93,15.01,17009655.0
600900.SS,20170726,14.82,15.0,14.78,14.97,22219621.0
600900.SS,20170725,14.9,15.01,14.82,14.89,16696493.0
600900.SS,20170724,15.04,15.11,14.91,14.92,12680007.0
600900.SS,20170721,15.04,15.15,14.99,15.03,10380539.0
600900.SS,20170720,14.92,15.1,14.9,15.1,14022195.0
600900.SS,20170719,14.91,15.0,14.84,14.91,18520685.0
600900.SS,20170718,14.95,15.02,14.88,14.94,18191811.0
600900.SS,20170717,14.88,15.0,14.68,14.98,26792590.0
600900.SS,20170714,14.58,14.86,14.56,14.85,39781497.0
600900.SS,20170713,15.37,15.37,15.13,15.21,30635078.0
600900.SS,20170712,15.66,15.7,15.26,15.33,26575518.0
600900.SS,20170711,15.52,15.68,15.45,15.63,14176720.0
600900.SS,20170710,15.38,15.58,15.3,15.52,18203354.0
600900.SS,20170707,15.23,15.37,15.12,15.34,20621659.0
600900.SS,20170706,15.2,15.27,15.14,15.25,19751527.0
600900.SS,20170705,15.4,15.43,15.12,15.19,25516246.0
600900.SS,20170704,15.32,15.43,15.14,15.41,26304603.0
600900.SS,20170703,15.39,15.47,15.23,15.34,24521469.0
600900.SS,20170630,15.1,15.39,15.07,15.38,27116321.0
600900.SS,20170629,15.07,15.23,15.02,15.19,21299587.0
600900.SS,20170628,15.02,15.11,14.91,15.0,18423610.0
600900.SS,20170627,15.01,15.04,14.95,15.01,18110038.0
600900.SS,20170626,14.91,15.02,14.88,14.95,21191743.0
600900.SS,20170623,14.82,14.9,14.78,14.88,18746703.0
600900.SS,20170622,14.71,14.88,14.67,14.81,30167767.0
600900.SS,20170621,14.68,14.73,14.51,14.71,25616713.0
600900.SS,20170620,14.55,14.61,14.48,14.56,22363723.0
600900.SS,20170619,14.43,14.53,14.42,14.53,15910151.0
600900.SS,20170616,14.41,14.48,14.38,14.4,15505655.0
600900.SS,20170615,14.53,14.54,14.38,14.4,18695390.0
600900.SS,20170614,14.73,14.74,14.47,14.53,37278235.0
600900.SS,20170613,14.88,14.9,14.65,14.7,29584530.0
600900.SS,20170612,14.83,14.95,14.8,14.89,16132987.0
600900.SS,20170609,15.08,15.15,14.84,14.88,28952167.0
600900.SS,20170608,14.79,15.06,14.75,15.05,25267028.0
600900.SS,20170607,14.76,14.91,14.7,14.8,18156420.0
