<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
CAE.TO,20180518,24.43,24.9,24.360001,24.889999,445783.0
CAE.TO,20180517,24.549999,24.620001000000002,24.389999,24.43,461600.0
CAE.TO,20180516,24.51,24.84,24.51,24.530001000000002,349300.0
CAE.TO,20180515,24.57,24.780001000000002,24.540001,24.559998999999998,188600.0
CAE.TO,20180514,24.43,24.74,24.34,24.620001000000002,255600.0
CAE.TO,20180511,24.42,24.549999,24.299999,24.379998999999998,520400.0
CAE.TO,20180510,24.33,24.52,24.290001,24.43,309200.0
CAE.TO,20180509,24.299999,24.34,24.17,24.32,341400.0
CAE.TO,20180508,24.219998999999998,24.450001,24.219998999999998,24.32,430100.0
CAE.TO,20180507,24.190001000000002,24.299999,22.5,24.27,621300.0
CAE.TO,20180504,23.91,24.18,23.690001000000002,24.15,448200.0
CAE.TO,20180503,24.0,24.01,23.67,23.92,697800.0
CAE.TO,20180502,24.209999,24.280001000000002,23.99,24.0,348100.0
CAE.TO,20180501,24.309998999999998,24.34,24.120001000000002,24.200001,319000.0
CAE.TO,20180430,24.41,24.51,24.23,24.27,525400.0
CAE.TO,20180427,24.450001,24.469998999999998,24.26,24.379998999999998,85200.0
CAE.TO,20180426,24.42,24.49,24.309998999999998,24.43,480400.0
CAE.TO,20180425,24.66,24.700001,24.299999,24.4,556000.0
CAE.TO,20180424,24.889999,25.030001000000002,24.559998999999998,24.629998999999998,495700.0
CAE.TO,20180423,24.73,24.85,24.65,24.85,816700.0
CAE.TO,20180420,24.639999,24.74,24.59,24.74,223800.0
CAE.TO,20180419,24.799999,24.799999,24.49,24.620001000000002,263000.0
CAE.TO,20180418,24.860001,25.129998999999998,24.809998999999998,24.9,263300.0
CAE.TO,20180417,24.540001,24.860001,24.540001,24.790001,673400.0
CAE.TO,20180416,24.49,24.540001,24.379998999999998,24.5,165500.0
CAE.TO,20180413,24.5,24.559998999999998,24.34,24.35,345700.0
CAE.TO,20180412,24.290001,24.57,24.290001,24.559998999999998,560800.0
CAE.TO,20180411,23.950001,24.379998999999998,23.91,24.26,703500.0
CAE.TO,20180410,24.059998999999998,24.18,23.879998999999998,23.92,434900.0
CAE.TO,20180409,24.059998999999998,24.18,23.85,23.85,369000.0
