<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
CUF-UN.TO,20180518,12.06,12.125,12.06,12.1,162813.0
CUF-UN.TO,20180517,12.13,12.17,12.04,12.05,338490.0
CUF-UN.TO,20180516,12.25,12.35,12.18,12.2,435663.0
CUF-UN.TO,20180515,12.4,12.4,12.22,12.26,446154.0
CUF-UN.TO,20180514,12.47,12.585,12.43,12.43,142619.0
CUF-UN.TO,20180511,12.43,12.56,12.43,12.51,279238.0
CUF-UN.TO,20180510,12.48,12.53,12.42,12.49,220122.0
CUF-UN.TO,20180509,12.57,12.62,12.45,12.47,297476.0
CUF-UN.TO,20180508,12.62,12.74,12.48,12.64,516248.0
CUF-UN.TO,20180507,12.51,12.67,12.51,12.67,465407.0
CUF-UN.TO,20180504,12.49,12.59,12.49,12.53,223219.0
CUF-UN.TO,20180503,12.46,12.59,12.46,12.54,142794.0
CUF-UN.TO,20180502,12.47,12.6,12.45,12.52,219378.0
CUF-UN.TO,20180501,12.52,12.57,12.48,12.51,206256.0
CUF-UN.TO,20180430,12.43,12.54,12.43,12.53,281315.0
CUF-UN.TO,20180427,12.4,12.49,12.39,12.48,103781.0
CUF-UN.TO,20180426,12.4,12.47,12.4,12.44,198285.0
CUF-UN.TO,20180425,12.53,12.56,12.34,12.39,287408.0
CUF-UN.TO,20180424,12.66,12.7,12.55,12.57,392209.0
CUF-UN.TO,20180423,12.65,12.74,12.65,12.68,407383.0
CUF-UN.TO,20180420,12.55,12.66,12.55,12.65,386556.0
CUF-UN.TO,20180419,12.59,12.61,12.48,12.61,336151.0
CUF-UN.TO,20180418,12.56,12.65,12.55,12.62,352884.0
CUF-UN.TO,20180417,12.49,12.56,12.39,12.55,278507.0
CUF-UN.TO,20180416,12.23,12.55,12.23,12.52,738150.0
CUF-UN.TO,20180413,12.22,12.31,12.2,12.25,316003.0
CUF-UN.TO,20180412,12.38,12.39,12.15,12.22,608253.0
CUF-UN.TO,20180411,12.45,12.48,12.4,12.4,228626.0
CUF-UN.TO,20180410,12.58,12.6,12.45,12.5,245266.0
CUF-UN.TO,20180409,12.6,12.65,12.56,12.56,187932.0
CUF-UN.TO,20180406,12.65,12.73,12.56,12.56,175652.0
CUF-UN.TO,20180405,12.51,12.7,12.51,12.64,383907.0
CUF-UN.TO,20180404,12.73,12.76,12.53,12.55,565366.0
CUF-UN.TO,20180403,12.85,12.88,12.74,12.78,429515.0
CUF-UN.TO,20180402,12.86,12.9,12.83,12.88,382408.0
CUF-UN.TO,20180329,13.0,13.06,12.87,12.89,600439.0
CUF-UN.TO,20180328,12.86,13.02,12.86,12.97,499579.0
CUF-UN.TO,20180327,12.93,12.94,12.85,12.91,245778.0
CUF-UN.TO,20180326,12.97,12.99,12.86,12.93,280169.0
CUF-UN.TO,20180323,12.9,13.11,12.89,12.9,500491.0
CUF-UN.TO,20180322,12.9,13.0,12.9,12.94,401906.0
CUF-UN.TO,20180321,13.06,13.16,12.98,12.98,403155.0
CUF-UN.TO,20180320,13.06,13.15,13.06,13.07,587154.0
CUF-UN.TO,20180319,13.05,13.12,12.97,13.06,440151.0
CUF-UN.TO,20180316,13.06,13.28,13.02,13.13,2123843.0
CUF-UN.TO,20180315,13.2,13.27,13.11,13.18,395828.0
CUF-UN.TO,20180314,13.3,13.3,13.15,13.22,248685.0
CUF-UN.TO,20180313,13.12,13.425,13.12,13.27,515881.0
CUF-UN.TO,20180312,12.91,13.18,12.91,13.15,671613.0
CUF-UN.TO,20180309,12.91,13.02,12.89,12.93,1272642.0
CUF-UN.TO,20180308,12.4,13.14,12.33,13.05,3866317.0
CUF-UN.TO,20180307,13.74,13.83,13.72,13.76,272251.0
CUF-UN.TO,20180306,13.84,13.855,13.69,13.8,313527.0
CUF-UN.TO,20180305,13.76,13.87,13.72,13.84,197279.0
CUF-UN.TO,20180302,13.7,13.78,13.67,13.77,399049.0
CUF-UN.TO,20180301,13.85,13.85,13.71,13.76,239188.0
CUF-UN.TO,20180228,13.93,13.93,13.8,13.86,355395.0
CUF-UN.TO,20180227,14.01,14.05,13.865,13.87,241964.0
CUF-UN.TO,20180226,14.01,14.09,14.0,14.08,234271.0
CUF-UN.TO,20180223,13.91,14.04,13.9,13.99,179306.0
CUF-UN.TO,20180222,14.04,14.04,13.87,13.89,264024.0
CUF-UN.TO,20180221,14.0,14.07,13.96,13.99,380083.0
CUF-UN.TO,20180220,14.1,14.17,13.96,14.0,252502.0
CUF-UN.TO,20180216,13.91,14.13,13.91,14.13,337091.0
CUF-UN.TO,20180215,13.9,13.97,13.8,13.96,254040.0
CUF-UN.TO,20180214,13.77,13.91,13.66,13.85,310342.0
CUF-UN.TO,20180213,13.9,13.9,13.74,13.82,249852.0
CUF-UN.TO,20180212,13.79,13.93,13.75,13.87,269712.0
CUF-UN.TO,20180209,13.8,13.84,13.64,13.8,503648.0
CUF-UN.TO,20180208,13.91,13.965,13.83,13.85,505431.0
CUF-UN.TO,20180207,13.86,14.04,13.86,13.95,360441.0
CUF-UN.TO,20180206,13.75,13.93,13.51,13.87,550092.0
CUF-UN.TO,20180205,13.85,14.03,13.84,13.93,338318.0
CUF-UN.TO,20180202,14.21,14.21,14.02,14.05,663335.0
CUF-UN.TO,20180201,14.48,14.51,14.25,14.28,616174.0
CUF-UN.TO,20180131,14.44,14.59,14.41,14.49,592518.0
CUF-UN.TO,20180130,14.63,14.63,14.39,14.46,546536.0
CUF-UN.TO,20180129,14.88,14.9,14.72,14.73,346054.0
CUF-UN.TO,20180126,14.82,14.94,14.82,14.9,305345.0
CUF-UN.TO,20180125,14.77,14.95,14.77,14.82,607197.0
CUF-UN.TO,20180124,14.88,14.9,14.75,14.83,573945.0
CUF-UN.TO,20180123,14.84,14.91,14.83,14.91,370992.0
CUF-UN.TO,20180122,14.8,14.86,14.76,14.83,350344.0
CUF-UN.TO,20180119,14.77,14.84,14.69,14.79,553922.0
CUF-UN.TO,20180118,14.73,14.81,14.72,14.76,610567.0
CUF-UN.TO,20180117,14.62,14.75,14.62,14.73,392441.0
CUF-UN.TO,20180116,14.5,14.67,14.49,14.63,511237.0
CUF-UN.TO,20180115,14.39,14.51,14.38,14.5,257742.0
CUF-UN.TO,20180112,14.43,14.46,14.38,14.46,280339.0
CUF-UN.TO,20180111,14.36,14.43,14.35,14.38,371400.0
CUF-UN.TO,20180110,14.5,14.5,14.32,14.38,492411.0
CUF-UN.TO,20180109,14.48,14.61,14.43,14.48,584897.0
CUF-UN.TO,20180108,14.31,14.45,14.31,14.45,427835.0
CUF-UN.TO,20180105,14.24,14.39,14.17,14.36,458730.0
CUF-UN.TO,20180104,14.3,14.31,14.21,14.27,267065.0
CUF-UN.TO,20180103,14.39,14.45,14.245,14.31,420651.0
CUF-UN.TO,20180102,14.36,14.48,14.34,14.4,252226.0
CUF-UN.TO,20171229,14.34,14.44,14.3,14.4,339910.0
CUF-UN.TO,20171228,14.14,14.38,14.1,14.34,478324.0
CUF-UN.TO,20171227,14.1,14.18,14.06,14.16,376610.0
CUF-UN.TO,20171222,14.12,14.17,14.09,14.14,277728.0
CUF-UN.TO,20171221,14.12,14.18,14.01,14.14,546436.0
CUF-UN.TO,20171220,14.22,14.25,14.2,14.21,480028.0
CUF-UN.TO,20171219,14.28,14.32,14.2,14.22,699395.0
CUF-UN.TO,20171218,14.3,14.6,14.22,14.28,912617.0
CUF-UN.TO,20171215,14.21,14.26,14.11,14.26,1599892.0
CUF-UN.TO,20171214,14.16,14.2,14.04,14.18,295266.0
CUF-UN.TO,20171213,14.16,14.21,14.16,14.21,231954.0
CUF-UN.TO,20171212,14.13,14.19,14.12,14.18,268109.0
CUF-UN.TO,20171211,14.14,14.18,14.09,14.14,190858.0
CUF-UN.TO,20171208,14.06,14.18,14.02,14.14,280375.0
CUF-UN.TO,20171207,14.0,14.06,13.97,14.06,298359.0
