<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
GWO.TO,20180518,33.43,33.630001,33.349998,33.400002,479966.0
GWO.TO,20180517,33.549999,33.650002,33.380001,33.400002,257700.0
GWO.TO,20180516,33.25,33.549999,33.25,33.5,637200.0
GWO.TO,20180515,33.23,33.360001000000004,33.200001,33.25,630300.0
GWO.TO,20180514,33.41,33.560001,33.25,33.299999,851800.0
GWO.TO,20180511,33.349998,33.490002000000004,33.310001,33.389998999999996,304400.0
GWO.TO,20180510,33.52,33.619999,33.290001000000004,33.330002,601700.0
GWO.TO,20180509,33.700001,33.759997999999996,33.200001,33.580002,424700.0
GWO.TO,20180508,33.66,33.689999,33.400002,33.610001000000004,455500.0
GWO.TO,20180507,33.52,33.740002000000004,33.349998,33.66,269900.0
GWO.TO,20180504,33.439999,33.880001,33.41,33.48,430900.0
GWO.TO,20180503,34.009997999999996,34.41,33.790001000000004,33.900002,515500.0
GWO.TO,20180502,34.32,34.360001000000004,34.07,34.150002,414100.0
GWO.TO,20180501,34.23,34.41,34.169998,34.34,428500.0
GWO.TO,20180430,34.189999,34.389998999999996,34.09,34.23,510500.0
GWO.TO,20180427,34.220001,34.450001,34.189999,34.25,124100.0
GWO.TO,20180426,33.950001,34.32,33.669998,34.23,330700.0
GWO.TO,20180425,33.75,34.02,33.5,33.869999,426500.0
GWO.TO,20180424,33.75,33.990002000000004,33.700001,33.82,329600.0
GWO.TO,20180423,33.470001,33.75,33.41,33.66,467500.0
GWO.TO,20180420,33.389998999999996,33.639998999999996,33.360001000000004,33.380001,410700.0
GWO.TO,20180419,33.400002,33.470001,33.27,33.349998,282500.0
GWO.TO,20180418,33.450001,33.689999,33.349998,33.380001,827200.0
GWO.TO,20180417,33.09,33.419998,32.990002000000004,33.380001,543900.0
GWO.TO,20180416,33.0,33.07,32.740002000000004,32.939999,395300.0
GWO.TO,20180413,33.080002,33.080002,32.75,32.889998999999996,372900.0
GWO.TO,20180412,33.209998999999996,33.330002,32.810001,32.889998999999996,490500.0
GWO.TO,20180411,33.43,33.439999,33.119999,33.23,482600.0
GWO.TO,20180410,33.950001,33.959998999999996,33.299999,33.470001,457800.0
GWO.TO,20180409,33.470001,33.91,33.380001,33.669998,531500.0
GWO.TO,20180406,33.73,33.889998999999996,33.16,33.34,981000.0
GWO.TO,20180405,33.290001000000004,33.889998999999996,33.259997999999996,33.779999,963300.0
GWO.TO,20180404,32.759997999999996,33.369999,32.509997999999996,33.279999,874900.0
GWO.TO,20180403,32.93,33.09,32.599998,32.82,409400.0
GWO.TO,20180402,32.860001000000004,32.950001,32.419998,32.889998999999996,473500.0
GWO.TO,20180329,32.610001000000004,32.950001,32.580002,32.880001,844700.0
GWO.TO,20180328,32.389998999999996,32.77,32.27,32.57,433200.0
GWO.TO,20180327,32.599998,32.650002,32.32,32.43,551500.0
GWO.TO,20180326,33.049999,33.080002,32.439999,32.580002,685400.0
GWO.TO,20180323,33.18,33.43,32.75,32.959998999999996,561700.0
GWO.TO,20180322,33.799999,33.91,33.009997999999996,33.25,614800.0
GWO.TO,20180321,33.950001,34.169998,33.810001,33.810001,355800.0
GWO.TO,20180320,33.84,34.07,33.759997999999996,33.91,395600.0
GWO.TO,20180319,34.02,34.189999,33.73,33.82,506500.0
GWO.TO,20180316,34.060001,34.27,33.849998,34.110001000000004,1907200.0
GWO.TO,20180315,33.959998999999996,34.139998999999996,33.959998999999996,34.07,601300.0
GWO.TO,20180314,34.0,34.080002,33.759997999999996,34.029999,353400.0
GWO.TO,20180313,34.099998,34.259997999999996,33.959998999999996,34.02,384200.0
GWO.TO,20180312,33.919998,34.27,33.689999,34.009997999999996,507300.0
GWO.TO,20180309,33.950001,34.0,33.700001,33.919998,351900.0
GWO.TO,20180308,33.799999,34.029999,33.740002000000004,33.93,312500.0
GWO.TO,20180307,33.549999,33.880001,33.48,33.75,528800.0
GWO.TO,20180306,33.889998999999996,33.990002000000004,33.630001,33.650002,342100.0
GWO.TO,20180305,33.369999,33.709998999999996,33.299999,33.610001000000004,347100.0
GWO.TO,20180302,33.380001,33.470001,33.27,33.360001000000004,387200.0
GWO.TO,20180301,33.790001000000004,33.91,33.240002000000004,33.540001000000004,932700.0
GWO.TO,20180228,34.0,34.07,33.68,33.860001000000004,1064000.0
GWO.TO,20180227,34.450001,34.639998999999996,34.130001,34.220001,509500.0
GWO.TO,20180226,34.529999,34.639998999999996,34.400002,34.5,694300.0
GWO.TO,20180223,34.27,34.540001000000004,34.27,34.5,501500.0
GWO.TO,20180222,34.240002000000004,34.369999,34.110001000000004,34.209998999999996,593300.0
GWO.TO,20180221,33.66,34.439999,33.650002,34.23,593600.0
GWO.TO,20180220,33.810001,33.84,33.419998,33.610001000000004,653800.0
GWO.TO,20180216,33.84,34.130001,33.799999,33.93,372700.0
GWO.TO,20180215,34.240002000000004,34.380001,33.700001,33.84,625500.0
GWO.TO,20180214,33.849998,34.220001,33.66,33.98,596800.0
GWO.TO,20180213,33.93,34.009997999999996,33.540001000000004,33.889998999999996,498000.0
GWO.TO,20180212,34.119999,34.240002000000004,33.82,33.950001,601200.0
