<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IFC.TO,20180504,96.160004,97.239998,95.779999,96.57,139800.0
IFC.TO,20180503,96.209999,96.690002,95.779999,96.349998,303700.0
IFC.TO,20180502,97.0,97.050003,95.980003,96.080002,163000.0
IFC.TO,20180501,97.370003,97.389999,96.199997,97.010002,160500.0
IFC.TO,20180430,98.0,98.470001,97.690002,97.900002,167700.0
IFC.TO,20180427,97.620003,98.690002,97.540001,98.099998,78600.0
IFC.TO,20180426,97.650002,98.849998,97.099998,97.889999,173500.0
IFC.TO,20180425,96.830002,97.910004,96.739998,97.769997,160200.0
IFC.TO,20180424,97.25,98.150002,96.860001,97.080002,98400.0
IFC.TO,20180423,97.110001,98.209999,97.099998,97.129997,107300.0
IFC.TO,20180420,96.470001,97.220001,96.370003,96.849998,195000.0
IFC.TO,20180419,96.370003,97.099998,96.300003,96.599998,166900.0
IFC.TO,20180418,96.279999,96.75,95.879997,96.470001,140900.0
IFC.TO,20180417,95.900002,96.660004,95.900002,96.330002,176600.0
IFC.TO,20180416,96.18,96.300003,95.529999,95.809998,147900.0
IFC.TO,20180413,97.330002,97.330002,95.839996,96.0,198400.0
IFC.TO,20180412,96.470001,97.290001,96.370003,96.949997,229300.0
IFC.TO,20180411,95.989998,96.730003,94.800003,96.5,326800.0
IFC.TO,20180410,97.559998,97.720001,96.730003,96.82,131000.0
IFC.TO,20180409,96.690002,97.959999,96.690002,97.120003,193800.0
IFC.TO,20180406,96.739998,97.779999,96.360001,96.489998,176100.0
IFC.TO,20180405,95.699997,97.580002,95.699997,96.919998,227400.0
IFC.TO,20180404,96.110001,96.110001,94.809998,95.68,214100.0
IFC.TO,20180403,96.379997,96.639999,96.010002,96.150002,128600.0
IFC.TO,20180402,96.629997,96.629997,95.610001,96.370003,114800.0
IFC.TO,20180329,96.830002,97.580002,96.519997,96.809998,230800.0
IFC.TO,20180328,95.800003,96.949997,95.440002,96.589996,170100.0
IFC.TO,20180327,96.599998,97.32,95.269997,95.800003,325600.0
IFC.TO,20180326,95.760002,95.93,94.57,95.800003,248400.0
IFC.TO,20180323,97.029999,97.120003,95.150002,95.489998,188600.0
IFC.TO,20180322,98.139999,98.529999,96.529999,96.830002,153100.0
IFC.TO,20180321,97.800003,99.199997,97.800003,98.739998,204300.0
IFC.TO,20180320,98.760002,98.760002,97.089996,97.709999,393200.0
IFC.TO,20180319,99.489998,99.919998,98.360001,98.599998,176400.0
IFC.TO,20180316,98.989998,101.449997,98.989998,99.489998,500600.0
IFC.TO,20180315,97.330002,98.309998,97.25,98.120003,232800.0
IFC.TO,20180314,98.589996,98.589996,97.209999,97.32,139800.0
IFC.TO,20180313,99.279999,99.75,98.93,99.0,101900.0
IFC.TO,20180312,99.419998,99.580002,98.790001,99.150002,127300.0
IFC.TO,20180309,99.419998,99.690002,99.199997,99.470001,127000.0
IFC.TO,20180308,98.889999,99.419998,98.760002,99.419998,154200.0
IFC.TO,20180307,98.849998,99.589996,98.339996,98.690002,220000.0
IFC.TO,20180306,98.989998,99.290001,98.669998,99.059998,216500.0
IFC.TO,20180305,98.599998,99.580002,98.400002,98.82,248200.0
IFC.TO,20180302,97.110001,99.720001,97.110001,98.900002,245900.0
IFC.TO,20180301,99.010002,99.010002,96.559998,97.349998,355900.0
IFC.TO,20180228,98.919998,99.279999,98.610001,99.25,356400.0
IFC.TO,20180227,98.019997,99.029999,97.300003,98.910004,294500.0
IFC.TO,20180226,98.080002,99.400002,97.559998,97.779999,217200.0
IFC.TO,20180223,97.339996,98.830002,97.330002,97.720001,183500.0
IFC.TO,20180222,97.330002,97.709999,96.470001,97.059998,150500.0
IFC.TO,20180221,97.099998,98.099998,97.099998,97.440002,263300.0
IFC.TO,20180220,97.989998,98.480003,96.610001,97.099998,192600.0
IFC.TO,20180216,97.709999,98.360001,97.410004,98.0,162600.0
IFC.TO,20180215,97.360001,98.800003,97.360001,97.629997,189000.0
IFC.TO,20180214,96.519997,97.410004,96.040001,96.849998,329700.0
IFC.TO,20180213,97.480003,97.699997,96.300003,96.860001,271600.0
IFC.TO,20180212,97.910004,99.550003,97.220001,97.610001,212400.0
IFC.TO,20180209,98.260002,98.260002,96.949997,97.889999,250200.0
IFC.TO,20180208,97.739998,99.529999,97.550003,97.949997,482900.0
IFC.TO,20180207,98.699997,99.5,96.769997,98.510002,661600.0
IFC.TO,20180206,98.599998,100.739998,97.870003,100.120003,290500.0
IFC.TO,20180205,101.790001,101.800003,99.190002,100.040001,326400.0
IFC.TO,20180202,102.120003,103.029999,101.760002,102.099998,123700.0
IFC.TO,20180201,103.089996,103.629997,102.290001,102.989998,199300.0
IFC.TO,20180131,103.839996,103.860001,102.089996,103.129997,287100.0
IFC.TO,20180130,104.150002,104.290001,103.279999,103.839996,184500.0
IFC.TO,20180129,103.529999,104.809998,103.059998,104.150002,260900.0
IFC.TO,20180126,103.029999,104.220001,102.68,103.5,140500.0
IFC.TO,20180125,102.75,103.5,102.540001,102.739998,213200.0
IFC.TO,20180124,102.269997,103.040001,102.019997,102.639999,308000.0
IFC.TO,20180123,101.720001,102.589996,101.580002,102.260002,186900.0
IFC.TO,20180122,101.510002,102.650002,101.169998,101.669998,197300.0
IFC.TO,20180119,101.32,101.889999,101.260002,101.550003,173600.0
IFC.TO,20180118,101.900002,101.980003,100.870003,101.410004,195300.0
IFC.TO,20180117,102.050003,102.199997,101.75,101.809998,235300.0
IFC.TO,20180116,102.349998,102.349998,101.769997,102.099998,191800.0
IFC.TO,20180115,102.5,102.5,102.010002,102.080002,101000.0
IFC.TO,20180112,102.690002,102.690002,102.209999,102.599998,125400.0
IFC.TO,20180111,103.209999,103.360001,102.18,102.330002,301800.0
IFC.TO,20180110,103.129997,104.0,102.919998,103.300003,188600.0
IFC.TO,20180109,103.889999,103.889999,102.860001,103.309998,180800.0
IFC.TO,20180108,104.099998,104.32,103.57,103.68,173300.0
IFC.TO,20180105,104.239998,104.360001,103.790001,104.230003,119000.0
IFC.TO,20180104,104.970001,104.970001,104.040001,104.089996,186700.0
IFC.TO,20180103,104.440002,104.989998,103.870003,104.739998,111900.0
IFC.TO,20180102,105.0,105.0,104.0,104.599998,166900.0
IFC.TO,20171229,104.919998,105.110001,104.5,104.989998,67200.0
IFC.TO,20171228,104.660004,104.93,104.580002,104.849998,80300.0
IFC.TO,20171227,104.510002,105.089996,104.269997,104.669998,107800.0
