<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AE,20180706,48.69,49.2499,48.09,48.09,2503
AE,20180705,48.69,49.2499,48.09,48.09,2503
AE,20180703,48.69,49.2499,48.09,48.09,2503
AE,20180702,48.69,49.2499,48.09,48.09,2503
AE,20180629,48.69,49.2499,48.09,48.09,2503
AE,20180628,48.69,49.2499,48.09,48.09,2503
AE,20180627,48.69,49.2499,48.09,48.09,2503
AE,20180626,48.69,49.2499,48.09,48.09,2503
AE,20180625,48.69,49.2499,48.09,48.09,2503
AE,20180622,48.69,49.2499,48.09,48.09,2503
AE,20180621,48.69,49.2499,48.09,48.09,2503
AE,20180620,48.69,49.2499,48.09,48.09,2503
AE,20180619,48.69,49.2499,48.09,48.09,2503
AE,20180618,48.69,49.2499,48.09,48.09,2503
AE,20180615,48.69,49.2499,48.09,48.09,2503
AE,20180614,48.69,49.2499,48.09,48.09,2503
AE,20180613,48.69,49.2499,48.09,48.09,2503
AE,20180612,48.69,49.2499,48.09,48.09,2503
AE,20180611,48.69,49.2499,48.09,48.09,2503
AE,20180608,48.69,49.2499,48.09,48.09,2503
AE,20180607,48.69,49.2499,48.09,48.09,2503
AE,20180606,48.69,49.2499,48.09,48.09,2503
AE,20180605,48.69,49.2499,48.09,48.09,2503
AE,20180604,48.69,49.2499,48.09,48.09,2503
AE,20180601,48.69,49.2499,48.09,48.09,2503
AE,20180531,48.69,49.2499,48.09,48.09,2503
AE,20180530,48.69,49.2499,48.09,48.09,2503
AE,20180529,48.69,49.2499,48.09,48.09,2503
AE,20180525,48.69,49.2499,48.09,48.09,2503
AE,20180524,48.69,49.2499,48.09,48.09,2503
AE,20180523,48.69,49.2499,48.09,48.09,2503
AE,20180522,48.69,49.2499,48.09,48.09,2503
AE,20180521,48.69,49.2499,48.09,48.09,2503
AE,20180518,48.69,49.2499,48.09,48.09,2503
AE,20180517,48.69,49.2499,48.09,48.09,2503
AE,20180516,48.69,49.2499,48.09,48.09,2503
AE,20180515,48.69,49.2499,48.09,48.09,2503
AE,20180514,48.69,49.2499,48.09,48.09,2503
AE,20180511,48.69,49.2499,48.09,48.09,2503
AE,20180510,48.69,49.2499,48.09,48.09,2503
AE,20180509,49.0,49.24,48.015,48.08,1335
AE,20180508,49.71,49.71,47.64,48.0,800
AE,20180507,49.3,50.33,48.5,49.74,8608
AE,20180504,48.441,49.24,47.511,49.24,5553
AE,20180503,48.5,48.68,47.81,48.53,4422
AE,20180502,47.5,48.72,47.04,47.9,7755
AE,20180501,46.29,47.24,45.65,47.24,5564
AE,20180430,45.88,46.58,45.75,45.8,12367
AE,20180427,46.88,46.88,44.9,44.9,9069
AE,20180426,46.34,47.42,45.5,46.82,3968
AE,20180425,46.05,46.27,46.05,46.23,926
AE,20180424,46.68,47.5992,45.815,46.68,1494
AE,20180423,46.62,47.94,46.1,47.94,7075
AE,20180420,46.73,47.6295,44.9936,46.05,6469
AE,20180419,46.5,47.5,46.5,47.5,400
AE,20180418,46.64,46.95,46.05,46.6,1031
AE,20180417,46.49,46.71,45.52,46.71,1339
AE,20180416,45.29,46.7,44.63,45.99,2661
AE,20180413,45.3825,45.44,44.78,45.0,6585
AE,20180412,45.99,46.95,43.4,45.8,12408
AE,20180411,44.78,45.73,43.97,45.73,1676
AE,20180410,44.99,44.99,43.55,44.74,1651
AE,20180409,44.85,44.99,43.49,44.05,3791
AE,20180406,44.7938,44.7938,44.18,44.3,638
AE,20180405,44.9,44.9,44.9,44.9,297
AE,20180404,43.35,44.0,43.04,44.0,2342
AE,20180403,42.86,43.35,41.7426,43.35,2717
AE,20180402,42.41,43.75,42.41,42.46,2757
AE,20180329,41.8,43.5,41.54,43.5,3801
AE,20180328,40.88,41.25,39.66,41.23,1130
AE,20180327,42.1,42.46,41.03,41.03,352
AE,20180326,42.99,43.0,41.33,41.33,16985
AE,20180323,43.7,44.0,42.5,42.5,3320
AE,20180322,42.11,43.0,41.95,42.25,9675
AE,20180321,42.2,42.6899,41.1,42.63,1375
AE,20180320,41.0,42.9,40.64,40.64,2667
AE,20180319,38.35,41.9899,38.35,40.97,17354
AE,20180316,38.76,40.31,37.63,38.16,16321
AE,20180315,43.25,44.0,39.0,39.0,6460
AE,20180314,44.0,44.5,42.97,43.5,3699
AE,20180313,44.9,44.9119,42.26,42.26,4686
AE,20180312,43.5,44.4,43.4,44.33,2865
AE,20180309,42.15,43.01,42.15,43.01,11374
AE,20180308,41.71,42.67,41.32,41.65,5166
AE,20180307,42.3,42.69,41.45,41.61,4777
AE,20180306,42.17,43.85,41.11,42.27,7227
AE,20180305,39.43,43.0,39.43,42.16,10809
AE,20180302,39.25,41.7499,39.18,39.23,8484
AE,20180301,39.87,39.87,37.75,39.61,10635
AE,20180228,40.16,41.5,39.13,39.5,5303
AE,20180227,41.98,41.9895,40.74,41.0703,590
AE,20180226,42.2,42.39,40.99,40.99,5603
AE,20180223,40.66,41.99,40.66,41.99,5525
AE,20180222,41.44,42.65,40.66,40.66,6657
AE,20180221,43.84,43.84,40.285,41.5,34206
AE,20180220,42.81,44.025,42.81,43.45,4538
AE,20180216,43.97,45.37,43.53,43.72,3742
AE,20180215,44.49,44.96,43.5,44.96,1654
AE,20180214,43.27,45.25,43.27,44.02,4391
AE,20180213,40.9,44.49,40.1101,44.25,17706
AE,20180212,39.04,40.85,39.04,40.47,8785
AE,20180209,41.1,41.1,38.25,38.25,6035
AE,20180208,42.55,42.55,40.62,40.9,6356
AE,20180207,42.4,42.8,41.45,42.22,2719
AE,20180206,40.93,42.03,40.93,41.8,1489
AE,20180205,44.88,44.88,40.9,40.9,5823
AE,20180202,46.65,46.65,44.395,44.46,3394
AE,20180201,44.27,45.1,44.27,44.62,887
AE,20180131,45.26,45.45,44.5,44.5,2934
AE,20180130,45.75,45.9,45.05,45.05,1325
AE,20180129,45.72,46.17,45.3,45.75,15183
AE,20180126,46.06,46.89,46.06,46.7,3108
AE,20180125,47.11,47.11,46.01,46.71,1215
AE,20180124,47.65,47.71,46.4127,46.47,10661
AE,20180123,46.96,48.2,46.96,47.05,10137
AE,20180122,46.19,47.5,46.19,47.37,8158
AE,20180119,47.21,47.835,46.6,46.81,3348
AE,20180118,48.52,48.74,47.48,47.48,3476
AE,20180117,47.21,48.7,47.21,48.7,1451
AE,20180116,47.3,47.7504,47.3,47.3,896
AE,20180112,46.61,47.5624,46.61,47.3,2843
AE,20180111,45.66,47.0,45.66,47.0,2038
AE,20180110,46.4,46.4,45.4317,46.36,689
AE,20180109,45.6,46.9,44.8331,46.89,2173
