<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DTO,20180503,65.91,65.91,65.3268,65.3268,600
DTO,20180502,67.04,67.04,65.17,65.37,2201
DTO,20180501,66.00,67.00,65.75,66.1086,1911
DTO,20180430,65.00,65.67,63.04,65.67,1451
DTO,20180427,66.0216,66.0216,64.96,65.0802,921
DTO,20180426,63.84,63.9878,63.84,63.9878,1200
DTO,20180425,66.07,67.50,65.50,67.1818,2600
DTO,20180424,64.22,66.34,64.22,66.0175,4689
DTO,20180423,66.96,67.367,63.5545,64.2229,3100
DTO,20180420,65.76,66.50,65.1309,65.50,1546
DTO,20180419,64.24,65.50,63.80,64.9275,3983
DTO,20180418,66.00,66.84,64.46,64.79,9756
DTO,20180417,69.8401,70.183,69.6705,69.85,2326
DTO,20180416,68.92,69.70,68.515,69.70,2769
DTO,20180413,68.26,68.26,67.00,68.09,4491
DTO,20180412,69.18,69.6353,67.66,67.99,2616
DTO,20180411,70.27,70.382,67.65,69.18,14243
DTO,20180410,73.50,73.50,70.75,71.17,15224
DTO,20180409,75.5408,75.5408,75.00,75.44,1240
DTO,20180406,75.63,78.0541,75.52,77.82,22492
DTO,20180405,74.75,75.6615,74.36,74.37,5488
DTO,20180404,77.72,78.00,74.65,74.65,12324
DTO,20180403,76.30,76.30,74.4437,74.4437,3458
DTO,20180402,74.00,76.00,74.00,75.45,6010
DTO,20180329,74.09,74.6534,72.90,73.50,6494
DTO,20180328,74.15,75.99,72.264,74.20,4285
DTO,20180327,70.62,74.318,70.62,73.56,5492
DTO,20180326,70.77,72.00,70.65,70.72,4287
DTO,20180323,72.72,72.72,70.50,70.65,12003
DTO,20180322,73.72,74.50,73.60,74.05,6965
DTO,20180321,74.38,75.01,71.60,72.30,31045
DTO,20180320,76.48,77.00,75.20,75.75,8402
DTO,20180316,80.33,80.33,78.56,78.9144,4288
DTO,20180315,81.20,81.20,81.20,81.20,1224
DTO,20180314,82.50,83.636,81.91,82.1457,2169
DTO,20180313,82.29,83.88,82.29,82.50,1280
DTO,20180312,80.9647,82.05,80.9647,81.80,6404
DTO,20180309,81.96,82.41,79.61,79.61,3505
DTO,20180308,83.29,84.50,82.90,84.50,2447
DTO,20180307,78.7773,82.9403,78.7773,81.60,7924
DTO,20180306,78.5797,78.5797,78.41,78.41,300
DTO,20180305,80.319,80.319,78.39,78.39,400
DTO,20180302,83.97,84.49,81.02,81.3071,2587
DTO,20180301,83.26,84.00,81.4601,83.00,3025
DTO,20180228,77.16,81.00,77.16,81.00,4650
DTO,20180227,75.51,78.38,75.51,78.38,1231
DTO,20180226,77.235,77.235,75.00,75.50,1507
DTO,20180223,80.10,80.10,76.24,77.34,10860
DTO,20180222,81.85,81.85,79.30,80.0949,3925
DTO,20180221,82.98,83.85,82.50,83.85,1100
DTO,20180220,80.60,82.34,80.4206,82.34,6775
DTO,20180216,82.40,82.50,81.35,81.65,2060
DTO,20180215,85.3873,85.56,82.1322,82.40,6051
DTO,20180214,88.33,88.37,83.07,83.30,7954
DTO,20180213,88.44,88.9399,86.8005,86.8005,2320
DTO,20180212,86.40,87.35,84.49,86.9075,18554
DTO,20180209,85.80,90.77,85.08,88.7557,17669
DTO,20180208,83.10,85.20,82.50,85.1795,10813
DTO,20180207,79.30,84.00,79.30,82.03,14875
DTO,20180206,80.72,80.72,77.8354,79.3484,12820
DTO,20180205,77.20,79.59,76.898,79.54,10025
DTO,20180202,76.00,78.4875,75.30,76.9897,4188
DTO,20180201,76.20,77.00,74.78,74.85,3890
DTO,20180131,78.4314,79.7029,77.20,77.20,6556
DTO,20180130,78.28,79.37,77.6604,78.2562,4989
DTO,20180129,75.20,76.19,74.90,75.37,1750
DTO,20180126,74.24,74.24,73.05,73.75,1050
DTO,20180125,72.70,76.0688,72.70,75.68,4692
DTO,20180124,76.91,77.22,73.60,75.00,22022
DTO,20180123,78.20,78.58,77.05,77.05,7496
DTO,20180122,80.8999,81.0603,78.35,79.784,6828
DTO,20180119,79.74,80.5405,79.19,79.19,3457
DTO,20180118,78.05,78.245,78.04,78.195,615
DTO,20180117,78.85,79.79,78.00,78.00,6798
DTO,20180116,78.96,79.3337,77.07,79.3337,10030
DTO,20180112,79.80,81.30,78.2001,78.22,2525
DTO,20180111,79.80,80.00,77.60,80.00,10826
DTO,20180110,80.67,81.39,80.48,80.50,6391
DTO,20180109,84.50,84.63,81.50,81.85,8500
DTO,20180108,85.25,85.44,85.00,85.00,3471
DTO,20180105,84.93,86.699,84.93,85.70,1557
DTO,20180104,84.50,85.20,83.6397,83.90,3285
DTO,20180103,86.52,87.44,84.5801,84.8838,7880
DTO,20180102,88.8724,89.49,88.8724,89.0343,1050
DTO,20171229,89.90,90.07,88.75,88.75,2994
DTO,20171228,90.5701,90.91,90.20,90.4128,1350
DTO,20171227,91.45,91.49,90.60,91.49,2617
DTO,20171226,94.00,94.00,90.10,90.6133,4402
DTO,20171222,96.48,97.04,94.50,94.84,3955
DTO,20171221,96.50,96.50,95.47,95.94,1100
DTO,20171220,96.84,96.84,95.50,95.58,503
DTO,20171219,96.92,96.92,96.92,96.92,100
DTO,20171218,98.10,98.6931,98.10,98.6931,200
DTO,20171215,97.44,98.1755,97.29,97.55,2103
DTO,20171214,101.80,101.80,98.50,99.23,2210
DTO,20171213,98.75,100.00,98.75,99.48,9074
DTO,20171212,96.99,99.00,96.62,98.40,1599
DTO,20171211,96.20,97.0199,96.00,96.00,2583
DTO,20171208,96.89,98.2399,96.88,97.30,1541
DTO,20171207,100.73,100.73,99.50,99.50,1587
DTO,20171206,99.00,102.2288,99.00,101.75,5372
DTO,20171205,97.22,97.42,96.80,96.80,408
DTO,20171204,96.161,97.499,96.161,97.2192,1526
DTO,20171201,94.96,95.6911,93.279,95.01,4969
DTO,20171130,96.80,99.30,96.80,97.72,1108
DTO,20171129,96.39,99.824,94.55,97.13,7485
DTO,20171128,94.87,96.00,94.87,95.22,1600
DTO,20171127,94.80,96.70,94.34,94.55,2388
DTO,20171124,93.21,93.4726,92.50,93.07,7249
DTO,20171122,96.44,97.88,95.61,96.14,9074
DTO,20171121,99.80,100.30,98.00,99.11,1330
DTO,20171120,101.00,103.00,100.5158,100.5158,1441
DTO,20171117,102.50,102.50,100.00,100.00,1147
DTO,20171116,105.812,105.812,104.90,104.90,1300
DTO,20171115,106.26,106.2744,104.51,105.10,8724
DTO,20171114,100.00,104.3993,100.00,104.02,8158
DTO,20171113,99.38,100.60,98.20,98.97,960
DTO,20171110,98.29,99.88,97.5968,99.65,3302
DTO,20171109,99.24,99.24,97.00,97.4962,5344
DTO,20171108,97.91,99.60,95.2331,99.05,6274
DTO,20171107,98.2297,98.58,97.00,97.95,5325
DTO,20171106,102.14,102.6176,97.25,97.4999,22425
DTO,20171103,107.21,108.0544,102.70,103.36,13620
DTO,20171102,108.9799,108.9799,107.10,107.1295,2010
DTO,20171101,106.66,110.4799,105.7911,109.24,7380
DTO,20171031,110.01,110.01,108.00,108.35,1150
DTO,20171030,109.15,110.83,108.4704,109.85,3722
DTO,20171027,115.72,115.72,110.50,110.52,15342
DTO,20171026,118.6042,118.6395,115.61,115.72,3500
DTO,20171025,118.55,119.00,117.8525,119.00,5021
DTO,20171024,117.82,118.3463,117.00,117.15,10745
DTO,20171023,118.00,119.1775,117.80,118.81,3075
DTO,20171020,121.95,121.95,121.4502,121.4502,323
DTO,20171019,120.96,121.50,120.00,120.49,7400
DTO,20171018,117.20,119.48,116.45,118.59,6259
DTO,20171017,118.31,121.00,117.46,118.00,4222
DTO,20171016,117.40,119.0405,117.12,118.20,5490
DTO,20171013,120.50,122.5799,119.50,120.83,8563
DTO,20171012,124.5541,124.94,122.94,123.00,1610
DTO,20171011,122.80,122.99,120.9145,121.43,2660
DTO,20171010,124.72,124.72,122.01,122.02,5503
DTO,20171009,127.17,128.585,127.17,127.80,2690
DTO,20171006,127.93,129.50,127.93,128.70,14366
DTO,20171005,125.92,125.92,121.80,123.08,6371
DTO,20171004,124.20,126.89,123.0001,126.66,6254
DTO,20171003,123.63,124.5008,123.37,124.20,1731
DTO,20171002,124.88,125.3262,122.95,124.2226,9353
DTO,20170929,120.25,122.0999,119.42,119.42,3218
DTO,20170928,114.60,121.54,113.82,119.71,11064
DTO,20170927,117.31,118.50,116.877,117.00,13815
DTO,20170926,118.71,120.00,117.27,117.80,8006
DTO,20170925,121.78,121.78,115.9001,116.11,25825
DTO,20170922,126.00,126.19,124.00,124.22,644
DTO,20170921,125.89,127.74,123.99,124.60,4870
DTO,20170920,124.9605,126.00,122.5927,124.3075,13597
DTO,20170919,124.98,129.50,124.80,128.29,2211
DTO,20170918,127.36,128.50,125.76,125.76,702
DTO,20170915,125.70,126.74,125.49,126.74,1350
DTO,20170914,125.40,127.00,123.50,127.00,12296
DTO,20170913,131.7967,132.2099,129.00,129.00,4091
DTO,20170912,135.61,135.61,134.7297,134.92,950
DTO,20170911,140.96,140.96,135.54,135.54,500
DTO,20170908,135.00,140.15,135.00,138.5331,1700
DTO,20170907,131.45,131.45,129.51,130.554,2253
DTO,20170906,130.00,130.50,128.78,130.1363,6415
DTO,20170905,133.16,133.40,131.30,133.005,3791
DTO,20170901,144.00,144.00,140.51,140.51,1255
DTO,20170831,144.03,144.03,140.22,141.662,3700
DTO,20170830,147.00,147.674,144.50,147.38,14121
DTO,20170829,144.95,148.00,144.95,145.10,3148
DTO,20170828,139.68,146.00,139.68,143.49,9284
DTO,20170825,139.5895,139.5895,137.834,137.834,1100
DTO,20170824,138.50,141.5436,138.50,138.9001,5903
DTO,20170823,138.39,138.39,137.50,137.50,300
DTO,20170822,138.04,138.68,136.94,137.92,1671
DTO,20170821,135.00,140.00,134.52,140.00,1765
DTO,20170818,141.6348,141.6348,133.25,133.70,4603
DTO,20170817,143.78,143.78,141.40,142.01,5113
DTO,20170816,138.10,142.50,137.90,142.42,7245
DTO,20170815,140.87,141.00,138.57,138.57,3497
DTO,20170814,132.00,139.2989,132.00,138.9781,4256
DTO,20170811,135.51,135.67,132.871,133.0536,2554
DTO,20170810,127.28,132.90,127.00,132.90,876
DTO,20170809,129.7164,131.5452,129.145,129.145,945
DTO,20170808,130.2722,131.5454,129.45,131.5454,1470
DTO,20170807,130.42,133.20,130.3228,130.3228,700
DTO,20170804,131.55,132.0049,129.2902,129.46,1833
DTO,20170803,128.22,132.2178,127.581,132.0947,7161
DTO,20170802,130.72,133.1386,129.02,129.31,18736
DTO,20170801,128.00,134.43,128.00,130.45,7512
DTO,20170731,130.00,131.7056,124.94,125.1631,12983
DTO,20170728,131.38,131.577,128.40,128.98,8112
DTO,20170727,133.34,135.849,132.0352,133.50,2890
DTO,20170726,137.88,138.8099,134.80,135.43,7293
DTO,20170725,144.01,145.00,140.20,140.20,7397
DTO,20170724,151.12,151.5574,150.0708,150.816,9060
DTO,20170721,149.157,155.2152,149.157,155.2152,1410
DTO,20170720,141.22,147.0006,141.22,147.0006,805
DTO,20170719,147.00,147.00,144.10,144.594,1544
DTO,20170718,147.1503,149.64,147.0433,149.25,7470
DTO,20170717,148.72,151.44,147.7095,151.0821,2635
DTO,20170714,148.704,150.6899,147.3288,147.415,3680
DTO,20170713,153.79,153.79,149.9348,152.28,1680
DTO,20170712,151.18,155.11,149.51,154.966,1816
DTO,20170711,162.48,162.48,157.672,157.672,1520
DTO,20170710,164.59,164.59,160.00,161.5824,4365
DTO,20170707,160.06,165.50,160.06,162.88,3780
DTO,20170706,152.18,156.03,149.00,155.51,4604
DTO,20170705,147.70,158.00,147.70,158.00,7756
DTO,20170703,148.64,148.64,146.00,146.00,4842
DTO,20170630,154.70,155.82,150.34,150.34,8405
DTO,20170629,156.49,158.02,154.786,158.02,3465
DTO,20170628,161.31,162.32,158.36,158.90,5852
DTO,20170627,164.32,164.32,160.70,161.35,4513
DTO,20170626,169.00,169.3697,165.4735,165.8433,4289
DTO,20170623,170.20,170.20,167.67,168.284,1092
DTO,20170622,169.1201,170.00,167.0711,170.00,1290
DTO,20170621,165.366,173.1289,163.67,171.08,2500
DTO,20170620,165.96,168.1303,165.6636,165.80,4901
DTO,20170619,156.50,160.00,156.126,160.00,6402
DTO,20170616,156.93,157.7374,156.8201,157.21,3349
DTO,20170615,158.44,159.15,157.8425,159.00,6600
DTO,20170614,149.20,157.80,149.20,157.50,4411
DTO,20170613,149.98,150.81,147.4308,147.65,1034
