<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DUST,20180503,23.27,23.65,22.881,23.30,5195610
DUST,20180502,24.15,24.399,22.86,24.08,5697812
DUST,20180501,25.00,25.22,24.161,24.25,4372904
DUST,20180430,23.94,24.53,23.8268,24.41,5551442
DUST,20180427,23.20,23.50,23.02,23.04,2571936
DUST,20180426,23.56,23.99,23.21,23.51,4015254
DUST,20180425,24.01,24.32,23.29,23.77,3930385
DUST,20180424,23.73,23.8382,23.04,23.19,3683831
DUST,20180423,23.87,24.18,23.64,24.04,4584352
DUST,20180420,22.86,23.50,22.77,23.16,5678126
DUST,20180419,22.17,22.865,21.83,22.17,5142477
DUST,20180418,22.00,22.4412,21.44,22.39,8332598
DUST,20180417,23.20,23.32,22.30,22.49,3187672
DUST,20180416,22.45,23.25,22.41,22.87,3296390
DUST,20180413,23.36,23.38,22.16,22.63,5922346
DUST,20180412,23.89,24.0697,23.38,23.95,3702261
DUST,20180411,24.06,24.1199,22.20,23.19,8793502
DUST,20180410,25.12,25.13,24.27,24.74,4662908
DUST,20180409,25.42,26.2299,24.99,25.68,2802450
DUST,20180406,25.16,25.5744,25.0104,25.38,2694266
DUST,20180405,26.68,26.77,25.71,25.78,2497656
DUST,20180404,25.07,26.28,24.9806,26.14,1925701
DUST,20180403,25.59,26.22,25.35,25.91,3246310
DUST,20180402,24.94,25.32,24.16,24.94,4298072
DUST,20180329,27.08,27.08,25.711,25.75,2524914
DUST,20180328,26.30,27.25,26.07,26.89,7213512
DUST,20180327,25.32,25.86,24.8576,25.72,5305754
DUST,20180326,24.89,24.9295,24.10,24.31,4112414
DUST,20180323,25.75,26.0361,24.53,25.40,5500591
DUST,20180322,26.87,27.80,26.56,27.70,2318371
DUST,20180321,28.01,28.41,25.86,26.49,6102437
DUST,20180320,28.70,29.30,28.35,28.82,4505836
DUST,20180319,28.45,29.09,27.7821,28.06,3240146
DUST,20180316,28.37,29.00,27.91,28.31,2911564
DUST,20180315,27.67,28.35,27.43,28.15,3043474
DUST,20180314,27.40,27.48,26.836,27.15,2506624
DUST,20180313,26.91,27.7611,26.57,27.27,3006487
DUST,20180312,28.14,28.58,26.93,26.98,3250782
DUST,20180309,28.04,28.32,27.00,27.75,3314955
DUST,20180308,27.42,28.25,27.25,27.41,2516706
DUST,20180307,26.38,27.98,26.00,27.68,3627462
DUST,20180306,26.55,26.56,25.2801,26.06,4242264
DUST,20180305,28.30,28.89,27.54,27.54,2391140
DUST,20180302,27.00,28.239,26.66,28.10,2654889
DUST,20180301,29.66,30.36,27.55,27.81,5913382
DUST,20180228,28.05,28.71,27.68,28.67,2689633
DUST,20180227,26.60,28.65,26.53,28.10,5130908
DUST,20180226,26.06,26.379,25.50,25.73,2553298
DUST,20180223,27.47,27.65,26.44,26.54,2786547
DUST,20180222,26.66,27.48,26.251,27.3904,4076737
DUST,20180221,26.23,27.21,24.69,27.19,5367329
DUST,20180220,25.79,26.99,25.43,26.83,4625260
DUST,20180216,23.80,25.65,23.59,24.79,6232102
DUST,20180215,23.25,24.3686,23.01,23.20,4852037
DUST,20180214,26.89,27.19,22.79,23.12,8940309
DUST,20180213,26.92,27.56,26.64,26.90,2281652
DUST,20180212,28.64,29.15,26.35,27.06,4714511
DUST,20180209,28.24,31.4578,28.161,29.51,9133430
DUST,20180208,27.61,28.2552,26.89,28.25,3976821
DUST,20180207,27.00,27.95,25.98,27.67,5571807
DUST,20180206,25.28,26.99,25.24,26.55,6690682
DUST,20180205,23.69,25.35,23.65,24.57,6207880
DUST,20180202,22.75,24.32,22.67,23.97,11852532
DUST,20180201,22.13,22.47,21.52,21.76,6431299
DUST,20180131,21.92,23.1992,21.4184,21.64,8184452
DUST,20180130,21.54,22.85,21.36,22.51,5702921
DUST,20180129,20.80,22.14,20.731,21.93,8289661
DUST,20180126,20.40,20.61,20.04,20.23,5525502
DUST,20180125,19.38,21.15,19.04,20.75,11462879
DUST,20180124,19.85,19.94,19.04,19.61,8353760
DUST,20180123,22.41,22.939,20.77,20.92,5626968
DUST,20180122,22.02,22.52,21.71,22.02,4172139
DUST,20180119,21.79,22.22,21.6504,22.19,3575179
DUST,20180118,21.38,22.44,21.06,22.30,7273331
DUST,20180117,20.79,21.46,20.05,21.38,7231819
DUST,20180116,21.21,21.29,20.21,20.31,6370985
DUST,20180112,22.54,22.82,21.27,21.33,7336980
DUST,20180111,23.48,23.48,23.04,23.16,3692067
DUST,20180110,23.35,23.83,23.01,23.56,4365465
DUST,20180109,23.80,24.38,23.53,23.93,5756830
DUST,20180108,22.66,23.4879,22.54,23.02,4226176
DUST,20180105,22.69,22.85,22.24,22.33,3415809
DUST,20180104,22.82,23.16,22.17,22.21,4614040
DUST,20180103,22.11,23.54,22.00,22.64,5203627
DUST,20180102,23.07,23.18,21.88,21.98,5214630
DUST,20171229,23.50,24.14,23.32,23.70,3615926
DUST,20171228,23.64,24.40,23.3805,23.81,3442327
DUST,20171227,23.66,24.25,23.5619,23.94,3087766
DUST,20171226,24.53,24.84,23.668,23.77,3855029
DUST,20171222,25.32,25.53,24.72,24.76,3271516
DUST,20171221,26.40,26.40,25.28,25.70,3897698
DUST,20171220,27.18,27.2234,25.84,26.11,5288469
DUST,20171219,27.43,27.89,27.07,27.49,3109497
DUST,20171218,27.95,28.00,27.15,27.45,3989436
DUST,20171215,28.02,28.81,27.90,28.66,2667644
DUST,20171214,28.41,29.46,28.077,28.41,3768948
DUST,20171213,31.21,31.26,27.42,28.10,5846726
DUST,20171212,31.32,31.98,31.15,31.37,3904935
DUST,20171211,30.62,31.28,29.67,30.94,3687324
DUST,20171208,30.60,30.71,29.641,30.27,3490015
DUST,20171207,31.34,31.40,30.16,30.67,4250964
DUST,20171206,29.69,30.50,29.33,30.17,3935898
DUST,20171205,28.79,29.75,28.48,29.05,5212557
DUST,20171204,27.69,28.29,27.52,28.16,4926795
DUST,20171201,27.64,27.65,25.86,27.09,5256101
DUST,20171130,27.47,27.92,26.97,27.28,4848794
DUST,20171129,26.15,27.15,26.10,27.03,4999274
DUST,20171128,25.22,25.67,24.85,25.60,5445076
DUST,20171127,25.07,25.825,24.91,25.23,3692251
DUST,20171124,25.56,26.04,25.13,26.00,2757274
DUST,20171122,26.04,26.10,25.4024,25.64,3700247
DUST,20171121,26.88,26.929,26.19,26.38,3657277
DUST,20171120,26.71,27.28,26.527,27.02,4273698
DUST,20171117,26.39,26.93,25.72,26.09,4665685
DUST,20171116,26.79,26.98,26.48,26.73,2882422
DUST,20171115,26.46,27.179,26.43,26.5908,3082040
DUST,20171114,27.47,27.73,26.43,26.88,3387868
DUST,20171113,26.92,27.21,26.62,26.96,2615046
DUST,20171110,26.08,27.17,25.90,27.08,4182784
DUST,20171109,25.79,26.18,25.60,25.99,4207288
DUST,20171108,25.58,26.059,25.35,25.82,4428578
DUST,20171107,26.13,26.79,25.93,26.26,4099289
DUST,20171106,27.30,27.422,25.42,25.80,6739897
DUST,20171103,26.77,28.28,26.42,27.51,5551730
DUST,20171102,27.08,27.37,26.25,26.94,5171121
DUST,20171101,26.71,27.56,26.07,27.26,6021685
DUST,20171031,26.59,27.58,26.59,27.30,4875624
DUST,20171030,27.10,27.38,25.83,26.41,5423898
DUST,20171027,27.78,27.99,26.76,27.00,4283079
DUST,20171026,26.14,27.99,26.00,27.61,6798582
DUST,20171025,25.80,26.74,25.73,26.19,6102777
DUST,20171024,25.44,25.94,25.16,25.71,5707620
DUST,20171023,25.39,25.68,24.65,25.10,5284195
DUST,20171020,24.71,25.21,24.43,24.84,5614131
DUST,20171019,24.17,24.42,23.75,24.22,3860214
DUST,20171018,24.40,24.74,24.04,24.47,4289785
DUST,20171017,24.70,24.8774,23.96,24.19,5904903
DUST,20171016,23.03,24.5731,22.92,24.16,5540470
DUST,20171013,22.77,23.45,22.60,23.03,5357622
DUST,20171012,23.45,23.78,23.0396,23.35,4201898
DUST,20171011,23.50,24.69,23.11,23.14,7441925
DUST,20171010,23.05,23.94,22.90,23.76,6090314
DUST,20171009,23.49,23.7999,23.09,23.29,3759867
DUST,20171006,25.11,25.68,23.75,23.77,7091618
DUST,20171005,24.38,25.13,24.25,24.91,4893695
DUST,20171004,24.38,24.93,24.22,24.36,4207762
DUST,20171003,25.44,25.58,24.6375,24.80,5710370
DUST,20171002,26.06,26.38,25.20,25.65,5840021
DUST,20170929,25.14,25.88,25.10,25.86,5192809
DUST,20170928,25.45,25.7795,24.85,25.24,5522679
DUST,20170927,25.49,25.78,25.14,25.75,6944819
DUST,20170926,24.21,24.89,23.741,24.66,6818636
DUST,20170925,24.76,24.93,23.09,23.25,7247469
DUST,20170922,24.50,24.8825,24.181,24.45,4779868
DUST,20170921,25.52,25.70,24.193,25.26,6212000
DUST,20170920,23.10,25.20,22.23,24.37,12612221
DUST,20170919,23.42,23.71,23.08,23.29,5640151
DUST,20170918,23.13,23.98,23.05,23.61,7805076
DUST,20170915,22.01,22.702,21.89,22.47,6392093
DUST,20170914,22.45,22.73,21.64,21.84,6442454
DUST,20170913,21.14,22.44,21.13,22.25,8350119
DUST,20170912,21.62,21.90,20.89,21.06,7214406
DUST,20170911,20.91,21.56,20.22,21.35,10686902
DUST,20170908,19.40,20.13,19.25,19.74,10230863
DUST,20170907,19.96,20.0675,19.01,19.22,11822707
DUST,20170906,20.03,20.931,19.75,20.57,9214928
DUST,20170905,20.45,20.50,19.68,19.77,12383337
DUST,20170901,20.89,21.82,20.82,21.02,8575539
DUST,20170831,22.61,22.61,21.10,21.19,8233245
DUST,20170830,22.40,22.87,22.1276,22.75,5842069
DUST,20170829,21.53,22.888,21.21,22.13,8821316
DUST,20170828,24.76,24.80,22.64,22.66,14323836
DUST,20170825,25.21,25.921,24.71,25.20,7350161
DUST,20170824,25.88,26.05,25.15,25.45,6626403
DUST,20170823,25.90,26.38,25.60,25.71,4345152
DUST,20170822,26.00,26.37,25.65,26.31,5556486
DUST,20170821,26.56,26.62,25.64,25.64,6671779
DUST,20170818,25.55,27.16,25.05,26.95,8079024
DUST,20170817,26.20,26.88,25.83,26.58,5925420
DUST,20170816,28.55,28.64,26.15,26.46,8477587
DUST,20170815,28.72,28.80,28.07,28.34,5173954
DUST,20170814,27.22,27.80,27.00,27.34,5589602
DUST,20170811,26.56,27.03,26.16,26.34,5340347
DUST,20170810,27.10,27.36,26.60,26.61,7179340
DUST,20170809,28.48,28.99,27.96,28.35,6017096
DUST,20170808,29.09,30.66,29.0301,29.76,4904257
DUST,20170807,29.90,29.92,29.10,29.89,3383457
DUST,20170804,28.77,29.95,28.51,29.45,6414799
DUST,20170803,27.95,28.14,27.16,27.97,3809318
DUST,20170802,27.80,28.00,27.07,27.75,4225238
DUST,20170801,27.80,28.22,26.66,27.59,5277754
DUST,20170731,27.48,27.90,26.88,27.47,4206188
DUST,20170728,28.19,28.446,27.22,27.31,4317159
DUST,20170727,27.17,28.9717,27.0901,28.57,6254504
DUST,20170726,30.39,30.48,26.72,27.52,9223555
DUST,20170725,30.65,30.65,29.41,29.78,5852060
DUST,20170724,29.17,31.14,29.13,30.68,5135307
DUST,20170721,29.07,29.91,28.95,29.36,3536077
DUST,20170720,30.46,30.65,29.36,29.66,5851590
DUST,20170719,30.45,31.06,29.90,30.31,4960704
DUST,20170718,30.13,30.61,29.96,30.29,4790268
DUST,20170717,30.95,31.16,30.35,31.09,4002208
DUST,20170714,31.27,31.90,30.98,31.78,5012905
DUST,20170713,32.23,33.43,31.68,33.31,5244396
DUST,20170712,31.18,32.44,30.831,32.29,4911974
DUST,20170711,33.38,34.49,32.2609,32.59,3514203
DUST,20170710,35.79,35.88,32.6708,33.22,4451723
DUST,20170707,34.12,35.7873,33.80,34.80,3478223
DUST,20170706,32.72,33.70,32.60,33.44,3056821
DUST,20170705,33.73,33.979,32.00,32.27,3762328
DUST,20170703,32.86,33.68,32.6722,32.83,2579012
DUST,20170630,31.92,31.92,30.87,31.08,3125490
DUST,20170629,30.85,31.89,30.6194,31.52,4723272
DUST,20170628,29.90,30.8263,29.55,29.70,3987720
DUST,20170627,28.44,30.43,28.32,30.33,4640903
DUST,20170626,29.67,29.80,28.4401,29.23,5297867
DUST,20170623,28.82,29.30,28.27,28.47,5445786
DUST,20170622,30.07,30.49,29.30,30.00,6232005
DUST,20170621,32.42,32.6826,31.051,31.15,5127730
DUST,20170620,31.80,32.75,31.76,32.52,3948340
DUST,20170619,32.05,32.2518,30.78,31.85,4801577
DUST,20170616,31.33,31.8928,30.90,31.41,4257292
DUST,20170615,31.65,31.79,30.21,31.21,6102331
DUST,20170614,26.48,31.15,26.32,30.71,13590837
DUST,20170613,29.34,29.34,27.32,27.91,7297993
DUST,20170612,28.83,29.05,27.94,28.84,5554941
DUST,20170609,28.46,28.60,27.51,28.43,8753171
DUST,20170608,26.59,27.96,26.5101,27.11,9344810
DUST,20170607,26.02,26.75,25.25,25.77,9477525
DUST,20170606,28.09,28.09,25.093,25.20,14052355
DUST,20170605,28.91,30.34,28.7997,29.33,4748588
DUST,20170602,28.60,29.64,28.28,29.31,7200684
DUST,20170601,30.26,30.53,29.20,29.88,6088756
DUST,20170531,29.61,30.53,28.70,29.46,6985611
DUST,20170530,29.70,29.90,29.00,29.86,4752704
DUST,20170526,28.30,29.07,28.22,28.73,5096818
DUST,20170525,29.52,30.34,29.08,29.48,7997597
DUST,20170524,30.14,31.61,28.56,28.60,11021740
DUST,20170523,27.59,30.0752,27.16,29.88,8541477
DUST,20170522,28.30,28.4499,27.11,27.96,7758787
DUST,20170519,28.69,29.31,28.53,29.05,6514290
DUST,20170518,28.32,30.30,28.10,29.87,8657156
DUST,20170517,27.06,28.31,26.31,27.45,9927446
DUST,20170516,29.33,29.44,28.65,28.98,5662990
DUST,20170515,28.26,30.8599,28.26,29.56,5965096
DUST,20170512,29.90,30.32,29.24,29.82,6969463
DUST,20170511,32.94,33.01,30.78,31.21,6523558
DUST,20170510,33.93,34.27,32.85,33.30,5752315
DUST,20170509,36.30,36.84,35.17,35.39,6872587
DUST,20170508,35.12,36.50,35.08,35.23,5007676
DUST,20170505,37.35,37.55,34.19,35.05,7324600
DUST,20170504,37.16,38.68,36.63,37.60,9098035
DUST,20170503,34.64,35.53,31.93,35.468,10435099
