<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EET,20180503,86.58,88.12,85.655,87.8554,5905
EET,20180502,90.13,90.13,89.1703,89.4715,1489
EET,20180501,88.80,90.07,87.42,90.07,2506
EET,20180430,92.76,92.76,90.79,90.872,1825
EET,20180427,91.80,92.08,90.76,92.08,3059
EET,20180426,89.41,90.55,89.41,90.55,598
EET,20180425,88.26,88.5553,87.38,88.5553,2212
EET,20180424,92.00,92.00,88.961,89.63,9910
EET,20180423,91.58,92.06,90.4416,90.69,2374
EET,20180420,93.53,93.53,91.37,92.08,4709
EET,20180419,96.12,96.18,94.0301,94.6595,4680
EET,20180418,94.75,96.0233,94.5492,95.65,4781
EET,20180417,92.80,94.50,92.80,94.03,2293
EET,20180416,93.22,93.61,92.456,93.335,5169
EET,20180413,95.02,95.02,93.13,93.42,1638
EET,20180412,95.14,95.78,95.14,95.32,3957
EET,20180411,94.05,95.75,94.05,95.70,1814
EET,20180410,94.37,95.51,93.9174,95.09,4131
EET,20180409,92.79,93.46,92.3801,93.13,1913
EET,20180406,93.52,94.73,90.7634,91.5214,3831
EET,20180405,95.44,96.15,94.75,95.3246,6478
EET,20180404,89.47,94.60,89.16,94.47,12136
EET,20180403,94.66,94.9216,93.78,94.3584,4113
EET,20180402,94.91,94.91,91.2922,92.73,5225
EET,20180329,93.72,96.5194,93.72,96.16,4989
EET,20180328,92.83,93.4165,91.97,92.7124,6670
EET,20180327,97.04,97.04,93.1903,93.83,47483
EET,20180326,95.86,97.39,94.491,96.88,15865
EET,20180323,95.32,95.674,91.18,91.18,8409
EET,20180322,97.06,97.9148,94.69,95.14,28947
EET,20180321,100.3438,102.0027,99.9883,102.0027,3440
EET,20180320,100.24,101.0853,100.0586,100.84,4453
EET,20180319,99.53,99.59,97.565,98.5102,10898
EET,20180316,100.32,101.17,100.32,100.63,19221
EET,20180315,102.42,102.64,100.4516,100.84,2173
EET,20180314,103.12,103.12,100.98,101.80,10145
EET,20180313,104.50,104.801,100.83,101.80,16773
EET,20180312,103.28,103.7453,102.95,103.52,11968
EET,20180309,101.01,102.88,100.8077,102.88,16411
EET,20180308,99.04,99.35,98.0178,98.88,2481
EET,20180307,97.42,98.51,96.604,98.50,11367
