<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ERY,20180503,38.36,39.80,38.14,38.28,379288
ERY,20180502,38.99,38.99,37.12,38.00,608010
ERY,20180501,38.42,39.90,38.42,38.49,354810
ERY,20180430,38.03,38.03,36.55,37.82,252596
ERY,20180427,37.58,38.20,37.27,37.80,368759
ERY,20180426,37.78,38.16,36.53,36.55,310244
ERY,20180425,39.39,40.28,38.111,38.27,261608
ERY,20180424,37.78,39.80,36.90,39.19,590205
ERY,20180423,39.10,39.6783,37.96,37.96,459790
ERY,20180420,38.50,39.39,38.35,38.68,467445
ERY,20180419,38.10,38.78,37.26,38.11,570433
ERY,20180418,39.12,39.12,37.164,38.25,598110
ERY,20180417,40.44,40.96,39.58,40.13,535037
ERY,20180416,41.47,42.26,40.04,40.61,616738
ERY,20180413,42.74,42.78,41.38,41.86,528522
ERY,20180412,43.24,43.73,42.30,43.28,483251
ERY,20180411,44.90,45.04,43.00,43.3089,417204
ERY,20180410,47.25,47.25,43.50,44.71,695455
ERY,20180409,49.38,50.07,47.68,49.62,376034
ERY,20180406,48.63,52.14,47.9101,50.25,467222
ERY,20180405,50.10,50.10,46.78,47.68,587845
ERY,20180404,52.89,53.50,50.10,50.38,627684
ERY,20180403,52.89,54.57,50.08,50.19,438089
ERY,20180402,51.12,56.11,50.92,53.59,630984
ERY,20180329,53.01,53.04,49.93,50.64,465554
ERY,20180328,10.22,10.829,10.08,10.80,920764
ERY,20180327,9.86,10.36,9.67,10.18,1164532
ERY,20180326,10.18,10.47,9.87,9.92,998386
ERY,20180323,10.13,10.549,9.775,10.46,1564659
ERY,20180322,10.00,10.33,9.8643,10.29,1260306
ERY,20180321,10.34,10.41,9.48,9.68,1457642
ERY,20180320,10.61,10.61,10.31,10.52,565490
ERY,20180319,10.42,10.97,10.419,10.80,766105
ERY,20180316,10.59,10.66,10.19,10.32,1021819
ERY,20180315,10.32,10.84,10.20,10.60,867333
ERY,20180314,10.15,10.505,10.07,10.45,1384685
ERY,20180313,9.96,10.38,9.8199,10.25,1104607
ERY,20180312,10.01,10.19,9.82,10.05,1194809
ERY,20180309,10.39,10.39,10.005,10.02,927019
ERY,20180308,10.56,10.86,10.46,10.64,663526
ERY,20180307,10.71,10.91,10.41,10.63,1046118
ERY,20180306,10.23,10.54,10.1086,10.39,817924
ERY,20180305,10.88,10.94,10.31,10.41,933385
ERY,20180302,11.15,11.38,10.64,10.75,1179760
ERY,20180301,10.88,11.13,10.381,10.91,2369077
ERY,20180228,9.96,10.84,9.87,10.83,1294924
ERY,20180227,9.73,10.15,9.47,10.15,887373
ERY,20180226,9.79,9.94,9.705,9.75,746196
ERY,20180223,10.51,10.53,9.91,9.94,1083175
ERY,20180222,10.78,10.83,10.1433,10.64,1296103
ERY,20180221,10.52,10.98,10.26,10.98,974629
ERY,20180220,10.22,10.58,10.00,10.44,1048586
ERY,20180216,10.31,10.46,9.991,10.30,1254729
ERY,20180215,10.16,10.69,10.1236,10.22,1234403
ERY,20180214,10.89,10.999,10.04,10.14,1961785
ERY,20180213,10.63,10.789,10.46,10.60,1193159
ERY,20180212,10.61,10.73,10.09,10.46,2854930
ERY,20180209,10.59,12.09,10.52,11.02,3973950
ERY,20180208,10.04,10.98,9.91,10.98,2039965
ERY,20180207,9.49,10.06,9.13,10.06,1736907
ERY,20180206,10.30,10.43,9.35,9.58,3164257
ERY,20180205,9.04,10.21,8.74,9.84,4272776
ERY,20180202,8.14,8.83,8.11,8.72,2360545
ERY,20180201,7.95,8.07,7.72,7.74,954456
ERY,20180131,7.98,8.141,7.89,7.98,976978
ERY,20180130,7.69,8.01,7.67,7.99,1560250
ERY,20180129,7.32,7.5652,7.229,7.54,810653
ERY,20180126,7.28,7.33,7.171,7.21,442581
ERY,20180125,7.04,7.37,7.04,7.33,957206
ERY,20180124,7.07,7.2267,6.971,7.15,1233798
ERY,20180123,7.05,7.2004,7.00,7.09,750172
ERY,20180122,7.53,7.53,7.06,7.06,1595454
ERY,20180119,7.65,7.70,7.55,7.55,885262
ERY,20180118,7.41,7.554,7.37,7.52,733638
ERY,20180117,7.46,7.62,7.245,7.35,885297
ERY,20180116,7.21,7.579,7.21,7.53,1490127
ERY,20180112,7.51,7.51,7.23,7.27,1421047
ERY,20180111,7.90,7.97,7.40,7.48,1922363
ERY,20180110,7.89,7.981,7.8635,7.98,681953
ERY,20180109,7.89,7.9776,7.83,7.95,647447
ERY,20180108,8.04,8.09,7.87,7.88,801025
ERY,20180105,8.03,8.219,8.00,8.02,915669
ERY,20180104,8.21,8.249,7.999,8.01,807437
ERY,20180103,8.49,8.519,8.0901,8.16,1252157
ERY,20180102,8.89,8.93,8.51,8.55,970289
ERY,20171229,8.87,9.0151,8.82,8.995,553557
ERY,20171228,8.95,9.00,8.9049,8.93,228155
ERY,20171227,8.90,8.99,8.84,8.96,643709
ERY,20171226,9.01,9.05,8.815,8.86,667430
ERY,20171222,9.13,9.23,8.98,9.09,493456
ERY,20171221,9.79,9.79,9.0641,9.15,1818755
ERY,20171220,10.08,10.1755,9.72,9.77,1239805
ERY,20171219,10.14,10.25,10.03,10.21,493996
ERY,20171218,10.40,10.40,10.0864,10.24,787125
ERY,20171215,10.31,10.52,10.26,10.48,324541
ERY,20171214,10.42,10.47,10.22,10.46,412508
ERY,20171213,10.27,10.4234,10.24,10.34,432141
ERY,20171212,10.08,10.33,10.08,10.30,557341
ERY,20171211,10.35,10.38,10.05,10.21,468018
ERY,20171208,10.50,10.71,10.42,10.44,459597
ERY,20171207,10.82,10.89,10.671,10.72,312499
ERY,20171206,10.55,10.86,10.46,10.81,650235
ERY,20171205,10.26,10.45,10.1816,10.42,335924
ERY,20171204,10.24,10.35,9.80,10.27,986388
ERY,20171201,10.30,10.60,10.06,10.26,756090
ERY,20171130,10.91,10.9101,10.47,10.52,887787
ERY,20171129,11.20,11.299,10.97,11.03,327581
ERY,20171128,11.43,11.47,11.17,11.21,369891
ERY,20171127,11.25,11.54,11.25,11.48,354396
ERY,20171124,11.06,11.14,11.02,11.14,129797
ERY,20171122,11.13,11.2352,11.0999,11.22,328599
ERY,20171121,11.30,11.4288,11.1749,11.37,288169
ERY,20171120,11.43,11.58,11.3735,11.44,282472
ERY,20171117,11.41,11.53,11.28,11.37,477719
ERY,20171116,11.49,11.60,11.39,11.52,428152
ERY,20171115,11.26,11.51,11.24,11.40,747399
ERY,20171114,10.61,11.043,10.61,11.02,712132
ERY,20171113,10.38,10.53,10.2909,10.51,283722
ERY,20171110,10.16,10.5405,10.16,10.32,613683
ERY,20171109,10.31,10.41,10.1034,10.16,849320
ERY,20171108,10.15,10.41,10.08,10.23,799334
ERY,20171107,10.01,10.25,9.961,10.12,694018
ERY,20171106,10.67,10.71,10.02,10.06,1381276
ERY,20171103,10.91,10.94,10.68,10.80,901103
ERY,20171102,10.79,11.08,10.71,10.90,652760
ERY,20171101,10.95,10.97,10.64,10.79,1311701
ERY,20171031,11.27,11.42,11.06,11.17,521800
ERY,20171030,11.36,11.46,11.19,11.30,672392
ERY,20171027,11.65,11.97,11.275,11.46,834811
ERY,20171026,11.55,11.72,11.42,11.53,727080
ERY,20171025,11.40,11.70,11.3275,11.60,701036
ERY,20171024,11.33,11.42,11.21,11.35,424721
ERY,20171023,11.19,11.45,11.12,11.43,468261
ERY,20171020,11.25,11.47,11.201,11.24,554008
ERY,20171019,11.41,11.47,11.1801,11.30,456397
ERY,20171018,10.97,11.24,10.86,11.20,566245
ERY,20171017,10.96,11.15,10.9132,10.96,436645
ERY,20171016,10.87,11.059,10.80,11.00,354206
ERY,20171013,10.81,11.09,10.7522,11.07,475279
ERY,20171012,11.14,11.2138,11.01,11.04,932723
ERY,20171011,10.96,11.165,10.9001,10.92,602908
ERY,20171010,10.76,11.0255,10.68,10.98,818097
ERY,20171009,11.04,11.09,10.92,11.03,1161769
ERY,20171006,11.14,11.20,10.95,11.11,1052731
ERY,20171005,10.91,10.96,10.7736,10.82,605530
ERY,20171004,10.93,11.08,10.85,10.97,1267031
ERY,20171003,10.95,11.01,10.83,10.95,572068
ERY,20171002,11.20,11.37,10.90,10.91,1501455
ERY,20170929,11.02,11.1075,10.89,10.89,701888
ERY,20170928,10.85,10.99,10.6901,10.90,983583
ERY,20170927,11.02,11.22,10.911,10.94,1096095
ERY,20170926,11.14,11.211,11.00,11.08,724225
ERY,20170925,11.42,11.44,10.95,11.03,1546474
ERY,20170922,11.84,11.84,11.45,11.55,907246
ERY,20170921,11.81,11.875,11.63,11.73,713533
ERY,20170920,11.88,11.92,11.64,11.73,1021311
ERY,20170919,12.06,12.11,11.93,11.99,725885
ERY,20170918,12.34,12.43,12.10,12.12,546280
ERY,20170915,12.32,12.52,12.28,12.30,671890
ERY,20170914,12.42,12.4788,12.11,12.37,930523
ERY,20170913,12.94,12.96,12.5293,12.55,1005029
ERY,20170912,13.20,13.26,12.951,13.06,495891
ERY,20170911,13.50,13.63,13.22,13.28,731788
ERY,20170908,13.33,13.86,13.33,13.69,805451
ERY,20170907,13.33,13.512,13.16,13.27,969848
ERY,20170906,13.80,13.81,13.21,13.34,1244582
ERY,20170905,14.02,14.31,13.80,14.01,1041388
ERY,20170901,14.63,14.71,14.10,14.22,730494
ERY,20170831,14.66,14.83,14.55,14.66,672821
ERY,20170830,15.02,15.20,14.75,14.90,777951
ERY,20170829,15.08,15.2354,14.84,14.91,768421
ERY,20170828,14.69,15.08,14.50,14.86,553916
ERY,20170825,14.78,14.78,14.46,14.64,508935
ERY,20170824,14.96,15.03,14.74,14.87,491138
ERY,20170823,15.10,15.1858,14.65,14.87,686726
ERY,20170822,15.24,15.26,14.96,15.05,554880
