<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EWD,20180510,34.44,34.50,34.28,34.45,459518
EWD,20180509,34.03,34.28,33.95,34.16,397791
EWD,20180508,33.26,33.46,33.21,33.40,165463
EWD,20180507,33.00,33.25,33.00,33.10,221384
EWD,20180504,32.47,32.97,32.47,32.89,82341
EWD,20180503,32.67,32.80,32.35,32.73,208160
EWD,20180502,32.85,32.90,32.54,32.55,1083922
EWD,20180501,32.54,32.66,32.38,32.62,118454
EWD,20180430,33.05,33.11,32.79,32.85,723463
EWD,20180427,33.29,33.49,33.27,33.46,166296
EWD,20180426,33.57,33.6148,33.255,33.37,255555
EWD,20180425,33.20,33.415,33.15,33.40,188819
EWD,20180424,33.95,34.02,33.575,33.71,277137
EWD,20180423,34.11,34.15,33.93,34.03,165416
EWD,20180420,34.07,34.11,33.97,33.99,250127
EWD,20180419,33.95,34.03,33.77,33.89,209313
EWD,20180418,33.74,33.89,33.72,33.77,267432
EWD,20180417,33.50,33.6499,33.435,33.57,252113
EWD,20180416,33.29,33.29,32.97,33.13,197347
EWD,20180413,33.15,33.15,32.775,32.92,213168
EWD,20180412,32.76,32.955,32.7586,32.93,209103
EWD,20180411,33.05,33.15,32.87,32.95,214800
EWD,20180410,33.38,33.50,33.3097,33.39,168538
EWD,20180409,32.85,33.089,32.76,32.85,180589
EWD,20180406,32.87,33.06,32.565,32.63,168121
EWD,20180405,32.77,32.89,32.72,32.79,274665
EWD,20180404,32.05,32.615,32.02,32.61,178766
EWD,20180403,32.75,32.86,32.4101,32.73,243877
EWD,20180402,33.45,33.48,32.7315,32.99,294890
EWD,20180329,33.48,33.64,33.28,33.48,229919
EWD,20180328,32.87,33.175,32.74,32.80,1681275
EWD,20180327,33.39,33.48,32.82,32.99,310239
EWD,20180326,33.38,33.46,32.97,33.41,290233
EWD,20180323,33.24,33.33,32.77,32.78,345592
EWD,20180322,33.17,33.31,32.90,32.94,523706
EWD,20180321,33.81,34.07,33.78,33.95,178451
EWD,20180320,34.01,34.07,33.89,33.93,191936
EWD,20180319,34.22,34.25,33.92,34.11,231452
EWD,20180316,34.50,34.72,34.42,34.47,233853
EWD,20180315,34.59,34.82,34.52,34.72,386789
EWD,20180314,34.84,34.8672,34.47,34.63,444815
EWD,20180313,34.67,34.69,34.10,34.15,158226
EWD,20180312,34.39,34.495,34.37,34.47,248137
EWD,20180309,34.31,34.52,34.27,34.47,109846
EWD,20180308,34.18,34.22,34.04,34.12,173473
EWD,20180307,33.61,33.915,33.58,33.92,638431
EWD,20180306,33.83,33.98,33.77,33.91,412027
EWD,20180305,33.17,33.5001,33.14,33.48,281419
EWD,20180302,33.10,33.28,32.84,33.24,983143
EWD,20180301,33.82,33.92,33.20,33.49,451634
EWD,20180228,34.40,34.40,33.89,33.92,170176
EWD,20180227,34.58,34.67,34.33,34.35,198514
EWD,20180226,34.83,34.95,34.66,34.95,160974
EWD,20180223,34.47,34.725,34.46,34.68,323399
EWD,20180222,34.49,34.68,34.44,34.55,406175
EWD,20180221,34.77,35.02,34.48,34.48,220319
EWD,20180220,34.51,34.76,34.43,34.51,231944
EWD,20180216,34.74,35.13,34.74,34.90,139719
EWD,20180215,34.72,34.93,34.45,34.88,148089
EWD,20180214,33.51,34.64,33.51,34.62,278747
EWD,20180213,33.69,33.83,33.58,33.81,252842
EWD,20180212,33.43,33.86,33.41,33.82,568983
EWD,20180209,33.40,33.56,32.44,33.40,550683
EWD,20180208,34.05,34.05,33.15,33.19,700798
EWD,20180207,34.30,34.63,34.18,34.19,1085427
EWD,20180206,33.45,34.53,33.43,34.53,1405875
EWD,20180205,34.89,34.98,33.45,33.68,743381
EWD,20180202,35.94,35.94,35.40,35.45,378291
EWD,20180201,36.14,36.46,36.13,36.35,483766
EWD,20180131,36.35,36.3526,35.885,36.02,383989
EWD,20180130,36.27,36.34,36.01,36.01,327560
EWD,20180129,36.37,36.41,36.17,36.28,143484
EWD,20180126,36.33,36.56,36.28,36.51,1374556
EWD,20180125,36.66,36.67,36.10,36.22,292628
EWD,20180124,36.67,36.7084,36.42,36.58,250399
EWD,20180123,36.42,36.559,36.36,36.51,130348
EWD,20180122,36.22,36.44,36.15,36.43,240723
EWD,20180119,36.16,36.19,36.025,36.18,298822
EWD,20180118,36.04,36.11,35.96,36.05,291034
EWD,20180117,35.85,36.16,35.82,35.97,277108
EWD,20180116,35.88,35.91,35.62,35.73,345103
EWD,20180112,35.56,35.92,35.53,35.92,207383
EWD,20180111,35.32,35.63,35.28,35.60,240521
