<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EWM,20180503,34.74,34.97,34.53,34.80,1292559
EWM,20180502,34.79,34.93,34.68,34.68,1649125
EWM,20180501,34.99,35.02,34.36,34.73,2153860
EWM,20180430,35.46,35.70,35.06,35.06,705260
EWM,20180427,35.59,35.59,35.29,35.54,463819
EWM,20180426,35.17,35.52,35.16,35.49,620183
EWM,20180425,35.20,35.30,34.89,35.17,1587020
EWM,20180424,35.59,35.73,35.191,35.31,843283
EWM,20180423,35.90,35.99,35.61,35.62,1400744
EWM,20180420,36.22,36.33,35.72,35.85,1689828
EWM,20180419,36.53,36.555,36.30,36.35,769641
EWM,20180418,36.29,36.41,36.12,36.33,784908
EWM,20180417,36.25,36.38,36.16,36.30,826962
EWM,20180416,36.25,36.38,36.16,36.30,722140
EWM,20180413,36.30,36.53,35.98,36.09,696044
EWM,20180412,36.31,36.48,36.26,36.37,664450
EWM,20180411,36.17,36.48,36.03,36.47,991048
EWM,20180410,35.88,36.22,35.85,36.18,1002882
EWM,20180409,35.58,35.78,35.46,35.59,684455
EWM,20180406,35.55,35.695,35.21,35.31,619743
EWM,20180405,35.65,35.74,35.52,35.69,975959
EWM,20180404,35.09,35.785,35.00,35.74,982038
EWM,20180403,35.74,36.035,35.74,36.00,1362750
EWM,20180402,36.06,36.19,35.585,35.78,1237684
EWM,20180329,35.79,36.24,35.79,36.14,1335394
EWM,20180328,35.80,35.88,35.585,35.71,773891
EWM,20180327,35.73,35.82,35.41,35.50,1401355
EWM,20180326,35.45,35.595,35.125,35.57,1159667
EWM,20180323,35.46,35.65,35.01,35.03,968071
EWM,20180322,35.48,35.655,35.225,35.26,985933
EWM,20180321,35.38,35.65,35.28,35.57,569203
EWM,20180320,35.19,35.26,35.06,35.19,610236
EWM,20180319,35.13,35.21,34.88,35.01,617922
EWM,20180316,35.12,35.25,35.04,35.09,748976
EWM,20180315,35.25,35.25,35.00,35.10,868555
EWM,20180314,35.54,35.74,35.24,35.33,684535
EWM,20180313,35.67,35.80,35.33,35.40,750727
EWM,20180312,35.51,35.63,35.3375,35.48,734090
EWM,20180309,35.03,35.42,34.96,35.41,736010
EWM,20180308,34.82,34.895,34.745,34.84,488181
EWM,20180307,34.96,35.085,34.81,35.06,495543
EWM,20180306,35.28,35.3721,35.0436,35.17,550969
EWM,20180305,34.90,35.2499,34.76,35.15,921929
EWM,20180302,35.01,35.21,34.70,35.13,1196835
EWM,20180301,35.10,35.32,34.71,34.83,1149654
EWM,20180228,35.25,35.3899,34.96,34.98,622958
EWM,20180227,35.60,35.72,35.16,35.16,907413
EWM,20180226,35.53,35.69,35.32,35.69,601320
EWM,20180223,35.41,35.61,35.33,35.59,581533
EWM,20180222,35.44,35.67,35.36,35.42,876013
EWM,20180221,35.35,35.58,35.10,35.14,1382043
EWM,20180220,35.42,35.61,35.28,35.45,1193260
EWM,20180216,35.42,35.78,35.29,35.57,954623
EWM,20180215,35.33,35.50,35.02,35.44,603766
EWM,20180214,34.47,35.165,34.465,35.12,995422
EWM,20180213,34.52,34.68,34.45,34.62,558056
EWM,20180212,34.33,34.7969,34.25,34.54,1406292
EWM,20180209,34.10,34.255,33.37,34.02,2071119
EWM,20180208,34.79,34.80,33.751,33.77,1870421
EWM,20180207,35.08,35.495,34.59,34.59,2278346
EWM,20180206,34.10,35.25,34.02,35.09,1839360
EWM,20180205,35.20,35.475,34.46,34.51,2261619
EWM,20180202,35.74,35.85,35.26,35.27,1488777
EWM,20180201,35.65,35.78,35.485,35.56,1387532
EWM,20180131,35.79,35.93,35.53,35.61,1043222
EWM,20180130,35.79,35.82,35.56,35.56,917012
EWM,20180129,36.07,36.07,35.95,35.97,935468
EWM,20180126,35.96,36.08,35.84,36.06,544876
EWM,20180125,35.78,36.00,35.665,35.72,1093716
EWM,20180124,35.47,35.5989,35.39,35.55,913944
EWM,20180123,35.16,35.23,35.09,35.22,689093
EWM,20180122,34.98,35.16,34.975,35.16,653815
