<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FAZ,20180503,11.57,12.0761,11.49,11.61,3843628
FAZ,20180502,11.20,11.50,11.12,11.45,1527526
FAZ,20180501,11.26,11.52,11.15,11.15,1959322
FAZ,20180430,11.06,11.27,10.855,11.26,2265297
FAZ,20180427,11.15,11.21,11.01,11.08,1814285
FAZ,20180426,11.27,11.33,10.965,11.14,2006940
FAZ,20180425,11.32,11.61,11.20,11.34,2477296
FAZ,20180424,10.95,11.47,10.77,11.28,4405730
FAZ,20180423,10.99,11.18,10.93,11.06,2197681
FAZ,20180420,10.95,11.1668,10.835,11.02,2475818
FAZ,20180419,11.21,11.23,10.94,10.99,2629925
FAZ,20180418,11.07,11.245,10.9872,11.20,1838837
FAZ,20180417,11.05,11.2052,10.92,11.13,2961040
FAZ,20180416,11.25,11.35,11.09,11.28,2065568
FAZ,20180413,10.77,11.59,10.77,11.44,3933540
FAZ,20180412,11.25,11.2801,10.92,11.11,3240505
FAZ,20180411,11.48,11.5452,11.2254,11.49,2678420
FAZ,20180410,11.14,11.36,11.00,11.22,4079337
FAZ,20180409,11.55,11.66,11.0148,11.63,2609389
FAZ,20180406,11.36,11.99,11.14,11.74,4200815
FAZ,20180405,11.04,11.17,10.86,11.04,2352685
FAZ,20180404,12.12,12.13,11.18,11.26,3738036
FAZ,20180403,11.75,12.07,11.51,11.58,2718630
FAZ,20180402,11.39,12.38,11.2887,11.98,5613042
FAZ,20180329,11.57,11.70,11.12,11.32,2312203
FAZ,20180328,11.79,12.08,11.45,11.70,4077283
FAZ,20180327,11.15,12.06,11.08,11.83,4569963
FAZ,20180326,11.64,11.99,11.1906,11.28,3446170
FAZ,20180323,11.38,12.36,11.23,12.30,5673659
FAZ,20180322,10.77,11.46,10.6735,11.40,4333358
FAZ,20180321,10.35,10.48,10.11,10.46,1235791
FAZ,20180320,10.40,10.45,10.29,10.37,984977
FAZ,20180319,10.27,10.73,10.26,10.47,2065285
FAZ,20180316,10.30,10.30,10.075,10.22,1054468
FAZ,20180315,10.22,10.396,10.20,10.31,1411386
FAZ,20180314,10.04,10.405,10.00,10.32,2190410
FAZ,20180313,9.81,10.18,9.74,10.10,1831233
FAZ,20180312,9.81,9.95,9.75,9.87,1357901
FAZ,20180309,10.23,10.3161,9.83,9.84,2864722
FAZ,20180308,10.50,10.72,10.439,10.47,1727627
FAZ,20180307,10.86,10.90,10.495,10.56,1763428
FAZ,20180306,10.53,10.86,10.53,10.58,1984648
FAZ,20180305,11.38,11.39,10.54,10.67,2029880
FAZ,20180302,11.50,11.74,11.07,11.12,2891526
FAZ,20180301,10.77,11.40,10.54,11.25,4917418
FAZ,20180228,10.34,10.79,10.19,10.79,2078981
FAZ,20180227,10.15,10.48,10.00,10.48,2661622
FAZ,20180226,10.36,10.51,10.15,10.16,1539796
FAZ,20180223,10.88,10.92,10.52,10.53,1548852
FAZ,20180222,10.78,11.09,10.62,11.03,2139166
FAZ,20180221,10.77,10.90,10.38,10.89,1673696
FAZ,20180220,10.73,10.877,10.45,10.77,1880768
FAZ,20180216,10.74,10.77,10.415,10.63,2893475
FAZ,20180215,10.7362,11.0167,10.65,10.67,2100895
FAZ,20180214,11.60,11.66,10.875,10.92,2334159
FAZ,20180213,11.88,11.91,11.445,11.52,1921705
FAZ,20180212,11.83,12.17,11.4399,11.69,3032158
FAZ,20180209,12.25,13.39,11.83,12.12,6250651
FAZ,20180208,11.35,12.86,11.34,12.86,6669108
FAZ,20180207,11.55,11.61,10.97,11.45,3854850
FAZ,20180206,12.80,12.82,11.35,11.45,7564037
FAZ,20180205,11.02,12.17,10.685,12.00,8272805
FAZ,20180202,10.09,10.62,10.075,10.58,3810783
FAZ,20180201,10.17,10.20,9.94,9.99,1553589
FAZ,20180131,10.16,10.229,10.005,10.11,1378632
FAZ,20180130,10.19,10.245,10.01,10.24,2143012
FAZ,20180129,9.79,9.96,9.71,9.95,1113389
FAZ,20180126,9.84,9.99,9.75,9.76,878319
FAZ,20180125,9.85,10.04,9.85,9.93,1466211
FAZ,20180124,9.95,10.12,9.83,9.90,2544580
FAZ,20180123,10.13,10.2301,10.01,10.03,2401929
FAZ,20180122,10.39,10.40,10.11,10.11,1248435
FAZ,20180119,10.52,10.56,10.38,10.38,799723
FAZ,20180118,10.51,10.64,10.48,10.59,912585
FAZ,20180117,10.77,10.87,10.47,10.54,1287463
FAZ,20180116,10.53,10.90,10.42,10.80,1857699
FAZ,20180112,10.83,10.904,10.71,10.73,1172664
FAZ,20180111,10.95,11.04,10.90,10.90,1230279
FAZ,20180110,11.10,11.21,10.93,11.03,1023844
FAZ,20180109,11.19,11.21,10.9933,11.14,1208056
FAZ,20180108,11.27,11.37,11.21,11.25,899491
FAZ,20180105,11.31,11.4501,11.25,11.27,1338579
FAZ,20180104,11.53,11.53,11.19,11.44,1856988
FAZ,20180103,11.79,11.79,11.58,11.63,1736735
FAZ,20180102,11.58,11.88,11.57,11.79,1078335
FAZ,20171229,11.47,11.72,11.47,11.69,819434
FAZ,20171228,11.63,11.695,11.54,11.56,526278
FAZ,20171227,11.77,11.7859,11.679,11.71,708610
FAZ,20171226,11.71,11.84,11.6486,11.75,550759
FAZ,20171222,11.63,11.86,11.63,11.71,928772
FAZ,20171221,11.75,11.79,11.5989,11.70,756738
FAZ,20171220,11.52,11.885,11.5185,11.88,1097836
FAZ,20171219,11.42,11.76,11.41,11.75,1288655
FAZ,20171218,11.50,11.57,11.36,11.50,1215194
FAZ,20171215,11.93,11.96,11.605,11.76,959885
FAZ,20171214,11.79,12.10,11.76,12.06,1106068
FAZ,20171213,11.57,11.92,11.55,11.90,1272011
FAZ,20171212,11.81,11.86,11.4844,11.59,961630
FAZ,20171211,11.86,11.96,11.80,11.89,643721
FAZ,20171208,11.85,12.05,11.83,11.86,897921
FAZ,20171207,12.24,12.30,11.94,12.03,1565271
FAZ,20171206,12.24,12.27,12.07,12.18,1234934
FAZ,20171205,11.93,12.20,11.83,12.14,2233666
FAZ,20171204,11.61,11.98,11.58,11.97,1802525
FAZ,20171201,12.22,12.891,12.06,12.19,3960742
FAZ,20171130,12.25,12.40,11.87,12.24,2325324
FAZ,20171129,12.56,12.645,12.29,12.46,1945369
FAZ,20171128,13.40,13.47,12.73,12.78,2298407
FAZ,20171127,13.39,13.47,13.28,13.47,704535
FAZ,20171124,13.38,13.44,13.341,13.44,350124
FAZ,20171122,13.29,13.455,13.2407,13.45,464464
FAZ,20171121,13.34,13.39,13.28,13.30,598559
FAZ,20171120,13.56,13.63,13.43,13.49,498609
FAZ,20171117,13.62,13.72,13.55,13.63,766849
FAZ,20171116,13.48,13.54,13.39,13.51,1015155
FAZ,20171115,13.84,13.97,13.4901,13.65,1201356
FAZ,20171114,13.76,13.83,13.585,13.60,975059
FAZ,20171113,13.86,13.86,13.555,13.59,703642
FAZ,20171110,13.60,13.72,13.5798,13.68,958164
FAZ,20171109,13.70,13.95,13.54,13.62,2012413
FAZ,20171108,13.49,13.62,13.40,13.50,1038566
FAZ,20171107,13.03,13.49,12.97,13.41,1198064
FAZ,20171106,13.24,13.25,13.035,13.09,603613
FAZ,20171103,13.15,13.32,13.15,13.19,953824
FAZ,20171102,13.39,13.4931,13.06,13.12,1278897
FAZ,20171101,13.31,13.45,13.18,13.38,820206
FAZ,20171031,13.35,13.48,13.35,13.45,601272
FAZ,20171030,13.44,13.49,13.295,13.40,972336
FAZ,20171027,13.38,13.561,13.27,13.30,1154589
FAZ,20171026,13.38,13.41,13.2281,13.34,1000618
FAZ,20171025,13.28,13.70,13.2612,13.48,1529723
FAZ,20171024,13.39,13.48,13.2825,13.36,617391
FAZ,20171023,13.37,13.559,13.35,13.52,636221
FAZ,20171020,13.49,13.5499,13.36,13.44,655246
FAZ,20171019,14.00,14.05,13.78,13.80,892956
FAZ,20171018,13.82,13.95,13.75,13.80,1029584
FAZ,20171017,13.72,14.04,13.72,13.99,844548
FAZ,20171016,13.87,13.93,13.78,13.81,776539
FAZ,20171013,14.00,14.16,13.805,13.93,1109226
FAZ,20171012,13.76,13.98,13.70,13.95,1109463
FAZ,20171011,13.83,13.9143,13.76,13.79,484569
FAZ,20171010,13.91,13.94,13.76,13.82,453767
FAZ,20171009,13.81,14.02,13.7311,13.95,824082
FAZ,20171006,13.80,14.05,13.80,13.90,1004516
FAZ,20171005,14.18,14.27,13.79,13.88,1308989
FAZ,20171004,14.26,14.327,14.15,14.26,661821
FAZ,20171003,14.26,14.37,14.18,14.21,793928
FAZ,20171002,14.55,14.56,14.30,14.32,893799
FAZ,20170929,14.72,14.74,14.55,14.58,753143
FAZ,20170928,14.80,14.9426,14.70,14.72,583643
FAZ,20170927,14.88,15.01,14.71,14.86,1081882
FAZ,20170926,15.14,15.2799,15.09,15.22,549653
FAZ,20170925,15.12,15.40,15.05,15.21,859381
FAZ,20170922,15.24,15.24,15.06,15.09,916682
FAZ,20170921,15.15,15.18,14.979,15.08,916277
FAZ,20170920,15.29,15.41,15.05,15.14,1055519
FAZ,20170919,15.48,15.49,15.20,15.29,843124
FAZ,20170918,15.67,15.6799,15.45,15.49,839466
FAZ,20170915,15.98,16.0999,15.77,15.77,735824
FAZ,20170914,15.95,16.00,15.84,15.94,941466
FAZ,20170913,15.91,16.01,15.84,15.87,938701
FAZ,20170912,16.10,16.11,15.79,15.84,1309303
FAZ,20170911,16.46,16.48,16.04,16.15,1747926
FAZ,20170908,17.32,17.36,16.77,16.96,1720015
FAZ,20170907,16.79,17.36,16.62,17.22,2181848
FAZ,20170906,16.72,16.86,16.58,16.79,1234208
FAZ,20170905,16.33,17.02,16.2401,16.86,2439456
FAZ,20170901,16.10,16.17,15.87,16.07,900192
FAZ,20170831,16.16,16.2989,16.10,16.21,681841
FAZ,20170830,16.43,16.50,16.18,16.29,835280
FAZ,20170829,16.80,16.83,16.43,16.51,820208
FAZ,20170828,16.07,16.47,16.07,16.35,977678
FAZ,20170825,16.14,16.21,16.00,16.15,807006
FAZ,20170824,16.09,16.32,16.07,16.30,745541
FAZ,20170823,16.52,16.54,16.0623,16.25,625358
FAZ,20170822,16.46,16.50,16.17,16.24,825169
FAZ,20170821,16.69,16.85,16.605,16.65,1031688
FAZ,20170818,16.65,16.845,16.3815,16.69,1867970
FAZ,20170817,16.04,16.61,15.91,16.59,2560020
FAZ,20170816,15.77,15.95,15.65,15.89,747411
FAZ,20170815,15.65,15.9373,15.63,15.86,865997
FAZ,20170814,16.29,16.3025,15.85,15.95,1119928
FAZ,20170811,16.44,16.77,16.33,16.67,2014159
FAZ,20170810,15.96,16.47,15.9238,16.45,2055336
FAZ,20170809,15.95,15.99,15.72,15.72,1306785
FAZ,20170808,15.57,15.7467,15.29,15.69,1196295
FAZ,20170807,15.52,15.64,15.50,15.57,478740
FAZ,20170804,15.51,15.59,15.39,15.52,791600
FAZ,20170803,15.66,15.81,15.62,15.75,803067
FAZ,20170802,15.54,15.77,15.52,15.59,788047
FAZ,20170801,15.68,15.79,15.55,15.58,906406
FAZ,20170731,15.97,16.04,15.7914,15.89,787339
FAZ,20170728,16.19,16.28,16.0591,16.10,710175
FAZ,20170727,15.86,16.3055,15.7113,16.10,1166808
FAZ,20170726,15.66,15.95,15.594,15.88,749537
FAZ,20170725,15.84,15.85,15.60,15.75,862093
FAZ,20170724,16.30,16.4195,16.10,16.15,602944
FAZ,20170721,16.41,16.46,16.22,16.30,607565
FAZ,20170720,16.29,16.3968,16.1524,16.34,780765
FAZ,20170719,16.35,16.465,16.295,16.33,480818
FAZ,20170718,16.65,16.68,16.43,16.46,998858
FAZ,20170717,16.44,16.58,16.3348,16.42,701711
FAZ,20170714,16.70,16.84,16.28,16.39,1621240
FAZ,20170713,16.53,16.569,16.34,16.35,734009
FAZ,20170712,16.90,16.90,16.52,16.61,868625
FAZ,20170711,16.66,17.05,16.62,16.82,1129894
FAZ,20170710,16.60,16.64,16.48,16.64,1218399
FAZ,20170707,16.63,16.78,16.44,16.54,799494
FAZ,20170706,16.44,16.85,16.3935,16.84,1682745
FAZ,20170705,16.27,16.53,16.24,16.34,1305383
FAZ,20170703,16.71,16.73,16.13,16.25,1161772
FAZ,20170630,16.67,16.9895,16.63,16.93,1283476
FAZ,20170629,16.18,17.19,16.11,16.87,2403028
FAZ,20170628,17.30,17.31,16.87,16.93,1514912
FAZ,20170627,17.59,17.6395,17.20,17.56,1947279
FAZ,20170626,17.73,17.86,17.45,17.67,1025088
FAZ,20170623,17.67,18.00,17.62,17.89,1043576
FAZ,20170622,17.69,17.95,17.69,17.82,1460281
FAZ,20170621,17.32,17.72,17.28,17.61,1287012
FAZ,20170620,17.13,17.345,17.05,17.32,1556044
FAZ,20170619,17.14,17.16,16.91,16.98,1656160
FAZ,20170616,17.31,17.50,17.27,17.38,783598
FAZ,20170615,17.55,17.62,17.20,17.33,1243717
FAZ,20170614,17.48,17.72,17.1701,17.26,1636048
FAZ,20170613,17.38,17.48,17.26,17.31,968628
FAZ,20170612,17.63,17.80,17.43,17.58,1659904
FAZ,20170609,18.12,18.15,17.62,17.63,2860799
FAZ,20170608,18.80,18.81,18.12,18.33,1703614
FAZ,20170607,18.99,19.09,18.66,18.73,1206326
FAZ,20170606,19.06,19.255,18.95,19.11,1253534
FAZ,20170605,18.90,18.92,18.61,18.85,966771
FAZ,20170602,19.10,19.15,18.72,18.89,1610484
FAZ,20170601,19.23,19.51,18.84,18.86,1339467
FAZ,20170531,19.13,19.80,19.12,19.42,2014524
FAZ,20170530,19.07,19.28,18.90,19.18,1023447
FAZ,20170526,18.88,18.91,18.76,18.86,896942
FAZ,20170525,18.79,18.92,18.60,18.76,1142418
FAZ,20170524,18.99,19.12,18.88,18.92,868619
FAZ,20170523,19.32,19.52,18.933,19.06,1342247
FAZ,20170522,19.45,19.69,19.32,19.42,1277872
FAZ,20170519,19.94,19.99,19.372,19.68,1583828
FAZ,20170518,20.35,20.43,19.83,20.13,2454822
FAZ,20170517,19.67,20.38,19.555,20.26,3119034
FAZ,20170516,18.98,19.2466,18.92,19.06,889808
FAZ,20170515,19.36,19.36,18.9616,19.05,1144383
FAZ,20170512,19.38,19.6857,19.37,19.46,1010309
FAZ,20170511,19.11,19.63,19.10,19.24,1537337
FAZ,20170510,19.28,19.31,18.935,18.97,1052596
FAZ,20170509,18.83,19.305,18.78,19.17,1225000
FAZ,20170508,18.81,19.05,18.70,18.92,766011
FAZ,20170505,18.68,19.01,18.671,18.81,875203
FAZ,20170504,18.73,19.11,18.60,18.83,1589870
FAZ,20170503,19.13,19.18,18.89,18.94,1940773
FAZ,20170502,19.00,19.21,18.87,18.99,1716825
FAZ,20170501,19.10,19.26,18.81,18.99,2151658
FAZ,20170428,18.76,19.30,18.76,19.28,2439114
FAZ,20170427,18.57,19.00,18.54,18.77,2289654
FAZ,20170426,18.62,18.72,18.28,18.65,2305596
FAZ,20170425,18.69,18.82,18.40,18.62,2419294
FAZ,20170424,18.98,19.16,18.80,19.00,2306917
FAZ,20170421,19.47,19.87,19.37,19.80,1677636
FAZ,20170420,19.87,20.08,19.35,19.43,2508405
