<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FSI,20180510,1.439,1.44,1.39,1.40,2000
FSI,20180509,1.37,1.44,1.37,1.44,13000
FSI,20180508,1.398,1.4172,1.3601,1.399,8994
FSI,20180507,1.42,1.46,1.39,1.42,9132
FSI,20180504,1.46,1.519,1.42,1.42,4894
FSI,20180503,1.4243,1.47,1.40,1.47,1000
FSI,20180502,1.39,1.46,1.3873,1.46,34081
FSI,20180501,1.40,1.419,1.40,1.40,3065
FSI,20180430,1.48,1.481,1.37,1.4172,69546
FSI,20180427,1.53,1.53,1.48,1.48,6679
FSI,20180426,1.47,1.53,1.47,1.49,4670
FSI,20180425,1.5678,1.5678,1.46,1.48,11850
FSI,20180424,1.47,1.59,1.45,1.49,8699
FSI,20180423,1.46,1.47,1.456,1.456,4311
FSI,20180420,1.47,1.47,1.45,1.45,4644
FSI,20180419,1.54,1.54,1.47,1.47,14491
FSI,20180418,1.50,1.56,1.50,1.55,10817
FSI,20180417,1.57,1.57,1.49,1.49,18990
FSI,20180416,1.68,1.68,1.4799,1.61,16069
FSI,20180413,1.51,1.68,1.43,1.65,31233
FSI,20180412,1.42,1.49,1.42,1.49,9669
FSI,20180411,1.44,1.47,1.41,1.41,5145
FSI,20180410,1.479,1.479,1.37,1.47,26666
FSI,20180409,1.396,1.47,1.38,1.46,109347
FSI,20180406,1.38,1.40,1.33,1.40,34306
FSI,20180405,1.39,1.4087,1.39,1.40,47387
FSI,20180404,1.39,1.40,1.39,1.40,185723
FSI,20180403,1.65,1.65,1.38,1.40,124211
FSI,20180402,1.60,1.60,1.59,1.59,19987
FSI,20180329,1.66,1.66,1.5962,1.60,69622
FSI,20180328,1.66,1.6699,1.66,1.66,7300
FSI,20180327,1.6801,1.6801,1.6801,1.6801,500
FSI,20180326,1.70,1.72,1.68,1.68,8983
FSI,20180323,1.7212,1.73,1.67,1.73,6849
FSI,20180322,1.77,1.78,1.701,1.71,11785
FSI,20180321,1.73,1.7999,1.7214,1.77,13814
FSI,20180320,1.60,1.74,1.5789,1.74,16983
FSI,20180319,1.63,1.63,1.58,1.59,5550
FSI,20180316,1.63,1.69,1.62,1.62,29443
FSI,20180315,1.52,1.64,1.50,1.64,27503
FSI,20180314,1.5973,1.60,1.51,1.51,14910
FSI,20180313,1.6499,1.6499,1.61,1.64,14768
FSI,20180312,1.61,1.65,1.61,1.61,15011
FSI,20180309,1.67,1.67,1.61,1.61,9191
FSI,20180308,1.66,1.66,1.6291,1.66,4380
FSI,20180307,1.61,1.64,1.61,1.64,2049
FSI,20180306,1.62,1.69,1.60,1.61,12161
FSI,20180305,1.61,1.691,1.61,1.61,5185
FSI,20180302,1.6599,1.67,1.6399,1.64,8920
FSI,20180301,1.6143,1.67,1.6143,1.67,10338
FSI,20180228,1.66,1.74,1.66,1.70,29881
FSI,20180227,1.6606,1.71,1.66,1.69,8750
FSI,20180226,1.78,1.78,1.69,1.6901,1227
FSI,20180223,1.60,1.7118,1.60,1.69,28461
FSI,20180222,1.65,1.6599,1.60,1.60,9610
FSI,20180221,1.65,1.66,1.6235,1.63,16420
FSI,20180220,1.62,1.66,1.62,1.6599,10212
FSI,20180216,1.64,1.66,1.61,1.6101,6357
FSI,20180215,1.59,1.66,1.59,1.66,34955
FSI,20180214,1.60,1.61,1.59,1.6001,3456
FSI,20180213,1.66,1.66,1.58,1.60,8237
FSI,20180212,1.64,1.66,1.5906,1.6501,20455
FSI,20180209,1.63,1.66,1.58,1.65,55714
FSI,20180208,1.5193,1.66,1.51,1.63,178968
FSI,20180207,1.515,1.55,1.50,1.51,16827
FSI,20180206,1.50,1.51,1.43,1.51,49665
FSI,20180205,1.53,1.58,1.5034,1.51,14844
FSI,20180202,1.59,1.59,1.52,1.53,21338
FSI,20180201,1.56,1.64,1.52,1.567,44035
FSI,20180131,1.66,1.699,1.52,1.59,49647
FSI,20180130,1.70,1.7188,1.66,1.67,30115
FSI,20180129,1.71,1.72,1.70,1.71,23679
FSI,20180126,1.71,1.7966,1.71,1.72,17545
FSI,20180125,1.77,1.78,1.7101,1.7101,52028
FSI,20180124,1.77,1.97,1.76,1.81,50714
FSI,20180123,1.79,1.80,1.75,1.7826,43089
FSI,20180122,1.75,1.84,1.726,1.7901,84937
FSI,20180119,1.82,1.82,1.7766,1.80,22641
FSI,20180118,1.80,1.85,1.76,1.81,65644
FSI,20180117,1.917,1.919,1.85,1.8544,31802
FSI,20180116,1.85,2.10,1.84,1.87,169178
FSI,20180112,1.83,1.84,1.8058,1.8301,5476
FSI,20180111,1.80,1.82,1.80,1.815,1954
FSI,20180110,1.84,1.8454,1.80,1.81,8742
FSI,20180109,1.80,1.82,1.785,1.80,8741
FSI,20180108,1.82,1.8599,1.801,1.82,24909
FSI,20180105,1.85,1.8555,1.8315,1.85,3183
FSI,20180104,1.86,1.879,1.8365,1.854,4159
FSI,20180103,1.84,1.8678,1.835,1.85,20490
FSI,20180102,1.84,1.86,1.8201,1.86,9812
FSI,20171229,1.79,1.84,1.7487,1.82,26720
FSI,20171228,1.79,1.82,1.79,1.82,9993
FSI,20171227,1.75,1.80,1.75,1.79,46633
FSI,20171226,1.80,1.80,1.76,1.79,45382
