<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GWX,20180503,35.49,35.68,35.323,35.54,57207
GWX,20180502,35.62,35.71,35.43,35.43,41092
GWX,20180501,35.50,35.54,35.25,35.50,130611
GWX,20180430,35.64,35.80,35.541,35.59,386651
GWX,20180427,35.74,35.80,35.678,35.74,35885
GWX,20180426,35.69,35.75,35.61,35.68,31544
GWX,20180425,35.41,35.48,35.3249,35.41,103248
GWX,20180424,35.78,35.80,35.4504,35.51,53104
GWX,20180423,35.78,35.8205,35.6602,35.71,27386
GWX,20180420,36.01,36.01,35.87,35.95,63413
GWX,20180419,36.13,36.1601,35.97,36.11,33446
GWX,20180418,36.10,36.26,36.10,36.20,60825
GWX,20180417,35.92,36.07,35.845,36.04,333617
GWX,20180416,35.91,35.99,35.82,35.95,31817
GWX,20180413,35.91,35.945,35.65,35.78,40940
GWX,20180412,35.64,35.799,35.59,35.7448,39614
GWX,20180411,35.54,35.82,35.54,35.66,41846
GWX,20180410,35.58,35.76,35.52,35.70,135308
GWX,20180409,35.46,35.58,35.28,35.3101,30137
GWX,20180406,35.34,35.525,35.02,35.12,99028
GWX,20180405,35.35,35.49,35.32,35.44,44435
GWX,20180404,34.87,35.36,34.87,35.36,109110
GWX,20180403,35.22,35.31,35.06,35.30,312902
GWX,20180402,35.18,35.2124,34.70,34.82,112954
GWX,20180329,35.13,35.48,35.1088,35.39,44200
GWX,20180328,35.01,35.15,34.91,34.94,61220
GWX,20180327,35.23,35.34,34.80,34.80,45651
GWX,20180326,34.93,35.1052,34.7301,35.09,49863
GWX,20180323,34.95,35.0299,34.53,34.53,50329
GWX,20180322,35.29,35.43,35.01,35.01,63819
GWX,20180321,35.48,35.75,35.47,35.60,45582
GWX,20180320,35.45,35.5723,35.44,35.48,45553
GWX,20180319,35.58,35.58,35.27,35.43,33862
GWX,20180316,35.73,35.843,35.7001,35.74,93275
GWX,20180315,35.95,36.1084,35.86,35.95,44368
GWX,20180314,36.16,36.22,35.90,36.00,34974
GWX,20180313,36.13,36.19,35.76,35.82,68728
GWX,20180312,35.97,35.9979,35.8646,35.97,43223
GWX,20180309,35.73,35.92,35.69,35.88,136771
GWX,20180308,35.56,35.65,35.47,35.65,35557
GWX,20180307,35.44,35.5997,35.3133,35.52,44187
GWX,20180306,35.65,35.74,35.5508,35.67,123532
GWX,20180305,34.94,35.28,34.92,35.21,135899
GWX,20180302,34.89,35.176,34.80,35.14,146551
GWX,20180301,35.22,35.37,34.81,35.02,128908
GWX,20180228,35.83,35.83,35.41,35.43,61374
GWX,20180227,36.05,36.089,35.71,35.71,100422
GWX,20180226,36.09,36.24,35.9928,36.20,238893
GWX,20180223,35.86,36.08,35.82,36.03,55465
GWX,20180222,35.70,35.87,35.6049,35.68,72308
GWX,20180221,35.83,36.04,35.55,35.55,38791
GWX,20180220,35.69,35.84,35.54,35.63,82645
GWX,20180216,35.63,35.85,35.5895,35.73,76831
GWX,20180215,35.425,35.5448,35.197,35.50,45981
GWX,20180214,34.44,35.30,34.44,35.25,82542
GWX,20180213,34.61,34.78,34.60,34.74,86594
GWX,20180212,34.67,34.98,34.5678,34.88,102521
GWX,20180209,34.38,34.6298,33.66,34.40,155557
GWX,20180208,35.25,35.25,34.02,34.14,642852
GWX,20180207,35.19,35.50,35.02,35.05,77382
GWX,20180206,34.73,35.70,34.72,35.64,192491
GWX,20180205,35.89,36.0635,34.89,35.04,139194
GWX,20180202,36.92,36.92,36.501,36.53,178101
GWX,20180201,37.20,37.37,37.20,37.28,74022
GWX,20180131,37.36,37.4195,37.1808,37.24,65029
GWX,20180130,37.49,37.49,37.25,37.345,257085
GWX,20180129,37.80,37.80,37.59,37.65,84615
GWX,20180126,37.86,37.9903,37.7101,37.98,60217
GWX,20180125,37.89,37.91,37.5218,37.63,80315
GWX,20180124,37.83,37.83,37.6025,37.72,94739
GWX,20180123,37.42,37.53,37.385,37.51,101643
GWX,20180122,37.20,37.36,37.13,37.36,231053
GWX,20180119,37.20,37.219,37.10,37.20,191813
GWX,20180118,37.03,37.09,36.96,37.04,259978
GWX,20180117,37.07,37.30,37.0343,37.20,121060
GWX,20180116,37.15,37.19,36.95,36.97,157461
GWX,20180112,36.83,37.089,36.81,37.08,107249
GWX,20180111,36.62,36.7608,36.6028,36.74,229003
GWX,20180110,36.51,36.56,36.43,36.51,226900
GWX,20180109,36.46,36.50,36.39,36.49,119489
GWX,20180108,36.45,36.49,36.38,36.48,123792
GWX,20180105,36.37,36.48,36.33,36.46,140694
GWX,20180104,36.23,36.29,36.1943,36.29,107380
GWX,20180103,36.04,36.23,36.00,36.19,169696
GWX,20180102,35.80,35.93,35.73,35.91,134458
GWX,20171229,35.70,35.74,35.48,35.48,97038
