<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HAO,20180503,30.71,30.80,30.35,30.77,8945
HAO,20180502,30.91,31.00,30.708,30.708,6300
HAO,20180501,30.47,30.54,30.2001,30.50,11556
HAO,20180430,30.97,30.97,30.63,30.63,19965
HAO,20180427,30.56,30.6447,30.56,30.63,3170
HAO,20180426,30.45,30.63,30.41,30.62,12940
HAO,20180425,30.38,30.48,30.38,30.45,4393
HAO,20180424,30.71,30.75,30.24,30.38,8408
HAO,20180423,30.18,30.26,30.04,30.0725,10138
HAO,20180420,30.46,30.46,30.14,30.22,20161
HAO,20180419,30.82,30.87,30.63,30.70,7706
HAO,20180418,30.58,30.67,30.43,30.62,6640
HAO,20180417,30.82,31.0772,30.82,31.035,16407
HAO,20180416,31.06,31.15,30.99,31.15,9793
HAO,20180413,31.4545,31.4545,31.2401,31.25,8735
HAO,20180412,31.50,31.72,31.50,31.59,8819
HAO,20180411,31.60,31.75,31.60,31.69,11699
HAO,20180410,31.56,31.7604,31.52,31.64,15476
HAO,20180409,30.94,31.30,30.87,30.88,17538
HAO,20180406,30.98,31.06,30.44,30.44,10217
HAO,20180405,31.25,31.48,31.25,31.40,7168
HAO,20180404,30.33,31.22,30.33,31.22,20576
HAO,20180403,30.67,30.78,30.54,30.78,9195
HAO,20180402,30.62,30.79,29.95,30.30,16387
HAO,20180329,30.58,31.02,30.58,31.02,8250
HAO,20180328,30.46,30.56,30.16,30.36,27216
HAO,20180327,30.97,31.01,30.3101,30.51,18269
HAO,20180326,30.60,30.7104,30.17,30.67,28562
HAO,20180323,30.20,30.22,29.59,29.61,19935
HAO,20180322,30.78,30.85,30.52,30.52,38816
HAO,20180321,31.22,31.41,31.22,31.41,30416
HAO,20180320,31.53,31.7199,31.53,31.69,12983
HAO,20180319,31.43,31.4375,31.12,31.1328,15544
HAO,20180316,31.59,31.63,31.5134,31.63,12281
HAO,20180315,31.61,31.63,31.34,31.44,13998
HAO,20180314,31.52,31.52,31.20,31.33,11969
HAO,20180313,31.75,31.75,31.03,31.09,17188
HAO,20180312,31.59,31.6502,31.50,31.51,8615
HAO,20180309,31.21,31.63,31.21,31.59,20503
HAO,20180308,31.00,31.13,30.89,30.98,17734
HAO,20180307,30.69,30.83,30.37,30.80,43884
HAO,20180306,30.89,30.89,30.61,30.73,7644
HAO,20180305,30.16,30.53,30.13,30.52,9683
HAO,20180302,29.99,30.559,29.8196,30.51,28193
HAO,20180301,30.71,30.80,30.10,30.2385,17740
HAO,20180228,30.67,30.67,30.10,30.10,17836
HAO,20180227,30.88,30.88,30.28,30.28,9731
HAO,20180226,31.17,31.385,31.07,31.33,11103
HAO,20180223,30.99,31.11,30.84,31.10,8878
HAO,20180222,30.81,30.93,30.61,30.61,5824
HAO,20180221,30.81,31.2201,30.61,30.61,21453
HAO,20180220,30.46,30.7101,30.46,30.6194,7016
HAO,20180216,30.75,31.00,30.70,30.75,15656
HAO,20180215,30.59,30.68,30.37,30.55,11055
HAO,20180214,29.29,30.10,29.29,30.10,22026
HAO,20180213,29.26,29.4536,29.26,29.44,4270
HAO,20180212,29.01,29.36,28.88,29.14,15728
HAO,20180209,28.43,28.74,27.6832,28.73,54365
HAO,20180208,29.63,29.63,28.61,28.61,37347
HAO,20180207,29.84,30.22,29.64,29.64,9103
HAO,20180206,30.00,31.00,29.85,30.85,44749
HAO,20180205,31.51,31.88,30.51,30.60,61427
HAO,20180202,32.09,32.21,31.505,31.52,21179
HAO,20180201,32.02,32.05,31.78,31.86,14596
HAO,20180131,32.59,32.61,32.21,32.26,8581
HAO,20180130,32.25,32.419,32.105,32.211,19492
HAO,20180129,32.69,32.76,32.58,32.58,24541
HAO,20180126,33.08,33.2299,32.99,33.19,10835
HAO,20180125,32.58,32.815,32.45,32.66,27295
HAO,20180124,32.76,32.86,32.58,32.67,14421
HAO,20180123,32.41,32.50,32.36,32.50,23453
HAO,20180122,32.24,32.50,32.14,32.50,11334
HAO,20180119,31.93,32.0799,31.89,32.07,24245
HAO,20180118,31.39,31.52,31.39,31.47,9583
HAO,20180117,31.43,31.63,31.30,31.54,16568
HAO,20180116,31.55,31.55,31.16,31.20,33109
HAO,20180112,31.59,31.69,31.48,31.675,10038
HAO,20180111,31.25,31.58,31.25,31.58,21315
HAO,20180110,31.42,31.49,31.301,31.40,15695
HAO,20180109,31.30,31.3699,31.2292,31.31,10187
HAO,20180108,31.20,31.42,31.20,31.39,32375
HAO,20180105,31.00,31.01,30.95,31.01,20805
HAO,20180104,30.87,30.88,30.7834,30.86,15180
HAO,20180103,30.51,30.70,30.46,30.63,31835
HAO,20180102,30.10,30.24,30.09,30.24,21322
HAO,20171229,29.65,29.6647,29.57,29.58,6469
HAO,20171228,29.35,29.4072,29.27,29.33,6430
