<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IAI,20180503,65.34,65.39,64.00,65.05,76684
IAI,20180502,65.87,66.28,65.55,65.67,88336
IAI,20180501,65.71,65.94,65.19,65.94,40614
IAI,20180430,66.16,66.71,65.80,65.81,50076
IAI,20180427,66.03,66.30,65.6676,66.07,41437
IAI,20180426,65.61,66.42,65.3056,66.18,186219
IAI,20180425,65.83,65.97,65.05,65.59,314872
IAI,20180424,66.92,67.10,65.4175,65.80,53426
IAI,20180423,67.26,67.49,66.35,66.68,31141
IAI,20180420,66.89,67.5232,66.80,67.09,35673
IAI,20180419,66.30,67.04,66.30,66.91,49153
IAI,20180418,66.73,66.96,66.15,66.20,59124
IAI,20180417,66.75,66.809,66.27,66.52,74601
IAI,20180416,65.79,66.49,65.79,66.14,55988
IAI,20180413,66.69,66.71,65.1702,65.45,44891
IAI,20180412,65.57,66.43,65.57,66.08,42524
IAI,20180411,65.08,65.52,64.621,65.13,125201
IAI,20180410,65.54,66.08,65.17,65.66,51796
IAI,20180409,64.80,65.77,64.50,64.58,36875
IAI,20180406,65.39,65.6353,63.7779,64.35,47711
IAI,20180405,65.82,66.5048,65.72,66.15,56232
IAI,20180404,64.01,65.52,63.9988,65.35,22456
IAI,20180403,64.50,65.0652,64.0392,64.99,26953
IAI,20180402,65.42,65.7715,63.321,64.10,66405
IAI,20180329,64.54,65.6593,64.3001,65.43,23744
IAI,20180328,64.32,64.66,63.29,64.11,45840
IAI,20180327,66.01,66.17,63.90,64.33,34331
IAI,20180326,64.71,65.79,64.23,65.69,83138
IAI,20180323,65.69,65.838,63.529,63.55,55252
IAI,20180322,67.57,67.67,65.50,65.61,58953
IAI,20180321,68.48,69.19,68.17,68.36,43400
IAI,20180320,68.30,68.8799,68.30,68.49,300376
IAI,20180319,68.68,68.79,67.43,68.11,89874
IAI,20180316,68.45,69.17,68.45,68.81,65886
IAI,20180315,68.83,68.83,68.20,68.46,71276
IAI,20180314,69.39,69.39,68.43,68.58,234435
IAI,20180313,70.46,70.46,69.113,69.21,128007
IAI,20180312,70.31,70.58,69.99,70.28,376681
IAI,20180309,69.01,70.23,69.01,70.19,130601
IAI,20180308,68.21,68.58,67.59,68.43,409141
IAI,20180307,67.13,68.149,67.13,67.97,37229
IAI,20180306,67.22,67.87,66.809,67.87,24798
IAI,20180305,65.42,67.1489,65.42,66.86,32265
IAI,20180302,64.91,65.92,64.425,65.79,25763
IAI,20180301,66.31,66.441,64.96,65.38,45260
IAI,20180228,67.12,67.53,66.28,66.29,48886
IAI,20180227,67.00,67.79,66.87,66.87,63127
IAI,20180226,66.13,66.92,66.00,66.86,26721
IAI,20180223,65.20,65.85,65.20,65.85,27089
IAI,20180222,65.89,65.89,64.83,64.96,17972
IAI,20180221,65.91,66.66,65.63,65.64,24939
IAI,20180220,65.78,66.41,65.63,65.94,83211
IAI,20180216,65.99,66.12,65.75,65.90,31245
IAI,20180215,66.18,66.18,65.22,66.11,33523
IAI,20180214,63.96,65.6696,63.96,65.62,129726
IAI,20180213,63.62,64.2047,63.41,64.10,56691
IAI,20180212,63.39,64.415,63.095,63.89,170357
IAI,20180209,62.92,63.30,60.87,62.87,160841
IAI,20180208,64.67,64.67,62.08,62.08,269526
IAI,20180207,64.16,65.29,64.16,64.46,52695
IAI,20180206,62.12,64.71,61.41,64.52,357810
IAI,20180205,65.16,66.35,63.06,63.57,76769
IAI,20180202,67.28,67.68,65.9394,66.00,36685
IAI,20180201,66.12,67.57,66.12,67.569,17624
IAI,20180131,66.25,66.72,66.13,66.30,50109
IAI,20180130,66.26,66.6986,66.02,66.04,21513
IAI,20180129,67.02,67.3389,66.65,66.71,20616
IAI,20180126,66.77,67.051,66.54,66.99,17903
IAI,20180125,67.29,67.29,66.551,66.7786,11522
IAI,20180124,66.97,67.4498,66.40,67.2368,8895
IAI,20180123,66.90,66.97,66.62,66.83,28050
IAI,20180122,66.50,66.90,66.3378,66.90,31588
IAI,20180119,65.79,66.605,65.79,66.58,38928
IAI,20180118,66.21,66.21,65.68,65.8054,26200
IAI,20180117,66.07,66.20,65.25,66.07,67026
IAI,20180116,66.87,66.96,65.5612,65.77,143214
IAI,20180112,65.80,66.2099,65.738,66.18,31781
IAI,20180111,65.71,65.71,65.10,65.54,23635
IAI,20180110,65.07,65.6311,65.07,65.30,24234
IAI,20180109,64.46,65.28,64.46,65.04,45982
IAI,20180108,64.02,64.4194,64.02,64.31,51475
IAI,20180105,63.93,64.1099,63.69,64.088,30178
IAI,20180104,63.58,64.16,63.58,63.79,56096
IAI,20180103,62.76,63.42,62.76,63.14,64251
IAI,20180102,63.16,63.16,62.50,62.75,23434
IAI,20171229,63.16,63.16,62.77,62.77,23104
IAI,20171228,63.04,63.04,62.68,63.02,25943
IAI,20171227,62.96,62.99,62.76,62.82,11087
IAI,20171226,62.97,63.06,62.72,62.93,22929
IAI,20171222,63.35,63.35,62.821,63.11,18844
IAI,20171221,62.78,63.3471,62.78,63.24,52519
IAI,20171220,63.29,63.29,62.55,62.61,20317
IAI,20171219,63.79,63.79,62.84,62.84,19889
IAI,20171218,63.68,63.77,63.1363,63.32,46856
IAI,20171215,63.00,63.2607,62.4841,62.97,29159
IAI,20171214,63.01,63.054,62.2601,62.38,15055
IAI,20171213,63.60,63.60,62.8099,62.82,22763
IAI,20171212,63.14,63.87,63.09,63.57,45174
IAI,20171211,63.18,63.22,62.72,62.87,21884
IAI,20171208,62.90,63.11,62.31,63.04,23443
IAI,20171207,62.00,62.70,61.9707,62.5301,38086
IAI,20171206,62.21,62.439,62.0721,62.10,15729
IAI,20171205,63.40,63.4499,62.3668,62.41,74841
IAI,20171204,63.21,63.55,63.00,63.13,68221
IAI,20171201,61.84,62.18,60.95,62.18,35107
IAI,20171130,61.50,62.37,61.3111,61.66,65290
IAI,20171129,60.72,61.569,60.72,61.1201,74559
IAI,20171128,59.19,60.35,59.12,60.27,95404
IAI,20171127,59.07,59.45,58.9903,59.16,27735
IAI,20171124,59.27,59.29,59.08,59.09,10887
IAI,20171122,59.48,59.48,58.9954,59.06,33415
IAI,20171121,59.04,59.41,59.04,59.3443,6888
IAI,20171120,58.16,58.919,58.16,58.85,8354
IAI,20171117,57.90,58.19,57.85,58.08,4933
IAI,20171116,58.10,58.2799,57.96,58.07,11946
IAI,20171115,57.59,58.12,57.38,57.75,36436
IAI,20171114,57.84,57.995,57.6768,57.97,4637
IAI,20171113,57.36,58.17,57.36,58.12,9282
IAI,20171110,57.65,57.81,57.64,57.69,7822
IAI,20171109,57.33,57.63,57.02,57.63,12161
IAI,20171108,57.23,57.71,57.23,57.61,12133
IAI,20171107,58.2237,58.24,57.24,57.32,6309
IAI,20171106,57.90,58.0046,57.7168,57.94,10768
IAI,20171103,58.43,58.43,57.88,58.02,4513
IAI,20171102,57.68,58.61,57.5907,58.51,10741
IAI,20171101,58.25,58.33,57.58,57.58,10733
IAI,20171031,57.88,58.28,57.73,57.98,106710
IAI,20171030,57.84,58.05,57.6623,57.80,6153
IAI,20171027,57.78,58.095,57.5078,58.07,10987
IAI,20171026,57.84,58.1924,57.739,57.947,9885
IAI,20171025,58.28,58.28,57.20,57.63,27463
IAI,20171024,57.97,58.1043,57.84,58.04,7038
IAI,20171023,57.88,57.93,57.53,57.65,88851
IAI,20171020,57.74,57.993,57.63,57.83,3794
IAI,20171019,57.30,57.31,56.99,57.31,4231
IAI,20171018,57.38,57.765,57.38,57.69,5454
IAI,20171017,58.02,58.07,57.1317,57.1715,13638
IAI,20171016,57.58,57.8036,57.58,57.80,5508
IAI,20171013,57.78,57.78,57.48,57.61,7217
IAI,20171012,58.22,58.22,57.83,57.84,11624
