<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MXI,20180510,70.15,70.66,70.10,70.55,2292
MXI,20180509,69.22,69.94,69.22,69.66,6104
MXI,20180508,68.87,69.06,68.7644,69.03,7731
MXI,20180507,69.32,69.53,69.1113,69.1113,5776
MXI,20180504,68.36,69.44,68.36,69.21,4682
MXI,20180503,68.69,68.84,68.0542,68.73,11282
MXI,20180502,68.81,68.88,68.32,68.32,11914
MXI,20180501,68.17,68.17,67.6144,68.16,4319
MXI,20180430,69.06,69.09,68.502,68.61,10460
MXI,20180427,69.24,69.255,68.75,69.16,51476
MXI,20180426,69.20,69.48,68.89,69.48,13622
MXI,20180425,68.71,68.99,68.14,68.98,17745
MXI,20180424,70.0891,70.16,68.74,69.11,11025
MXI,20180423,69.94,70.11,69.62,69.79,58877
MXI,20180420,70.52,70.62,70.10,70.22,13618
MXI,20180419,71.13,71.13,70.40,70.78,5459
MXI,20180418,70.60,71.135,70.60,70.90,17538
MXI,20180417,69.57,69.95,69.53,69.92,16953
MXI,20180416,69.34,69.34,68.90,69.11,27771
MXI,20180413,69.17,69.17,68.7304,68.80,5946
MXI,20180412,68.24,68.80,68.24,68.71,10801
MXI,20180411,68.12,68.50,68.09,68.19,21383
MXI,20180410,68.20,68.6627,68.02,68.43,15717
MXI,20180409,67.06,67.5913,67.01,67.05,12186
MXI,20180406,67.52,67.57,66.50,66.83,9529
MXI,20180405,67.50,68.0482,67.50,67.905,19212
MXI,20180404,65.95,67.04,65.83,67.04,67986
MXI,20180403,66.87,67.26,66.55,67.09,14595
MXI,20180402,67.49,67.49,66.11,66.39,123497
MXI,20180329,66.99,67.90,66.99,67.61,14289
MXI,20180328,67.01,67.05,66.53,66.6183,57627
MXI,20180327,68.00,68.16,66.88,67.13,9402
MXI,20180326,67.48,67.72,66.74,67.64,91518
MXI,20180323,67.45,67.67,66.46,66.55,14116
MXI,20180322,68.21,68.3365,67.25,67.46,10482
MXI,20180321,68.59,69.395,68.59,69.36,124582
MXI,20180320,68.55,68.795,68.42,68.42,10835
MXI,20180319,69.00,69.01,68.11,68.44,10218
MXI,20180316,69.45,69.72,69.40,69.51,23826
MXI,20180315,69.91,70.075,69.45,69.57,17347
MXI,20180314,70.59,70.59,69.8649,69.8836,6314
MXI,20180313,70.72,70.7798,69.9677,70.00,16490
MXI,20180312,70.52,70.71,70.31,70.57,90936
MXI,20180309,69.80,70.36,69.80,70.3374,5945
MXI,20180308,69.64,69.64,69.175,69.4952,5283
MXI,20180307,69.29,69.769,69.06,69.6975,19460
MXI,20180306,69.63,70.099,69.56,69.92,5948
MXI,20180305,67.89,69.20,67.62,69.00,114303
MXI,20180302,67.99,68.45,67.47,68.45,65805
MXI,20180301,69.14,69.35,68.05,68.60,150303
MXI,20180228,70.77,70.77,69.66,69.7224,68280
MXI,20180227,71.76,71.76,70.90,70.90,71915
MXI,20180226,71.78,72.19,71.3785,72.19,167362
MXI,20180223,71.02,71.62,70.79,71.54,64337
MXI,20180222,70.44,71.09,70.44,70.59,29916
MXI,20180221,70.61,71.36,70.07,70.08,39182
MXI,20180220,70.55,70.7936,70.26,70.26,20412
MXI,20180216,71.26,71.71,70.94,71.24,24223
MXI,20180215,71.43,71.609,70.7501,71.47,16466
MXI,20180214,68.80,70.92,68.80,70.825,20688
MXI,20180213,69.15,69.475,69.08,69.365,7432
MXI,20180212,68.60,69.37,68.12,69.192,46932
MXI,20180209,67.64,68.075,66.1338,68.03,19445
MXI,20180208,69.40,69.79,67.06,67.06,26416
MXI,20180207,69.92,70.4165,69.39,69.39,19046
MXI,20180206,68.23,70.66,68.23,70.39,55590
MXI,20180205,70.85,71.3615,68.468,68.64,59825
MXI,20180202,72.59,72.59,71.06,71.06,23042
MXI,20180201,73.48,73.68,73.3267,73.56,90908
MXI,20180131,74.10,74.22,73.59,73.78,23137
MXI,20180130,74.22,74.22,73.68,73.78,11277
MXI,20180129,75.10,75.19,74.54,74.54,18491
MXI,20180126,74.71,75.12,74.42,75.12,13878
MXI,20180125,74.98,75.1122,74.3191,74.47,21470
MXI,20180124,74.47,74.70,74.08,74.41,34487
MXI,20180123,73.86,74.00,73.571,73.98,24003
MXI,20180122,74.12,74.2128,73.878,74.2079,13081
MXI,20180119,74.18,74.33,73.93,74.17,240529
MXI,20180118,73.78,74.0292,73.625,73.76,22225
MXI,20180117,73.90,74.17,73.595,73.84,20230
MXI,20180116,74.24,74.40,73.4399,73.68,33770
MXI,20180112,73.96,74.31,73.91,74.21,54340
MXI,20180111,73.08,73.63,73.0185,73.575,16049
MXI,20180110,72.84,72.94,72.61,72.74,40391
MXI,20180109,73.15,73.29,72.86,73.12,10680
MXI,20180108,72.90,73.02,72.82,72.98,15058
MXI,20180105,72.49,72.80,72.41,72.777,13731
MXI,20180104,72.10,72.46,72.10,72.3395,28677
MXI,20180103,71.29,71.63,71.26,71.63,23564
MXI,20180102,70.35,71.1455,70.245,71.1455,58642
MXI,20171229,70.39,70.39,69.87,70.075,14049
MXI,20171228,70.08,70.138,69.911,69.9999,9443
MXI,20171227,69.516,69.82,69.516,69.72,10233
MXI,20171226,69.22,69.4646,69.13,69.27,15022
MXI,20171222,69.16,69.255,69.16,69.22,2203
MXI,20171221,69.00,69.228,68.95,69.12,10194
MXI,20171220,69.42,69.4399,69.05,69.17,21378
MXI,20171219,68.92,69.21,68.78,69.0099,65657
MXI,20171218,68.73,69.209,68.67,69.08,9934
MXI,20171215,68.07,68.16,67.73,68.16,13880
MXI,20171214,68.16,68.22,67.66,67.755,9103
MXI,20171213,67.76,68.21,67.76,68.10,6304
MXI,20171212,67.55,67.67,67.47,67.6577,2942
MXI,20171211,67.66,67.8799,67.5928,67.5928,1822
MXI,20171208,67.44,67.4968,67.2707,67.3868,33996
MXI,20171207,66.74,67.13,66.60,67.08,22048
MXI,20171206,66.93,67.1056,66.92,66.98,10029
MXI,20171205,67.63,67.76,67.22,67.34,7703
MXI,20171204,67.89,68.10,67.78,67.78,30438
MXI,20171201,67.74,67.74,67.15,67.55,148661
MXI,20171130,67.74,67.95,67.60,67.81,6398
MXI,20171129,67.95,67.95,67.51,67.689,6580
MXI,20171128,67.57,67.89,67.57,67.89,8750
MXI,20171127,68.20,68.20,67.69,67.76,9504
MXI,20171124,68.24,68.4499,68.24,68.42,4704
MXI,20171122,67.89,67.89,67.58,67.7203,4235
MXI,20171121,67.61,67.766,67.57,67.63,12571
MXI,20171120,67.02,67.264,67.02,67.067,4638
MXI,20171117,66.91,67.102,66.91,67.02,3289
MXI,20171116,66.75,66.99,66.44,66.95,14224
MXI,20171115,66.10,66.30,65.801,66.20,13737
MXI,20171114,67.04,67.04,66.77,66.82,8620
MXI,20171113,66.93,67.42,66.93,67.3335,20837
MXI,20171110,67.81,67.81,67.38,67.38,18455
MXI,20171109,67.54,67.65,67.22,67.63,7162
MXI,20171108,68.19,68.3337,68.03,68.22,7709
MXI,20171107,68.22,68.3999,67.8848,67.92,14741
MXI,20171106,68.02,68.32,68.02,68.23,17676
MXI,20171103,68.16,68.16,67.76,67.91,10494
MXI,20171102,68.09,68.25,67.95,68.07,11632
MXI,20171101,68.30,68.49,68.00,68.01,22346
MXI,20171031,67.35,67.62,67.10,67.58,21676
MXI,20171030,67.29,67.38,67.20,67.20,3103
MXI,20171027,67.28,67.51,67.085,67.51,6286
MXI,20171026,67.48,67.62,67.348,67.44,4090
MXI,20171025,67.60,67.60,66.99,67.28,18013
MXI,20171024,67.13,67.55,67.13,67.55,20683
MXI,20171023,67.28,67.365,67.04,67.04,5508
MXI,20171020,66.98,67.13,66.89,66.96,46623
MXI,20171019,66.46,66.74,66.35,66.71,12827
MXI,20171018,66.72,66.72,66.44,66.51,8017
MXI,20171017,66.88,66.88,66.60,66.86,8235
MXI,20171016,67.37,67.5399,66.92,67.09,22812
MXI,20171013,67.00,67.17,66.9978,67.15,5658
MXI,20171012,66.21,66.4628,66.13,66.38,12446
MXI,20171011,66.28,66.39,66.14,66.39,5136
MXI,20171010,66.46,66.50,66.245,66.42,20734
MXI,20171009,66.29,66.29,66.02,66.03,7721
MXI,20171006,66.02,66.31,66.02,66.30,15079
MXI,20171005,66.31,66.53,66.2454,66.44,32183
MXI,20171004,65.87,66.3999,65.87,66.32,15233
MXI,20171003,65.87,66.15,65.87,66.12,20595
MXI,20171002,65.26,65.79,65.26,65.74,225476
MXI,20170929,65.23,65.52,65.14,65.39,22361
MXI,20170928,64.73,65.1499,64.55,65.084,4454
MXI,20170927,64.74,65.005,64.57,64.96,3679
MXI,20170926,65.07,65.07,64.74,64.895,3237
MXI,20170925,65.23,65.2402,64.85,64.8511,31054
MXI,20170922,65.46,65.62,65.355,65.62,3000
MXI,20170921,65.57,65.8049,65.46,65.57,12130
MXI,20170920,65.93,66.28,65.69,65.7717,9403
MXI,20170919,65.77,66.03,65.641,66.03,4017
MXI,20170918,65.47,65.7299,65.4381,65.55,21074
MXI,20170915,65.28,65.46,65.253,65.34,3975
MXI,20170914,65.17,65.51,65.122,65.51,5994
MXI,20170913,65.69,65.69,65.42,65.49,9055
MXI,20170912,65.86,66.05,65.86,66.01,8901
MXI,20170911,65.39,65.6316,65.31,65.63,16073
MXI,20170908,65.26,65.26,64.90,64.99,17077
MXI,20170907,65.20,65.3001,65.0808,65.25,4018
MXI,20170906,64.74,64.86,64.70,64.82,3882
MXI,20170905,65.02,65.04,64.24,64.54,9057
MXI,20170901,64.83,65.06,64.72,65.00,28991
MXI,20170831,64.28,64.55,64.09,64.50,35174
MXI,20170830,63.6744,63.9451,63.6744,63.8808,2224
MXI,20170829,63.50,63.83,63.50,63.83,14270
MXI,20170828,63.91,63.96,63.73,63.92,10200
MXI,20170825,63.75,63.975,63.71,63.89,3366
MXI,20170824,63.44,63.56,63.44,63.4676,27110
MXI,20170823,63.25,63.40,63.25,63.40,20632
MXI,20170822,62.95,63.22,62.95,63.21,5221
MXI,20170821,62.45,62.59,62.29,62.56,5139
MXI,20170818,62.188,62.4225,62.1306,62.26,6228
MXI,20170817,62.84,62.84,62.30,62.30,4958
MXI,20170816,62.40,62.89,62.40,62.88,4629
MXI,20170815,62.05,62.1299,61.89,62.1299,21463
MXI,20170814,62.24,62.426,62.24,62.27,2387
MXI,20170811,61.81,61.9185,61.73,61.81,3132
MXI,20170810,62.45,62.52,61.95,61.95,18301
MXI,20170809,62.52,62.77,62.52,62.75,5642
MXI,20170808,63.09,63.2199,62.905,62.95,8672
MXI,20170807,63.15,63.35,63.15,63.35,2190
MXI,20170804,62.98,63.08,62.7401,63.06,2939
MXI,20170803,62.96,62.9608,62.74,62.84,31011
MXI,20170802,62.81,63.05,62.78,63.05,13611
MXI,20170801,63.18,63.1955,62.96,63.06,74360
MXI,20170731,63.15,63.15,62.83,63.0199,20473
MXI,20170728,62.55,62.66,62.54,62.64,7155
MXI,20170727,63.18,63.18,62.572,62.78,14777
MXI,20170726,62.84,63.09,62.74,63.0632,8716
MXI,20170725,62.63,62.95,62.63,62.9091,17158
MXI,20170724,62.13,62.2313,62.0028,62.2313,2004
MXI,20170721,62.26,62.26,62.09,62.14,1355
MXI,20170720,62.66,62.66,62.36,62.44,2263
MXI,20170719,62.30,62.6665,62.30,62.65,17364
MXI,20170718,62.26,62.37,62.21,62.365,10198
MXI,20170717,62.30,62.56,62.30,62.4124,2610
MXI,20170714,61.97,62.32,61.9295,62.25,4270
MXI,20170713,61.53,61.69,61.44,61.66,21902
MXI,20170712,61.39,61.58,61.29,61.54,33583
MXI,20170711,60.62,60.9299,60.47,60.87,10826
MXI,20170710,59.94,60.6228,59.94,60.48,12955
MXI,20170707,59.94,60.093,59.67,60.05,6944
MXI,20170706,60.01,60.14,59.80,59.88,9598
MXI,20170705,60.33,60.40,60.0501,60.37,12905
MXI,20170703,59.96,60.35,59.96,60.3038,23864
MXI,20170630,59.77,59.86,59.51,59.83,48050
MXI,20170629,59.88,59.88,59.31,59.41,20244
MXI,20170628,59.51,60.00,59.48,60.00,119269
MXI,20170627,59.22,59.57,59.11,59.12,18512
MXI,20170626,59.17,59.27,58.97,59.01,11725
MXI,20170623,58.74,59.11,58.71,59.04,17646
MXI,20170622,58.55,58.87,58.55,58.83,3722
MXI,20170621,58.91,58.93,58.5401,58.61,16014
