<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MC.PA,20180504,291.450012,294.049988,290.799988,291.799988,484129
MC.PA,20180503,292.700012,293.149994,290.649994,291.25,413134
MC.PA,20180502,290.149994,292.850006,289.100006,292.75,601909
MC.PA,20180430,285.0,289.299988,284.0,289.299988,581543
MC.PA,20180427,281.399994,284.850006,281.299988,284.399994,456201
MC.PA,20180426,280.799988,281.899994,278.649994,281.100006,603601
MC.PA,20180425,281.149994,285.850006,278.649994,280.649994,749480
MC.PA,20180424,279.299988,281.950012,279.100006,281.75,601849
MC.PA,20180423,279.850006,281.049988,278.0,281.049988,381280
MC.PA,20180420,278.5,280.799988,276.850006,279.25,764368
MC.PA,20180419,282.899994,282.950012,276.100006,277.200012,610663
MC.PA,20180418,280.549988,282.799988,279.450012,282.799988,513555
MC.PA,20180417,280.5,281.799988,279.25,279.25,664682
MC.PA,20180416,281.450012,282.950012,280.75,282.700012,436141
MC.PA,20180413,280.799988,282.899994,279.850006,281.850006,563645
MC.PA,20180412,278.25,281.0,276.049988,281.0,682592
MC.PA,20180411,275.100006,278.25,273.350006,278.25,690737
MC.PA,20180410,274.049988,277.25,271.350006,275.149994,1569222
MC.PA,20180409,264.0,264.600006,261.100006,262.25,647580
MC.PA,20180406,263.149994,264.549988,262.100006,262.600006,665237
MC.PA,20180405,258.0,264.5,257.200012,264.5,875568
MC.PA,20180404,256.600006,257.5,251.600006,255.850006,1030027
MC.PA,20180403,249.05000299999998,256.299988,248.69999700000002,256.0,909220
MC.PA,20180329,246.149994,252.350006,245.19999700000002,250.19999700000002,707714
MC.PA,20180328,243.05000299999998,244.05000299999998,239.94999700000002,243.899994,606379
MC.PA,20180327,248.69999700000002,249.05000299999998,244.44999700000002,245.19999700000002,547051
MC.PA,20180326,244.350006,246.399994,242.25,243.80000299999998,678816
MC.PA,20180323,247.19999700000002,247.19999700000002,242.600006,242.899994,773835
MC.PA,20180322,250.399994,252.5,246.5,249.30000299999998,721130
MC.PA,20180321,251.94999700000002,253.649994,251.399994,252.649994,538101
MC.PA,20180320,247.05000299999998,251.55000299999998,246.19999700000002,251.55000299999998,608141
MC.PA,20180319,248.399994,248.44999700000002,244.94999700000002,246.0,470398
MC.PA,20180316,247.0,249.100006,246.649994,247.5,1236732
MC.PA,20180315,244.899994,248.19999700000002,243.899994,247.350006,637640
MC.PA,20180314,243.399994,245.80000299999998,242.55000299999998,242.899994,435075
MC.PA,20180313,247.69999700000002,248.44999700000002,242.649994,243.5,605443
MC.PA,20180312,248.0,248.0,245.5,246.80000299999998,307919
MC.PA,20180309,245.55000299999998,247.399994,243.94999700000002,245.94999700000002,521810
MC.PA,20180308,241.19999700000002,245.80000299999998,241.100006,245.600006,474057
MC.PA,20180307,240.75,242.399994,238.600006,241.19999700000002,438734
MC.PA,20180306,242.44999700000002,244.25,241.350006,241.350006,475938
MC.PA,20180305,238.44999700000002,241.75,237.55000299999998,240.75,519966
MC.PA,20180302,241.75,242.399994,238.0,238.75,807006
MC.PA,20180301,246.0,246.44999700000002,241.649994,244.100006,649330
MC.PA,20180228,245.649994,248.399994,245.649994,246.5,527029
MC.PA,20180227,251.0,251.600006,246.05000299999998,246.94999700000002,559129
MC.PA,20180226,248.649994,251.55000299999998,248.05000299999998,249.30000299999998,609192
MC.PA,20180223,247.05000299999998,247.05000299999998,244.649994,246.75,414841
MC.PA,20180222,245.5,245.55000299999998,241.149994,245.05000299999998,575633
MC.PA,20180221,244.44999700000002,246.69999700000002,244.100006,246.69999700000002,427299
MC.PA,20180220,245.0,246.05000299999998,242.899994,245.100006,551368
