<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ACE,20180306,25.00,28.80,25.00,27.90,6900
ACE,20180305,26.00,27.50,26.00,27.50,400
ACE,20180302,26.70,26.70,26.00,26.00,3600
ACE,20180228,28.00,28.00,27.60,27.80,5000
ACE,20180227,25.00,26.10,25.00,26.10,200
ACE,20180226,26.00,27.90,26.00,27.90,5200
ACE,20180223,26.10,28.20,26.10,28.00,500
ACE,20180222,25.10,28.80,25.10,27.90,600
ACE,20180221,25.10,27.50,25.10,26.10,1472
ACE,20180213,27.70,28.00,26.00,28.00,2410
ACE,20180212,30.50,30.50,26.00,26.00,1010
ACE,20180209,26.90,26.90,26.90,26.90,100
ACE,20180208,25.50,25.50,25.50,25.50,1500
ACE,20180206,25.10,25.10,25.00,25.00,3400
ACE,20180201,28.80,28.80,28.80,28.80,100
ACE,20180131,25.80,25.80,25.80,25.80,1000
ACE,20180130,30.30,30.30,30.30,30.30,100
ACE,20180129,25.00,27.50,25.00,27.10,6510
ACE,20180126,27.20,27.20,27.20,27.20,1400
ACE,20180125,27.60,27.60,27.00,27.60,1700
ACE,20180124,27.40,28.50,26.50,28.40,7000
ACE,20180123,30.80,30.80,30.80,30.80,100
ACE,20180119,26.70,27.00,26.70,27.00,11000
ACE,20180118,26.10,26.10,26.10,26.10,1000
ACE,20180117,27.10,27.10,27.10,27.10,60
ACE,20180116,27.00,27.20,27.00,27.20,630
ACE,20180112,26.50,26.70,26.50,26.60,1200
ACE,20180111,26.00,26.50,25.70,26.50,1100
ACE,20180110,25.60,25.60,25.60,25.60,1100
ACE,20180109,25.30,25.30,25.30,25.30,9200
ACE,20180108,25.30,25.60,25.20,25.30,3200
ACE,20180105,27.00,27.00,27.00,27.00,100
ACE,20180103,30.00,30.00,27.50,27.50,1700
ACE,20171229,26.90,26.90,26.90,26.90,100
ACE,20171225,29.50,29.50,29.50,29.50,100
ACE,20171222,26.00,26.70,26.00,26.70,700
ACE,20171220,26.00,26.20,26.00,26.20,2400
ACE,20171215,26.90,26.90,26.90,26.90,100
ACE,20171212,25.80,25.80,25.80,25.80,500
ACE,20171208,27.20,27.20,27.20,27.20,100
ACE,20171207,26.50,26.50,25.50,25.60,1900
ACE,20171206,26.00,26.00,26.00,26.00,500
ACE,20171130,26.90,26.90,26.00,26.00,1010
ACE,20171129,26.70,27.00,26.70,27.00,1000
ACE,20171128,26.00,26.00,26.00,26.00,800
ACE,20171124,28.00,28.00,26.00,27.00,2028
ACE,20171123,25.50,25.50,25.40,25.50,3200
ACE,20171122,26.40,26.40,26.40,26.40,10
ACE,20171121,26.40,26.50,26.40,26.40,2100
ACE,20171120,28.80,28.80,28.80,28.80,100
ACE,20171116,25.20,25.20,25.20,25.20,1400
ACE,20171115,25.20,25.20,25.20,25.20,1020
ACE,20171110,25.20,25.20,25.20,25.20,300
ACE,20171108,26.00,26.00,26.00,26.00,45
ACE,20171107,26.00,26.00,26.00,26.00,500
