<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ACV,20180330,102.00,107.30,101.00,106.10,284222
ACV,20180329,96.00,102.00,96.00,100.50,316988
ACV,20180328,94.50,97.10,94.50,96.00,88975
ACV,20180327,93.30,97.00,91.60,96.80,228192
ACV,20180326,89.00,91.50,88.70,91.50,53713
ACV,20180323,90.00,90.50,88.00,89.60,98270
ACV,20180322,90.10,92.00,90.00,91.20,154421
ACV,20180321,90.00,91.00,88.10,91.00,82946
ACV,20180320,92.50,92.50,88.80,89.50,158720
ACV,20180319,95.50,96.00,91.20,91.70,99880
ACV,20180316,92.40,95.00,91.20,95.00,81009
ACV,20180315,96.30,96.30,91.60,92.40,114203
ACV,20180314,98.00,98.00,95.50,95.70,72948
ACV,20180313,99.50,99.50,97.80,98.00,32375
ACV,20180312,99.90,102.00,98.70,99.40,196683
ACV,20180309,97.90,99.20,97.50,98.70,65200
ACV,20180308,97.50,97.90,97.00,97.90,37190
ACV,20180307,97.70,100.50,97.00,97.50,59443
ACV,20180306,98.20,98.90,96.10,98.90,112953
ACV,20180305,100.50,100.50,97.00,98.00,158210
ACV,20180302,99.50,101.70,96.00,99.10,144790
ACV,20180301,100.00,104.00,99.00,99.60,247668
ACV,20180228,93.00,100.00,92.40,100.00,315010
ACV,20180227,93.00,93.00,92.00,93.00,78802
ACV,20180226,93.00,95.00,91.00,93.00,121595
ACV,20180223,92.20,93.00,91.00,92.20,100000
ACV,20180222,93.00,93.50,91.60,92.00,90920
ACV,20180221,95.00,97.00,92.00,93.00,177815
ACV,20180213,92.00,92.50,91.80,92.00,320825
ACV,20180212,91.70,93.50,90.00,93.00,190916
ACV,20180209,91.00,91.90,83.00,91.90,258688
ACV,20180208,92.00,92.40,91.00,92.30,135101
ACV,20180207,89.00,95.00,89.00,91.00,235482
ACV,20180206,94.00,94.00,83.00,88.00,531625
ACV,20180205,99.00,99.00,94.00,94.00,69600
ACV,20180202,96.70,100.00,96.50,99.00,201821
ACV,20180201,102.00,102.10,94.60,96.40,209841
ACV,20180131,105.00,105.50,99.90,99.90,174385
ACV,20180130,104.00,106.00,104.00,104.20,122156
ACV,20180129,107.20,107.50,103.00,103.00,298073
ACV,20180126,109.10,110.00,105.00,108.40,149068
ACV,20180125,111.00,113.00,109.00,109.10,126860
ACV,20180124,116.00,116.00,110.00,111.80,236875
ACV,20180123,108.00,118.00,108.00,114.00,619852
ACV,20180122,104.40,112.00,104.40,108.00,174750
ACV,20180119,105.30,107.70,103.00,105.00,305595
ACV,20180118,105.30,105.30,102.10,105.00,516005
ACV,20180117,106.00,107.90,105.00,105.50,252210
ACV,20180116,106.70,107.50,106.40,106.50,124435
ACV,20180115,111.00,111.00,106.00,108.70,77336
ACV,20180112,110.00,112.50,110.00,111.90,186017
ACV,20180111,106.50,112.00,104.00,110.00,233910
ACV,20180110,110.00,111.50,103.00,106.50,392093
ACV,20180109,115.60,116.60,110.00,112.00,361593
ACV,20180108,115.00,119.00,115.00,116.60,107483
ACV,20180105,117.90,121.00,117.90,119.00,215982
ACV,20180104,117.90,119.00,111.00,119.00,189522
ACV,20180103,119.00,128.00,114.00,114.50,361440
ACV,20180102,107.50,120.00,107.50,119.00,169087
ACV,20171229,110.20,112.00,103.00,108.50,220219
ACV,20171228,104.20,112.00,103.00,110.00,166110
ACV,20171227,99.00,104.20,99.00,103.00,173095
ACV,20171226,96.70,99.50,96.50,99.20,76476
ACV,20171225,95.50,97.50,94.10,97.40,50777
ACV,20171222,97.90,98.20,94.00,97.50,206441
ACV,20171221,93.20,99.80,93.20,96.80,157791
ACV,20171220,92.00,94.00,91.20,93.10,147210
ACV,20171219,89.90,92.00,89.80,91.00,284354
ACV,20171218,88.00,91.00,88.00,89.90,97197
ACV,20171215,86.50,88.90,86.50,88.10,68161
ACV,20171214,84.00,86.50,84.00,86.50,181280
ACV,20171213,87.00,87.30,82.00,85.50,67620
ACV,20171212,86.90,88.10,84.10,86.50,160470
ACV,20171211,88.00,89.30,87.00,87.00,58410
ACV,20171208,90.00,90.00,86.80,89.30,116870
ACV,20171207,89.30,90.10,89.00,90.00,57501
ACV,20171206,90.50,90.50,87.00,89.00,280628
ACV,20171205,96.50,96.50,87.00,90.30,217136
ACV,20171204,89.00,96.50,89.00,96.50,233655
ACV,20171201,83.70,89.00,83.50,88.00,303976
ACV,20171130,82.10,84.50,82.10,84.00,463467
ACV,20171129,84.00,84.30,82.00,83.40,52800
ACV,20171128,82.00,84.10,82.00,83.00,95200
ACV,20171127,82.00,82.50,81.80,82.00,124450
ACV,20171124,84.50,84.50,81.00,81.00,147000
ACV,20171123,84.00,87.90,82.50,82.50,86106
ACV,20171122,81.50,86.00,81.00,85.50,84810
ACV,20171121,83.30,83.30,78.50,81.50,66900
ACV,20171120,82.20,85.00,81.70,83.30,100190
ACV,20171117,83.00,83.00,82.00,82.40,105530
ACV,20171116,81.80,82.50,81.80,82.50,42274
ACV,20171115,81.00,83.00,80.00,81.40,54235
ACV,20171114,81.50,83.50,80.00,80.50,137202
ACV,20171113,77.40,83.50,76.90,81.00,116285
ACV,20171110,75.50,77.70,75.40,77.40,52755
ACV,20171109,73.50,75.50,73.10,75.20,94040
ACV,20171108,71.41,74.88,71.11,73.20,125605
ACV,20171107,69.43,71.91,69.43,71.41,50970
ACV,20171106,70.23,70.23,69.24,69.23,40900
ACV,20171103,70.42,70.42,69.92,70.03,49902
ACV,20171102,69.43,72.21,69.23,70.42,78700
ACV,20171101,69.43,69.43,68.93,69.43,17600
ACV,20171031,68.93,70.42,68.44,70.22,41800
ACV,20171030,70.43,72.41,69.34,69.43,112730
ACV,20171027,69.92,71.41,69.92,71.32,96368
ACV,20171026,72.41,72.41,69.43,70.42,137670
ACV,20171025,68.44,72.90,68.44,72.41,159070
ACV,20171024,67.64,68.93,67.64,68.54,27525
ACV,20171023,67.94,68.44,67.45,67.94,11510
ACV,20171020,67.65,68.24,67.45,68.24,17400
ACV,20171019,68.34,68.44,67.25,68.34,12510
ACV,20171018,68.93,68.93,66.85,68.44,82318
ACV,20171017,69.43,69.43,67.44,68.24,25636
ACV,20171016,68.44,70.42,68.44,68.93,95780
ACV,20171013,65.66,68.24,65.66,68.24,35611
ACV,20171012,65.47,66.06,65.47,65.76,55258
ACV,20171011,65.67,66.46,65.67,66.46,19202
ACV,20171010,65.66,66.95,65.17,66.46,38643
ACV,20171009,65.47,66.46,64.57,66.06,22900
ACV,20171006,66.46,66.46,65.47,66.16,21700
ACV,20171005,67.25,67.84,65.96,66.46,51200
ACV,20171004,67.35,68.04,66.46,67.15,195630
ACV,20171003,67.45,68.44,64.47,67.35,45543
ACV,20171002,69.03,69.03,67.34,67.35,56619
ACV,20170929,67.65,70.43,67.65,69.03,144740
ACV,20170928,62.69,68.93,62.49,67.65,90250
ACV,20170927,62.49,63.48,61.89,63.38,103133
ACV,20170926,61.70,63.48,61.50,63.48,25715
ACV,20170925,63.48,63.68,61.99,63.68,77740
ACV,20170922,61.50,63.88,61.50,63.48,57673
ACV,20170921,60.50,62.49,59.81,61.00,33680
ACV,20170920,58.32,61.00,58.32,61.00,75855
ACV,20170919,56.93,59.51,56.93,59.51,60938
ACV,20170918,58.52,58.52,57.23,57.23,23220
ACV,20170915,57.92,58.72,57.92,58.72,42870
ACV,20170914,57.03,58.42,57.03,58.12,21945
ACV,20170913,57.53,57.53,57.03,57.33,39030
ACV,20170912,58.52,58.52,57.43,58.42,59040
ACV,20170911,58.03,59.02,57.43,59.02,54014
ACV,20170908,57.82,57.92,57.03,57.83,30020
ACV,20170907,59.31,59.31,57.13,58.02,11210
ACV,20170906,59.11,59.41,59.01,59.31,51010
ACV,20170905,58.62,59.41,57.03,59.31,125620
ACV,20170901,58.92,58.92,58.23,58.72,42484
ACV,20170831,59.51,59.51,59.01,59.02,137680
ACV,20170830,59.11,59.51,58.72,59.51,67550
ACV,20170829,58.52,60.40,58.52,59.51,86040
ACV,20170828,56.53,60.40,56.04,59.51,147655
ACV,20170825,55.05,57.03,54.65,57.03,51643
ACV,20170824,54.95,56.04,54.45,56.04,117666
ACV,20170823,53.96,55.35,53.66,54.95,79280
ACV,20170822,54.06,54.56,53.56,53.96,8950
ACV,20170821,51.78,54.55,51.78,54.06,71767
ACV,20170818,51.18,52.47,51.18,52.47,85030
ACV,20170817,51.18,51.58,51.18,51.48,33600
ACV,20170816,45.63,51.48,45.63,51.48,38500
ACV,20170815,51.58,51.58,51.08,51.18,16700
ACV,20170814,50.59,51.58,50.59,51.28,96760
ACV,20170811,50.59,50.79,50.59,50.59,14700
ACV,20170810,50.59,50.69,50.59,50.59,3100
ACV,20170809,50.59,50.99,50.49,50.59,64780
ACV,20170808,50.59,50.59,50.39,50.39,17310
ACV,20170807,51.18,51.18,50.58,50.59,38350
ACV,20170804,51.58,51.58,50.88,50.88,4550
ACV,20170803,51.58,51.88,51.28,51.48,3540
ACV,20170802,50.59,51.68,50.49,51.48,116850
ACV,20170801,50.59,50.59,50.39,50.49,50000
ACV,20170731,50.59,50.59,50.39,50.39,11500
ACV,20170728,50.39,50.59,50.39,50.49,18510
ACV,20170727,50.59,50.59,50.39,50.39,29800
ACV,20170726,50.09,50.39,50.09,50.39,26500
ACV,20170725,50.59,50.59,50.39,50.39,26900
ACV,20170724,50.29,50.39,49.60,50.39,59720
ACV,20170721,50.49,50.49,49.99,50.39,55020
ACV,20170720,49.39,50.09,49.39,50.09,23032
ACV,20170719,47.81,49.00,47.81,48.70,57600
ACV,20170718,49.10,49.10,47.12,47.91,94122
ACV,20170717,50.49,50.49,49.10,49.10,12600
ACV,20170714,50.19,50.59,50.09,50.29,13104
ACV,20170713,50.09,50.79,50.09,50.59,60740
ACV,20170712,50.39,50.69,50.39,50.39,49121
ACV,20170711,50.59,51.09,50.59,50.59,322030
ACV,20170710,50.49,50.59,50.49,50.59,123310
ACV,20170707,50.49,50.69,50.19,50.59,62324
ACV,20170706,50.29,50.79,50.29,50.49,27707
ACV,20170705,50.29,50.39,50.19,50.39,24810
ACV,20170704,50.39,50.59,49.99,50.09,54700
ACV,20170703,50.79,50.79,50.29,50.59,116653
ACV,20170630,51.08,51.18,50.49,50.59,64393
ACV,20170629,51.38,51.58,51.38,51.38,50620
ACV,20170628,51.48,51.58,51.18,51.48,80530
ACV,20170627,51.58,51.58,51.48,51.48,94010
ACV,20170626,51.38,52.18,51.38,51.58,72530
ACV,20170623,51.58,51.58,51.38,51.58,116292
ACV,20170622,51.58,52.08,51.58,51.68,88232
ACV,20170621,51.68,51.68,51.48,51.58,180700
ACV,20170620,50.59,51.88,50.59,51.68,265610
ACV,20170619,50.98,51.68,50.88,51.58,174000
ACV,20170616,50.79,51.48,50.59,51.38,88540
ACV,20170615,48.99,51.57,48.99,51.48,142600
ACV,20170614,48.60,49.59,48.60,49.59,115925
ACV,20170613,47.81,48.60,47.81,48.60,51948
ACV,20170612,47.61,47.81,47.61,47.81,36450
ACV,20170609,47.91,48.11,47.61,47.61,52660
ACV,20170608,47.91,48.11,47.51,48.11,28004
ACV,20170607,47.61,48.11,47.61,47.71,68680
ACV,20170606,47.51,48.11,47.51,48.11,23588
ACV,20170605,47.61,47.61,47.41,47.61,21299
ACV,20170602,47.61,47.71,47.51,47.61,309009
ACV,20170601,47.61,47.81,47.21,47.51,129900
ACV,20170531,47.71,47.71,47.31,47.61,14500
ACV,20170530,48.20,48.20,47.31,47.41,18800
ACV,20170529,48.10,48.60,47.61,48.40,23160
ACV,20170526,48.50,48.60,48.20,48.60,16430
ACV,20170525,48.60,48.90,48.50,48.80,97605
ACV,20170524,49.20,49.20,48.70,48.90,49335
ACV,20170523,49.10,49.10,48.90,49.00,36150
ACV,20170522,49.10,49.30,48.80,49.10,20900
ACV,20170519,48.80,49.40,48.80,49.20,27120
ACV,20170518,48.90,49.40,48.90,49.20,92100
ACV,20170517,47.61,49.10,47.61,49.00,18035
ACV,20170516,49.69,49.69,49.19,49.20,26520
ACV,20170515,50.09,50.09,49.39,49.59,128660
ACV,20170512,49.79,49.79,49.49,49.59,159710
ACV,20170511,49.10,49.99,49.10,49.59,167810
ACV,20170510,48.70,49.20,48.70,49.10,28720
ACV,20170509,49.00,49.10,48.70,49.00,37600
ACV,20170508,48.70,49.49,48.60,49.00,40206
ACV,20170505,48.60,49.10,48.60,48.70,13000
ACV,20170504,48.60,49.10,48.60,48.80,23220
ACV,20170503,49.10,49.20,42.65,48.60,35630
ACV,20170428,49.09,49.49,49.09,49.20,10100
ACV,20170427,49.30,49.70,49.30,49.39,104695
ACV,20170426,49.00,49.69,48.70,49.20,55064
ACV,20170425,47.81,49.00,47.61,48.70,27810
ACV,20170424,48.60,49.40,48.01,49.20,39440
ACV,20170421,49.20,49.50,49.20,49.20,7150
ACV,20170420,49.30,49.70,49.10,49.10,67765
ACV,20170419,49.29,49.39,48.99,49.30,31700
ACV,20170418,49.49,49.59,49.39,49.59,17800
ACV,20170417,49.59,49.69,49.59,49.59,119360
ACV,20170414,49.69,49.69,49.19,49.39,36500
ACV,20170413,49.69,50.58,49.49,49.79,116900
ACV,20170412,49.99,49.99,49.29,49.69,250314
ACV,20170411,49.99,50.09,49.89,49.89,44056
ACV,20170410,49.89,50.39,49.89,50.19,63220
ACV,20170407,49.89,49.99,49.79,49.89,117200
ACV,20170405,49.69,49.99,49.30,49.69,45520
ACV,20170404,49.99,49.99,49.00,49.99,97200
ACV,20170403,50.39,50.49,49.99,50.39,150430
ACV,20170331,50.19,50.59,50.19,50.59,93950
ACV,20170330,50.49,50.59,50.29,50.39,85565
ACV,20170329,50.39,50.59,50.39,50.59,76000
ACV,20170328,50.59,50.69,50.49,50.59,122855
ACV,20170327,50.59,50.99,50.39,50.59,127166
ACV,20170324,50.68,50.98,50.58,50.59,108350
ACV,20170323,50.58,50.88,50.58,50.78,32100
ACV,20170322,50.58,51.18,50.58,50.78,84210
ACV,20170321,50.58,51.28,50.58,50.78,35800
ACV,20170320,51.08,51.48,50.49,50.98,90216
ACV,20170317,50.59,51.48,50.59,51.18,60127
ACV,20170316,50.59,51.58,50.59,51.38,84110
ACV,20170315,51.08,51.08,50.09,50.59,173310
ACV,20170314,51.48,51.58,50.59,51.08,87459
ACV,20170313,51.58,51.68,51.38,51.58,127017
ACV,20170310,51.48,51.78,51.38,51.58,195620
ACV,20170309,51.68,51.98,51.38,51.58,127420
ACV,20170308,52.37,52.37,51.38,51.58,70957
ACV,20170307,52.17,52.57,51.38,52.07,258765
ACV,20170306,51.09,52.97,50.79,52.07,759866
ACV,20170303,51.09,51.09,50.29,50.49,183946
ACV,20170302,50.78,50.78,50.09,50.49,141079
ACV,20170301,50.98,50.98,49.39,49.89,321140
ACV,20170228,52.37,52.57,50.49,50.78,121050
ACV,20170227,50.38,53.06,50.38,51.48,175885
ACV,20170224,52.18,52.57,50.89,50.98,111927
ACV,20170223,51.97,52.07,51.08,51.78,232300
ACV,20170222,52.17,53.06,51.57,52.17,341354
ACV,20170221,52.37,52.47,51.87,52.17,187430
ACV,20170220,51.58,53.76,51.58,52.07,476037
ACV,20170217,50.88,51.38,50.58,51.38,284679
ACV,20170216,51.08,51.18,50.58,50.88,416440
ACV,20170215,50.88,51.18,50.68,51.08,363659
ACV,20170214,51.18,51.58,50.49,50.68,208281
ACV,20170213,50.29,51.58,50.29,51.18,456160
ACV,20170210,50.09,50.88,49.79,50.39,719070
ACV,20170209,49.59,50.48,49.59,49.79,353410
ACV,20170208,49.59,49.79,49.39,49.69,274700
ACV,20170207,49.39,49.99,49.39,49.59,287140
ACV,20170206,50.59,50.59,49.49,49.59,634526
ACV,20170203,50.09,51.18,49.79,50.09,766672
ACV,20170202,49.49,49.89,49.09,49.69,191700
ACV,20170125,49.59,50.58,48.99,49.49,109600
ACV,20170124,48.30,49.99,48.30,49.49,543720
ACV,20170123,48.11,49.10,47.61,48.70,216140
ACV,20170120,48.40,48.60,48.10,48.11,182700
ACV,20170119,47.81,48.80,47.81,48.60,163700
ACV,20170118,47.61,48.60,47.41,48.50,225099
ACV,20170117,48.30,48.40,47.21,47.71,261700
ACV,20170116,49.10,49.40,48.31,48.60,290800
ACV,20170113,49.20,49.50,49.10,49.20,270966
ACV,20170112,48.40,50.78,48.10,49.20,575092
ACV,20170111,47.91,48.21,47.61,48.20,176551
ACV,20170110,47.61,48.50,47.61,47.81,182360
ACV,20170109,47.61,48.40,46.62,47.71,173894
ACV,20170106,47.71,47.91,47.21,47.61,279876
ACV,20170105,48.30,48.99,47.41,47.71,160960
ACV,20170104,47.61,48.60,47.61,48.30,326764
ACV,20170103,48.10,48.10,46.61,47.21,176750
ACV,20161230,48.10,48.90,47.41,48.20,382180
ACV,20161229,48.11,49.10,47.71,48.60,245157
ACV,20161228,47.51,49.40,47.51,48.11,343380
ACV,20161227,49.60,49.60,46.12,46.52,516119
ACV,20161226,49.10,50.09,48.90,49.20,227910
ACV,20161223,51.08,51.08,48.70,49.10,241001
ACV,20161222,45.62,49.79,45.62,49.59,503655
ACV,20161221,48.10,48.70,46.42,47.21,369140
ACV,20161220,49.59,49.79,47.71,48.30,520219
ACV,20161219,52.57,55.54,48.30,49.59,556031
ACV,20161216,46.22,52.57,46.22,52.27,1008233
