<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ADP,20180305,26.70,26.70,26.70,26.70,200
ADP,20180301,25.00,25.00,24.70,24.70,1200
ADP,20180228,25.00,25.00,25.00,25.00,500
ADP,20180227,25.00,25.00,25.00,25.00,500
ADP,20180226,25.70,26.00,25.00,26.00,800
ADP,20180223,25.70,26.10,25.70,26.10,500
ADP,20180222,28.90,28.90,28.90,28.90,100
ADP,20180207,29.00,29.40,29.00,29.00,3000
ADP,20180202,27.00,27.00,27.00,27.00,100
ADP,20180201,27.00,27.00,27.00,27.00,1300
ADP,20180124,30.00,30.00,30.00,30.00,53
ADP,20180123,30.00,30.00,30.00,30.00,100
ADP,20180122,29.50,29.50,29.50,29.50,2600
ADP,20180118,29.50,29.50,29.50,29.50,158
ADP,20180115,29.50,29.50,29.50,29.50,1300
ADP,20180112,30.00,30.00,30.00,30.00,200
ADP,20180105,29.50,29.50,29.50,29.50,100
ADP,20180103,26.00,26.10,26.00,26.00,1600
ADP,20171229,30.00,30.00,29.00,29.00,200
ADP,20171218,28.00,28.00,28.00,28.00,600
ADP,20171212,29.00,29.00,29.00,29.00,200
ADP,20171211,29.00,29.00,29.00,29.00,4900
ADP,20171204,29.60,29.60,29.60,29.60,1000
ADP,20171123,30.29,30.29,30.29,30.29,500
ADP,20171121,30.29,30.29,30.29,30.29,2610
ADP,20171117,30.39,30.39,30.39,30.39,20
ADP,20171108,30.39,30.39,30.39,30.39,1000
ADP,20171107,30.59,30.59,30.59,30.59,700
ADP,20171103,30.39,30.39,30.39,30.39,100
ADP,20171031,30.49,30.49,30.39,30.39,5000
ADP,20171030,30.39,30.39,30.39,30.39,5000
ADP,20171027,30.29,30.29,30.29,30.29,2900
ADP,20171026,30.29,30.29,30.29,30.29,13900
ADP,20171025,30.29,30.29,30.29,30.29,12000
ADP,20171024,30.29,30.29,30.29,30.29,5000
ADP,20171023,30.29,30.29,30.29,30.29,5400
ADP,20171019,30.39,30.39,30.29,30.29,7600
ADP,20171018,30.19,30.39,30.19,30.39,4061
ADP,20171012,31.57,31.57,31.57,31.57,1900
ADP,20171010,29.60,29.60,29.60,29.60,1800
ADP,20171009,29.60,29.60,29.60,29.60,200
ADP,20171006,29.80,29.80,29.60,29.60,7000
ADP,20171003,29.70,29.70,29.70,29.70,100
ADP,20171002,25.85,25.85,25.85,25.85,100
ADP,20170929,30.39,30.39,30.39,30.39,100
ADP,20170928,30.29,30.29,30.29,30.29,1400
ADP,20170927,30.19,30.19,30.19,30.19,7520
ADP,20170925,29.90,29.90,29.90,29.90,4000
ADP,20170922,30.19,30.19,30.19,30.19,1000
ADP,20170921,30.09,30.19,29.80,29.80,5100
ADP,20170920,29.70,30.19,29.70,29.70,6900
ADP,20170919,30.19,30.19,30.19,30.19,5000
ADP,20170918,30.19,30.19,29.70,30.09,10700
ADP,20170913,28.34,28.34,28.34,28.34,50
ADP,20170912,28.34,28.34,28.34,28.34,49
ADP,20170911,28.34,28.34,28.25,28.24,200
ADP,20170907,31.55,31.55,27.37,31.07,300
ADP,20170906,29.12,29.12,29.12,29.12,1
ADP,20170905,29.12,29.12,29.12,29.12,100
ADP,20170901,25.32,25.32,25.32,25.32,210
ADP,20170831,25.42,29.80,25.42,29.70,4400
ADP,20170830,29.70,29.70,29.70,29.70,3600
ADP,20170829,23.37,31.36,23.37,31.36,329
ADP,20170828,27.27,27.27,27.27,27.27,100
ADP,20170824,30.19,30.19,30.19,30.19,71
ADP,20170823,30.19,30.19,30.19,30.19,4900
ADP,20170822,30.19,30.19,30.19,30.19,2000
ADP,20170821,30.19,30.19,30.19,30.19,100
ADP,20170817,30.28,30.28,30.28,30.29,100
ADP,20170816,30.09,30.09,30.09,30.09,3400
ADP,20170815,30.68,30.68,30.20,30.19,19200
ADP,20170814,31.17,31.17,31.17,31.17,20
ADP,20170811,31.17,31.17,31.17,31.17,300
ADP,20170810,30.09,30.09,29.99,30.00,7000
ADP,20170809,30.19,30.19,30.09,30.09,2100
ADP,20170808,30.19,30.19,30.19,30.19,4700
ADP,20170807,31.17,31.17,30.68,30.68,1700
ADP,20170804,31.17,31.17,30.98,31.17,1100
ADP,20170803,30.97,31.16,30.97,31.17,1001
ADP,20170802,31.17,31.17,30.20,30.19,21300
ADP,20170801,31.17,31.17,31.17,31.17,5104
ADP,20170731,31.17,31.17,31.17,31.17,3400
ADP,20170728,31.26,31.26,31.16,31.17,11820
ADP,20170727,32.63,32.63,31.17,31.26,25160
ADP,20170726,33.41,33.41,33.41,33.41,600
ADP,20170725,35.94,35.94,32.63,32.63,800
ADP,20170724,34.57,34.57,33.21,33.21,500
ADP,20170720,36.52,36.52,36.52,36.52,100
ADP,20170719,33.11,33.11,33.11,33.11,200
ADP,20170714,34.09,38.77,34.09,34.18,2500
ADP,20170713,34.09,34.09,34.09,34.09,500
ADP,20170712,33.60,34.09,33.60,34.09,1200
ADP,20170711,34.08,39.44,34.08,34.48,29520
