<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ADS,20180306,16.35,16.45,16.10,16.40,50700
ADS,20180305,16.75,16.75,16.30,16.35,10150
ADS,20180302,16.80,16.85,16.30,16.85,14320
ADS,20180301,16.75,17.00,16.30,16.85,35030
ADS,20180228,16.90,16.90,16.85,16.85,22400
ADS,20180227,15.60,17.00,15.60,16.90,5960
ADS,20180226,17.20,17.20,16.30,16.75,18520
ADS,20180223,17.15,17.15,16.50,17.10,5560
ADS,20180222,17.25,17.25,16.50,17.00,32700
ADS,20180221,17.30,17.30,16.30,17.10,6540
ADS,20180213,17.30,17.35,16.90,17.10,47540
ADS,20180212,16.90,17.05,16.90,17.00,39210
ADS,20180209,15.95,16.75,15.90,16.70,19740
ADS,20180208,16.90,17.25,15.90,17.00,31300
ADS,20180207,17.45,17.45,16.80,17.00,18310
ADS,20180206,16.90,17.55,16.40,16.90,36200
ADS,20180205,17.30,17.60,17.00,17.60,61960
ADS,20180202,17.50,17.60,17.50,17.50,74210
ADS,20180201,17.10,17.50,17.10,17.50,65190
ADS,20180131,17.40,17.40,17.00,17.10,14040
ADS,20180130,17.40,17.40,17.30,17.40,15090
ADS,20180129,17.40,17.45,17.00,17.40,46210
ADS,20180126,17.70,17.75,17.20,17.60,47680
ADS,20180125,17.05,17.19,16.92,17.10,47400
ADS,20180122,17.01,17.10,16.92,17.10,45640
ADS,20180119,17.15,17.15,16.74,17.01,31860
ADS,20180118,17.10,17.15,16.64,17.15,62250
ADS,20180117,17.24,17.24,17.01,17.15,20670
ADS,20180116,16.55,17.24,16.55,17.19,47400
ADS,20180115,16.46,16.51,16.00,16.50,12630
ADS,20180112,16.46,16.46,16.41,16.46,10010
ADS,20180111,16.46,16.46,16.09,16.46,10940
ADS,20180110,16.36,16.45,16.36,16.46,14110
ADS,20180109,16.23,16.60,16.14,16.36,38770
ADS,20180108,16.08,16.22,15.99,16.23,22000
ADS,20180105,16.04,16.14,16.00,16.13,9490
ADS,20180104,16.09,16.09,16.00,16.09,9600
ADS,20180103,15.81,16.09,15.81,16.09,19390
ADS,20180102,16.05,16.05,15.82,16.04,49160
ADS,20171229,15.99,16.04,15.99,16.00,14330
ADS,20171228,16.00,16.04,15.91,16.04,12550
ADS,20171227,16.04,16.09,16.04,16.09,9640
ADS,20171226,16.09,16.09,15.72,16.09,17170
ADS,20171225,15.91,16.09,15.81,16.09,13340
ADS,20171222,16.09,16.09,15.99,16.09,12610
ADS,20171221,16.09,16.09,15.99,16.04,15710
ADS,20171220,15.99,16.04,15.99,16.04,27220
ADS,20171219,16.04,16.13,15.90,16.04,5530
