<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AMP,20180315,18.60,18.60,18.60,18.60,200
AMP,20180314,16.20,16.20,16.20,16.20,2400
AMP,20180313,16.20,16.20,16.20,16.20,27400
AMP,20180116,16.20,16.20,16.20,16.20,4500
AMP,20171225,19.00,19.00,19.00,19.00,100
AMP,20171221,17.00,17.00,17.00,17.00,10000
AMP,20171219,19.00,19.00,19.00,19.00,4400
AMP,20171218,20.00,20.00,20.00,20.00,10000
AMP,20171214,21.00,21.00,21.00,21.00,50000
AMP,20171019,15.00,15.00,15.00,15.00,100
AMP,20170926,16.80,16.80,16.80,16.80,300
AMP,20170830,16.70,16.70,16.70,16.70,200
AMP,20170816,19.60,19.60,19.60,19.60,1000
AMP,20170727,23.00,23.00,23.00,23.00,400
AMP,20170623,23.00,23.00,23.00,23.00,100
AMP,20170614,23.96,23.96,23.96,23.96,2000
AMP,20170612,23.96,23.96,23.96,23.96,100
AMP,20170609,24.72,24.72,23.96,23.96,4700
AMP,20170608,21.56,21.56,21.56,21.56,1400
AMP,20170607,18.79,18.79,18.79,18.78,600
AMP,20170602,16.29,16.39,16.29,16.39,300
AMP,20170529,14.28,14.28,14.28,14.28,300
AMP,20170424,12.46,12.46,12.46,12.46,100
AMP,20170419,14.57,14.57,14.57,14.57,100
AMP,20170413,17.06,17.15,17.06,17.15,300
AMP,20170412,14.95,14.95,14.95,14.95,100
AMP,20170411,14.37,14.85,14.37,14.85,200
AMP,20170407,14.37,14.37,14.37,14.37,100
AMP,20170405,13.32,13.32,13.32,13.32,200
AMP,20170404,15.62,15.62,15.62,15.62,100
AMP,20170331,13.60,13.60,13.60,13.61,100
AMP,20170330,11.88,11.88,11.88,11.88,100
AMP,20170329,10.35,10.35,10.35,10.35,100
AMP,20170328,9.01,9.01,9.01,9.01,100
AMP,20170327,10.35,10.35,10.35,10.35,100
AMP,20170324,9.01,9.01,9.01,9.01,100
AMP,20170323,10.54,10.54,10.54,10.54,100
AMP,20170321,12.07,12.07,12.07,12.07,300
AMP,20170320,10.54,10.54,10.54,10.54,100
AMP,20170317,10.83,10.83,10.83,10.83,100
AMP,20170314,12.56,12.56,12.56,12.55,100
AMP,20170308,14.76,14.76,14.76,14.76,100
AMP,20170307,12.84,12.84,12.84,12.84,100
AMP,20170302,11.21,11.21,11.21,11.21,100
AMP,20170224,13.13,13.13,13.13,13.13,200
AMP,20170221,14.86,14.86,14.86,14.85,100
AMP,20170216,17.35,17.35,17.35,17.35,5200
AMP,20170214,20.32,20.32,20.32,20.32,100
AMP,20170210,17.83,17.83,17.73,17.73,5000
AMP,20170209,20.50,23.95,20.50,23.96,1100
AMP,20170208,24.06,24.06,24.06,24.05,100
AMP,20170207,20.99,20.99,20.99,20.99,1000
AMP,20170206,24.63,24.63,24.63,24.63,100
AMP,20170125,21.47,21.47,21.47,21.47,100
AMP,20170123,18.69,18.69,18.69,18.69,100
AMP,20170119,16.29,16.29,16.29,16.29,1000
AMP,20170118,19.17,19.17,18.69,18.69,3500
AMP,20170117,21.56,21.56,20.89,20.89,11000
AMP,20170116,25.87,25.87,23.86,23.86,13000
AMP,20170113,24.34,24.34,24.34,24.34,9000
AMP,20170112,21.18,21.18,21.18,21.18,10100
