<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AMS,20180306,8.00,8.00,7.50,8.00,5400
AMS,20180305,8.00,8.00,8.00,8.00,500
AMS,20180302,7.50,8.60,7.50,8.60,5800
AMS,20180223,8.60,8.70,8.60,8.70,4000
AMS,20180222,8.60,8.70,8.60,8.70,5000
AMS,20180221,8.60,8.60,8.60,8.60,500
AMS,20180213,8.30,9.50,8.10,9.50,22700
AMS,20180212,8.30,8.40,8.30,8.40,4000
AMS,20180209,8.40,8.40,8.40,8.40,1000
AMS,20180208,8.40,8.40,8.40,8.40,1000
AMS,20180207,8.40,8.50,8.40,8.50,4500
AMS,20180206,8.40,8.50,8.10,8.50,14300
AMS,20180205,8.40,8.50,8.40,8.50,15500
AMS,20180202,8.40,8.50,8.10,8.50,5700
AMS,20180201,8.60,9.00,7.40,8.40,7300
AMS,20180131,8.80,8.90,8.50,8.80,3700
AMS,20180130,8.10,8.70,8.10,8.70,5100
AMS,20180129,7.30,8.20,7.30,8.20,8100
AMS,20180125,7.30,7.40,7.20,7.40,2100
AMS,20180124,7.30,7.50,7.10,7.10,9600
AMS,20180123,7.00,7.40,7.00,7.40,2500
AMS,20180122,7.00,7.20,7.00,7.20,1200
AMS,20180119,6.70,7.10,6.70,7.10,2800
AMS,20180118,6.20,6.20,6.20,6.20,1500
AMS,20180112,6.50,6.50,6.50,6.50,1100
AMS,20180111,6.50,6.50,6.50,6.50,20
AMS,20180110,6.70,6.70,6.50,6.50,4700
AMS,20180109,7.50,7.50,7.50,7.50,1000
AMS,20180108,7.60,7.60,7.20,7.20,4010
AMS,20180103,6.90,7.70,6.90,7.50,1800
AMS,20180102,7.90,7.90,7.90,7.90,300
AMS,20171229,8.00,8.00,6.90,6.90,17100
AMS,20171228,8.00,8.00,8.00,8.00,100
AMS,20171227,8.00,8.00,6.80,8.00,6600
AMS,20171226,7.90,8.00,7.90,8.00,1000
AMS,20171225,7.80,7.80,7.80,7.80,2500
AMS,20171222,6.60,8.00,6.50,8.00,2400
AMS,20171221,6.80,7.90,6.80,7.90,3500
AMS,20171220,8.00,8.00,8.00,8.00,500
AMS,20171219,8.00,8.00,8.00,8.00,200
AMS,20171218,7.90,8.00,7.90,7.90,1300
AMS,20171214,8.00,8.00,8.00,8.00,100
AMS,20171213,8.00,8.00,8.00,8.00,250
AMS,20171212,8.00,8.00,8.00,8.00,100
AMS,20171211,7.90,8.00,7.90,8.00,1200
AMS,20171208,7.80,8.00,7.70,8.00,1200
AMS,20171207,8.00,8.00,8.00,8.00,200
AMS,20171206,7.90,7.90,7.80,7.80,200
AMS,20171205,8.00,8.00,8.00,8.00,100
AMS,20171204,7.90,8.00,7.90,8.00,1000
AMS,20171201,8.00,8.00,8.00,8.00,400
AMS,20171130,8.00,8.00,8.00,8.00,200
AMS,20171129,8.00,8.00,8.00,8.00,100
AMS,20171128,8.00,8.00,8.00,8.00,100
AMS,20171127,7.90,8.00,7.90,7.90,1710
AMS,20171124,7.90,8.00,7.90,8.00,900
AMS,20171123,7.90,7.90,7.90,7.90,200
AMS,20171122,7.90,8.00,7.90,8.00,700
AMS,20171121,7.60,7.90,7.60,7.80,600
