<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
APG,20180306,6.15,6.18,5.95,6.15,218290
APG,20180305,6.05,6.20,6.05,6.15,296180
APG,20180302,6.09,6.10,6.00,6.05,166180
APG,20180301,5.85,6.10,5.85,6.09,293220
APG,20180228,6.10,6.10,6.00,6.10,269450
APG,20180227,6.10,6.12,6.00,6.10,215260
APG,20180226,6.05,6.12,6.00,6.10,253450
APG,20180223,6.05,6.09,5.95,6.05,381480
APG,20180222,6.04,6.10,5.96,6.01,228170
APG,20180221,5.85,6.06,5.85,6.00,241920
APG,20180213,5.42,5.90,5.42,5.85,206940
APG,20180212,5.72,5.78,5.65,5.73,181870
APG,20180209,5.50,5.72,5.41,5.72,233720
APG,20180208,5.85,5.89,5.60,5.70,279010
APG,20180207,5.85,5.90,5.80,5.85,204720
APG,20180206,5.85,5.85,5.45,5.85,155940
APG,20180205,6.00,6.05,5.67,5.85,291450
APG,20180202,6.00,6.08,5.91,6.05,329060
APG,20180201,5.95,6.00,5.87,6.00,325490
APG,20180131,5.88,6.20,5.80,5.95,890590
APG,20180130,5.87,5.88,5.75,5.88,348910
APG,20180129,5.88,5.90,5.75,5.87,363630
APG,20180126,5.88,5.96,5.63,5.86,358040
APG,20180125,5.52,5.90,5.50,5.86,709000
APG,20180122,5.44,5.56,5.44,5.52,410670
APG,20180119,5.47,5.51,5.36,5.44,280050
APG,20180118,5.43,5.52,5.38,5.45,261930
APG,20180117,5.40,5.44,5.35,5.42,326110
APG,20180116,5.42,5.44,5.29,5.40,419860
APG,20180115,5.40,5.52,5.30,5.40,508110
APG,20180112,5.48,5.56,5.30,5.40,304110
APG,20180111,5.18,5.52,5.18,5.48,423720
APG,20180110,5.28,5.59,5.27,5.34,635540
APG,20180109,5.67,5.76,5.26,5.65,684140
APG,20180108,5.75,5.82,5.65,5.65,236590
APG,20180105,5.74,5.92,5.62,5.73,308080
APG,20180104,5.65,6.00,5.65,5.74,360780
APG,20180103,5.42,5.79,5.30,5.65,762060
APG,20180102,5.22,5.50,5.23,5.42,244090
APG,20171229,5.30,5.58,5.22,5.22,529550
APG,20171228,5.30,5.38,5.21,5.32,216800
APG,20171227,5.30,5.33,5.21,5.30,276880
APG,20171226,5.20,5.39,5.20,5.30,293960
APG,20171225,5.35,5.40,5.20,5.39,322370
APG,20171222,5.36,5.38,5.10,5.30,375650
APG,20171221,5.44,5.44,5.06,5.36,493200
APG,20171220,5.45,5.50,5.26,5.44,271850
APG,20171219,5.44,5.59,5.40,5.45,365760
APG,20171218,5.35,5.58,5.35,5.44,331000
APG,20171215,5.37,5.37,5.24,5.35,294470
APG,20171214,5.49,5.49,5.33,5.37,305960
