<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
APP,20180302,9.90,9.90,9.90,9.90,200
APP,20180223,9.90,9.90,9.90,9.90,8300
APP,20180207,9.90,9.90,9.90,9.90,8
APP,20180126,9.90,9.90,9.90,9.90,100
APP,20180124,9.90,9.90,9.90,9.90,800
APP,20180122,9.90,9.90,9.90,9.90,100
APP,20180119,9.90,9.90,9.90,9.90,29
APP,20180112,9.00,9.90,9.00,9.90,186418
APP,20180111,9.50,9.50,9.50,9.50,200
APP,20180110,8.80,10.00,8.80,9.50,120500
APP,20180109,9.70,9.70,9.70,9.70,100
APP,20180108,8.90,8.90,8.90,8.90,1100
APP,20171229,8.10,8.10,8.10,8.10,6
APP,20171225,8.10,8.10,8.10,8.10,72
APP,20171219,8.10,8.10,8.10,8.10,200
APP,20171201,9.00,9.00,9.00,9.00,1500
APP,20171123,9.00,9.00,9.00,9.00,1000
APP,20171006,10.00,10.00,10.00,10.00,700
APP,20170926,11.00,11.00,11.00,11.00,900
APP,20170918,10.70,10.70,10.70,10.70,100
APP,20170905,9.80,9.80,9.80,9.80,3
APP,20170830,9.80,9.80,9.80,9.80,1600
APP,20170829,9.80,9.80,9.80,9.80,1
APP,20170828,9.80,9.80,9.80,9.80,100
APP,20170824,9.90,9.90,9.90,9.90,24
APP,20170821,9.90,9.90,9.90,9.90,600
APP,20170818,9.90,10.40,9.90,10.40,300
APP,20170817,10.10,10.10,10.10,10.10,100
APP,20170816,10.00,10.00,10.00,10.00,6029
APP,20170811,11.00,11.00,11.00,11.00,1000
APP,20170803,11.00,11.00,11.00,11.00,100
APP,20170802,9.50,10.90,9.40,10.90,350
APP,20170731,10.40,10.40,10.40,10.40,3000
APP,20170725,11.50,11.50,11.50,11.50,100
APP,20170718,10.50,10.50,10.50,10.50,79
APP,20170705,10.50,10.50,10.50,10.50,11655
APP,20170704,9.35,10.21,9.35,10.21,400
APP,20170629,9.36,9.36,9.36,9.36,200
APP,20170626,9.37,9.37,9.37,9.36,100
APP,20170623,8.54,8.54,8.54,8.55,100
APP,20170621,9.46,9.46,9.46,9.45,400
APP,20170616,9.55,9.55,9.55,9.55,200
APP,20170614,10.00,10.00,10.00,10.00,300
APP,20170613,10.00,10.00,10.00,10.00,3800
APP,20170612,10.00,10.00,10.00,10.00,8290
APP,20170609,9.09,9.09,9.09,9.09,100
APP,20170607,9.09,9.09,9.09,9.09,200
APP,20170605,10.36,10.36,10.00,10.00,3921
APP,20170602,9.54,9.54,8.18,9.45,490
APP,20170601,10.00,10.00,9.00,9.09,400
