<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BCG,20180330,6.04,6.28,6.04,6.15,16880
BCG,20180329,6.28,6.28,6.14,6.18,44880
BCG,20180328,6.23,6.23,6.11,6.14,73830
BCG,20180327,6.20,6.27,6.11,6.23,1061010
BCG,20180326,6.25,6.25,6.02,6.20,14990
BCG,20180323,6.29,6.29,6.05,6.21,114460
BCG,20180322,6.24,6.30,6.10,6.29,116220
BCG,20180321,6.20,6.20,6.01,6.20,187070
BCG,20180320,6.29,6.29,6.10,6.20,294710
BCG,20180319,6.30,6.30,6.25,6.29,69410
BCG,20180316,6.30,6.30,6.18,6.30,95280
BCG,20180315,6.24,6.25,6.15,6.25,288080
BCG,20180314,6.20,6.24,6.12,6.24,325580
BCG,20180313,6.14,6.20,6.02,6.20,284810
BCG,20180312,6.00,6.28,6.00,6.00,1023520
BCG,20180309,6.28,6.28,6.01,6.28,217150
BCG,20180308,6.20,6.20,6.01,6.20,295740
BCG,20180307,6.30,6.30,6.00,6.20,414400
BCG,20180306,6.36,6.36,6.12,6.30,381230
BCG,20180305,6.38,6.45,6.08,6.20,687940
BCG,20180302,5.92,6.30,5.87,6.30,169450
BCG,20180301,5.90,5.92,5.84,5.90,46380
BCG,20180228,5.90,5.92,5.84,5.90,22440
BCG,20180227,5.97,5.97,5.80,5.95,143910
BCG,20180226,6.00,6.00,5.81,5.95,89290
BCG,20180223,5.90,5.99,5.62,5.94,23290
BCG,20180222,5.62,5.98,5.62,5.94,30760
BCG,20180221,6.00,6.00,6.00,6.00,7660
BCG,20180213,6.06,6.06,5.95,6.00,1162650
BCG,20180212,6.00,6.00,5.88,5.99,58860
BCG,20180209,5.80,5.90,5.40,5.90,60350
BCG,20180208,5.78,5.80,5.50,5.80,157810
BCG,20180207,5.55,5.70,5.48,5.70,236150
BCG,20180206,5.38,5.40,5.26,5.38,218700
BCG,20180205,5.60,5.75,5.60,5.65,61420
BCG,20180202,5.76,5.76,5.62,5.76,135060
BCG,20180201,5.85,5.85,5.74,5.76,132180
BCG,20180131,5.85,5.90,5.85,5.85,54130
BCG,20180130,5.95,5.95,5.82,5.95,49720
BCG,20180129,5.96,5.99,5.58,5.95,277440
BCG,20180126,5.96,5.96,5.90,5.95,151520
BCG,20180125,6.00,6.00,5.90,5.98,752350
BCG,20180122,5.99,6.00,5.93,5.99,95810
BCG,20180119,6.00,6.01,5.95,5.99,293640
BCG,20180118,5.98,6.00,5.94,5.99,493430
BCG,20180117,5.99,5.99,5.93,5.98,118430
BCG,20180116,5.95,6.00,5.93,5.98,152780
BCG,20180115,6.00,6.00,5.91,6.00,218810
BCG,20180112,5.99,6.00,5.93,5.99,136790
BCG,20180111,6.00,6.00,5.90,6.00,217060
BCG,20180110,6.00,6.08,5.93,6.00,145660
BCG,20180109,5.95,5.99,5.89,5.99,247070
BCG,20180108,6.04,6.05,5.95,5.95,294160
BCG,20180105,6.05,6.06,5.98,6.03,165370
BCG,20180104,6.10,6.10,6.00,6.06,370200
BCG,20180103,6.10,6.10,5.99,6.10,241430
BCG,20180102,6.13,6.20,6.00,6.13,171700
BCG,20171229,6.17,6.17,6.00,6.17,226040
BCG,20171228,6.19,6.19,6.07,6.17,146070
BCG,20171227,6.15,6.19,6.11,6.19,857280
BCG,20171226,6.20,6.20,6.10,6.11,510580
BCG,20171225,6.10,6.24,6.10,6.20,229080
BCG,20171222,6.25,6.25,6.15,6.20,162910
BCG,20171221,6.05,6.25,6.00,6.25,117240
BCG,20171220,6.00,6.30,6.00,6.05,291140
BCG,20171219,6.37,6.50,6.10,6.22,388150
BCG,20171218,6.30,6.67,6.30,6.54,308730
BCG,20171215,6.69,6.89,6.55,6.55,569730
BCG,20171214,7.13,7.14,7.00,7.00,1059860
BCG,20171213,6.35,6.68,6.35,6.68,511400
BCG,20171212,5.91,6.29,5.90,6.25,1719150
BCG,20171211,5.92,5.92,5.91,5.91,376510
BCG,20171208,5.86,5.92,5.86,5.91,151630
BCG,20171207,5.92,5.92,5.90,5.91,273820
BCG,20171206,5.71,5.92,5.71,5.92,349920
BCG,20171205,6.08,6.08,5.90,5.92,580370
BCG,20171204,6.10,6.10,5.95,6.00,340530
BCG,20171201,6.10,6.23,6.06,6.10,161770
BCG,20171130,6.03,6.18,6.03,6.10,104110
BCG,20171129,6.08,6.24,6.08,6.10,147780
BCG,20171128,6.28,6.28,6.10,6.24,146090
BCG,20171127,6.18,6.20,5.93,6.20,177020
BCG,20171124,5.78,6.18,5.71,6.18,136370
BCG,20171123,5.73,5.78,5.72,5.78,101920
BCG,20171122,5.76,5.78,5.73,5.77,463520
BCG,20171121,5.66,5.77,5.60,5.77,570610
BCG,20171120,5.78,5.78,5.61,5.77,302790
BCG,20171117,5.71,5.79,5.68,5.78,206700
BCG,20171116,5.70,5.82,5.70,5.80,79490
BCG,20171115,5.66,5.83,5.66,5.83,209000
BCG,20171114,5.83,5.87,5.70,5.83,74440
BCG,20171113,5.85,5.85,5.72,5.83,124220
BCG,20171110,5.60,5.95,5.60,5.85,113120
BCG,20171109,5.84,5.90,5.79,5.84,118460
BCG,20171108,5.83,5.85,5.80,5.84,121040
BCG,20171107,5.81,5.85,5.73,5.85,200680
BCG,20171106,5.85,5.90,5.80,5.85,152530
BCG,20171103,5.90,5.94,5.82,5.85,117950
BCG,20171102,5.85,6.05,5.70,5.85,92510
BCG,20171101,5.80,5.85,5.45,5.85,693320
BCG,20171031,5.91,6.20,5.76,5.85,264530
BCG,20171030,6.21,6.25,6.12,6.19,170980
BCG,20171027,6.37,6.37,6.10,6.21,63840
BCG,20171026,6.40,6.40,6.24,6.30,253400
BCG,20171025,6.41,6.56,6.40,6.48,181780
BCG,20171024,6.60,6.60,6.21,6.55,201620
BCG,20171023,6.70,6.79,6.52,6.60,122870
BCG,20171020,6.70,6.70,6.41,6.60,336200
BCG,20171019,6.88,6.88,6.61,6.62,358400
BCG,20171018,6.81,6.86,6.62,6.62,279140
BCG,20171017,6.95,6.95,6.85,6.86,223150
BCG,20171016,6.98,6.99,6.90,6.95,170860
BCG,20171013,6.96,6.99,6.91,6.99,318630
BCG,20171012,7.00,7.03,6.96,6.99,465770
BCG,20171011,6.99,7.00,6.95,7.00,522840
BCG,20171010,6.97,7.00,6.95,7.00,180310
BCG,20171009,7.01,7.01,6.92,7.00,196840
BCG,20171006,6.90,7.04,6.90,7.00,225170
BCG,20171005,6.95,7.06,6.90,7.00,357730
BCG,20171004,6.70,6.95,6.70,6.95,267730
BCG,20171003,6.60,6.85,6.60,6.70,293280
BCG,20171002,7.00,7.05,6.55,6.55,456190
BCG,20170929,6.96,7.06,6.91,7.03,200610
BCG,20170928,7.07,7.07,6.97,7.04,703680
BCG,20170927,7.05,7.06,6.99,7.05,285340
BCG,20170926,7.07,7.11,7.01,7.05,392410
BCG,20170925,7.06,7.14,7.03,7.07,361890
BCG,20170922,7.05,7.10,7.02,7.06,433060
BCG,20170921,7.04,7.14,7.02,7.05,438730
BCG,20170920,7.18,7.19,7.04,7.04,329860
BCG,20170919,7.23,7.26,7.00,7.19,915620
BCG,20170918,7.28,7.30,7.01,7.24,721040
BCG,20170915,7.32,7.34,7.20,7.28,238700
BCG,20170914,7.32,7.34,7.27,7.32,568890
BCG,20170913,7.26,7.38,7.26,7.32,394790
BCG,20170912,7.20,7.38,7.20,7.30,526550
BCG,20170911,7.25,7.29,7.10,7.20,468320
BCG,20170908,7.39,7.48,7.30,7.30,751060
BCG,20170907,7.20,7.55,7.10,7.39,1123390
BCG,20170906,7.17,7.18,7.06,7.16,316460
