<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BKC,20180322,8.50,8.80,8.50,8.80,400
BKC,20180321,8.20,9.50,8.20,8.20,20200
BKC,20180124,9.10,9.10,9.10,9.10,141
BKC,20180119,9.10,9.10,9.10,9.10,111
BKC,20180118,8.80,9.00,8.80,9.00,600
BKC,20180112,8.30,8.30,8.30,8.30,20
BKC,20171226,8.30,8.30,8.30,8.30,100
BKC,20171225,8.30,9.20,8.30,9.20,720
BKC,20171215,7.60,8.40,7.30,8.40,400
BKC,20171212,7.80,7.80,7.70,7.70,1000
BKC,20171208,7.30,7.40,7.30,7.40,862
BKC,20171207,5.80,6.90,5.80,6.90,4700
BKC,20171205,6.40,6.40,6.40,6.40,15
BKC,20171204,6.80,6.80,6.40,6.40,10200
BKC,20171130,7.10,7.10,7.10,7.10,4000
BKC,20171123,6.70,7.90,6.70,7.80,6206
BKC,20171116,7.40,7.40,7.40,7.40,66
BKC,20171024,7.40,7.40,7.40,7.40,5500
BKC,20170927,7.50,8.20,7.50,8.20,1500
BKC,20170921,7.50,7.60,7.50,7.60,500
BKC,20170920,6.60,7.00,6.40,7.00,7010
BKC,20170919,6.90,7.10,6.90,7.10,600
BKC,20170918,6.80,6.80,6.80,6.80,700
BKC,20170913,7.10,7.10,7.10,7.10,200
BKC,20170912,6.00,6.60,5.80,6.60,1300
BKC,20170911,6.20,6.20,6.00,6.00,800
BKC,20170905,5.90,6.40,5.80,6.40,1410
BKC,20170901,5.90,5.90,5.90,5.90,200
BKC,20170830,5.40,5.40,5.40,5.40,100
BKC,20170829,5.60,5.60,5.60,5.60,200
BKC,20170821,6.20,6.20,6.20,6.20,100
BKC,20170815,6.80,6.80,6.80,6.80,306
BKC,20170811,6.40,6.60,6.40,6.60,700
BKC,20170809,6.00,6.00,6.00,6.00,294
BKC,20170808,6.00,6.50,6.00,6.50,366
BKC,20170804,6.20,6.20,6.20,6.20,2500
BKC,20170801,6.20,6.20,6.20,6.20,94
BKC,20170727,6.20,6.20,6.20,6.20,166
BKC,20170719,7.00,7.00,6.40,6.80,5600
BKC,20170718,6.90,7.00,6.90,7.00,1400
BKC,20170714,7.00,7.00,7.00,7.00,44
BKC,20170713,7.00,7.00,7.00,7.00,170
BKC,20170712,6.90,6.90,6.70,6.80,1300
BKC,20170711,6.50,6.80,6.40,6.80,852
BKC,20170710,6.90,6.90,6.90,6.90,100
BKC,20170707,6.80,6.80,6.80,6.80,327
BKC,20170706,6.40,6.60,6.30,6.60,1100
BKC,20170704,6.30,6.30,6.30,6.30,532
BKC,20170703,6.20,6.50,6.20,6.50,20800
BKC,20170630,6.10,6.10,6.10,6.10,720
BKC,20170629,5.60,5.60,5.60,5.60,100
BKC,20170627,6.00,6.00,6.00,6.00,35700
BKC,20170623,6.50,6.60,6.50,6.60,1040
BKC,20170621,6.90,6.90,6.70,6.70,2280
BKC,20170620,8.00,8.00,7.40,7.40,600
BKC,20170613,7.50,8.20,7.50,8.20,400
BKC,20170612,7.90,7.90,7.90,7.90,300
BKC,20170609,7.80,7.90,7.80,7.90,500
BKC,20170608,7.50,7.60,7.50,7.60,800
BKC,20170607,7.20,7.20,7.20,7.20,8900
BKC,20170606,6.60,6.60,6.60,6.60,1230
BKC,20170605,6.00,6.00,5.90,6.00,4200
BKC,20170602,6.50,6.50,6.50,6.50,400
BKC,20170531,7.00,7.00,7.00,7.00,300
BKC,20170530,6.10,6.40,6.10,6.40,5800
BKC,20170526,5.90,5.90,5.90,5.90,2000
BKC,20170525,6.00,6.00,5.90,5.90,700
BKC,20170523,5.70,6.10,5.70,6.10,1110
BKC,20170522,5.70,5.70,5.70,5.70,4
BKC,20170519,6.00,6.00,5.70,5.70,800
BKC,20170518,5.50,5.50,5.50,5.50,500
BKC,20170517,6.00,6.00,6.00,6.00,2000
BKC,20170516,5.60,6.00,5.60,6.00,1022
BKC,20170515,5.60,5.70,5.60,5.70,200
BKC,20170512,6.00,6.00,6.00,6.00,300
BKC,20170510,5.50,5.50,5.50,5.50,183
BKC,20170509,5.90,5.90,5.90,5.90,5
BKC,20170508,5.90,5.90,5.90,5.90,80
BKC,20170505,5.90,5.90,5.90,5.90,100
BKC,20170424,6.10,6.10,6.10,6.10,200
BKC,20170421,6.10,6.10,6.10,6.10,200
BKC,20170420,6.10,6.10,6.10,6.10,100
BKC,20170418,5.50,6.00,5.50,6.00,200
BKC,20170417,5.50,5.50,5.50,5.50,100
BKC,20170412,5.80,5.80,5.80,5.80,56
BKC,20170411,5.80,5.80,5.80,5.80,100
BKC,20170407,6.00,6.00,6.00,6.00,3000
BKC,20170405,5.90,5.90,5.90,5.90,100
BKC,20170331,6.00,6.00,6.00,6.00,852
BKC,20170329,6.00,6.00,6.00,6.00,500
BKC,20170328,6.10,6.10,6.10,6.10,2200
BKC,20170327,6.00,6.00,5.90,6.00,3000
BKC,20170324,6.10,6.20,6.10,6.20,2000
BKC,20170323,5.90,6.00,5.90,6.00,1610
BKC,20170322,6.00,6.00,5.90,5.90,3300
BKC,20170321,5.70,5.80,5.60,5.70,1400
BKC,20170316,5.90,5.90,5.90,5.90,4300
BKC,20170315,5.80,5.80,5.80,5.80,300
BKC,20170313,6.00,6.00,6.00,6.00,400
BKC,20170309,6.20,6.20,6.20,6.20,1000
BKC,20170308,5.80,6.70,5.80,6.70,1531
BKC,20170301,5.50,6.40,5.40,6.40,3300
BKC,20170222,5.70,6.00,5.70,6.00,1200
BKC,20170221,6.30,6.30,6.30,6.30,100
BKC,20170215,6.90,6.90,6.90,6.90,174
BKC,20170209,7.10,7.10,7.10,7.10,5
BKC,20170208,6.60,7.20,6.60,7.10,19120
BKC,20170207,7.20,7.20,7.20,7.20,10
BKC,20170206,7.20,7.20,7.20,7.20,100
BKC,20161230,7.10,7.10,7.10,7.10,5
BKC,20161227,7.10,7.10,7.10,7.10,1
BKC,20161221,6.30,7.10,6.30,7.10,2100
BKC,20161220,6.50,6.50,6.50,6.50,1000
BKC,20161214,7.10,7.10,7.10,7.10,300
BKC,20161212,7.30,7.30,7.30,7.30,2000
BKC,20161207,7.60,7.60,7.60,7.60,100
BKC,20161202,7.20,7.50,7.20,7.50,1600
BKC,20161129,6.90,6.90,6.90,6.90,200
BKC,20161128,6.60,6.60,6.50,6.50,4500
BKC,20161124,6.50,6.50,6.50,6.50,300
BKC,20161122,6.50,6.50,6.50,6.50,1000
BKC,20161121,6.30,6.30,6.30,6.30,100
BKC,20161116,7.20,7.20,6.80,6.80,10713
BKC,20161111,6.70,6.70,6.70,6.70,2100
BKC,20161110,6.30,6.30,6.30,6.30,100
BKC,20161031,6.80,6.80,6.80,6.80,1661
BKC,20161028,7.20,7.20,7.20,7.20,20
BKC,20161026,7.20,7.20,7.20,7.20,200
BKC,20161021,7.00,7.90,6.90,7.90,25100
BKC,20161018,7.30,7.60,6.80,7.60,3900
BKC,20161017,7.50,7.50,7.50,7.50,1300
BKC,20161012,6.80,7.50,6.80,7.50,2391
BKC,20161010,7.80,7.80,7.50,7.50,1500
BKC,20161007,7.90,7.90,7.80,7.80,17168
BKC,20161006,7.20,7.20,7.10,7.20,3300
BKC,20161005,6.40,6.60,6.40,6.60,3620
BKC,20161004,6.00,6.00,6.00,6.00,100
BKC,20161003,5.80,5.80,5.80,5.80,100
BKC,20160930,6.00,6.00,6.00,6.00,100
BKC,20160928,6.00,6.20,5.90,6.20,1898
BKC,20160927,6.80,6.80,6.30,6.30,685
BKC,20160926,6.50,6.50,6.40,6.40,9200
BKC,20160923,7.10,7.10,7.10,7.10,500
BKC,20160922,6.50,6.50,6.50,6.50,9144
BKC,20160920,6.80,6.80,6.80,6.80,1500
BKC,20160916,7.30,7.30,7.30,7.30,1600
BKC,20160915,7.30,7.30,7.30,7.30,100
BKC,20160914,8.10,8.10,8.10,8.10,400
BKC,20160913,8.20,8.20,8.20,8.20,1700
BKC,20160912,9.10,9.10,9.10,9.10,100
BKC,20160830,8.80,10.10,8.80,10.10,8200
BKC,20160829,8.70,9.70,8.70,9.70,222
BKC,20160825,8.60,9.60,8.60,9.60,8100
BKC,20160824,8.80,9.50,8.80,9.50,9600
BKC,20160823,9.70,9.70,9.70,9.70,100
BKC,20160819,9.00,9.00,9.00,9.00,1300
BKC,20160818,10.00,10.00,10.00,10.00,100
BKC,20160816,9.10,9.10,9.10,9.10,2900
BKC,20160815,10.10,10.10,10.10,10.10,100
BKC,20160801,9.20,11.20,9.20,11.20,2100
BKC,20160729,10.20,10.20,10.20,10.20,100
BKC,20160728,9.60,9.60,9.60,9.60,500
BKC,20160727,9.70,10.60,9.70,10.60,2300
BKC,20160726,10.70,10.70,10.70,10.70,1900
BKC,20160721,9.90,11.80,9.90,11.80,200
BKC,20160720,11.00,11.00,11.00,11.00,100
BKC,20160719,9.80,10.60,9.70,10.60,11300
BKC,20160705,9.00,10.70,9.00,10.70,200
BKC,20160624,9.90,9.90,9.90,9.90,200
BKC,20160623,9.00,9.00,9.00,9.00,25000
BKC,20160622,11.00,11.60,9.70,9.70,4000
BKC,20160621,10.60,10.60,10.60,10.60,1600
BKC,20160616,10.60,10.60,10.60,10.60,800
