<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BSL,20180306,15.60,15.60,15.60,15.60,2000
BSL,20180228,15.50,15.50,15.50,15.50,2000
BSL,20180226,15.50,15.50,15.50,15.50,1000
BSL,20180209,15.00,15.00,15.00,15.00,2000
BSL,20180202,16.50,16.50,16.50,16.50,3100
BSL,20180131,16.40,16.50,16.40,16.50,2900
BSL,20180126,20.00,20.00,19.00,19.00,5900
BSL,20180124,19.50,19.50,19.50,19.50,100
BSL,20180123,19.00,19.00,19.00,19.00,100
BSL,20180122,18.60,18.60,18.60,18.60,5100
BSL,20180112,15.50,16.50,15.50,16.50,300
BSL,20180110,16.00,16.00,16.00,16.00,3000
BSL,20180108,15.50,15.50,15.50,15.50,1000
BSL,20180105,16.90,17.00,16.90,17.00,500
BSL,20180103,15.50,15.50,15.50,15.50,300
BSL,20171228,16.20,16.20,16.20,16.20,9400
BSL,20171221,16.00,16.00,16.00,16.00,1000
BSL,20171218,16.70,16.70,16.70,16.70,300
BSL,20171214,16.50,16.50,16.50,16.50,100
BSL,20171213,16.10,16.10,16.00,16.00,400
BSL,20171212,14.00,14.00,13.90,13.90,1000
BSL,20171207,14.00,14.20,14.00,14.00,5500
BSL,20171206,15.80,15.80,15.80,15.80,100
BSL,20171205,14.50,14.50,14.50,14.50,700
BSL,20171201,17.00,17.00,17.00,17.00,1000
BSL,20171130,15.00,15.00,15.00,15.00,2000
BSL,20171129,16.60,16.60,16.50,16.60,12000
BSL,20171127,14.50,14.50,14.50,14.50,200
BSL,20171124,14.50,14.50,14.50,14.50,1400
BSL,20171120,14.50,14.50,14.50,14.50,100
BSL,20171114,14.50,14.50,14.50,14.50,5000
BSL,20171113,14.50,14.50,14.50,14.50,5200
BSL,20171109,14.70,14.70,14.70,14.70,900
BSL,20171108,14.70,14.70,14.70,14.70,200
BSL,20171107,14.70,14.70,14.70,14.70,100
BSL,20171106,14.50,14.50,14.50,14.50,100
BSL,20171103,15.00,15.00,15.00,15.00,1500
BSL,20171031,14.50,14.50,14.50,14.50,2100
BSL,20171027,14.30,14.30,14.30,14.30,300
BSL,20171025,14.80,14.80,14.80,14.80,5000
BSL,20171020,14.30,14.30,14.30,14.30,100
BSL,20171019,14.50,14.50,14.50,14.50,200
BSL,20171018,14.50,14.50,14.50,14.50,400
BSL,20171017,15.00,15.00,15.00,15.00,500
BSL,20171012,15.00,15.00,15.00,15.00,300
BSL,20171011,15.00,15.00,15.00,15.00,1000
BSL,20171005,14.50,14.50,14.00,14.00,4000
BSL,20171004,14.70,14.70,14.40,14.40,1000
BSL,20171003,15.00,15.00,15.00,15.00,100
BSL,20171002,15.00,15.50,15.00,15.50,7200
BSL,20170921,15.00,15.00,15.00,15.00,1000
BSL,20170920,15.80,15.80,15.80,15.80,100
BSL,20170919,14.70,14.70,14.70,14.70,100
BSL,20170918,15.00,15.00,15.00,15.00,3900
BSL,20170913,15.00,15.00,15.00,15.00,6800
BSL,20170911,15.00,15.00,15.00,15.00,2000
BSL,20170906,15.90,15.90,15.90,15.90,200
BSL,20170905,16.00,16.00,15.90,15.90,7400
BSL,20170901,15.00,15.00,15.00,15.00,1000
BSL,20170831,15.00,15.00,15.00,15.00,6500
BSL,20170829,14.50,14.50,14.50,14.50,3300
BSL,20170828,14.50,14.50,14.50,14.50,3200
BSL,20170825,14.50,15.00,14.50,14.50,3100
BSL,20170824,15.00,15.00,14.60,14.90,6400
BSL,20170821,16.50,16.50,16.50,16.50,100
BSL,20170816,17.00,17.00,17.00,17.00,200
BSL,20170811,17.50,17.50,17.50,17.50,15000
BSL,20170810,17.50,17.50,17.50,17.50,1000
BSL,20170809,17.40,17.40,17.40,17.40,200
BSL,20170808,17.90,17.90,17.90,17.90,1000
BSL,20170807,17.20,17.90,17.20,17.90,1100
BSL,20170803,16.81,17.00,16.81,17.00,4600
BSL,20170802,16.81,16.81,15.97,16.81,1400
BSL,20170801,16.82,16.82,16.82,16.81,100
BSL,20170728,16.35,16.44,16.16,16.16,3300
BSL,20170727,16.35,16.35,16.35,16.35,1500
BSL,20170726,15.13,16.16,15.13,16.16,3100
BSL,20170725,16.16,16.16,16.16,16.16,900
BSL,20170724,16.44,16.44,14.76,15.88,4800
BSL,20170721,17.28,17.28,17.28,17.28,100
BSL,20170719,16.82,17.28,16.82,17.28,1200
BSL,20170718,16.34,16.34,16.34,16.35,900
BSL,20170717,16.16,18.22,16.16,16.81,10400
BSL,20170714,16.07,16.07,16.07,16.07,12500
BSL,20170713,16.16,16.16,15.88,15.88,11320
BSL,20170712,16.35,16.35,15.88,16.35,11100
BSL,20170711,17.00,17.00,17.00,17.00,100
BSL,20170710,17.00,17.09,17.00,17.09,3300
BSL,20170707,16.81,17.28,16.81,16.81,23600
BSL,20170706,17.47,17.94,17.19,17.93,3900
BSL,20170705,20.55,20.55,19.62,19.62,20220
BSL,20170704,20.73,20.73,20.45,20.55,14400
BSL,20170703,17.75,18.68,17.75,18.49,2300
BSL,20170629,17.28,17.28,17.28,17.28,1020
BSL,20170628,17.74,17.74,17.74,17.75,300
BSL,20170627,20.36,20.36,20.36,20.36,200
BSL,20170626,20.27,23.35,20.27,23.35,8510
BSL,20170623,23.82,23.82,23.82,23.82,2600
BSL,20170622,28.02,28.02,27.74,27.74,9500
BSL,20170621,33.54,33.54,28.03,28.02,41300
BSL,20170620,29.24,29.24,29.24,29.24,100
BSL,20170619,25.50,25.50,25.50,25.50,100
BSL,20170616,22.23,22.23,22.23,22.23,500
