<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CC1,20180330,17.90,17.90,17.90,17.90,100
CC1,20180322,16.30,16.30,16.30,16.30,2000
CC1,20180321,16.00,16.00,16.00,16.00,100
CC1,20180316,13.90,14.00,13.90,14.00,1800
CC1,20180315,12.50,12.50,12.50,12.50,10
CC1,20180314,12.00,14.90,12.00,14.90,600
CC1,20180313,13.50,13.50,13.50,13.50,100
CC1,20180309,15.80,15.80,15.80,15.80,10
CC1,20180306,15.80,15.80,15.80,15.80,100
CC1,20180305,14.40,14.40,14.40,14.40,300
CC1,20180301,12.60,12.60,12.60,12.60,100
CC1,20180228,11.00,11.00,11.00,11.00,100
CC1,20180226,12.90,12.90,12.90,12.90,25
CC1,20180221,12.90,12.90,12.90,12.90,100
CC1,20180207,15.00,15.00,15.00,15.00,200
CC1,20180205,17.00,17.00,17.00,17.00,900
CC1,20180130,19.00,19.30,18.00,18.00,3600
CC1,20180126,19.30,19.30,19.30,19.30,50
CC1,20180110,19.00,19.50,19.00,19.50,1500
CC1,20171229,19.50,19.50,19.50,19.50,530
CC1,20171228,19.00,19.00,19.00,19.00,30
CC1,20171226,19.00,19.00,19.00,19.00,1200
CC1,20171219,18.20,18.50,18.20,18.50,700
CC1,20171218,21.40,21.40,21.40,21.40,100
CC1,20171215,19.00,19.00,19.00,19.00,1100
CC1,20171214,19.00,19.00,19.00,19.00,200
CC1,20171213,19.00,19.90,19.00,19.90,1000
CC1,20171207,19.90,19.90,19.90,19.90,20
CC1,20171204,19.90,19.90,19.90,19.90,170
CC1,20171201,19.90,19.90,19.90,19.90,10
CC1,20171130,19.90,19.90,19.90,19.90,50
CC1,20171124,19.90,19.90,19.90,19.90,100
CC1,20171123,18.00,18.00,18.00,18.00,10
CC1,20171122,18.00,18.00,18.00,18.00,100
CC1,20171121,20.00,20.00,20.00,20.00,20
CC1,20171114,20.00,20.00,20.00,20.00,10
CC1,20171113,20.00,20.00,20.00,20.00,5000
CC1,20171030,18.00,18.00,18.00,18.00,10
CC1,20171027,18.00,18.00,18.00,18.00,500
CC1,20171025,17.90,17.90,17.90,17.90,100
CC1,20171024,17.00,17.00,17.00,17.00,100
CC1,20171018,17.90,17.90,17.90,17.90,100
CC1,20171017,17.50,17.50,17.50,17.50,1100
CC1,20171016,16.90,16.90,16.90,16.90,100
CC1,20171011,16.90,16.90,16.90,16.90,100
CC1,20171002,17.00,17.00,16.50,16.50,200
CC1,20170929,17.00,17.00,17.00,17.00,200
CC1,20170927,17.00,17.00,17.00,17.00,900
CC1,20170921,16.00,16.00,16.00,16.00,1000
CC1,20170919,16.80,16.80,16.80,16.80,200
CC1,20170918,17.00,17.00,17.00,17.00,800
CC1,20170913,17.90,17.90,17.00,17.00,300
CC1,20170905,17.00,17.00,17.00,17.00,100
CC1,20170901,20.00,20.00,20.00,20.00,100
CC1,20170829,18.50,18.50,18.50,18.50,100
CC1,20170828,16.60,18.50,16.60,18.50,400
CC1,20170825,16.10,16.10,16.10,16.10,200
CC1,20170824,18.90,19.00,18.90,19.00,400
CC1,20170823,17.00,17.00,17.00,17.00,600
CC1,20170822,18.70,23.00,18.70,20.00,800
CC1,20170816,21.90,21.90,21.90,21.90,100
CC1,20170811,19.90,19.90,19.90,19.90,100
CC1,20170810,17.40,17.40,17.40,17.40,400
CC1,20170807,20.40,20.40,20.40,20.40,2600
CC1,20170803,23.90,23.90,23.90,23.90,1000
CC1,20170802,23.90,23.90,23.90,23.90,100
CC1,20170801,21.70,21.70,21.70,21.70,200
CC1,20170731,25.50,25.50,25.50,25.50,100
CC1,20170727,30.00,30.00,30.00,30.00,5500
CC1,20170726,26.10,26.10,26.10,26.10,200
CC1,20170725,22.70,22.70,22.70,22.70,200
CC1,20170724,19.80,19.80,19.80,19.80,100
