<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DCD,20180222,8.50,8.50,8.50,8.50,2000
DCD,20180130,8.00,8.70,8.00,8.70,1000
DCD,20180124,9.10,9.10,9.10,9.10,1000
DCD,20180119,10.70,10.70,10.70,10.70,100
DCD,20171229,12.50,12.50,12.50,12.50,100
DCD,20171228,11.20,11.20,11.20,11.20,100
DCD,20171225,9.80,9.80,9.80,9.80,100
DCD,20171221,8.60,8.70,8.60,8.70,1500
DCD,20171218,7.60,7.60,7.60,7.60,40
DCD,20171213,7.60,7.60,7.60,7.60,1000
DCD,20171207,8.60,8.60,8.60,8.60,10
DCD,20171206,8.60,8.60,8.60,8.60,600
DCD,20171205,7.50,7.50,7.50,7.50,1000
DCD,20171129,8.70,8.70,8.70,8.70,30
DCD,20171123,8.70,8.70,8.70,8.70,100
DCD,20171122,7.70,7.70,7.50,7.50,5200
DCD,20171025,7.60,7.60,7.60,7.60,3000
DCD,20171002,8.90,8.90,8.90,8.90,100
DCD,20170828,7.80,7.80,7.80,7.80,10900
DCD,20170815,7.61,7.61,7.61,7.61,600
DCD,20170811,6.65,6.65,6.65,6.66,100
DCD,20170809,6.94,6.94,6.94,6.94,100
DCD,20170803,7.13,8.18,7.13,8.18,600
DCD,20170801,7.13,7.13,7.13,7.13,3100
DCD,20170725,7.32,7.32,7.32,7.32,1000
DCD,20170718,7.61,7.61,7.61,7.61,100
DCD,20170717,6.66,6.66,6.66,6.66,1000
DCD,20170711,6.66,6.66,6.66,6.66,100
DCD,20170706,7.23,7.23,7.23,7.23,100
DCD,20170705,8.09,8.18,8.09,8.18,1600
DCD,20170704,7.13,7.13,6.85,7.04,1200
DCD,20170629,7.90,8.09,7.90,8.09,300
DCD,20170627,7.23,7.23,7.23,7.23,100
DCD,20170626,7.61,7.61,7.04,7.13,9900
DCD,20170622,8.19,8.19,8.19,8.18,1600
DCD,20170621,7.61,8.09,7.61,8.09,1200
DCD,20170620,7.61,7.80,7.61,7.61,3900
DCD,20170616,7.71,7.80,7.71,7.80,400
DCD,20170612,9.04,9.04,9.04,9.04,2400
DCD,20170609,7.13,8.75,7.13,8.75,2000
DCD,20170602,7.70,7.70,7.61,7.61,2000
DCD,20170601,8.56,8.56,8.56,8.56,5100
DCD,20170531,9.04,9.52,9.04,9.42,11800
DCD,20170530,9.04,9.04,9.04,9.04,300
DCD,20170529,9.03,9.03,9.03,9.04,1000
DCD,20170526,8.94,9.51,8.94,9.51,300
DCD,20170525,8.76,8.76,8.76,8.75,100
DCD,20170523,8.09,8.56,8.09,8.56,45400
DCD,20170522,9.04,9.04,9.04,9.04,600
DCD,20170519,6.85,8.47,6.75,8.47,11730
DCD,20170518,7.42,7.42,7.42,7.42,200
DCD,20170515,8.94,8.94,8.09,8.94,5000
DCD,20170512,7.80,7.80,7.80,7.80,200
DCD,20170511,7.70,7.70,6.65,7.70,3800
DCD,20170505,6.75,6.75,6.75,6.75,2000
DCD,20170504,9.32,9.32,7.04,7.04,300
DCD,20170503,8.09,10.75,8.09,10.75,1900
DCD,20170428,8.66,11.70,8.66,8.66,400
DCD,20170427,10.18,10.18,10.18,10.18,1000
DCD,20170413,11.89,11.89,11.89,11.89,13
DCD,20170412,11.89,11.89,11.89,11.89,600
DCD,20170411,13.98,13.98,13.98,13.98,200
DCD,20170407,16.36,16.36,16.36,16.36,100
DCD,20170404,14.27,14.27,14.27,14.27,13
DCD,20170330,14.27,14.27,14.27,14.27,100
DCD,20170308,14.26,14.26,14.26,14.27,100
DCD,20170220,15.12,15.12,15.12,15.12,100
DCD,20170208,13.42,13.42,13.42,13.41,100
DCD,20170207,9.99,13.32,9.99,13.32,200
DCD,20170118,11.70,11.70,11.70,11.70,1000
DCD,20161208,19.50,19.50,19.50,19.50,100
DCD,20161206,22.93,22.93,22.93,22.92,100
DCD,20161205,19.98,19.98,19.98,19.98,110
DCD,20161201,23.21,23.21,17.31,17.31,4600
DCD,20161130,20.26,20.26,20.26,20.26,100
DCD,20161129,17.69,17.69,17.69,17.69,100
DCD,20161128,15.41,15.41,15.41,15.41,100
DCD,20161125,17.78,17.78,13.22,13.22,20700
DCD,20161124,15.51,15.51,15.51,15.50,100
DCD,20161123,13.50,13.50,13.50,13.51,100
DCD,20161121,11.79,11.79,11.79,11.79,200
DCD,20161118,10.27,10.27,10.27,10.27,100
DCD,20161116,8.94,8.94,8.94,8.94,100
DCD,20161115,7.80,7.80,7.80,7.80,200
DCD,20161108,7.80,7.80,7.80,7.80,1000
DCD,20161107,7.80,7.80,7.80,7.80,1000
DCD,20161031,7.80,7.80,7.80,7.80,1000
DCD,20161028,7.80,7.80,7.80,7.80,1000
DCD,20161021,7.80,7.80,7.80,7.80,300
DCD,20161018,7.80,7.80,7.80,7.80,1000
DCD,20161013,7.80,7.80,7.80,7.80,1000
DCD,20161012,7.80,7.80,7.80,7.80,1000
DCD,20161010,7.80,7.80,7.80,7.80,1000
DCD,20161007,7.80,7.80,7.80,7.80,1000
DCD,20161006,7.80,7.80,7.80,7.80,600
DCD,20161005,7.80,7.80,7.80,7.80,1000
DCD,20160811,7.80,7.80,7.80,7.80,100
