<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DCT,20180302,0.70,0.70,0.70,0.70,100
DCT,20180209,0.90,0.90,0.90,0.90,50
DCT,20180202,0.90,0.90,0.90,0.90,1000
DCT,20180126,1.00,1.20,1.00,1.20,37660
DCT,20180119,1.10,1.10,1.10,1.10,3518
DCT,20180112,1.20,1.40,1.20,1.20,55300
DCT,20180105,1.40,1.40,1.30,1.30,17100
DCT,20171229,1.30,1.70,1.30,1.50,10916
DCT,20171222,1.50,1.80,1.50,1.80,33300
DCT,20171215,1.50,1.70,1.50,1.70,16510
DCT,20171208,1.80,1.80,1.60,1.60,36870
DCT,20171201,1.60,1.60,1.60,1.60,4299
DCT,20171124,1.60,1.80,1.60,1.80,29600
DCT,20171117,1.70,1.80,1.70,1.80,2200
DCT,20171110,1.60,2.00,1.60,1.60,25490
DCT,20171103,1.80,1.80,1.80,1.80,2500
DCT,20171027,2.00,2.00,1.70,1.90,38210
DCT,20171013,1.80,1.80,1.80,1.80,10
DCT,20171006,1.80,1.90,1.50,1.50,26700
DCT,20170929,1.60,1.80,1.40,1.80,24100
DCT,20170922,1.60,1.60,1.50,1.50,8557
DCT,20170915,1.40,1.40,1.30,1.30,3150
DCT,20170908,1.50,1.50,1.50,1.50,1
DCT,20170901,1.50,1.60,1.30,1.60,15600
DCT,20170818,1.50,1.50,1.50,1.50,541
DCT,20170811,1.60,1.60,1.60,1.60,15000
DCT,20170804,1.80,1.80,1.60,1.60,200
DCT,20170721,1.50,1.60,1.50,1.50,11301
DCT,20170714,1.40,1.50,1.40,1.50,1263
DCT,20170707,1.20,1.60,1.20,1.50,4500
DCT,20170630,1.40,1.40,1.40,1.40,6900
DCT,20170623,1.30,1.30,1.20,1.30,16030
DCT,20170616,1.20,1.20,1.10,1.20,23547
DCT,20170609,1.00,1.20,1.00,1.20,25160
DCT,20170526,1.00,1.10,1.00,1.10,23870
DCT,20170519,0.90,1.10,0.90,1.00,17100
DCT,20170512,0.90,1.00,0.90,0.90,80500
DCT,20170505,0.90,0.90,0.80,0.80,5030
DCT,20170428,0.80,0.90,0.80,0.90,14885
DCT,20170421,0.90,0.90,0.90,0.90,1100
DCT,20170414,0.90,0.90,0.70,0.70,6400
DCT,20170407,0.70,0.80,0.70,0.80,11510
DCT,20170331,0.90,0.90,0.80,0.90,17000
DCT,20170324,1.00,1.00,0.90,0.90,4435
DCT,20170317,1.00,1.00,0.90,0.90,21005
DCT,20170310,1.00,1.00,1.00,1.00,13822
DCT,20170303,1.10,1.10,1.00,1.00,13020
DCT,20170224,1.10,1.20,1.00,1.20,8200
DCT,20170217,1.10,1.20,1.10,1.10,5718
DCT,20170210,1.20,1.20,1.20,1.20,100
DCT,20170120,1.10,1.10,1.10,1.10,2100
DCT,20170106,1.00,1.00,0.90,1.00,10150
DCT,20161230,1.10,1.10,1.00,1.00,4700
DCT,20161223,1.00,1.00,1.00,1.00,900
DCT,20161216,0.90,0.90,0.90,0.90,100
DCT,20161209,0.90,0.90,0.80,0.80,3700
DCT,20161202,0.80,0.80,0.80,0.80,1500
DCT,20161125,0.80,0.90,0.80,0.80,15050
DCT,20161118,0.90,1.10,0.90,1.10,7710
DCT,20161111,1.00,1.00,0.90,0.90,3700
DCT,20161104,0.90,1.00,0.90,1.00,2100
DCT,20161028,1.00,1.00,1.00,1.00,1010
DCT,20161021,1.10,1.30,1.10,1.30,3325
DCT,20161014,1.20,1.20,1.20,1.20,1100
DCT,20161007,1.40,1.40,1.40,1.40,1050
DCT,20160930,1.30,1.50,1.30,1.50,2310
DCT,20160923,1.50,1.50,1.50,1.50,40
DCT,20160916,1.50,1.50,1.50,1.50,200
DCT,20160909,1.40,1.50,1.40,1.50,4200
DCT,20160830,1.60,1.60,1.50,1.60,1600
DCT,20160829,1.70,1.70,1.30,1.60,11200
DCT,20160826,1.50,1.50,1.50,1.50,3300
DCT,20160825,1.70,1.70,1.60,1.60,2000
DCT,20160823,1.80,1.80,1.80,1.80,3000
DCT,20160822,1.70,1.70,1.70,1.70,100
DCT,20160819,1.80,1.80,1.50,1.50,2520
DCT,20160818,1.70,1.70,1.60,1.60,3000
DCT,20160817,1.80,1.80,1.60,1.60,2960
DCT,20160816,1.80,1.80,1.70,1.70,2090
DCT,20160815,1.90,1.90,1.90,1.90,200
DCT,20160812,1.70,1.70,1.70,1.70,500
DCT,20160811,1.60,1.70,1.60,1.70,10900
DCT,20160810,1.80,1.80,1.70,1.70,13000
DCT,20160809,1.90,1.90,1.90,1.90,400
DCT,20160805,1.70,2.10,1.70,2.10,400
DCT,20160804,2.00,2.00,2.00,2.00,400
DCT,20160803,2.20,2.20,2.20,2.20,100
DCT,20160802,2.00,2.00,2.00,2.00,800
DCT,20160801,2.30,2.30,2.30,2.30,700
DCT,20160729,2.00,2.00,2.00,2.00,400
DCT,20160728,2.20,2.20,2.20,2.20,200
DCT,20160727,2.40,2.40,2.40,2.40,100
DCT,20160722,2.40,2.40,1.90,2.20,25200
DCT,20160721,2.10,2.10,2.10,2.10,500
DCT,20160720,2.40,2.40,2.10,2.10,3100
DCT,20160719,2.40,2.40,2.40,2.40,200
DCT,20160718,2.30,2.50,2.20,2.50,2700
DCT,20160715,2.40,2.60,2.30,2.60,2610
DCT,20160713,2.50,2.50,2.50,2.50,19300
DCT,20160712,2.20,2.20,2.20,2.20,400
DCT,20160711,2.40,2.50,2.20,2.50,22500
DCT,20160708,2.30,2.30,2.20,2.20,2200
DCT,20160707,2.50,2.60,2.50,2.50,300
DCT,20160706,2.70,2.70,2.50,2.50,200
DCT,20160705,2.20,2.70,2.20,2.70,111800
DCT,20160704,2.40,2.50,2.10,2.30,3100
DCT,20160701,2.00,2.40,2.00,2.40,70600
DCT,20160630,1.90,2.10,1.90,2.10,11000
DCT,20160629,1.90,1.90,1.90,1.90,13000
DCT,20160628,1.70,1.70,1.70,1.70,1000
DCT,20160627,1.80,2.00,1.70,2.00,15600
DCT,20160624,1.70,1.90,1.70,1.80,28400
DCT,20160623,1.70,1.80,1.60,1.70,13500
DCT,20160622,1.70,1.70,1.50,1.70,7000
DCT,20160621,1.50,1.70,1.50,1.70,5900
DCT,20160620,1.70,1.70,1.50,1.60,2300
DCT,20160617,1.60,1.60,1.50,1.50,20650
DCT,20160616,1.70,1.70,1.70,1.70,220
DCT,20160615,1.90,1.90,1.90,1.90,100
DCT,20160614,1.70,1.90,1.70,1.90,3800
DCT,20160613,1.70,1.70,1.70,1.70,1100
DCT,20160610,1.50,1.70,1.50,1.70,1100
DCT,20160609,1.50,1.50,1.50,1.50,3550
DCT,20160608,1.60,1.60,1.40,1.40,6300
DCT,20160607,1.60,1.60,1.60,1.60,1000
DCT,20160606,1.80,1.80,1.80,1.80,1200
DCT,20160603,1.70,1.70,1.60,1.60,2500
DCT,20160602,2.00,2.00,1.70,1.90,1100
DCT,20160601,1.90,1.90,1.90,1.90,5
DCT,20160531,1.90,1.90,1.90,1.90,500
DCT,20160530,1.90,1.90,1.90,1.90,800
DCT,20160527,1.90,1.90,1.90,1.90,1100
DCT,20160526,1.70,1.70,1.70,1.70,300
DCT,20160525,1.90,1.90,1.70,1.80,25800
DCT,20160524,2.00,2.00,1.90,2.00,8600
DCT,20160523,2.20,2.50,2.10,2.10,2200
DCT,20160519,2.30,2.30,2.30,2.30,5400
DCT,20160518,2.30,2.50,2.30,2.50,2300
DCT,20160517,2.60,2.60,2.40,2.60,400
DCT,20160516,2.60,2.60,2.60,2.60,100
DCT,20160513,2.20,2.50,2.20,2.50,920
DCT,20160512,2.50,2.50,2.50,2.50,314
DCT,20160511,3.10,3.10,2.50,2.80,1900
DCT,20160510,3.10,3.10,2.60,2.60,4100
DCT,20160509,2.90,3.10,2.80,3.00,152100
DCT,20160506,2.50,2.70,2.50,2.70,372600
DCT,20160505,2.30,2.60,2.20,2.60,24300
DCT,20160504,2.40,2.40,2.30,2.30,5900
DCT,20160429,2.30,2.60,2.00,2.60,197800
DCT,20160428,2.00,2.30,1.80,2.30,297400
DCT,20160427,1.80,2.00,1.80,2.00,15802
DCT,20160426,1.70,1.90,1.70,1.90,27007
DCT,20160425,1.70,1.70,1.70,1.70,235
DCT,20160422,1.80,1.80,1.60,1.70,18150
DCT,20160421,1.70,1.80,1.70,1.80,5520
DCT,20160420,1.70,1.70,1.70,1.70,2800
DCT,20160419,1.50,1.50,1.50,1.50,213620
DCT,20160415,1.70,1.70,1.50,1.50,15110
DCT,20160414,1.50,1.70,1.50,1.70,2200
DCT,20160413,1.70,1.70,1.70,1.70,13260
DCT,20160412,2.00,2.00,1.90,1.90,4900
DCT,20160411,2.40,2.40,2.20,2.20,20320
DCT,20160408,2.50,2.80,2.40,2.80,6500
DCT,20160407,1.80,2.90,1.80,2.80,54500
DCT,20150507,2.30,2.40,2.20,2.20,78850
DCT,20150506,2.30,2.30,2.10,2.30,115110
DCT,20150505,2.20,2.40,2.20,2.20,231970
DCT,20150504,2.50,2.50,2.30,2.30,202930
DCT,20150427,2.40,2.40,2.40,2.40,71570
DCT,20150424,2.30,2.30,2.30,2.30,51820
DCT,20150423,2.20,2.20,2.20,2.20,197380
DCT,20150422,2.20,2.20,2.10,2.10,132010
DCT,20150421,2.20,2.20,2.00,2.10,173590
DCT,20150420,1.90,2.10,1.90,2.10,91750
DCT,20150417,1.80,2.00,1.80,2.00,273830
DCT,20150416,1.80,1.90,1.80,1.90,297700
DCT,20150415,1.90,1.90,1.90,1.90,5920
DCT,20150414,2.00,2.00,2.00,2.00,2770
DCT,20150413,2.10,2.10,2.10,2.10,10790
DCT,20150410,2.20,2.30,2.20,2.20,209540
DCT,20150409,2.30,2.30,2.20,2.30,23580
DCT,20150408,2.20,2.30,2.10,2.30,82140
DCT,20150407,2.20,2.30,2.20,2.20,66500
DCT,20150406,2.20,2.30,2.10,2.30,84390
DCT,20150403,2.00,2.20,2.00,2.20,171210
DCT,20150402,2.10,2.10,2.10,2.10,2730
DCT,20150401,2.20,2.20,2.20,2.20,2130
DCT,20150331,2.30,2.30,2.30,2.30,3270
DCT,20150330,2.40,2.40,2.40,2.40,5050
DCT,20150327,2.50,2.50,2.50,2.50,11800
DCT,20150326,2.60,2.60,2.60,2.60,10270
DCT,20150325,2.80,2.80,2.70,2.70,44430
DCT,20150324,2.90,3.00,2.70,2.80,51820
DCT,20150323,2.80,3.10,2.80,2.90,611790
DCT,20150320,3.20,3.20,2.90,2.90,1147800
DCT,20150319,3.00,3.10,2.70,3.10,947350
DCT,20150318,2.80,2.90,2.70,2.90,381210
DCT,20150317,2.80,2.80,2.80,2.80,283390
DCT,20150316,2.70,2.70,2.60,2.70,42700
DCT,20150313,2.60,2.60,2.60,2.60,250010
DCT,20150312,2.30,2.50,2.30,2.50,351420
DCT,20150311,2.50,2.50,2.30,2.40,282150
DCT,20150310,2.30,2.40,2.30,2.40,135950
DCT,20150309,2.20,2.30,2.20,2.30,237190
DCT,20150306,2.10,2.20,2.10,2.20,108600
DCT,20150305,2.00,2.10,2.00,2.10,174170
DCT,20150304,1.80,2.00,1.80,2.00,218790
DCT,20150303,1.90,2.00,1.90,1.90,48480
DCT,20150302,1.80,1.90,1.70,1.90,67880
DCT,20150227,1.70,1.80,1.70,1.80,178620
DCT,20150226,1.60,1.80,1.60,1.70,169330
DCT,20150225,1.80,1.80,1.70,1.70,31910
DCT,20150224,1.70,1.80,1.70,1.80,71320
DCT,20150213,1.70,1.80,1.70,1.70,69200
DCT,20150212,1.60,1.70,1.50,1.70,113770
DCT,20150211,1.60,1.60,1.60,1.60,164250
DCT,20150210,1.50,1.50,1.40,1.50,28120
DCT,20150209,1.20,1.40,1.20,1.40,248650
DCT,20150206,1.30,1.30,1.30,1.30,37880
DCT,20150205,1.40,1.40,1.40,1.40,181870
DCT,20150204,1.50,1.50,1.50,1.50,99030
DCT,20150203,1.60,1.70,1.60,1.60,231360
DCT,20150202,1.70,1.70,1.70,1.70,10280
DCT,20150130,1.80,1.90,1.80,1.80,69400
DCT,20150129,1.90,2.00,1.90,1.90,89750
DCT,20150128,1.90,2.00,1.90,2.00,112330
DCT,20150127,1.90,2.00,1.90,2.00,204250
DCT,20150126,2.10,2.10,2.00,2.00,87460
DCT,20150123,2.10,2.10,2.00,2.10,38060
DCT,20150122,2.10,2.20,2.10,2.10,145670
DCT,20150121,2.20,2.30,2.10,2.20,106590
DCT,20150120,2.20,2.30,2.20,2.20,48540
DCT,20150119,2.20,2.30,2.20,2.30,73000
DCT,20150116,2.20,2.30,2.20,2.30,33220
DCT,20150115,2.30,2.30,2.20,2.30,68800
DCT,20150114,2.20,2.30,2.10,2.30,73680
DCT,20150113,2.20,2.30,2.20,2.20,46360
DCT,20150112,2.10,2.20,2.00,2.20,143990
DCT,20150109,2.10,2.20,2.10,2.10,108650
DCT,20150108,2.20,2.20,2.20,2.20,41460
DCT,20150107,2.20,2.30,2.20,2.30,39150
DCT,20150106,2.20,2.30,2.20,2.30,73030
DCT,20150105,2.20,2.30,2.20,2.30,47030
DCT,20141231,2.20,2.20,2.10,2.20,44600
DCT,20141230,2.10,2.20,2.10,2.10,9150
DCT,20141229,2.20,2.30,2.20,2.20,8200
DCT,20141226,2.20,2.30,2.20,2.30,21090
DCT,20141225,2.20,2.30,2.10,2.30,75820
DCT,20141224,2.20,2.30,2.10,2.20,17400
DCT,20141223,2.20,2.30,2.20,2.20,42140
DCT,20141222,2.20,2.30,2.20,2.30,39920
DCT,20141219,2.30,2.30,2.20,2.30,29720
DCT,20141218,2.20,2.30,2.20,2.30,48490
DCT,20141217,2.30,2.30,2.20,2.30,58610
DCT,20141216,2.20,2.30,2.20,2.30,47180
DCT,20141215,2.20,2.30,2.10,2.20,89740
DCT,20141212,2.30,2.30,2.20,2.20,68090
DCT,20141211,2.30,2.30,2.20,2.30,6710
DCT,20141210,2.30,2.30,2.20,2.30,19240
DCT,20141209,2.30,2.30,2.20,2.30,123240
DCT,20141208,2.30,2.30,2.30,2.30,29560
DCT,20141205,2.30,2.40,2.30,2.40,77960
DCT,20141204,2.40,2.40,2.40,2.40,13880
DCT,20141203,2.40,2.50,2.40,2.50,37110
DCT,20141202,2.30,2.50,2.30,2.50,76590
DCT,20141201,2.50,2.50,2.40,2.40,102110
DCT,20141128,2.40,2.50,2.40,2.50,98120
DCT,20141127,2.30,2.50,2.30,2.50,92880
DCT,20141126,2.40,2.50,2.30,2.40,45680
DCT,20141125,2.40,2.50,2.30,2.40,61130
DCT,20141124,2.40,2.50,2.30,2.40,45550
DCT,20141121,2.40,2.50,2.40,2.40,26970
DCT,20141120,2.40,2.50,2.40,2.40,125330
DCT,20141119,2.50,2.50,2.40,2.40,100110
DCT,20141118,2.40,2.50,2.40,2.50,116990
DCT,20141117,2.50,2.50,2.40,2.50,46100
DCT,20141114,2.50,2.50,2.40,2.40,86790
DCT,20141113,2.50,2.50,2.40,2.50,84610
DCT,20141112,2.40,2.50,2.40,2.40,81630
DCT,20141111,2.50,2.50,2.40,2.40,38390
DCT,20141110,2.40,2.50,2.40,2.50,52650
DCT,20141107,2.50,2.50,2.40,2.40,73300
DCT,20141106,2.50,2.50,2.40,2.40,29000
DCT,20141105,2.50,2.50,2.40,2.50,152820
DCT,20141104,2.40,2.50,2.40,2.50,21780
DCT,20141103,2.50,2.50,2.40,2.50,52930
DCT,20141031,2.50,2.60,2.50,2.50,73820
DCT,20141030,2.60,2.60,2.50,2.50,132610
DCT,20141029,2.50,2.60,2.50,2.60,59830
DCT,20141028,2.50,2.50,2.40,2.50,20490
DCT,20141027,2.50,2.60,2.40,2.50,93560
DCT,20141024,2.60,2.60,2.50,2.50,158680
DCT,20141023,2.50,2.60,2.50,2.50,193070
DCT,20141022,2.60,2.60,2.50,2.60,34930
DCT,20141021,2.60,2.60,2.50,2.60,174840
DCT,20141020,2.60,2.70,2.60,2.60,75500
DCT,20141017,2.60,2.70,2.50,2.70,173630
DCT,20141016,2.70,2.70,2.60,2.60,522870
DCT,20141015,2.70,2.80,2.70,2.70,143750
DCT,20141014,2.70,2.90,2.70,2.80,274590
DCT,20141013,2.80,2.80,2.70,2.80,162990
DCT,20141010,2.70,2.80,2.70,2.80,410980
DCT,20141009,2.90,2.90,2.70,2.70,380440
DCT,20141008,2.80,2.80,2.80,2.80,470960
DCT,20141007,2.60,2.70,2.60,2.70,470490
DCT,20141006,2.60,2.70,2.60,2.60,77000
DCT,20141003,2.60,2.70,2.50,2.60,62580
DCT,20141002,2.60,2.70,2.50,2.60,111370
DCT,20141001,2.60,2.70,2.60,2.60,103080
DCT,20140930,2.60,2.60,2.50,2.60,45450
DCT,20140929,2.60,2.60,2.50,2.60,35340
DCT,20140926,2.60,2.70,2.50,2.60,83520
DCT,20140925,2.60,2.60,2.50,2.60,106900
DCT,20140924,2.60,2.60,2.50,2.60,224980
DCT,20140923,2.60,2.70,2.50,2.60,49450
DCT,20140922,2.60,2.70,2.60,2.60,237130
DCT,20140919,2.70,2.70,2.60,2.70,312530
DCT,20140918,2.70,2.80,2.60,2.70,152440
DCT,20140917,2.80,2.80,2.70,2.70,287800
DCT,20140916,2.80,2.80,2.70,2.80,83800
DCT,20140915,2.90,2.90,2.70,2.80,371470
DCT,20140912,2.80,2.80,2.70,2.80,472490
DCT,20140911,2.70,2.80,2.70,2.70,92450
DCT,20140910,2.70,2.80,2.60,2.80,201290
DCT,20140909,2.80,2.80,2.70,2.70,241520
DCT,20140908,2.80,2.90,2.70,2.80,325800
DCT,20140905,2.80,2.90,2.70,2.80,213650
DCT,20140904,2.70,2.80,2.70,2.80,225920
DCT,20140903,2.70,2.80,2.70,2.80,383260
DCT,20140829,2.70,2.80,2.60,2.80,43980
DCT,20140828,2.70,2.70,2.60,2.70,161740
DCT,20140827,2.70,2.70,2.60,2.60,102410
DCT,20140826,2.70,2.70,2.60,2.70,24780
DCT,20140825,2.60,2.80,2.60,2.70,51840
DCT,20140822,2.70,2.70,2.60,2.70,112130
DCT,20140821,2.70,2.70,2.60,2.60,102200
DCT,20140820,2.60,2.70,2.60,2.70,27630
DCT,20140819,2.60,2.70,2.60,2.60,75080
DCT,20140818,2.70,2.80,2.70,2.70,61320
DCT,20140815,2.80,2.80,2.70,2.80,61500
DCT,20140814,2.70,2.80,2.60,2.80,70260
DCT,20140813,2.70,2.80,2.70,2.70,74480
DCT,20140812,2.70,2.80,2.70,2.80,82350
DCT,20140811,2.70,2.70,2.70,2.70,101640
DCT,20140808,2.80,2.80,2.60,2.60,256110
DCT,20140807,2.70,2.80,2.60,2.70,40380
DCT,20140806,2.80,2.80,2.70,2.70,106640
DCT,20140805,2.70,2.80,2.70,2.70,29310
DCT,20140804,2.80,2.80,2.70,2.70,32010
DCT,20140801,2.70,2.80,2.70,2.80,8100
DCT,20140731,2.70,2.80,2.70,2.80,55420
DCT,20140730,2.70,2.80,2.60,2.70,51480
DCT,20140729,2.60,2.70,2.60,2.70,63540
DCT,20140728,2.70,2.70,2.60,2.60,121990
DCT,20140725,2.80,2.90,2.70,2.70,62530
DCT,20140724,2.70,2.80,2.70,2.80,175790
