<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHT,20180330,67.20,67.30,65.60,66.80,15000
DHT,20180329,66.70,66.70,65.50,66.70,25100
DHT,20180328,66.00,66.80,65.80,66.70,10600
DHT,20180327,67.50,67.50,65.30,67.00,9320
DHT,20180326,67.50,67.50,66.00,66.70,11400
DHT,20180323,66.10,67.30,65.50,66.60,20100
DHT,20180322,64.80,67.00,64.70,66.60,36200
DHT,20180321,65.20,66.50,64.80,65.00,15630
DHT,20180320,64.00,66.10,64.00,65.80,11222
DHT,20180319,64.00,64.90,63.70,64.90,4500
DHT,20180316,65.50,65.50,63.90,64.90,5232
DHT,20180315,65.00,65.50,63.50,65.50,15600
DHT,20180314,66.40,66.40,64.50,65.00,18303
DHT,20180313,67.00,67.00,65.50,66.00,12510
DHT,20180312,66.70,67.00,65.50,65.60,14420
DHT,20180309,66.00,66.80,65.70,66.70,8600
DHT,20180308,66.80,66.90,65.40,66.80,17520
DHT,20180307,66.20,67.30,65.50,66.80,19900
DHT,20180306,67.00,67.40,65.50,67.00,18950
DHT,20180305,67.50,68.50,66.10,66.80,20000
DHT,20180302,66.00,67.30,65.80,66.80,5100
DHT,20180301,67.00,67.50,65.30,67.00,45750
DHT,20180228,66.20,66.90,66.00,66.50,15500
DHT,20180227,65.32,66.40,64.04,66.30,19764
DHT,20180226,66.00,66.49,64.72,66.50,23310
DHT,20180223,66.98,67.48,63.04,66.00,34200
DHT,20180222,65.01,67.48,64.03,66.59,17800
DHT,20180221,65.02,67.98,63.05,67.28,12720
DHT,20180213,66.99,67.68,65.12,66.99,13020
DHT,20180212,66.99,70.93,66.20,66.79,22587
DHT,20180209,66.99,66.99,64.03,65.61,26990
DHT,20180208,64.04,66.99,61.77,65.61,50450
DHT,20180207,55.16,61.77,55.16,61.77,39586
DHT,20180206,55.27,56.16,54.19,56.15,36841
DHT,20180205,55.27,56.06,54.97,55.96,19511
DHT,20180202,55.37,55.37,55.17,55.27,6700
DHT,20180201,55.17,56.06,55.17,55.27,15170
DHT,20180131,56.15,57.53,55.17,55.17,20785
DHT,20180130,57.63,57.63,56.15,57.14,15233
DHT,20180129,57.13,57.92,56.15,57.33,22612
DHT,20180126,59.10,59.10,57.13,58.02,49641
DHT,20180125,58.72,59.01,57.44,58.61,102412
DHT,20180124,61.08,61.08,58.32,59.11,29300
DHT,20180123,63.05,63.05,58.12,59.11,56810
DHT,20180122,63.05,63.05,57.24,58.12,397414
DHT,20180119,62.06,65.02,62.06,63.54,34870
DHT,20180118,61.07,62.06,61.07,62.06,13400
DHT,20180117,63.54,63.54,60.58,62.06,10317
DHT,20180116,62.06,62.06,60.58,62.06,21200
DHT,20180115,63.84,63.84,61.57,62.06,37165
DHT,20180112,63.84,64.43,62.07,63.84,49670
DHT,20180111,61.07,63.83,61.07,63.84,77330
DHT,20180110,63.05,64.82,62.07,62.06,71267
DHT,20180109,64.04,64.04,62.56,63.74,18734
DHT,20180108,65.02,65.02,63.05,63.05,34500
DHT,20180105,63.93,65.01,63.83,64.82,23531
DHT,20180104,66.49,66.49,63.93,63.93,64820
DHT,20180103,65.51,65.51,64.72,65.31,45140
DHT,20180102,66.00,66.00,65.21,65.31,62500
DHT,20171229,66.10,66.99,66.00,66.00,30094
DHT,20171228,65.81,67.38,65.61,67.38,50910
DHT,20171227,65.02,66.89,65.02,65.71,19300
DHT,20171226,66.00,66.00,65.61,65.61,64800
DHT,20171225,65.71,66.50,65.71,66.20,12300
DHT,20171222,65.61,66.50,65.61,66.50,16000
DHT,20171221,65.51,65.71,65.22,65.51,27600
DHT,20171220,66.00,66.00,65.51,65.71,36800
DHT,20171219,65.90,66.79,65.81,66.00,43743
DHT,20171218,68.96,68.96,65.81,66.89,33844
DHT,20171215,64.62,68.47,64.62,66.99,105300
DHT,20171214,63.84,66.69,63.84,65.51,18500
DHT,20171213,63.74,65.91,63.74,65.02,17800
DHT,20171212,65.61,65.61,64.04,64.33,39746
DHT,20171211,66.00,66.00,65.51,65.81,26600
DHT,20171208,66.30,67.97,66.00,66.00,93800
DHT,20171207,68.46,68.46,65.61,66.30,3000
DHT,20171206,65.51,66.10,65.51,66.00,27400
DHT,20171205,67.19,67.19,66.20,66.59,31800
DHT,20171204,68.87,68.96,66.99,67.19,50710
DHT,20171201,65.51,67.97,65.51,67.88,21000
DHT,20171130,68.96,68.96,65.51,65.51,96500
DHT,20171129,67.97,68.96,67.97,68.96,63598
DHT,20171128,68.37,68.47,67.98,67.97,32910
