<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DLT,20171207,11.60,11.60,11.60,11.60,100
DLT,20171016,11.60,11.60,11.60,11.60,100
DLT,20171013,13.50,13.60,13.50,13.60,2500
DLT,20170912,11.90,11.90,11.90,11.90,100
DLT,20170911,10.38,10.38,10.38,10.38,200
DLT,20170421,7.43,7.43,7.43,7.43,100
DLT,20170119,12.26,12.26,12.26,12.26,500
DLT,20170112,11.81,11.81,11.81,11.81,500
DLT,20170105,10.29,10.29,10.29,10.29,1000
DLT,20161229,8.95,8.95,8.95,8.95,2400
DLT,20160817,14.76,14.76,14.76,14.76,1000
DLT,20160419,13.51,13.51,13.51,13.51,3000
DLT,20160304,13.51,13.51,13.51,13.51,5000
DLT,20160205,13.51,13.51,13.51,13.51,500
DLT,20160112,13.51,13.51,13.51,13.51,500
DLT,20151217,13.51,13.51,13.51,13.51,300
DLT,20151127,13.10,13.10,13.10,13.10,2000
DLT,20151126,13.10,13.10,13.10,13.10,1000
DLT,20151124,13.10,13.10,13.10,13.10,2600
DLT,20151123,13.10,13.10,13.10,13.10,1500
DLT,20151120,13.11,13.11,13.11,13.10,3000
