<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DNH,20180330,20.00,20.00,20.00,20.00,2500
DNH,20180329,17.60,17.60,17.60,17.60,100
DNH,20180326,20.00,20.00,20.00,20.00,3600
DNH,20180323,20.50,20.50,20.00,20.00,2700
DNH,20180320,20.50,20.50,20.50,20.50,1500
DNH,20180319,20.50,20.50,20.50,20.50,1000
DNH,20180314,21.00,21.00,20.50,20.50,2500
DNH,20180312,21.40,21.40,21.40,21.40,1000
DNH,20180309,18.48,21.40,18.48,21.40,1000
DNH,20180308,21.40,21.40,21.40,21.40,100
DNH,20180227,22.37,22.37,22.37,22.37,100
DNH,20180222,24.32,24.32,24.32,24.32,401
DNH,20180221,24.32,24.32,24.32,24.32,100
DNH,20180129,22.86,22.86,22.86,22.86,100
DNH,20180123,22.86,22.86,22.76,22.76,3100
DNH,20180122,21.40,21.40,21.40,21.40,500
DNH,20180118,19.55,19.55,19.55,19.55,100
DNH,20180117,22.37,22.37,22.37,22.37,100
DNH,20180116,19.26,24.32,19.26,24.32,800
DNH,20180112,21.49,21.49,21.49,21.50,2100
DNH,20180111,18.77,18.77,18.77,18.77,100
DNH,20180110,21.98,21.98,21.98,21.98,1401
DNH,20180109,21.98,21.98,21.98,21.98,8000
DNH,20180105,19.16,19.16,19.16,19.16,1
DNH,20180102,19.06,19.16,19.06,19.16,1600
DNH,20171222,22.37,22.37,22.37,22.37,400
DNH,20171218,23.25,23.25,23.25,23.25,10
DNH,20171215,23.25,23.25,23.25,23.25,10000
DNH,20171124,19.45,21.40,19.45,21.40,500
DNH,20171107,20.92,20.92,20.92,20.91,1200
DNH,20171030,20.43,20.43,20.43,20.43,300
DNH,20171013,20.43,20.43,20.43,20.43,400
DNH,20171012,21.40,21.40,21.40,21.40,100
DNH,20171005,21.70,21.89,21.70,21.89,1000
DNH,20171004,21.89,21.89,21.89,21.89,600
DNH,20170929,21.89,21.89,21.89,21.89,100
DNH,20170927,21.89,21.89,21.89,21.89,10300
DNH,20170926,20.43,20.43,20.43,20.43,500
DNH,20170919,20.43,20.43,20.43,20.43,800
DNH,20170918,19.94,20.04,19.94,19.94,800
DNH,20170913,21.89,21.89,21.40,21.40,600
DNH,20170912,21.79,21.79,21.79,21.79,1000
DNH,20170911,21.89,21.89,21.79,21.89,700
DNH,20170901,21.88,21.88,21.88,21.89,500
DNH,20170831,21.40,21.40,20.91,20.91,1300
DNH,20170830,20.72,20.91,20.72,20.91,600
DNH,20170829,20.72,20.72,20.72,20.72,200
DNH,20170823,21.40,21.40,21.40,21.40,200
DNH,20170817,21.40,21.40,21.40,21.40,100
DNH,20170816,21.30,21.40,21.30,21.30,2300
DNH,20170814,21.40,21.40,21.21,21.21,1900
DNH,20170811,24.61,24.61,23.73,23.74,200
DNH,20170810,21.40,21.40,21.40,21.40,1000
DNH,20170809,21.40,21.89,21.40,21.89,2900
DNH,20170808,22.86,22.86,22.37,22.47,2400
DNH,20170803,22.38,22.38,22.38,22.37,100
DNH,20170802,23.06,23.06,22.96,22.96,1000
DNH,20170801,23.35,23.35,23.35,23.35,200
DNH,20170731,23.54,23.54,23.54,23.54,500
DNH,20170726,25.29,25.29,24.81,24.81,700
DNH,20170719,25.00,25.00,25.00,25.00,100
DNH,20170718,27.33,27.62,27.23,27.24,400
DNH,20170717,24.80,24.90,24.80,24.90,400
DNH,20170713,27.00,27.00,26.90,26.90,700
DNH,20170712,25.26,25.26,25.26,25.26,100
DNH,20170707,25.06,25.55,25.06,25.55,500
DNH,20170706,26.80,26.80,26.80,26.80,100
DNH,20170705,26.22,26.99,26.22,26.99,200
DNH,20170704,28.44,28.44,26.51,26.51,200
DNH,20170703,26.03,27.00,26.03,26.99,2200
DNH,20170630,26.03,26.03,23.14,23.14,3300
DNH,20170628,26.51,26.51,26.03,26.13,1900
DNH,20170627,27.67,27.67,25.93,26.51,4800
DNH,20170626,30.37,30.85,30.37,30.85,600
DNH,20170623,35.67,35.67,35.67,35.67,1320
DNH,20170622,41.94,41.94,41.94,41.94,9700
DNH,20170621,36.53,36.53,36.53,36.54,1100
DNH,20170620,31.82,31.82,31.82,31.81,1100
DNH,20170619,27.67,27.67,27.67,27.67,200
