<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DPS,20180330,1.70,1.80,1.70,1.70,31068
DPS,20180329,1.80,1.90,1.80,1.80,296395
DPS,20180328,1.80,1.90,1.80,1.90,261000
DPS,20180327,1.80,1.90,1.70,1.80,355680
DPS,20180326,1.70,1.80,1.70,1.80,692120
DPS,20180323,1.70,1.80,1.70,1.70,527907
DPS,20180322,1.80,1.80,1.70,1.80,82200
DPS,20180321,1.80,1.80,1.70,1.80,193402
DPS,20180320,1.80,1.90,1.70,1.70,279215
DPS,20180319,1.80,1.90,1.80,1.80,208370
DPS,20180316,1.90,1.90,1.80,1.80,734983
DPS,20180315,2.20,2.20,1.80,1.90,974136
DPS,20180314,2.00,2.00,2.00,2.00,147069
DPS,20180313,1.80,1.90,1.80,1.90,1611757
DPS,20180312,1.80,1.90,1.70,1.80,570156
DPS,20180309,1.80,1.90,1.70,1.80,383011
DPS,20180308,1.80,1.90,1.70,1.80,534600
DPS,20180307,1.90,1.90,1.80,1.80,320000
DPS,20180306,1.90,1.90,1.80,1.90,36400
DPS,20180305,1.80,1.90,1.70,1.90,542100
DPS,20180302,1.80,1.90,1.80,1.80,272420
DPS,20180301,1.80,1.90,1.80,1.80,70300
DPS,20180228,1.80,1.90,1.80,1.80,60500
DPS,20180227,1.90,1.90,1.80,1.90,125308
DPS,20180226,1.90,2.00,1.80,1.80,182000
DPS,20180223,1.80,1.90,1.80,1.90,196300
DPS,20180222,1.70,1.80,1.70,1.80,297700
DPS,20180221,1.80,1.80,1.70,1.70,117825
DPS,20180213,1.80,1.80,1.70,1.80,32482
DPS,20180212,1.60,1.80,1.60,1.70,146300
DPS,20180209,1.70,1.70,1.60,1.70,141310
DPS,20180208,1.80,1.80,1.60,1.70,154425
DPS,20180207,1.70,1.80,1.70,1.70,94393
DPS,20180206,1.80,1.80,1.70,1.80,389466
DPS,20180205,1.90,1.90,1.80,1.80,237900
DPS,20180202,1.90,1.90,1.80,1.90,99000
DPS,20180201,1.90,2.00,1.80,1.90,158350
DPS,20180131,2.00,2.00,1.80,1.90,131605
DPS,20180130,1.90,2.00,1.90,2.00,238300
DPS,20180129,1.90,2.00,1.80,1.90,310700
DPS,20180126,2.10,2.10,1.90,1.90,173100
DPS,20180125,2.00,2.10,2.00,2.10,625944
DPS,20180124,2.00,2.10,2.00,2.00,223500
DPS,20180123,2.00,2.10,2.00,2.00,193900
DPS,20180122,2.00,2.10,2.00,2.00,642500
DPS,20180119,2.10,2.10,2.00,2.10,223410
DPS,20180118,2.00,2.10,2.00,2.10,65226
DPS,20180117,2.10,2.20,2.00,2.10,218838
DPS,20180116,2.10,2.20,2.00,2.10,590400
DPS,20180115,2.10,2.20,2.10,2.10,367400
DPS,20180112,2.10,2.20,2.10,2.10,126400
DPS,20180111,2.20,2.30,2.10,2.10,133416
DPS,20180110,2.10,2.20,2.00,2.20,1173432
DPS,20180109,2.10,2.20,2.00,2.10,196812
DPS,20180108,2.10,2.20,2.10,2.10,201824
DPS,20180105,2.10,2.30,2.10,2.20,189000
DPS,20180104,2.10,2.20,2.00,2.10,116767
DPS,20180103,2.10,2.20,2.00,2.10,322916
DPS,20180102,2.10,2.20,2.00,2.00,226100
DPS,20171229,2.00,2.10,2.00,2.10,60381
DPS,20171228,2.10,2.10,2.00,2.10,81689
DPS,20171227,2.10,2.10,2.00,2.10,89900
DPS,20171226,2.20,2.20,2.00,2.10,109400
DPS,20171225,2.00,2.20,2.00,2.10,66230
DPS,20171222,2.10,2.20,2.10,2.10,141850
DPS,20171221,2.10,2.20,2.00,2.10,163010
DPS,20171220,2.00,2.20,2.00,2.10,283730
DPS,20171219,2.10,2.20,2.00,2.00,305300
DPS,20171218,2.20,2.20,2.10,2.20,253600
DPS,20171215,2.20,2.20,2.10,2.10,209950
DPS,20171214,2.10,2.20,2.10,2.20,233550
DPS,20171213,2.20,2.20,2.10,2.10,133100
DPS,20171212,2.10,2.20,2.00,2.10,497500
DPS,20171211,2.20,2.30,2.10,2.20,119700
DPS,20171208,2.20,2.30,2.10,2.30,226925
DPS,20171207,2.10,2.30,2.10,2.10,149910
DPS,20171206,2.30,2.30,2.10,2.20,742300
DPS,20171205,2.40,2.40,2.20,2.20,288800
DPS,20171204,2.30,2.40,2.20,2.30,309300
DPS,20171201,2.30,2.30,2.20,2.30,295420
DPS,20171130,2.20,2.30,2.20,2.30,437300
DPS,20171129,2.40,2.40,2.10,2.10,406200
DPS,20171128,2.20,2.40,2.10,2.30,942600
DPS,20171127,2.20,2.30,2.10,2.20,402420
DPS,20171124,2.00,2.20,1.90,2.20,795170
DPS,20171123,2.00,2.10,1.90,2.00,526000
DPS,20171122,1.90,2.00,1.90,2.00,286900
DPS,20171121,2.00,2.00,1.80,2.00,719800
DPS,20171120,2.00,2.00,1.90,1.90,316400
DPS,20171117,2.00,2.10,1.90,2.00,485310
DPS,20171116,1.90,2.00,1.80,2.00,327190
DPS,20171115,2.00,2.00,1.90,1.90,430600
DPS,20171114,2.10,2.10,1.90,2.00,170120
DPS,20171113,2.20,2.20,2.00,2.10,390000
DPS,20171110,2.10,2.20,2.00,2.10,205400
DPS,20171109,2.10,2.20,2.00,2.10,251750
DPS,20171108,2.00,2.10,2.00,2.00,120500
DPS,20171107,2.10,2.10,2.00,2.10,161600
DPS,20171106,2.10,2.10,2.00,2.10,58415
DPS,20171103,2.10,2.10,2.00,2.10,89310
DPS,20171102,2.20,2.20,2.00,2.00,131045
DPS,20171101,2.30,2.30,2.10,2.10,333100
DPS,20171031,2.40,2.40,2.20,2.20,163465
DPS,20171030,2.50,2.50,2.20,2.20,259900
DPS,20171027,2.20,2.30,2.20,2.30,66500
DPS,20171026,2.30,2.40,2.20,2.20,238300
DPS,20171025,2.30,2.50,2.30,2.30,230940
DPS,20171024,2.40,2.50,2.30,2.40,261200
DPS,20171023,2.60,2.70,2.50,2.50,250100
DPS,20171020,2.60,2.70,2.60,2.60,88900
DPS,20171019,2.60,2.70,2.60,2.70,34800
DPS,20171018,2.60,2.80,2.50,2.70,478500
DPS,20171017,2.60,2.70,2.50,2.60,161241
DPS,20171016,2.70,2.70,2.50,2.70,116220
DPS,20171013,2.70,2.70,2.60,2.60,154506
DPS,20171012,2.70,2.70,2.60,2.70,293186
DPS,20171011,2.60,2.70,2.60,2.70,104700
DPS,20171010,2.70,2.80,2.60,2.70,350276
DPS,20171009,2.80,2.90,2.60,2.60,246300
DPS,20171006,2.70,2.80,2.60,2.80,366500
DPS,20171005,2.70,2.80,2.60,2.60,947433
