<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DTL,20180329,55.20,55.20,55.10,55.10,400
DTL,20180328,55.00,55.00,55.00,55.00,500
DTL,20180327,54.50,54.50,54.50,54.50,200
DTL,20180323,54.50,54.50,54.50,54.50,1000
DTL,20180322,54.50,54.50,54.50,54.50,1000
DTL,20180321,54.50,54.50,54.50,54.50,500
DTL,20180320,54.40,54.50,54.40,54.50,1680
DTL,20180319,54.30,54.30,54.00,54.00,2070
DTL,20180315,54.00,54.00,54.00,54.00,100
DTL,20180314,54.00,54.00,54.00,54.00,4370
DTL,20180313,54.20,54.20,54.20,54.20,150
DTL,20180312,53.00,54.00,54.00,54.00,1000
DTL,20180309,53.00,53.00,53.00,53.00,300
DTL,20180308,52.80,52.80,52.80,52.80,330
DTL,20180307,52.50,52.50,52.50,52.50,1000
DTL,20180306,52.00,52.00,52.00,52.00,720
DTL,20180305,52.00,52.00,52.00,52.00,1000
DTL,20180301,51.50,51.50,51.50,51.50,300
DTL,20180227,51.50,51.50,51.50,51.50,500
DTL,20180226,51.20,51.20,51.20,51.20,30
DTL,20180223,51.20,51.20,51.20,51.20,350
DTL,20180222,51.00,51.00,51.00,51.00,2000
DTL,20180221,51.00,51.00,51.00,51.00,500
DTL,20180213,48.50,50.50,48.50,50.50,1600
DTL,20180208,48.70,48.70,48.70,48.70,300
DTL,20180207,48.70,48.70,48.70,48.70,2900
DTL,20180206,48.50,48.50,48.50,48.50,260
DTL,20180205,48.50,48.50,48.50,48.50,1500
DTL,20180202,48.50,48.50,48.50,48.50,4500
DTL,20180201,48.20,48.20,48.20,48.20,4000
DTL,20180131,47.70,48.00,47.70,48.00,5600
DTL,20180130,47.70,47.70,47.70,47.70,3000
DTL,20180129,47.70,47.70,47.70,47.70,3000
DTL,20180126,47.50,47.50,47.50,47.50,2500
DTL,20180125,47.50,47.50,47.50,47.50,600
DTL,20180122,47.00,47.20,47.00,47.20,440
DTL,20180119,47.20,47.20,47.20,47.20,3000
DTL,20180118,47.00,47.00,47.00,47.00,3000
DTL,20180117,47.00,47.00,47.00,47.00,3000
DTL,20180116,47.00,47.00,47.00,47.00,3330
DTL,20180115,47.00,47.00,47.00,47.00,3000
DTL,20180112,47.00,47.00,46.60,47.00,4020
DTL,20180111,46.50,46.50,46.50,46.50,3000
DTL,20180110,46.40,46.40,46.40,46.40,3000
DTL,20180109,46.30,46.30,46.30,46.30,3000
DTL,20180108,46.20,46.20,46.20,46.20,2500
DTL,20180105,45.70,46.00,45.70,46.00,800
DTL,20180104,45.50,45.50,45.50,45.50,300
DTL,20180103,45.20,45.20,45.20,45.20,600
DTL,20180102,45.00,45.20,45.00,45.00,950
DTL,20171229,45.00,45.00,45.00,45.00,1500
DTL,20171228,42.40,43.90,42.30,42.30,3140
DTL,20171227,42.30,42.30,42.30,42.30,1800
DTL,20171226,42.30,42.30,42.20,42.20,4120
DTL,20171225,42.20,42.30,42.20,42.30,2800
DTL,20171222,42.20,42.20,42.20,42.20,2000
DTL,20171221,42.00,42.00,42.00,42.00,2500
DTL,20171220,42.00,42.00,42.00,42.00,2830
DTL,20171219,42.00,42.00,42.00,42.00,2500
DTL,20171218,42.00,42.00,42.00,42.00,1500
DTL,20171215,42.00,42.00,42.00,42.00,3300
DTL,20171214,39.90,42.00,39.90,42.00,3170
DTL,20171213,39.80,39.80,39.80,39.80,2000
DTL,20171212,39.60,39.60,39.60,39.60,1500
DTL,20171211,39.60,39.60,39.60,39.60,1500
DTL,20171208,39.60,39.60,39.60,39.60,1500
DTL,20171207,39.50,39.50,39.50,39.50,1500
DTL,20171206,39.30,39.30,39.30,39.30,2300
DTL,20171205,39.00,39.20,39.00,39.20,2500
DTL,20171204,39.00,39.00,39.00,39.00,1500
DTL,20171201,38.30,39.00,38.30,39.00,2150
DTL,20171130,38.20,38.20,38.20,38.20,1010
DTL,20171129,38.00,38.00,38.00,38.00,530
DTL,20171128,37.80,37.80,37.80,37.80,1000
DTL,20171127,39.00,39.00,37.80,37.80,2010
