<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DTV,20180322,16.40,16.40,16.40,16.40,100
DTV,20180109,13.30,13.30,13.30,13.30,300
DTV,20171221,11.57,11.57,11.57,11.57,1800
DTV,20171101,10.02,10.02,10.02,10.02,100
DTV,20170908,16.40,16.40,16.40,16.40,300
DTV,20170825,17.31,17.31,17.31,17.31,2500
DTV,20170816,18.68,18.68,18.68,18.68,2400
DTV,20170802,21.96,21.96,21.96,21.96,3200
DTV,20170719,20.95,22.13,20.95,22.14,800
DTV,20170718,18.22,20.95,18.22,20.95,600
DTV,20170704,18.22,18.22,18.22,18.22,100
DTV,20170626,15.94,15.94,15.94,15.94,100
DTV,20170622,15.94,15.94,15.94,15.94,600
DTV,20170615,15.94,15.94,15.94,15.94,200
DTV,20170609,15.95,15.95,15.95,15.94,2000
DTV,20170531,15.49,16.49,15.49,16.49,4900
DTV,20170530,13.67,14.58,13.67,14.58,2600
DTV,20170510,13.03,13.03,13.03,13.03,100
DTV,20170509,11.39,11.39,11.39,11.39,200
DTV,20170428,12.75,12.75,12.75,12.76,100
DTV,20170427,11.84,11.84,11.84,11.84,100
DTV,20170426,13.44,13.44,13.44,13.44,100
DTV,20170424,11.84,11.84,11.84,11.84,100
DTV,20170420,11.60,12.80,11.60,12.80,2400
DTV,20170419,11.20,12.00,11.20,12.00,1200
DTV,20170418,11.04,11.04,11.04,11.04,1000
DTV,20170414,9.60,9.60,9.60,9.60,100
DTV,20170413,8.40,8.40,8.40,8.40,100
DTV,20170215,6.00,6.00,6.00,6.00,100
DTV,20170214,6.80,6.80,6.80,6.80,100
DTV,20170213,7.20,7.20,7.20,7.20,100
DTV,20170210,7.84,7.84,7.84,7.84,100
DTV,20170208,9.20,9.20,9.20,9.20,100
DTV,20170207,9.76,9.76,9.76,9.76,1700
DTV,20170206,11.44,11.44,11.44,11.44,100
DTV,20170203,10.00,10.00,10.00,10.00,2000
DTV,20170124,10.00,10.00,10.00,10.00,200
DTV,20170117,10.00,10.00,10.00,10.00,200
DTV,20170106,11.60,11.60,11.60,11.60,100
DTV,20161230,16.40,16.40,12.24,16.00,600
DTV,20161229,14.32,14.32,14.32,14.32,100
DTV,20161228,12.48,12.48,12.48,12.48,100
DTV,20161226,10.48,11.60,10.48,11.60,300
DTV,20161222,12.32,12.32,12.32,12.32,200
DTV,20161221,11.60,11.60,11.60,11.60,100
DTV,20161219,11.52,11.52,11.52,11.52,100
DTV,20161216,10.40,11.52,10.40,11.52,1100
DTV,20161215,11.20,11.20,11.20,11.20,600
DTV,20161208,9.60,10.40,9.60,10.40,300
DTV,20161125,11.20,11.20,11.20,11.20,100
DTV,20161124,9.84,11.20,9.84,11.20,500
DTV,20161117,11.52,11.52,11.52,11.52,200
DTV,20161114,16.00,16.00,11.84,11.84,700
DTV,20161107,16.80,16.80,12.48,12.48,300
DTV,20161103,16.40,16.40,12.80,12.80,200
DTV,20161102,16.24,16.24,13.60,13.60,200
DTV,20161101,14.16,14.16,14.16,14.16,100
DTV,20161028,12.32,12.32,12.32,12.32,100
DTV,20161027,10.72,10.72,10.72,10.72,100
DTV,20161026,8.16,11.04,8.16,11.04,300
DTV,20161025,9.60,9.60,9.60,9.60,200
DTV,20161024,10.08,11.84,10.08,11.84,300
DTV,20161021,11.84,11.84,11.84,11.84,100
DTV,20161020,10.32,10.32,10.32,10.32,100
DTV,20161019,9.04,9.04,9.04,9.04,800
DTV,20161018,9.92,9.92,7.92,7.92,300
DTV,20161017,7.44,9.92,7.44,9.92,300
DTV,20161014,6.88,9.28,6.88,9.28,1300
DTV,20161013,8.08,8.08,8.08,8.08,100
DTV,20161011,7.04,7.04,7.04,7.04,100
DTV,20161010,8.16,8.16,8.16,8.16,100
DTV,20161007,9.60,9.60,9.60,9.60,100
DTV,20161005,11.28,11.28,11.28,11.28,500
DTV,20161004,13.20,13.20,13.20,13.20,800
DTV,20160930,15.52,15.52,15.52,15.52,100
DTV,20160928,13.52,13.52,13.52,13.52,100
DTV,20160927,11.84,11.84,11.84,11.84,100
DTV,20160926,13.92,13.92,13.92,13.92,100
DTV,20160923,18.08,18.08,15.20,15.20,400
DTV,20160915,15.76,15.76,15.76,15.76,100
DTV,20160824,13.76,13.76,13.76,13.76,100
DTV,20160822,13.76,13.76,13.76,13.76,200
DTV,20160819,12.00,12.00,12.00,12.00,500
DTV,20160816,10.64,10.64,10.64,10.64,100
DTV,20160815,11.74,11.81,11.74,11.81,300
DTV,20160810,11.74,11.74,11.74,11.74,100
DTV,20160809,10.21,10.21,10.21,10.21,2900
DTV,20160808,11.44,11.44,11.44,11.45,2500
DTV,20160805,13.42,13.42,13.42,13.41,600
DTV,20160804,15.75,15.75,15.75,15.75,200
DTV,20160802,18.51,18.51,18.51,18.52,100
DTV,20160801,22.09,22.09,20.42,20.41,4300
DTV,20160729,19.25,19.25,19.25,19.25,500
DTV,20160728,16.77,16.77,16.77,16.77,1800
DTV,20160727,14.57,14.57,14.57,14.58,400
DTV,20160726,12.68,12.68,12.68,12.68,700
DTV,20160725,11.09,11.09,11.01,11.08,5500
DTV,20160722,9.70,9.70,9.70,9.70,100
DTV,20160721,8.45,8.45,8.45,8.46,100
DTV,20160720,7.37,7.37,7.37,7.36,100
DTV,20160719,6.41,6.41,6.41,6.42,100
DTV,20160718,5.61,5.61,5.61,5.61,100
DTV,20160715,4.88,4.88,4.88,4.88,100
DTV,20160714,4.30,4.30,4.30,4.30,100
DTV,20160713,3.79,3.79,3.79,3.79,100
