<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DVC,20180306,10.40,10.40,10.40,10.40,100
DVC,20180118,10.00,10.00,10.00,10.00,26
DVC,20180117,10.00,10.00,10.00,10.00,20200
DVC,20171017,10.30,10.30,10.30,10.30,100
DVC,20171004,8.99,8.99,8.99,8.99,100
DVC,20171003,7.87,7.87,7.87,7.87,100
DVC,20170707,5.62,5.62,5.62,5.62,100
DVC,20170419,9.37,9.37,9.37,9.36,1000
DVC,20170315,10.96,10.96,10.96,10.96,100
DVC,20170314,10.30,10.30,10.30,10.30,100
DVC,20170310,10.30,10.30,10.30,10.30,100
DVC,20170228,10.30,10.30,10.30,10.30,100
DVC,20170227,10.30,10.30,10.30,10.30,100
DVC,20170221,11.24,11.24,8.71,8.80,300
DVC,20170216,10.21,10.21,10.21,10.21,400
DVC,20170214,8.89,8.89,8.89,8.90,100
DVC,20170103,7.77,7.77,7.77,7.77,100
DVC,20161027,10.12,10.12,10.12,10.11,100
DVC,20161019,8.83,8.83,8.83,8.83,900
DVC,20161018,8.82,8.82,8.82,8.83,1100
DVC,20161017,7.71,7.71,7.71,7.71,100
DVC,20161014,7.54,7.54,7.54,7.54,100
DVC,20160930,6.60,6.60,6.60,6.60,100
DVC,20160929,5.74,5.74,5.74,5.74,100
DVC,20160720,9.25,9.25,9.25,9.26,200
DVC,20160713,9.08,9.08,9.08,9.08,300
DVC,20160712,9.17,9.17,9.17,9.17,1000
DVC,20160711,9.43,9.43,9.43,9.43,200
DVC,20160708,9.86,9.86,9.86,9.86,500
DVC,20160707,9.86,9.86,9.86,9.86,7100
DVC,20160706,8.57,8.57,8.57,8.57,1000
DVC,20160630,7.45,7.45,7.45,7.46,100
DVC,20160627,7.28,7.28,7.28,7.28,100
DVC,20160624,7.12,7.12,7.12,7.11,100
DVC,20160613,6.26,6.26,6.26,6.26,100
DVC,20160601,6.77,6.77,6.77,6.77,100
DVC,20160530,7.20,7.20,7.20,7.20,100
DVC,20160527,8.31,8.31,8.31,8.31,100
DVC,20160526,9.68,9.68,9.68,9.68,100
DVC,20160518,11.31,11.31,11.31,11.31,200
DVC,20160516,11.14,11.14,11.14,11.14,500
DVC,20160513,11.23,11.23,10.97,11.05,2700
DVC,20160426,9.77,9.77,9.77,9.77,200
DVC,20160420,9.69,9.77,9.69,9.77,1100
DVC,20160419,8.52,8.52,8.52,8.53,100
DVC,20160216,7.53,7.53,7.53,7.53,200
DVC,20150925,7.53,7.53,7.53,7.53,200
DVC,20150901,6.60,6.60,6.60,6.60,200
DVC,20150827,6.68,6.68,6.68,6.68,100
DVC,20150609,6.99,6.99,6.99,6.99,200
DVC,20150528,6.37,6.37,6.37,6.37,100
DVC,20150527,6.37,6.37,6.37,6.37,100
DVC,20150526,6.84,6.84,6.84,6.84,100
DVC,20150525,7.45,7.45,7.45,7.46,100
DVC,20150521,8.24,8.24,8.24,8.23,100
DVC,20150520,9.09,9.09,9.09,9.09,3400
DVC,20150513,10.09,10.09,9.32,9.32,4800
DVC,20150512,10.25,10.25,10.25,10.25,100
DVC,20150508,11.34,11.34,11.34,11.34,300
DVC,20150422,11.34,11.34,11.34,11.34,100
DVC,20150413,12.58,12.58,12.58,12.58,200
DVC,20150408,13.90,13.90,13.90,13.90,100
DVC,20150407,15.38,15.38,15.38,15.38,100
DVC,20150406,15.38,15.38,15.38,15.38,100
DVC,20150330,13.99,13.99,13.99,13.98,100
DVC,20150327,12.81,12.81,12.81,12.82,100
DVC,20150325,11.65,11.65,11.65,11.65,1900
DVC,20150323,12.19,12.19,12.19,12.19,100
DVC,20150318,11.27,11.27,11.27,11.26,100
DVC,20150313,10.72,10.72,10.49,10.49,2100
DVC,20150304,9.71,10.10,9.71,10.10,2300
DVC,20150303,8.78,10.49,8.78,10.49,400
DVC,20150227,9.71,9.71,9.71,9.71,100
DVC,20150226,8.86,8.86,8.78,8.78,200
DVC,20150211,9.71,9.71,9.71,9.71,800
DVC,20150203,10.18,10.18,10.18,10.18,100
DVC,20150130,9.40,9.40,9.40,9.40,100
DVC,20150123,9.32,9.32,9.32,9.32,2900
DVC,20150122,9.32,9.32,9.32,9.32,1000
DVC,20150121,8.54,8.54,8.54,8.54,100
DVC,20150120,8.55,8.55,8.55,8.54,900
DVC,20141204,7.77,7.77,7.77,7.77,100
DVC,20141201,7.77,7.77,7.77,7.77,100
DVC,20141128,7.77,7.77,7.77,7.77,200
DVC,20141126,7.07,7.07,7.07,7.07,800
DVC,20141119,6.45,6.45,6.45,6.45,100
DVC,20141110,5.90,5.90,5.90,5.90,100
DVC,20140930,6.24,6.24,6.24,6.24,100
DVC,20140925,7.55,7.55,6.25,6.24,200
DVC,20140924,7.55,7.55,6.17,6.18,200
DVC,20140922,7.62,7.62,6.11,6.11,200
DVC,20140812,5.49,5.49,5.49,5.49,100
DVC,20140606,5.83,5.83,5.83,5.83,100
DVC,20140603,6.45,6.45,6.45,6.45,200
DVC,20140411,5.90,5.90,5.90,5.90,100
DVC,20140124,6.52,6.52,6.52,6.52,1173
DVC,20140116,6.51,6.51,6.31,6.31,58200
DVC,20140114,6.24,6.24,6.24,6.24,100
DVC,20140113,5.90,5.90,5.90,5.90,100
DVC,20140110,6.66,6.66,5.63,5.63,1200
DVC,20131231,6.10,6.10,6.10,6.11,100
DVC,20131230,6.72,6.72,6.72,6.72,100
DVC,20131227,7.48,7.48,7.41,7.41,400
DVC,20131223,8.23,8.23,8.23,8.23,300
