<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FBA,20170707,0.90,0.90,0.90,0.90,2300
FBA,20170630,1.00,1.00,0.80,0.80,1300
FBA,20170602,0.90,0.90,0.80,0.80,2200
FBA,20170519,0.70,0.90,0.70,0.90,2200
FBA,20170512,0.80,0.80,0.80,0.80,2200
FBA,20170505,0.90,0.90,0.90,0.90,800
FBA,20170428,0.80,0.80,0.80,0.80,300
FBA,20170421,0.70,0.70,0.70,0.70,1000
FBA,20170414,0.90,0.90,0.70,0.70,2500
FBA,20170407,1.00,1.00,0.80,0.80,1800
FBA,20170331,0.90,0.90,0.90,0.90,4000
FBA,20170324,1.00,1.00,1.00,1.00,600
FBA,20170317,1.10,1.10,1.10,1.10,1900
FBA,20170310,1.20,1.20,1.20,1.20,100
FBA,20170217,1.30,1.30,1.30,1.30,400
FBA,20170210,1.20,1.20,1.20,1.20,300
FBA,20170203,1.10,1.10,1.10,1.10,100
FBA,20170120,1.00,1.00,1.00,1.00,1900
FBA,20170113,1.10,1.10,1.10,1.10,5300
FBA,20170106,1.20,1.20,1.20,1.20,500
FBA,20161230,1.30,1.30,1.30,1.30,700
FBA,20161223,1.50,1.50,1.50,1.50,2000
FBA,20161125,1.70,1.70,1.70,1.70,300
FBA,20160909,2.00,2.00,2.00,2.00,400
FBA,20160624,1.80,1.80,1.80,1.80,5300
FBA,20160525,2.10,2.10,2.10,2.10,100
FBA,20160517,2.40,2.40,2.40,2.40,100
FBA,20160516,2.20,2.30,2.20,2.20,700
FBA,20160512,2.00,2.00,2.00,2.00,100
FBA,20160509,1.80,1.80,1.80,1.80,100
FBA,20160428,1.80,1.80,1.80,1.80,2100
FBA,20160426,1.90,1.90,1.90,1.90,1500
FBA,20160414,1.90,1.90,1.90,1.90,700
FBA,20160411,1.90,1.90,1.90,1.90,1200
FBA,20160408,1.90,1.90,1.90,1.90,100
FBA,20160407,2.00,2.00,2.00,2.00,1000
FBA,20160406,2.00,2.00,2.00,2.00,100
FBA,20160404,2.30,2.30,2.30,2.30,100
FBA,20160401,2.10,2.10,2.10,2.10,300
FBA,20160331,2.40,2.40,2.40,2.40,100
FBA,20160330,2.00,2.40,2.00,2.30,5300
FBA,20160328,2.10,2.10,2.10,2.10,100
FBA,20160325,2.00,2.00,1.70,1.70,600
FBA,20160324,1.80,1.80,1.80,1.80,100
FBA,20160318,2.10,2.30,2.10,2.30,1600
FBA,20160317,2.00,2.00,2.00,2.00,1500
FBA,20160316,1.80,1.80,1.80,1.80,100
FBA,20160310,2.00,2.00,2.00,2.00,2100
FBA,20160309,2.30,2.30,2.30,2.30,100
FBA,20160302,2.00,2.00,2.00,2.00,100
FBA,20160301,2.00,2.00,1.60,1.70,4300
FBA,20160225,2.00,2.00,1.80,1.80,2500
FBA,20160224,2.10,2.10,2.10,2.10,300
FBA,20160223,2.40,2.40,2.40,2.40,200
FBA,20151230,8.00,8.00,3.50,3.50,900
FBA,20151016,5.80,5.80,5.80,5.80,100
FBA,20150817,4.20,4.20,4.20,4.20,100
FBA,20150811,3.90,3.90,3.90,3.90,100
FBA,20150729,3.40,3.40,3.40,3.40,100
FBA,20150727,3.20,3.20,3.20,3.20,200
FBA,20150724,3.00,3.00,3.00,3.00,100
FBA,20150723,2.70,2.70,2.70,2.70,500
FBA,20150722,2.40,2.40,2.40,2.40,100
FBA,20150721,2.10,2.10,2.10,2.10,100
FBA,20150720,1.90,1.90,1.90,1.90,100
FBA,20150715,1.70,1.70,1.70,1.70,100
FBA,20150629,2.00,2.00,2.00,2.00,100
FBA,20150626,2.20,2.30,2.20,2.20,600
FBA,20150625,2.40,2.40,2.40,2.40,6800
FBA,20150624,2.60,2.60,2.60,2.60,100
FBA,20150623,2.40,2.40,2.40,2.40,2300
FBA,20150622,2.40,2.40,2.40,2.40,5000
FBA,20150619,2.60,2.60,2.60,2.60,100
FBA,20150616,2.40,2.40,2.40,2.40,100
FBA,20150615,2.40,2.40,2.40,2.40,100
FBA,20150605,2.40,2.40,2.40,2.40,100
FBA,20150604,2.20,2.20,2.20,2.20,100
FBA,20150603,2.00,2.00,2.00,2.00,2000
FBA,20150602,2.00,2.00,2.00,2.00,600
FBA,20150601,2.00,2.00,2.00,2.00,500
FBA,20150529,1.90,1.90,1.90,1.90,1000
FBA,20150528,1.80,1.80,1.80,1.80,1400
FBA,20150527,1.70,1.70,1.70,1.70,300
FBA,20150526,1.50,1.60,1.50,1.60,300
FBA,20150525,1.50,1.50,1.50,1.50,300
FBA,20150522,1.60,1.80,1.60,1.60,700
FBA,20150521,1.60,1.80,1.60,1.80,200
FBA,20150520,1.50,1.70,1.50,1.70,400
FBA,20150515,1.60,1.60,1.60,1.60,300
FBA,20150514,1.60,1.60,1.60,1.60,1500
FBA,20150513,1.70,1.70,1.70,1.70,300
FBA,20150512,1.70,1.70,1.70,1.70,200
FBA,20150505,1.80,1.80,1.80,1.80,1000
FBA,20150427,1.90,1.90,1.90,1.90,1300
FBA,20150424,2.00,2.00,2.00,2.00,100
FBA,20150423,1.90,1.90,1.90,1.90,2500
FBA,20150422,2.00,2.00,1.90,1.90,2600
FBA,20150421,2.00,2.00,2.00,2.00,1400
FBA,20150417,2.20,2.20,2.20,2.20,500
FBA,20150415,2.40,2.40,2.40,2.40,500
FBA,20150410,2.60,2.60,2.60,2.60,100
FBA,20150331,2.80,2.80,2.80,2.80,200
FBA,20150318,2.70,2.70,2.70,2.70,100
FBA,20150311,2.60,2.60,2.60,2.60,4000
FBA,20150310,2.70,2.70,2.70,2.70,2700
FBA,20150309,2.50,2.70,2.50,2.70,300
FBA,20150306,2.60,2.70,2.60,2.70,200
FBA,20150304,2.80,2.80,2.80,2.80,100
FBA,20150303,2.50,2.70,2.50,2.70,2500
FBA,20150226,2.70,2.70,2.50,2.70,40600
FBA,20150225,2.70,2.70,2.70,2.70,100
FBA,20150224,3.00,3.00,3.00,3.00,200
FBA,20150209,3.30,3.30,3.30,3.30,100
FBA,20150204,3.20,3.20,3.20,3.20,100
FBA,20150203,3.50,3.50,3.50,3.50,100
FBA,20150130,3.70,3.70,3.70,3.70,100
FBA,20150123,4.10,4.10,4.10,4.10,100
FBA,20141204,4.50,4.50,4.50,4.50,100
FBA,20141023,3.40,3.40,3.40,3.40,800
FBA,20141009,3.70,3.70,3.70,3.70,600
FBA,20141007,3.80,3.80,3.80,3.80,400
FBA,20141002,3.70,3.70,3.70,3.70,2000
FBA,20140929,3.70,3.70,3.70,3.70,3000
FBA,20140924,3.50,3.50,3.50,3.50,100
FBA,20140919,3.40,3.40,3.40,3.40,200
FBA,20140916,3.40,3.40,3.40,3.40,100
FBA,20140915,3.40,3.40,3.40,3.40,1000
FBA,20140911,3.60,3.60,3.60,3.60,1100
FBA,20140908,3.60,3.60,3.60,3.60,700
FBA,20140903,3.50,3.50,3.40,3.40,900
FBA,20140826,3.40,3.40,3.40,3.40,100
FBA,20140825,3.30,3.40,3.30,3.40,2300
FBA,20140822,3.20,3.20,3.20,3.20,1000
FBA,20140819,3.20,3.20,3.20,3.20,1000
FBA,20140813,3.30,3.40,3.30,3.40,2300
FBA,20140812,3.30,3.30,3.20,3.20,2000
FBA,20140808,3.40,3.60,3.40,3.60,700
FBA,20140806,3.70,3.70,3.70,3.70,200
FBA,20140805,4.10,4.10,4.10,4.10,300
FBA,20140801,4.50,4.50,4.50,4.50,100
FBA,20140715,4.90,4.90,4.90,4.90,100
