<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FLC,20180306,5.55,5.67,5.50,5.60,3909960
FLC,20180305,5.50,5.70,5.50,5.59,4301590
FLC,20180302,5.54,5.54,5.47,5.49,3855430
FLC,20180301,5.55,5.58,5.49,5.54,4226820
FLC,20180228,5.67,5.67,5.58,5.59,5565800
FLC,20180227,5.70,5.73,5.62,5.67,4669250
FLC,20180226,5.81,5.82,5.59,5.69,10461800
FLC,20180223,5.90,5.92,5.82,5.83,3353330
FLC,20180222,5.98,5.98,5.83,5.83,4963300
FLC,20180221,5.95,6.04,5.95,5.98,6114810
FLC,20180213,5.79,5.84,5.75,5.80,4493740
FLC,20180212,5.41,5.63,5.41,5.61,2942210
FLC,20180209,5.30,5.45,5.29,5.41,6354310
FLC,20180208,5.67,5.78,5.63,5.63,6583700
FLC,20180207,5.55,5.63,5.52,5.63,8423370
FLC,20180206,5.27,5.41,5.27,5.27,13944360
FLC,20180205,6.04,6.05,5.66,5.66,7300120
FLC,20180202,6.15,6.15,6.01,6.08,5294060
FLC,20180201,6.25,6.36,6.15,6.15,7649940
FLC,20180131,6.26,6.32,6.17,6.17,11390430
FLC,20180130,6.08,6.33,6.08,6.23,8249710
FLC,20180129,6.12,6.18,6.06,6.06,4793770
FLC,20180126,6.24,6.24,6.10,6.10,5164170
FLC,20180125,6.26,6.26,6.08,6.11,10950350
FLC,20180122,6.28,6.31,6.26,6.28,7790340
FLC,20180119,6.30,6.35,6.24,6.24,7765750
FLC,20180118,6.23,6.30,6.22,6.26,7272000
FLC,20180117,6.41,6.41,6.26,6.26,11881620
FLC,20180116,6.27,6.34,6.25,6.35,10728300
FLC,20180115,6.40,6.42,6.29,6.29,8480700
FLC,20180112,6.39,6.44,6.37,6.39,12216580
FLC,20180111,6.34,6.46,6.28,6.38,16797010
FLC,20180110,6.34,6.38,6.27,6.28,12770280
FLC,20180109,6.08,6.20,6.06,6.17,14057250
FLC,20180108,6.08,6.11,6.06,6.07,7192860
FLC,20180105,6.12,6.13,6.06,6.08,7928010
FLC,20180104,6.08,6.13,6.07,6.11,11573160
FLC,20180103,6.22,6.26,6.07,6.08,15867110
FLC,20180102,6.20,6.28,6.20,6.20,6081800
FLC,20171229,6.23,6.28,6.21,6.24,14617380
FLC,20171228,6.26,6.27,6.21,6.23,6342680
FLC,20171227,6.24,6.28,6.20,6.22,14206600
FLC,20171226,6.26,6.30,6.22,6.21,5390800
FLC,20171225,6.29,6.37,6.26,6.26,5664480
FLC,20171222,6.25,6.36,6.21,6.26,7419980
FLC,20171221,6.28,6.30,6.21,6.21,5592630
FLC,20171220,6.26,6.31,6.17,6.28,8183090
FLC,20171219,6.44,6.49,6.25,6.26,22661630
FLC,20171218,6.53,6.74,6.44,6.44,65831910
FLC,20171215,6.46,6.63,6.39,6.53,29679500
FLC,20171214,6.18,6.45,6.16,6.44,19492200
FLC,20171213,6.18,6.25,6.13,6.22,7354910
FLC,20171212,6.16,6.21,5.95,6.20,24676250
FLC,20171211,6.08,6.19,6.02,6.17,22234690
FLC,20171208,6.11,6.18,6.09,6.15,5788880
FLC,20171207,6.08,6.15,6.07,6.10,7566360
FLC,20171206,6.16,6.29,5.98,6.08,32767400
FLC,20171205,6.30,6.37,6.12,6.12,18074430
FLC,20171204,6.49,6.64,6.31,6.30,40495640
FLC,20171201,6.49,6.52,6.25,6.52,41704910
FLC,20171130,6.57,6.58,6.24,6.49,37546440
FLC,20171129,6.28,6.48,6.20,6.46,24593460
FLC,20171128,6.37,6.47,6.23,6.28,14435590
FLC,20171127,6.08,6.37,6.08,6.36,23209460
FLC,20171124,6.16,6.23,5.93,6.06,22790740
FLC,20171123,6.08,6.27,5.96,6.12,26051630
FLC,20171122,5.81,6.05,5.79,6.05,17421580
FLC,20171121,5.71,5.91,5.68,5.81,19715950
FLC,20171120,5.64,5.81,5.60,5.64,9772830
FLC,20171117,5.62,5.68,5.52,5.60,9129480
FLC,20171116,5.45,5.59,5.45,5.57,7287810
FLC,20171115,5.43,5.51,5.43,5.46,5799880
FLC,20171114,5.42,5.51,5.37,5.43,7181740
FLC,20171113,5.36,5.60,5.36,5.38,38545830
FLC,20171110,5.70,5.80,5.68,5.76,6990440
FLC,20171109,5.80,5.85,5.71,5.72,8447020
FLC,20171108,5.82,5.94,5.77,5.79,7080170
FLC,20171107,5.97,6.12,5.77,5.86,17064890
FLC,20171106,5.71,5.93,5.69,5.91,8670540
FLC,20171103,5.65,5.70,5.49,5.65,14824880
FLC,20171102,5.81,5.90,5.65,5.65,7446830
FLC,20171101,5.79,5.90,5.69,5.72,11712300
FLC,20171031,5.94,5.97,5.65,5.67,20726830
FLC,20171030,6.17,6.24,5.99,5.99,12821590
FLC,20171027,5.99,6.25,5.99,6.17,10618910
FLC,20171026,6.35,6.40,6.03,6.06,38370230
FLC,20171025,6.45,6.45,6.35,6.36,9129400
FLC,20171024,6.34,6.49,6.32,6.38,25515150
FLC,20171023,6.44,6.65,6.25,6.30,48019730
FLC,20171020,6.79,6.86,6.43,6.57,29561100
FLC,20171019,6.75,6.87,6.68,6.81,8782950
FLC,20171018,6.79,6.84,6.66,6.67,12784200
FLC,20171017,7.05,7.20,6.79,6.79,17516440
FLC,20171016,7.10,7.20,7.00,7.04,15936480
FLC,20171013,6.90,6.99,6.78,6.91,20412330
FLC,20171012,6.80,6.92,6.77,6.88,13427020
FLC,20171011,6.82,6.87,6.73,6.79,9063880
FLC,20171010,6.77,6.91,6.70,6.75,9647010
FLC,20171009,6.59,6.89,6.57,6.70,13432710
FLC,20171006,6.62,6.65,6.58,6.61,5276340
FLC,20171005,6.61,6.72,6.59,6.61,7350240
FLC,20171004,6.42,6.61,6.42,6.60,5660730
FLC,20171003,6.49,6.53,6.36,6.44,13047560
FLC,20171002,6.56,6.61,6.49,6.49,7522560
FLC,20170929,6.62,6.62,6.54,6.58,7388500
FLC,20170928,6.62,6.66,6.58,6.59,8951560
FLC,20170927,6.62,6.70,6.58,6.62,7407990
FLC,20170926,6.66,6.68,6.60,6.62,12293540
FLC,20170925,6.76,6.80,6.68,6.68,11160960
FLC,20170922,6.89,6.91,6.77,6.77,14992350
FLC,20170921,6.93,7.01,6.90,6.91,11342860
FLC,20170920,6.88,6.93,6.84,6.86,9484650
FLC,20170919,6.93,7.09,6.84,6.85,19126690
FLC,20170918,6.78,6.95,6.73,6.88,11969820
FLC,20170915,6.78,6.78,6.70,6.72,15816220
FLC,20170914,6.70,6.83,6.69,6.75,15517590
FLC,20170913,6.62,6.74,6.62,6.71,7109820
FLC,20170912,6.62,6.72,6.56,6.62,8523280
FLC,20170911,6.71,6.71,6.54,6.55,17766300
FLC,20170908,6.69,6.84,6.69,6.77,13542350
FLC,20170907,6.61,6.75,6.61,6.69,8849100
FLC,20170906,6.53,6.79,6.48,6.63,15459690
FLC,20170905,6.86,6.87,6.57,6.59,24342060
FLC,20170901,6.83,6.96,6.75,6.89,13069460
FLC,20170831,7.09,7.24,6.68,6.79,34289260
FLC,20170830,7.09,7.51,7.09,7.09,57927720
FLC,20170829,8.05,8.31,7.62,7.62,60129560
FLC,20170828,7.87,8.19,7.64,8.19,60434440
FLC,20170825,7.33,7.66,7.24,7.66,53787960
FLC,20170824,6.71,7.17,6.70,7.16,72594500
FLC,20170823,6.40,6.71,6.35,6.70,39156230
FLC,20170822,6.42,6.44,6.33,6.41,16729230
FLC,20170821,6.41,6.45,6.33,6.38,23209260
FLC,20170818,6.27,6.39,6.27,6.36,6754200
FLC,20170817,6.39,6.43,6.32,6.33,6077550
FLC,20170816,6.41,6.43,6.36,6.39,4602330
FLC,20170815,6.45,6.46,6.38,6.38,5283730
FLC,20170814,6.39,6.45,6.38,6.43,3602530
FLC,20170811,6.41,6.43,6.38,6.39,5357480
FLC,20170810,6.44,6.54,6.34,6.42,9288900
FLC,20170809,6.61,6.65,6.44,6.46,10791300
FLC,20170808,6.57,6.69,6.56,6.57,11559640
FLC,20170807,6.44,6.60,6.42,6.53,7909860
FLC,20170804,6.44,6.48,6.41,6.44,5432040
FLC,20170803,6.39,6.47,6.39,6.42,4712500
FLC,20170802,6.41,6.45,6.37,6.39,4337570
FLC,20170801,6.36,6.48,6.31,6.44,8505910
FLC,20170731,6.69,6.69,6.32,6.38,35869160
FLC,20170728,6.62,6.75,6.61,6.62,5899000
FLC,20170727,6.79,6.99,6.59,6.61,32649520
FLC,20170726,6.50,6.81,6.44,6.79,20768820
FLC,20170725,6.37,6.43,6.35,6.40,4506900
FLC,20170724,6.27,6.40,6.27,6.35,12575590
FLC,20170721,6.57,6.65,6.47,6.47,8961910
FLC,20170720,6.88,6.88,6.52,6.54,15340210
FLC,20170719,6.52,6.88,6.50,6.88,30929560
FLC,20170718,6.52,6.59,6.48,6.50,8482950
FLC,20170717,6.48,6.72,6.44,6.53,16527990
FLC,20170714,6.46,6.52,6.45,6.46,5506060
FLC,20170713,6.39,6.68,6.39,6.46,16799630
FLC,20170712,6.38,6.41,6.34,6.35,4111260
FLC,20170711,6.37,6.40,6.30,6.35,7360940
FLC,20170710,6.39,6.48,6.36,6.36,8096790
FLC,20170707,6.46,6.49,6.40,6.40,6827660
FLC,20170706,6.52,6.53,6.43,6.44,7188500
FLC,20170705,6.43,6.54,6.42,6.48,7823150
FLC,20170704,6.46,6.47,6.42,6.43,4905990
FLC,20170703,6.44,6.48,6.38,6.43,5846760
FLC,20170630,6.44,6.47,6.40,6.41,6544370
FLC,20170629,6.53,6.56,6.40,6.43,14175740
FLC,20170628,6.53,6.57,6.47,6.53,6294580
