<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FMC,20180306,30.70,31.00,29.90,31.00,472710
FMC,20180305,31.60,32.00,30.70,30.70,549230
FMC,20180302,29.00,31.45,28.85,31.45,1337350
FMC,20180301,28.40,29.40,27.95,29.40,653610
FMC,20180228,27.40,28.50,27.10,27.90,424730
FMC,20180227,27.20,27.50,27.00,27.40,257410
FMC,20180226,27.40,27.70,26.90,27.15,453810
FMC,20180223,27.45,27.60,27.10,27.30,253160
FMC,20180222,26.10,27.50,25.90,26.85,335940
FMC,20180221,26.00,26.30,26.00,26.10,209730
FMC,20180213,26.15,26.30,26.00,26.00,137540
FMC,20180212,25.60,26.50,25.60,26.00,100050
FMC,20180209,23.55,26.20,23.55,25.60,228310
FMC,20180208,25.10,25.30,24.50,25.10,149670
FMC,20180207,24.70,25.50,24.70,25.15,407850
FMC,20180206,23.85,24.90,23.85,23.85,748170
FMC,20180205,27.40,27.40,25.60,25.60,408330
FMC,20180202,26.80,27.45,26.70,27.45,621130
FMC,20180201,26.10,26.90,26.10,26.60,474350
FMC,20180131,26.00,26.40,25.80,26.20,473500
FMC,20180130,25.60,25.90,25.50,25.90,222600
FMC,20180129,25.90,26.00,25.60,25.65,153810
FMC,20180126,25.80,25.80,25.30,25.75,206650
FMC,20180125,25.50,26.00,25.20,25.40,753530
FMC,20180122,26.10,26.40,25.90,25.90,214610
FMC,20180119,26.00,26.30,25.70,26.00,159860
FMC,20180118,26.10,26.10,25.40,25.90,413710
FMC,20180117,26.60,26.60,26.10,26.10,356160
FMC,20180116,26.00,26.40,25.80,26.30,410250
FMC,20180115,25.90,26.30,25.70,26.00,341560
FMC,20180112,25.65,26.90,25.65,25.65,598880
FMC,20180111,26.35,26.35,25.90,26.35,1578250
FMC,20180110,25.00,25.10,24.30,24.65,604180
FMC,20180109,25.00,25.20,24.60,24.95,502280
FMC,20180108,23.95,24.95,23.85,24.55,699150
FMC,20180105,23.90,24.00,23.50,23.80,673920
FMC,20180104,23.60,23.90,23.40,23.50,337880
FMC,20180103,23.75,23.75,23.40,23.40,185400
FMC,20180102,23.45,23.50,22.80,23.45,310190
FMC,20171229,22.85,22.85,22.50,22.80,179460
FMC,20171228,22.80,22.85,22.50,22.65,108260
FMC,20171227,22.90,22.90,22.30,22.65,141770
FMC,20171226,22.80,22.95,22.65,22.65,109820
FMC,20171225,22.80,23.00,22.75,22.80,100300
FMC,20171222,22.80,23.10,22.80,22.90,209660
FMC,20171221,22.70,23.20,22.60,22.75,205830
FMC,20171220,22.60,22.95,22.50,22.65,178230
FMC,20171219,22.70,22.90,22.55,22.70,149240
FMC,20171218,22.90,22.90,22.50,22.70,172720
