<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HBH,20180319,2.40,2.40,2.40,2.40,800
HBH,20180105,4.00,4.00,4.00,4.00,100
HBH,20171221,4.00,4.00,4.00,4.00,300
HBH,20171219,4.00,4.00,4.00,4.00,2200
HBH,20171206,4.00,4.00,4.00,4.00,40
HBH,20171124,4.00,4.00,4.00,4.00,100
HBH,20171106,3.50,3.50,3.50,3.50,140
HBH,20171103,4.10,4.10,4.10,4.10,100
HBH,20171102,4.80,4.80,4.80,4.80,100
HBH,20171101,5.50,5.50,5.50,5.50,200
HBH,20171031,6.40,6.40,6.40,6.40,100
HBH,20171018,5.80,5.80,5.80,5.80,200
HBH,20171017,5.60,5.60,5.60,5.60,500
HBH,20171013,6.30,6.30,6.30,6.30,100
HBH,20171012,6.30,6.30,6.30,6.30,100
HBH,20171011,6.30,6.30,6.30,6.30,100
HBH,20171009,7.30,7.30,7.30,7.30,100
HBH,20170929,7.30,7.30,7.30,7.30,100
HBH,20170926,6.40,6.40,6.40,6.40,200
HBH,20170925,7.50,7.50,7.50,7.50,200
HBH,20170922,8.60,8.60,8.60,8.60,200
HBH,20170918,10.00,10.00,10.00,10.00,3100
HBH,20170915,12.10,12.10,11.00,11.00,7900
HBH,20170810,12.00,13.00,10.00,10.00,5600
