<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HDA,20180330,8.60,8.70,8.50,8.50,28900
HDA,20180329,8.60,8.70,8.50,8.50,89800
HDA,20180328,8.50,8.60,8.50,8.50,15700
HDA,20180327,8.70,8.70,8.50,8.50,11900
HDA,20180326,8.70,8.70,8.40,8.40,1300
HDA,20180323,8.60,8.70,8.40,8.40,75700
HDA,20180322,8.70,8.70,8.50,8.50,35700
HDA,20180321,8.60,8.70,8.50,8.50,43400
HDA,20180320,8.50,8.70,8.40,8.50,34910
HDA,20180319,8.30,8.50,8.20,8.50,53400
HDA,20180316,8.50,8.60,8.50,8.50,56000
HDA,20180315,8.30,8.60,8.20,8.50,88710
HDA,20180314,8.40,8.50,8.20,8.30,63500
HDA,20180313,8.40,8.50,8.20,8.30,115800
HDA,20180312,8.10,8.50,8.10,8.30,170100
HDA,20180309,8.10,8.10,8.00,8.00,10600
HDA,20180308,8.20,8.20,8.00,8.00,14500
HDA,20180307,8.00,8.20,8.00,8.00,18600
HDA,20180306,7.90,8.00,7.80,7.90,42300
HDA,20180305,8.50,8.50,8.00,8.10,51110
HDA,20180302,8.60,8.60,8.40,8.50,45100
HDA,20180301,9.00,9.00,8.30,8.50,245130
HDA,20180228,7.70,8.20,7.70,8.20,87000
HDA,20180227,7.50,7.60,7.50,7.50,38410
HDA,20180226,7.80,7.80,7.50,7.50,40200
HDA,20180223,7.20,8.00,7.20,7.70,27600
HDA,20180222,8.10,8.10,8.00,8.00,1900
HDA,20180221,8.10,8.10,8.10,8.10,300
HDA,20180213,8.00,8.30,8.00,8.00,64000
HDA,20180212,8.00,8.20,8.00,8.00,30880
HDA,20180209,8.00,8.00,8.00,8.00,400
HDA,20180208,7.90,8.00,7.90,7.90,25820
HDA,20180207,8.00,8.10,7.80,7.80,32200
HDA,20180206,7.90,8.00,7.60,8.00,26700
HDA,20180205,8.40,8.40,8.00,8.10,4100
HDA,20180202,8.40,8.50,8.30,8.40,17300
HDA,20180201,8.40,8.40,8.20,8.30,11300
HDA,20180131,8.00,8.20,8.00,8.20,800
HDA,20180130,7.80,8.00,7.80,8.00,9800
HDA,20180129,7.70,7.90,7.20,7.80,17500
HDA,20180126,8.00,8.00,7.80,7.90,11110
HDA,20180125,8.40,8.40,8.20,8.20,8710
HDA,20180124,8.50,8.60,8.40,8.40,13100
HDA,20180123,8.60,8.70,8.40,8.40,25900
HDA,20180122,8.50,8.70,8.30,8.70,42500
HDA,20180119,8.30,8.50,8.30,8.40,21300
HDA,20180118,8.50,8.50,8.30,8.30,30900
HDA,20180117,8.40,8.60,8.40,8.60,52900
HDA,20180116,8.50,8.50,8.40,8.40,17500
HDA,20180115,8.40,8.40,8.30,8.30,98810
HDA,20180112,8.20,8.80,8.20,8.40,61300
HDA,20180111,7.90,8.10,7.90,8.10,86800
HDA,20180110,7.90,7.90,7.70,7.70,18800
HDA,20180109,7.60,7.90,7.60,7.80,16100
HDA,20180108,7.60,7.70,7.60,7.60,22600
HDA,20180105,7.60,7.90,7.50,7.70,20700
HDA,20180104,7.40,7.60,7.40,7.50,51000
HDA,20180103,7.40,7.50,7.40,7.50,33000
HDA,20180102,7.20,7.50,7.10,7.20,56700
HDA,20171229,7.40,7.40,7.20,7.20,40300
HDA,20171228,7.50,7.60,7.30,7.40,35300
HDA,20171227,7.60,7.60,7.40,7.40,14800
HDA,20171226,7.50,7.60,7.40,7.60,15200
HDA,20171225,7.50,7.70,7.50,7.70,4100
HDA,20171222,7.70,7.70,7.70,7.70,3400
HDA,20171221,7.70,7.80,7.70,7.80,10700
HDA,20171220,7.70,7.80,7.70,7.80,1100
HDA,20171219,7.70,7.80,7.70,7.80,30900
HDA,20171218,7.70,7.80,7.70,7.70,17100
HDA,20171215,6.90,7.80,6.90,7.80,28600
HDA,20171214,7.50,7.60,7.40,7.60,22900
HDA,20171213,7.50,7.50,7.20,7.50,16000
HDA,20171212,7.40,7.50,7.20,7.30,68520
HDA,20171211,8.10,8.10,7.40,7.50,56400
HDA,20171208,8.90,8.90,8.20,8.20,16700
HDA,20171207,8.67,8.67,8.40,8.40,52810
HDA,20171206,8.93,9.01,8.40,8.49,53600
HDA,20171205,8.75,8.93,8.40,8.75,105500
HDA,20171204,8.22,8.57,8.22,8.49,47300
HDA,20171201,8.31,8.31,8.22,8.22,323840
